Date,Open,High,Low,Close,Volume
7-Oct-16,0.78,0.83,0.78,0.83,50100
6-Oct-16,0.78,0.85,0.78,0.78,270100
5-Oct-16,0.78,0.78,0.78,0.78,183800
4-Oct-16,0.79,0.80,0.78,0.78,344400
30-Sep-16,0.78,0.78,0.78,0.78,32000
29-Sep-16,0.78,0.81,0.78,0.81,105600
28-Sep-16,0.78,0.82,0.78,0.82,209200
27-Sep-16,-,-,-,0.82,0
26-Sep-16,0.80,0.82,0.78,0.82,8200
23-Sep-16,0.78,0.78,0.78,0.78,20000
22-Sep-16,0.78,0.78,0.78,0.78,20000
21-Sep-16,0.80,0.80,0.79,0.79,131100
20-Sep-16,0.82,0.82,0.79,0.81,15300
19-Sep-16,0.78,0.78,0.78,0.78,10000
15-Sep-16,0.78,0.82,0.78,0.80,57400
14-Sep-16,-,-,-,0.78,0
13-Sep-16,0.77,0.78,0.77,0.78,21500
9-Sep-16,0.78,0.78,0.78,0.78,10000
8-Sep-16,-,-,-,0.80,0
7-Sep-16,0.78,0.80,0.78,0.80,1020200
6-Sep-16,0.80,0.81,0.80,0.81,207400
5-Sep-16,0.80,0.82,0.80,0.82,24800
2-Sep-16,0.80,0.83,0.80,0.83,54100
1-Sep-16,0.79,0.83,0.79,0.83,44900
30-Aug-16,0.80,0.80,0.80,0.80,21800
29-Aug-16,0.85,0.85,0.85,0.85,200
26-Aug-16,0.80,0.82,0.80,0.80,44600
25-Aug-16,0.83,0.83,0.80,0.80,193900
24-Aug-16,0.80,0.82,0.80,0.81,430600
23-Aug-16,0.78,0.87,0.78,0.81,146500
22-Aug-16,0.78,0.78,0.78,0.78,23000
19-Aug-16,0.77,0.78,0.76,0.78,37000
18-Aug-16,0.76,0.76,0.76,0.76,51900
17-Aug-16,0.77,0.77,0.76,0.76,16000
16-Aug-16,0.76,0.77,0.76,0.77,93600
15-Aug-16,0.74,0.80,0.74,0.78,175200
12-Aug-16,0.74,0.79,0.74,0.79,27100
11-Aug-16,0.74,0.79,0.73,0.73,34300
10-Aug-16,-,-,-,0.74,0
9-Aug-16,-,-,-,0.74,0
8-Aug-16,-,-,-,0.74,0
5-Aug-16,0.74,0.74,0.74,0.74,13000
4-Aug-16,0.76,0.76,0.76,0.76,20000
3-Aug-16,-,-,-,0.76,0
2-Aug-16,0.73,0.76,0.73,0.76,122800
1-Aug-16,0.72,0.75,0.72,0.74,23300
29-Jul-16,-,-,-,0.75,0
28-Jul-16,0.74,0.75,0.74,0.75,2100
27-Jul-16,0.73,0.74,0.73,0.74,44500
26-Jul-16,0.74,0.74,0.72,0.72,26500
25-Jul-16,0.73,0.75,0.73,0.74,26100
22-Jul-16,0.74,0.74,0.74,0.74,40000
21-Jul-16,0.73,0.76,0.73,0.76,15000
20-Jul-16,0.75,0.80,0.74,0.75,41300
19-Jul-16,0.74,0.74,0.74,0.74,28700
18-Jul-16,0.72,0.79,0.72,0.79,5100
15-Jul-16,0.75,0.79,0.75,0.79,1100
14-Jul-16,-,-,-,0.77,0
13-Jul-16,-,-,-,0.77,0
12-Jul-16,-,-,-,0.77,0
11-Jul-16,0.72,0.77,0.72,0.77,10100
8-Jul-16,-,-,-,0.74,0
5-Jul-16,-,-,-,0.74,0
4-Jul-16,-,-,-,0.74,0
1-Jul-16,-,-,-,0.74,0
30-Jun-16,-,-,-,0.74,0
29-Jun-16,0.72,0.75,0.72,0.74,86300
