Date,Open,High,Low,Close,Volume
7-Oct-16,24.30,24.30,23.90,23.92,6500
6-Oct-16,24.20,24.36,24.00,24.02,516300
5-Oct-16,23.74,24.26,23.74,24.10,780800
4-Oct-16,23.82,23.96,23.28,23.74,354000
30-Sep-16,24.06,24.10,23.94,24.06,746300
29-Sep-16,24.28,24.30,24.06,24.06,294900
28-Sep-16,24.10,24.40,24.10,24.18,170900
27-Sep-16,24.36,24.40,24.14,24.20,466600
26-Sep-16,24.30,24.50,24.18,24.38,9900
23-Sep-16,24.32,24.52,24.30,24.38,543200
22-Sep-16,24.30,24.42,24.26,24.38,689500
21-Sep-16,24.50,24.50,24.00,24.30,178400
20-Sep-16,24.40,24.88,24.30,24.50,156100
19-Sep-16,24.48,24.48,24.24,24.44,151800
15-Sep-16,24.50,24.50,24.48,24.50,1011200
14-Sep-16,24.48,24.54,24.10,24.48,260800
13-Sep-16,24.50,24.60,24.40,24.54,110000
9-Sep-16,24.50,24.84,24.42,24.54,486400
8-Sep-16,24.52,24.54,24.50,24.54,91400
7-Sep-16,24.50,24.60,24.50,24.52,143300
6-Sep-16,24.86,24.86,24.52,24.52,5000
5-Sep-16,24.92,25.00,24.88,24.88,15400
2-Sep-16,25.00,25.00,24.80,24.92,279600
1-Sep-16,24.50,24.68,24.50,24.58,136900
30-Aug-16,24.20,24.64,24.10,24.40,750200
29-Aug-16,24.40,24.40,24.36,24.40,1004000
26-Aug-16,24.50,24.50,24.30,24.42,155500
25-Aug-16,24.30,24.44,24.30,24.40,326500
24-Aug-16,24.40,24.46,24.30,24.42,1197900
23-Aug-16,24.50,24.50,24.30,24.44,284800
22-Aug-16,24.36,24.50,24.36,24.50,1157900
19-Aug-16,24.44,24.52,24.40,24.50,210900
18-Aug-16,24.88,24.88,24.44,24.44,219500
17-Aug-16,24.60,24.74,24.44,24.50,445300
16-Aug-16,24.90,24.90,24.42,24.52,814500
15-Aug-16,24.60,24.62,24.50,24.62,219600
12-Aug-16,24.94,24.94,24.56,24.70,322900
11-Aug-16,25.30,25.44,24.32,25.00,589800
10-Aug-16,24.96,25.30,24.80,25.30,182600
9-Aug-16,24.04,25.00,24.04,24.98,200100
8-Aug-16,24.50,24.50,24.00,24.04,540000
5-Aug-16,25.26,25.26,24.42,24.50,641300
4-Aug-16,26.30,26.30,24.42,25.26,443600
3-Aug-16,26.46,26.52,26.08,26.10,402400
2-Aug-16,26.00,26.46,25.90,26.34,457400
1-Aug-16,25.70,26.16,25.68,25.90,431000
29-Jul-16,25.70,25.80,25.42,25.60,1716200
28-Jul-16,25.92,25.92,25.64,25.80,265400
27-Jul-16,25.84,26.02,25.80,25.92,563000
26-Jul-16,26.10,26.22,25.80,26.04,239000
25-Jul-16,26.00,26.52,26.00,26.06,373200
22-Jul-16,26.00,26.14,26.00,26.02,141100
21-Jul-16,26.08,26.34,26.08,26.10,655600
20-Jul-16,26.20,26.20,26.06,26.08,136300
19-Jul-16,26.30,26.30,26.04,26.10,1631800
18-Jul-16,26.20,26.30,26.02,26.18,284200
15-Jul-16,26.28,26.50,26.10,26.22,246700
14-Jul-16,25.98,26.08,25.94,26.00,350400
13-Jul-16,25.96,25.96,25.56,25.88,667800
12-Jul-16,26.20,26.30,25.88,25.88,150000
11-Jul-16,26.60,26.60,25.98,26.20,184900
8-Jul-16,26.00,26.90,25.96,26.00,220800
5-Jul-16,25.70,26.00,25.70,26.00,9100
4-Jul-16,25.48,27.00,25.22,25.58,49500
1-Jul-16,25.30,25.30,25.12,25.20,111700
30-Jun-16,25.50,25.50,25.06,25.12,144900
29-Jun-16,25.30,25.50,25.10,25.50,260600
28-Jun-16,25.00,25.50,25.00,25.20,186500
27-Jun-16,24.90,25.00,24.08,24.92,40600
24-Jun-16,25.30,25.30,24.60,24.90,251500
23-Jun-16,25.50,25.60,25.02,25.30,407200
21-Jun-16,25.40,25.50,25.30,25.30,99100
20-Jun-16,25.22,25.50,25.22,25.50,133500
17-Jun-16,25.50,25.50,25.00,25.30,164600
