Date,Open,High,Low,Close,Volume
7-Oct-16,2.34,2.34,2.33,2.33,49000
6-Oct-16,2.35,2.35,2.33,2.34,59100
5-Oct-16,2.35,2.35,2.34,2.34,27100
4-Oct-16,2.33,2.36,2.33,2.34,36400
30-Sep-16,2.34,2.34,2.33,2.33,84000
29-Sep-16,2.36,2.36,2.33,2.33,148200
28-Sep-16,2.36,2.36,2.32,2.33,21500
27-Sep-16,2.35,2.35,2.34,2.34,32700
26-Sep-16,2.35,2.35,2.33,2.34,43300
23-Sep-16,2.37,2.37,2.36,2.36,31600
22-Sep-16,2.36,2.36,2.35,2.36,33100
21-Sep-16,2.35,2.36,2.34,2.34,66600
20-Sep-16,2.34,2.35,2.30,2.33,120600
19-Sep-16,2.33,2.33,2.33,2.33,12600
15-Sep-16,2.35,2.35,2.33,2.33,106300
14-Sep-16,2.34,2.34,2.33,2.33,100700
13-Sep-16,2.35,2.35,2.34,2.34,11400
9-Sep-16,2.36,2.36,2.35,2.35,10200
8-Sep-16,2.39,2.39,2.36,2.36,31100
7-Sep-16,2.38,2.39,2.36,2.38,22900
6-Sep-16,2.37,2.40,2.37,2.40,112400
5-Sep-16,2.37,2.38,2.33,2.36,56900
2-Sep-16,2.37,2.37,2.35,2.35,43600
1-Sep-16,2.37,2.37,2.34,2.36,66300
30-Aug-16,2.35,2.37,2.33,2.37,22200
29-Aug-16,2.39,2.39,2.35,2.35,100800
26-Aug-16,2.36,2.36,2.33,2.33,87000
25-Aug-16,2.32,2.40,2.32,2.34,190200
24-Aug-16,2.28,2.29,2.27,2.27,79200
23-Aug-16,2.32,2.32,2.26,2.27,170900
22-Aug-16,2.32,2.33,2.29,2.32,208200
19-Aug-16,2.33,2.38,2.29,2.34,335300
18-Aug-16,2.34,2.34,2.33,2.33,39600
17-Aug-16,2.34,2.34,2.33,2.33,46300
16-Aug-16,2.35,2.35,2.33,2.33,202400
15-Aug-16,2.36,2.37,2.34,2.35,165800
12-Aug-16,2.38,2.38,2.35,2.35,158900
11-Aug-16,2.38,2.38,2.37,2.38,44000
10-Aug-16,2.38,2.40,2.38,2.39,56000
9-Aug-16,2.36,2.40,2.36,2.38,88500
8-Aug-16,2.36,2.37,2.35,2.36,37600
5-Aug-16,2.36,2.38,2.35,2.37,32300
4-Aug-16,2.37,2.38,2.33,2.38,61400
3-Aug-16,2.35,2.37,2.33,2.36,84500
2-Aug-16,2.35,2.36,2.34,2.35,71500
1-Aug-16,2.37,2.37,2.35,2.36,143500
29-Jul-16,2.36,2.39,2.36,2.37,57200
28-Jul-16,2.42,2.42,2.35,2.37,161700
27-Jul-16,2.57,2.58,2.56,2.56,426900
26-Jul-16,2.57,2.57,2.56,2.57,129400
25-Jul-16,2.55,2.58,2.55,2.57,245900
22-Jul-16,2.55,2.55,2.54,2.55,117000
21-Jul-16,2.55,2.56,2.54,2.54,204600
