Date,Open,High,Low,Close,Volume
7-Oct-16,0.96,0.96,0.96,0.96,24500
6-Oct-16,1.05,1.05,0.96,0.96,42200
5-Oct-16,1.29,1.30,1.27,1.27,229200
4-Oct-16,1.30,1.31,1.27,1.27,162000
30-Sep-16,1.32,1.35,1.30,1.30,91900
29-Sep-16,1.35,1.36,1.32,1.35,84800
28-Sep-16,1.38,1.42,1.35,1.39,192500
27-Sep-16,1.26,1.43,1.26,1.39,195200
26-Sep-16,1.13,1.25,1.13,1.25,168500
23-Sep-16,0.99,0.99,0.99,0.99,8200
22-Sep-16,0.99,0.99,0.99,0.99,200
21-Sep-16,0.99,0.99,0.99,0.99,200
20-Sep-16,0.99,0.99,0.99,0.99,7400
19-Sep-16,0.99,0.99,0.99,0.99,2100
15-Sep-16,0.99,1.00,0.99,0.99,6000
14-Sep-16,0.99,0.99,0.99,0.99,600
13-Sep-16,-,-,-,0.99,0
9-Sep-16,-,-,-,0.99,0
8-Sep-16,-,-,-,0.99,0
7-Sep-16,0.99,0.99,0.99,0.99,1200
6-Sep-16,0.99,0.99,0.99,0.99,1200
5-Sep-16,0.99,0.99,0.99,0.99,1000
2-Sep-16,-,-,-,0.99,0
1-Sep-16,0.99,0.99,0.99,0.99,600
30-Aug-16,-,-,-,0.99,0
29-Aug-16,0.99,0.99,0.99,0.99,2200
26-Aug-16,-,-,-,1.00,0
25-Aug-16,1.00,1.00,1.00,1.00,26500
24-Aug-16,1.02,1.02,1.00,1.00,6100
23-Aug-16,1.00,1.02,1.00,1.02,3000
22-Aug-16,1.00,1.00,1.00,1.00,800
19-Aug-16,1.00,1.00,1.00,1.00,5000
18-Aug-16,0.99,0.99,0.99,0.99,200
17-Aug-16,-,-,-,1.00,0
16-Aug-16,-,-,-,1.00,0
15-Aug-16,1.00,1.00,1.00,1.00,2000
12-Aug-16,-,-,-,1.00,0
11-Aug-16,1.00,1.00,1.00,1.00,3000
10-Aug-16,-,-,-,0.99,0
9-Aug-16,-,-,-,0.99,0
8-Aug-16,0.99,0.99,0.99,0.99,2100
