Date,Open,High,Low,Close,Volume
7-Oct-16,0.68,0.71,0.68,0.71,42500
6-Oct-16,-,-,-,0.68,0
5-Oct-16,-,-,-,0.68,0
4-Oct-16,0.70,0.70,0.68,0.68,60600
30-Sep-16,0.70,0.70,0.70,0.70,17700
29-Sep-16,0.70,0.70,0.70,0.70,64900
28-Sep-16,0.72,0.72,0.72,0.72,98000
27-Sep-16,0.72,0.72,0.72,0.72,14900
26-Sep-16,0.70,0.71,0.70,0.71,99000
23-Sep-16,0.70,0.70,0.69,0.69,84700
22-Sep-16,0.70,0.71,0.70,0.71,17000
21-Sep-16,0.69,0.70,0.69,0.70,23900
20-Sep-16,0.70,0.71,0.70,0.70,22900
19-Sep-16,0.70,0.70,0.70,0.70,60000
15-Sep-16,0.71,0.71,0.71,0.71,5600
14-Sep-16,0.70,0.71,0.70,0.71,41700
13-Sep-16,0.71,0.72,0.70,0.70,83900
9-Sep-16,0.73,0.74,0.71,0.74,185500
8-Sep-16,0.83,0.83,0.75,0.75,60500
7-Sep-16,-,-,-,0.79,0
6-Sep-16,0.76,0.79,0.76,0.79,16100
5-Sep-16,0.77,0.77,0.76,0.77,45300
2-Sep-16,0.78,0.78,0.78,0.78,20000
1-Sep-16,0.78,0.78,0.78,0.78,3000
30-Aug-16,0.79,0.79,0.79,0.79,11500
29-Aug-16,0.80,0.82,0.80,0.82,6900
26-Aug-16,0.82,0.82,0.82,0.82,12000
25-Aug-16,0.80,0.81,0.80,0.81,16000
24-Aug-16,0.84,0.84,0.79,0.81,129400
23-Aug-16,0.80,0.81,0.80,0.80,17200
22-Aug-16,0.82,0.84,0.82,0.82,12000
19-Aug-16,0.82,0.83,0.82,0.82,163600
18-Aug-16,0.84,0.84,0.84,0.84,16000
17-Aug-16,0.84,0.86,0.84,0.84,32400
16-Aug-16,0.85,0.85,0.85,0.85,14000
15-Aug-16,0.86,0.87,0.85,0.85,152200
12-Aug-16,0.86,0.86,0.83,0.83,42700
11-Aug-16,0.85,0.85,0.84,0.84,9900
10-Aug-16,0.82,0.85,0.82,0.84,89000
9-Aug-16,0.82,0.86,0.82,0.83,74000
8-Aug-16,0.84,0.84,0.84,0.84,19000
5-Aug-16,0.84,0.87,0.84,0.84,303300
4-Aug-16,0.82,0.84,0.82,0.84,142200
3-Aug-16,0.82,0.82,0.82,0.82,18100
2-Aug-16,0.88,0.88,0.82,0.82,28500
1-Aug-16,0.83,0.83,0.82,0.82,16000
29-Jul-16,0.83,0.86,0.83,0.86,20100
28-Jul-16,-,-,-,0.88,0
27-Jul-16,0.82,0.88,0.82,0.88,32100
26-Jul-16,0.82,0.82,0.82,0.82,5000
25-Jul-16,-,-,-,0.84,0
22-Jul-16,0.82,0.84,0.82,0.84,81100
21-Jul-16,0.82,0.84,0.82,0.84,142000
20-Jul-16,0.82,0.82,0.82,0.82,159500
19-Jul-16,0.82,0.82,0.82,0.82,35300
18-Jul-16,0.82,0.82,0.82,0.82,38000
15-Jul-16,0.83,0.83,0.82,0.82,14000
14-Jul-16,-,-,-,0.82,0
13-Jul-16,0.83,0.83,0.82,0.82,13000
12-Jul-16,0.84,0.84,0.84,0.84,9000
11-Jul-16,0.84,0.84,0.84,0.84,6400
8-Jul-16,-,-,-,0.84,0
5-Jul-16,-,-,-,0.84,0
4-Jul-16,0.84,0.84,0.84,0.84,8600
1-Jul-16,0.89,0.89,0.84,0.84,12300
30-Jun-16,0.90,0.90,0.90,0.90,20000
29-Jun-16,0.85,0.85,0.85,0.85,14900
28-Jun-16,0.82,0.90,0.82,0.90,135400
27-Jun-16,0.80,0.82,0.80,0.81,22500
24-Jun-16,0.88,0.93,0.83,0.84,57500
23-Jun-16,-,-,-,0.85,0
21-Jun-16,0.88,0.94,0.85,0.85,41000
20-Jun-16,0.84,0.85,0.80,0.85,174200
17-Jun-16,0.85,0.85,0.85,0.85,11000
16-Jun-16,0.85,0.85,0.85,0.85,156800
15-Jun-16,0.85,0.86,0.85,0.85,158800
14-Jun-16,0.87,0.87,0.84,0.86,191600
13-Jun-16,0.91,0.91,0.87,0.88,85300
10-Jun-16,0.92,0.92,0.91,0.92,70500
9-Jun-16,0.92,0.92,0.92,0.92,85000
8-Jun-16,0.91,0.92,0.91,0.92,223600
7-Jun-16,0.91,0.92,0.91,0.91,121000
6-Jun-16,0.91,0.92,0.91,0.92,287400
3-Jun-16,0.94,0.95,0.91,0.92,113400
2-Jun-16,0.92,0.95,0.91,0.94,201500
1-Jun-16,0.91,0.92,0.90,0.92,161100
31-May-16,0.90,0.92,0.90,0.90,184000
30-May-16,0.94,0.94,0.92,0.92,195800
27-May-16,0.94,0.95,0.94,0.94,69700
26-May-16,0.95,0.95,0.94,0.94,57100
25-May-16,0.96,0.96,0.93,0.95,428700
24-May-16,0.96,0.98,0.96,0.97,76400
23-May-16,0.99,0.99,0.96,0.99,255100
20-May-16,0.99,1.00,0.98,1.00,117800
19-May-16,0.98,1.00,0.98,0.99,99400
18-May-16,0.98,0.99,0.98,0.99,96600
17-May-16,1.00,1.00,0.98,0.99,123200
16-May-16,1.00,1.00,0.98,1.00,175200
13-May-16,1.00,1.03,0.99,1.00,212000
12-May-16,0.99,1.00,0.98,1.00,395800
11-May-16,1.00,1.02,0.99,0.99,157100
10-May-16,1.00,1.01,0.98,0.99,244000
9-May-16,1.00,1.01,1.00,1.00,97900
6-May-16,1.02,1.02,1.00,1.02,54200
5-May-16,1.03,1.03,1.02,1.02,33200
4-May-16,1.04,1.05,1.04,1.04,98100
3-May-16,1.04,1.06,0.99,1.06,257600
29-Apr-16,1.02,1.04,1.02,1.04,124800
28-Apr-16,1.07,1.07,1.03,1.04,202700
27-Apr-16,1.01,1.06,1.01,1.05,531500
26-Apr-16,1.07,1.08,1.00,1.02,435300
25-Apr-16,1.04,1.09,1.03,1.07,862000
22-Apr-16,0.99,1.05,0.99,1.04,563500
21-Apr-16,1.00,1.00,0.98,1.00,35600
20-Apr-16,1.00,1.02,0.98,1.00,114300
19-Apr-16,0.99,1.01,0.99,1.00,166600
18-Apr-16,0.98,1.00,0.98,0.98,204900
15-Apr-16,1.00,1.00,0.98,0.98,80200
14-Apr-16,1.00,1.00,0.98,1.00,131100
13-Apr-16,1.00,1.00,0.98,1.00,230500
12-Apr-16,1.02,1.03,1.01,1.01,125400
11-Apr-16,1.04,1.04,1.02,1.02,68700
8-Apr-16,1.04,1.06,1.04,1.05,66000
7-Apr-16,1.10,1.10,1.04,1.04,123800
6-Apr-16,1.03,1.08,1.03,1.08,272400
5-Apr-16,1.05,1.05,1.01,1.04,152200
4-Apr-16,1.08,1.08,1.04,1.05,20000
1-Apr-16,1.06,1.07,1.05,1.07,191200
31-Mar-16,1.07,1.07,1.06,1.06,150000
30-Mar-16,1.06,1.09,1.04,1.09,292300
29-Mar-16,1.06,1.06,1.05,1.06,104600
28-Mar-16,1.07,1.09,1.05,1.06,101000
25-Mar-16,1.10,1.10,1.07,1.10,195800
24-Mar-16,1.07,1.11,1.02,1.10,328300
23-Mar-16,1.10,1.11,1.09,1.10,317200
22-Mar-16,1.10,1.14,1.07,1.10,1511800
21-Mar-16,1.07,1.14,1.04,1.10,1765900
18-Mar-16,0.98,1.07,0.98,1.06,1797200
17-Mar-16,1.00,1.00,0.96,0.96,231000
16-Mar-16,0.99,1.02,0.97,1.00,370500
15-Mar-16,1.02,1.02,0.97,0.98,513300
14-Mar-16,1.06,1.07,1.01,1.02,859400
11-Mar-16,1.01,1.06,1.00,1.05,2432600
10-Mar-16,0.99,1.04,0.97,1.00,1903300
9-Mar-16,0.92,0.99,0.92,0.99,1950200
8-Mar-16,0.92,0.92,0.91,0.92,335900
7-Mar-16,0.90,0.95,0.90,0.92,663400
4-Mar-16,0.90,0.91,0.88,0.90,425400
3-Mar-16,0.90,0.91,0.89,0.89,163800
2-Mar-16,0.91,0.92,0.88,0.90,391000
1-Mar-16,0.88,0.90,0.87,0.90,303400
29-Feb-16,0.92,0.94,0.87,0.88,731800
26-Feb-16,0.94,0.95,0.90,0.91,271000
25-Feb-16,0.94,0.96,0.91,0.92,419800
24-Feb-16,0.94,0.95,0.92,0.94,188000
23-Feb-16,0.98,1.01,0.94,0.96,1702500
22-Feb-16,0.93,0.98,0.93,0.98,1422800
19-Feb-16,0.92,0.94,0.90,0.92,1073700
18-Feb-16,0.89,0.94,0.89,0.92,2024100
17-Feb-16,0.85,0.88,0.85,0.88,608400
16-Feb-16,0.81,0.86,0.81,0.85,939100
15-Feb-16,0.83,0.84,0.80,0.80,318700
12-Feb-16,0.81,0.82,0.79,0.82,434600
11-Feb-16,0.84,0.84,0.82,0.83,448900
10-Feb-16,0.89,0.89,0.80,0.88,464200
5-Feb-16,0.92,0.92,0.90,0.90,322000
4-Feb-16,0.90,0.94,0.90,0.92,430300
3-Feb-16,0.90,0.93,0.88,0.91,986800
2-Feb-16,0.96,0.97,0.89,0.90,2888500
29-Jan-16,0.94,0.96,0.91,0.95,1478900
28-Jan-16,0.94,0.98,0.89,0.94,1714200
27-Jan-16,0.98,1.00,0.94,0.94,1040600
26-Jan-16,0.98,0.99,0.96,0.96,676800
22-Jan-16,1.04,1.04,0.98,1.00,794800
21-Jan-16,1.02,1.04,0.90,1.01,1007600
20-Jan-16,1.09,1.10,1.00,1.02,1594300
19-Jan-16,1.12,1.18,1.08,1.08,2765400
18-Jan-16,1.06,1.11,0.95,1.11,3228500
15-Jan-16,1.18,1.18,1.06,1.07,1153400
14-Jan-16,1.15,1.19,1.14,1.16,757800
13-Jan-16,1.16,1.22,1.13,1.17,3267100
12-Jan-16,1.04,1.15,1.03,1.14,3601600
11-Jan-16,1.06,1.09,1.02,1.03,1422900
8-Jan-16,0.94,1.06,0.93,1.06,4020000
7-Jan-16,0.96,0.98,0.93,0.95,1400400
6-Jan-16,0.92,1.02,0.92,0.97,4493200
5-Jan-16,0.82,0.92,0.82,0.92,3664200
4-Jan-16,0.84,0.84,0.80,0.82,845600
31-Dec-15,0.80,0.84,0.79,0.84,1661100
30-Dec-15,0.81,0.82,0.79,0.80,779300
29-Dec-15,0.83,0.84,0.80,0.81,1293900
28-Dec-15,0.80,0.82,0.79,0.82,2115600
23-Dec-15,0.75,0.81,0.75,0.78,4493100
22-Dec-15,0.75,0.76,0.74,0.74,674500
21-Dec-15,0.74,0.76,0.74,0.76,714500
18-Dec-15,0.76,0.77,0.75,0.76,2343700
17-Dec-15,0.74,0.77,0.74,0.76,7361300
16-Dec-15,0.71,0.73,0.70,0.73,3285600
15-Dec-15,0.69,0.71,0.68,0.71,5593900
14-Dec-15,0.69,0.70,0.66,0.69,2663800
11-Dec-15,0.72,0.72,0.70,0.70,1303100
10-Dec-15,0.73,0.74,0.68,0.71,18299200
9-Dec-15,0.69,0.72,0.66,0.71,5882800
8-Dec-15,0.71,0.71,0.66,0.69,1368800
7-Dec-15,0.74,0.77,0.70,0.71,2377100
4-Dec-15,0.68,0.71,0.68,0.71,140000
3-Dec-15,0.66,0.70,0.66,0.70,306700
2-Dec-15,0.70,0.70,0.66,0.68,245200
1-Dec-15,0.66,0.72,0.64,0.68,1138900
30-Nov-15,0.56,0.66,0.56,0.64,422700
27-Nov-15,0.58,0.59,0.56,0.59,25700
26-Nov-15,0.58,0.60,0.58,0.58,102100
25-Nov-15,0.58,0.60,0.56,0.58,224100
24-Nov-15,0.59,0.61,0.57,0.58,210100
23-Nov-15,0.57,0.58,0.57,0.57,45600
20-Nov-15,0.57,0.58,0.57,0.58,36300
19-Nov-15,0.57,0.58,0.56,0.57,154600
18-Nov-15,0.55,0.58,0.55,0.56,34900
17-Nov-15,0.55,0.58,0.55,0.55,93200
16-Nov-15,0.54,0.55,0.53,0.55,133300
13-Nov-15,0.52,0.54,0.52,0.54,93700
12-Nov-15,0.52,0.54,0.52,0.53,156300
11-Nov-15,0.53,0.56,0.52,0.52,187200
9-Nov-15,0.58,0.58,0.54,0.54,137000
6-Nov-15,0.60,0.60,0.57,0.58,232400
5-Nov-15,0.54,0.62,0.54,0.59,732300
4-Nov-15,0.45,0.54,0.45,0.53,103500
3-Nov-15,-,-,-,0.42,0
2-Nov-15,-,-,-,0.42,0
30-Oct-15,0.42,0.42,0.42,0.42,5000
29-Oct-15,-,-,-,0.45,0
28-Oct-15,0.45,0.45,0.45,0.45,10000
27-Oct-15,0.42,0.44,0.42,0.44,20000
26-Oct-15,-,-,-,0.45,0
23-Oct-15,-,-,-,0.45,0
22-Oct-15,-,-,-,0.45,0
21-Oct-15,0.45,0.46,0.45,0.45,60800
20-Oct-15,0.47,0.47,0.47,0.47,4000
19-Oct-15,0.45,0.45,0.45,0.45,17500
16-Oct-15,0.45,0.45,0.45,0.45,33000
15-Oct-15,-,-,-,0.45,0
13-Oct-15,0.40,0.45,0.40,0.45,11600
12-Oct-15,-,-,-,0.48,0
