Date,Open,High,Low,Close,Volume
7-Oct-16,-,-,-,2.19,0
6-Oct-16,2.17,2.19,2.17,2.19,5200
5-Oct-16,2.17,2.18,2.17,2.18,7000
4-Oct-16,2.17,2.17,2.17,2.17,7200
30-Sep-16,2.17,2.17,2.17,2.17,7000
29-Sep-16,2.16,2.16,2.15,2.16,19700
28-Sep-16,2.17,2.17,2.17,2.17,8100
27-Sep-16,2.16,2.16,2.16,2.16,5000
26-Sep-16,2.17,2.17,2.17,2.17,12500
23-Sep-16,2.17,2.19,2.17,2.17,33900
22-Sep-16,2.17,2.17,2.17,2.17,17800
21-Sep-16,2.17,2.17,2.17,2.17,2000
20-Sep-16,2.15,2.15,2.15,2.15,3000
19-Sep-16,2.16,2.16,2.15,2.15,48600
15-Sep-16,2.16,2.16,2.16,2.16,22700
14-Sep-16,2.14,2.16,2.14,2.16,17000
13-Sep-16,2.16,2.16,2.16,2.16,10000
9-Sep-16,2.16,2.16,2.15,2.16,22500
8-Sep-16,2.16,2.18,2.15,2.16,44800
7-Sep-16,2.16,2.17,2.16,2.16,16000
6-Sep-16,2.18,2.18,2.16,2.16,14000
5-Sep-16,2.21,2.21,2.18,2.18,9000
2-Sep-16,2.19,2.19,2.19,2.19,3000
1-Sep-16,2.20,2.22,2.19,2.20,30500
30-Aug-16,2.30,2.30,2.22,2.27,66700
29-Aug-16,2.22,2.23,2.20,2.23,91500
26-Aug-16,2.28,2.28,2.22,2.22,35200
25-Aug-16,2.29,2.29,2.27,2.27,39400
24-Aug-16,2.30,2.31,2.29,2.29,13300
23-Aug-16,2.31,2.31,2.30,2.31,9600
22-Aug-16,2.33,2.33,2.33,2.33,12800
19-Aug-16,2.33,2.33,2.33,2.33,5000
18-Aug-16,2.33,2.33,2.31,2.32,20000
17-Aug-16,2.30,2.32,2.30,2.31,25500
16-Aug-16,2.31,2.31,2.30,2.30,5000
15-Aug-16,2.31,2.32,2.31,2.31,32900
12-Aug-16,2.28,2.28,2.27,2.27,9900
11-Aug-16,2.28,2.28,2.27,2.27,9500
10-Aug-16,2.28,2.28,2.27,2.28,11300
9-Aug-16,2.27,2.27,2.27,2.27,9000
8-Aug-16,2.24,2.25,2.24,2.25,30200
5-Aug-16,2.31,2.31,2.25,2.25,22700
4-Aug-16,2.31,2.31,2.27,2.27,4200
3-Aug-16,2.30,2.33,2.29,2.30,12700
2-Aug-16,2.27,2.30,2.26,2.30,6000
1-Aug-16,2.26,2.27,2.26,2.26,10000
29-Jul-16,2.23,2.26,2.23,2.26,19400
28-Jul-16,2.25,2.25,2.23,2.23,62800
27-Jul-16,2.25,2.25,2.25,2.25,10000
26-Jul-16,2.23,2.23,2.23,2.23,9000
25-Jul-16,2.23,2.23,2.23,2.23,10000
22-Jul-16,2.22,2.22,2.22,2.22,5000
21-Jul-16,-,-,-,2.22,0
20-Jul-16,2.23,2.24,2.22,2.22,15500
19-Jul-16,2.24,2.24,2.22,2.22,3600
18-Jul-16,2.21,2.22,2.21,2.21,38600
15-Jul-16,-,-,-,2.20,0
14-Jul-16,2.21,2.21,2.20,2.20,21600
13-Jul-16,2.23,2.23,2.20,2.21,55000
12-Jul-16,2.23,2.23,2.22,2.22,20000
11-Jul-16,2.24,2.24,2.23,2.23,18000
8-Jul-16,-,-,-,2.21,0
5-Jul-16,-,-,-,2.21,0
4-Jul-16,2.21,2.21,2.21,2.21,3000
1-Jul-16,2.22,2.23,2.22,2.23,13600
30-Jun-16,2.20,2.20,2.20,2.20,14000
29-Jun-16,2.20,2.20,2.20,2.20,16000
28-Jun-16,2.20,2.22,2.20,2.20,32900
27-Jun-16,2.20,2.20,2.20,2.20,4600
24-Jun-16,2.21,2.21,2.20,2.21,40000
23-Jun-16,-,-,-,2.23,0
21-Jun-16,2.21,2.23,2.21,2.23,8500
20-Jun-16,2.21,2.21,2.21,2.21,14000
17-Jun-16,2.21,2.21,2.21,2.21,6000
16-Jun-16,2.20,2.20,2.19,2.19,20200
15-Jun-16,2.21,2.21,2.19,2.19,18800
14-Jun-16,2.22,2.22,2.22,2.22,21800
13-Jun-16,-,-,-,2.22,0
10-Jun-16,2.21,2.22,2.21,2.22,6000
9-Jun-16,2.22,2.23,2.22,2.23,40500
8-Jun-16,2.23,2.23,2.23,2.23,15000
7-Jun-16,2.24,2.24,2.21,2.22,40200
6-Jun-16,2.22,2.22,2.22,2.22,23900
3-Jun-16,2.22,2.24,2.21,2.22,68800
2-Jun-16,2.22,2.22,2.20,2.22,47400
1-Jun-16,2.22,2.22,2.20,2.20,45800
31-May-16,2.22,2.22,2.22,2.22,25000
30-May-16,2.22,2.22,2.22,2.22,6000
27-May-16,2.22,2.24,2.22,2.24,8600
26-May-16,2.25,2.25,2.25,2.25,5000
25-May-16,2.26,2.29,2.20,2.20,90300
24-May-16,2.20,2.22,2.20,2.22,6500
23-May-16,2.22,2.22,2.22,2.22,5000
20-May-16,-,-,-,2.22,0
19-May-16,2.22,2.22,2.22,2.22,9100
18-May-16,2.21,2.21,2.21,2.21,1000
17-May-16,2.26,2.26,2.23,2.25,8300
16-May-16,2.21,2.21,2.20,2.20,7300
13-May-16,2.22,2.22,2.22,2.22,22600
12-May-16,2.23,2.23,2.23,2.23,45000
11-May-16,2.22,2.23,2.22,2.23,88000
10-May-16,2.22,2.22,2.22,2.22,17000
9-May-16,2.25,2.25,2.22,2.22,2300
6-May-16,2.28,2.28,2.28,2.28,1700
5-May-16,2.25,2.25,2.24,2.24,3000
4-May-16,-,-,-,2.30,0
3-May-16,2.23,2.30,2.23,2.30,8000
29-Apr-16,2.23,2.23,2.23,2.23,6700
28-Apr-16,2.25,2.25,2.24,2.24,17900
27-Apr-16,2.26,2.26,2.25,2.25,20000
26-Apr-16,2.26,2.26,2.25,2.25,28000
25-Apr-16,2.28,2.28,2.26,2.28,15900
22-Apr-16,-,-,-,2.26,0
21-Apr-16,2.26,2.26,2.26,2.26,8000
20-Apr-16,2.30,2.30,2.30,2.30,3000
19-Apr-16,-,-,-,2.29,0
18-Apr-16,-,-,-,2.29,0
15-Apr-16,2.29,2.29,2.29,2.29,7000
14-Apr-16,2.29,2.29,2.29,2.29,4000
13-Apr-16,2.30,2.30,2.30,2.30,13600
12-Apr-16,2.30,2.30,2.28,2.30,13000
11-Apr-16,2.28,2.29,2.28,2.29,2100
8-Apr-16,2.29,2.29,2.28,2.28,3000
7-Apr-16,2.30,2.30,2.26,2.26,57500
6-Apr-16,2.29,2.31,2.29,2.31,33500
5-Apr-16,-,-,-,2.30,0
4-Apr-16,2.30,2.30,2.30,2.30,1000
1-Apr-16,2.26,2.31,2.26,2.31,4200
31-Mar-16,2.30,2.34,2.30,2.34,67000
30-Mar-16,2.25,2.27,2.25,2.27,2000
29-Mar-16,2.24,2.24,2.24,2.24,2000
28-Mar-16,2.26,2.26,2.26,2.26,900
25-Mar-16,-,-,-,2.26,0
24-Mar-16,2.26,2.26,2.26,2.26,6800
23-Mar-16,2.25,2.26,2.25,2.26,24000
22-Mar-16,2.26,2.26,2.24,2.25,60300
21-Mar-16,2.22,2.27,2.22,2.27,20100
18-Mar-16,2.17,2.22,2.17,2.22,31800
17-Mar-16,2.27,2.27,2.20,2.20,5500
16-Mar-16,2.20,2.21,2.20,2.20,11000
15-Mar-16,2.20,2.20,2.20,2.20,6500
14-Mar-16,2.22,2.22,2.20,2.20,9600
11-Mar-16,2.20,2.22,2.20,2.22,11300
10-Mar-16,2.18,2.18,2.18,2.18,30000
9-Mar-16,2.17,2.17,2.16,2.16,11500
8-Mar-16,2.16,2.17,2.16,2.17,23000
7-Mar-16,2.18,2.18,2.15,2.15,26600
4-Mar-16,2.19,2.19,2.18,2.18,27600
3-Mar-16,2.18,2.25,2.17,2.25,8300
2-Mar-16,2.19,2.19,2.18,2.19,22000
1-Mar-16,2.18,2.18,2.18,2.18,16000
