Date,Open,High,Low,Close,Volume
7-Oct-16,1.52,1.57,1.52,1.57,1038000
6-Oct-16,1.53,1.53,1.51,1.51,294000
5-Oct-16,1.53,1.53,1.52,1.53,219100
4-Oct-16,1.53,1.54,1.51,1.53,225300
30-Sep-16,1.56,1.56,1.51,1.53,1308300
29-Sep-16,1.57,1.57,1.56,1.57,272900
28-Sep-16,1.59,1.59,1.56,1.58,349300
27-Sep-16,1.57,1.59,1.55,1.59,948500
26-Sep-16,1.57,1.58,1.55,1.57,747900
23-Sep-16,1.60,1.60,1.57,1.59,766600
22-Sep-16,1.60,1.61,1.59,1.60,571200
21-Sep-16,1.62,1.63,1.60,1.60,1051100
20-Sep-16,1.56,1.63,1.56,1.62,4107800
19-Sep-16,1.49,1.56,1.49,1.54,2663800
15-Sep-16,1.48,1.49,1.47,1.49,245800
14-Sep-16,1.47,1.50,1.47,1.48,520600
13-Sep-16,1.49,1.49,1.48,1.48,417300
9-Sep-16,1.52,1.52,1.49,1.50,643100
8-Sep-16,1.52,1.52,1.50,1.52,367500
7-Sep-16,1.50,1.54,1.50,1.52,597800
6-Sep-16,1.52,1.53,1.49,1.50,529300
5-Sep-16,1.54,1.58,1.51,1.53,832900
2-Sep-16,1.51,1.55,1.51,1.54,2246400
1-Sep-16,1.46,1.52,1.42,1.51,2068400
30-Aug-16,1.48,1.49,1.45,1.46,1355300
29-Aug-16,1.53,1.53,1.48,1.48,1562400
26-Aug-16,1.54,1.55,1.52,1.53,1002900
25-Aug-16,1.51,1.55,1.50,1.55,1179900
24-Aug-16,1.56,1.57,1.50,1.52,3685400
23-Aug-16,1.71,1.72,1.55,1.56,6140800
22-Aug-16,1.72,1.72,1.70,1.71,883600
19-Aug-16,1.71,1.71,1.68,1.71,1076400
18-Aug-16,1.71,1.72,1.70,1.72,412500
17-Aug-16,1.71,1.72,1.70,1.71,866900
16-Aug-16,1.71,1.73,1.70,1.71,735700
15-Aug-16,1.73,1.73,1.71,1.71,594100
12-Aug-16,1.74,1.74,1.71,1.73,578000
11-Aug-16,1.74,1.75,1.73,1.74,390000
10-Aug-16,1.74,1.75,1.73,1.74,852800
9-Aug-16,1.78,1.79,1.73,1.74,849600
8-Aug-16,1.74,1.78,1.74,1.76,1832700
5-Aug-16,1.68,1.74,1.67,1.72,1219300
4-Aug-16,1.68,1.68,1.67,1.68,602600
3-Aug-16,1.70,1.70,1.66,1.68,708100
2-Aug-16,1.73,1.73,1.68,1.69,812300
1-Aug-16,1.70,1.73,1.70,1.71,971800
29-Jul-16,1.73,1.73,1.70,1.70,1015900
28-Jul-16,1.74,1.74,1.71,1.72,450400
