Date,Open,High,Low,Close,Volume
7-Oct-16,-,-,-,1.19,0
6-Oct-16,1.20,1.20,1.19,1.19,22000
5-Oct-16,1.20,1.20,1.20,1.20,1200
4-Oct-16,1.19,1.20,1.19,1.19,204500
30-Sep-16,1.18,1.18,1.18,1.18,1800
29-Sep-16,1.20,1.20,1.20,1.20,110000
28-Sep-16,1.20,1.20,1.20,1.20,190300
27-Sep-16,1.21,1.21,1.20,1.20,121300
26-Sep-16,1.18,1.21,1.18,1.21,29900
23-Sep-16,1.21,1.21,1.21,1.21,10000
22-Sep-16,1.17,1.21,1.17,1.21,27000
21-Sep-16,1.17,1.17,1.17,1.17,14300
20-Sep-16,1.19,1.19,1.16,1.17,105600
19-Sep-16,1.20,1.20,1.20,1.20,74400
15-Sep-16,-,-,-,1.20,0
14-Sep-16,-,-,-,1.20,0
13-Sep-16,-,-,-,1.20,0
9-Sep-16,1.21,1.21,1.20,1.20,68000
8-Sep-16,1.20,1.21,1.20,1.21,18000
7-Sep-16,1.20,1.21,1.19,1.21,35000
6-Sep-16,1.20,1.20,1.20,1.20,107100
5-Sep-16,-,-,-,1.21,0
2-Sep-16,1.19,1.21,1.19,1.21,1900
1-Sep-16,1.20,1.20,1.19,1.20,20400
30-Aug-16,-,-,-,1.19,0
29-Aug-16,1.20,1.20,1.19,1.19,9300
26-Aug-16,1.17,1.18,1.17,1.18,6800
25-Aug-16,1.18,1.18,1.17,1.17,18500
24-Aug-16,1.19,1.19,1.19,1.19,20000
23-Aug-16,1.19,1.19,1.19,1.19,7700
22-Aug-16,-,-,-,1.19,0
19-Aug-16,1.20,1.20,1.19,1.19,104000
18-Aug-16,1.19,1.21,1.19,1.21,67700
17-Aug-16,1.19,1.19,1.19,1.19,2600
16-Aug-16,-,-,-,1.20,0
15-Aug-16,1.20,1.20,1.20,1.20,234800
12-Aug-16,1.19,1.19,1.19,1.19,19800
11-Aug-16,-,-,-,1.20,0
10-Aug-16,-,-,-,1.20,0
9-Aug-16,1.19,1.20,1.19,1.20,4000
8-Aug-16,-,-,-,1.19,0
5-Aug-16,1.20,1.20,1.19,1.19,81000
4-Aug-16,1.20,1.20,1.20,1.20,3000
3-Aug-16,1.20,1.20,1.20,1.20,3000
2-Aug-16,-,-,-,1.19,0
1-Aug-16,1.17,1.19,1.17,1.19,24800
29-Jul-16,-,-,-,1.18,0
28-Jul-16,1.18,1.18,1.18,1.18,5000
27-Jul-16,1.19,1.19,1.19,1.19,6000
26-Jul-16,1.15,1.20,1.15,1.17,97000
25-Jul-16,1.16,1.16,1.15,1.15,9500
22-Jul-16,1.17,1.17,1.17,1.17,6000
21-Jul-16,1.18,1.18,1.17,1.17,16000
20-Jul-16,1.18,1.18,1.17,1.17,5900
19-Jul-16,1.18,1.18,1.18,1.18,4000
18-Jul-16,1.18,1.18,1.18,1.18,463000
15-Jul-16,1.18,1.18,1.18,1.18,207800
14-Jul-16,1.18,1.18,1.18,1.18,4100
13-Jul-16,1.20,1.21,1.19,1.19,340200
12-Jul-16,1.20,1.20,1.20,1.20,10000
11-Jul-16,1.17,1.20,1.17,1.20,38800
8-Jul-16,1.18,1.18,1.16,1.17,28200
5-Jul-16,-,-,-,1.20,0
4-Jul-16,1.20,1.20,1.20,1.20,20000
1-Jul-16,1.20,1.20,1.20,1.20,450000
30-Jun-16,1.20,1.21,1.19,1.19,661700
29-Jun-16,1.20,1.22,1.19,1.19,133600
28-Jun-16,-,-,-,1.18,0
27-Jun-16,1.18,1.18,1.18,1.18,2000
24-Jun-16,1.18,1.20,1.17,1.20,16000
23-Jun-16,-,-,-,1.17,0
21-Jun-16,-,-,-,1.17,0
20-Jun-16,1.20,1.20,1.17,1.17,5600
17-Jun-16,-,-,-,1.20,0
