Date,Open,High,Low,Close,Volume
7-Oct-16,0.15,0.15,0.14,0.14,1607700
6-Oct-16,0.15,0.15,0.14,0.14,964400
5-Oct-16,0.15,0.15,0.14,0.15,1412300
4-Oct-16,0.15,0.15,0.14,0.15,300200
30-Sep-16,0.15,0.15,0.14,0.14,1437000
29-Sep-16,0.16,0.16,0.15,0.15,1403900
28-Sep-16,0.15,0.16,0.15,0.16,2067800
27-Sep-16,0.15,0.16,0.15,0.15,1295300
26-Sep-16,0.16,0.16,0.15,0.15,1996000
23-Sep-16,0.16,0.16,0.16,0.16,1259000
22-Sep-16,0.16,0.16,0.16,0.16,4556800
21-Sep-16,0.15,0.16,0.15,0.15,112100
20-Sep-16,0.15,0.16,0.15,0.15,2067100
19-Sep-16,0.16,0.16,0.15,0.15,806400
15-Sep-16,0.15,0.16,0.15,0.16,1848500
14-Sep-16,0.15,0.16,0.15,0.16,1070100
13-Sep-16,0.16,0.16,0.15,0.16,8712600
9-Sep-16,0.16,0.16,0.16,0.16,7312900
8-Sep-16,0.16,0.16,0.16,0.16,1526800
7-Sep-16,0.16,0.16,0.16,0.16,7614200
6-Sep-16,0.16,0.16,0.16,0.16,16589500
5-Sep-16,0.15,0.16,0.15,0.16,6593900
2-Sep-16,0.15,0.15,0.14,0.15,2478000
1-Sep-16,0.15,0.16,0.15,0.16,836600
30-Aug-16,0.16,0.16,0.15,0.15,1777400
29-Aug-16,0.16,0.16,0.15,0.16,7378100
26-Aug-16,0.15,0.17,0.14,0.16,20177600
25-Aug-16,0.14,0.15,0.14,0.15,2666900
24-Aug-16,0.14,0.15,0.14,0.15,1616300
23-Aug-16,0.15,0.15,0.15,0.15,789700
22-Aug-16,0.16,0.16,0.15,0.16,1891200
19-Aug-16,0.16,0.16,0.16,0.16,3811500
18-Aug-16,0.15,0.16,0.15,0.16,7488100
17-Aug-16,0.16,0.16,0.15,0.16,582600
16-Aug-16,0.14,0.16,0.14,0.16,5171200
15-Aug-16,0.15,0.15,0.14,0.14,701000
12-Aug-16,0.14,0.15,0.14,0.14,2450800
11-Aug-16,0.14,0.14,0.14,0.14,1396800
10-Aug-16,0.14,0.15,0.14,0.14,1991700
9-Aug-16,0.14,0.15,0.14,0.15,1398400
8-Aug-16,0.14,0.14,0.14,0.14,539500
5-Aug-16,0.14,0.14,0.14,0.14,2584800
4-Aug-16,0.14,0.14,0.14,0.14,2809800
3-Aug-16,0.14,0.14,0.14,0.14,1687200
2-Aug-16,0.15,0.15,0.14,0.14,932100
1-Aug-16,0.15,0.15,0.15,0.15,2185000
29-Jul-16,0.16,0.16,0.14,0.15,1850400
28-Jul-16,0.15,0.16,0.15,0.16,3235000
27-Jul-16,0.15,0.15,0.14,0.14,480300
26-Jul-16,0.15,0.15,0.14,0.14,1716800
