Date,Open,High,Low,Close,Volume
7-Oct-16,0.52,0.52,0.52,0.52,13500
6-Oct-16,0.52,0.52,0.52,0.52,14000
5-Oct-16,0.55,0.55,0.55,0.55,21000
4-Oct-16,0.55,0.55,0.55,0.55,5000
30-Sep-16,0.52,0.52,0.52,0.52,10000
29-Sep-16,-,-,-,0.52,0
28-Sep-16,-,-,-,0.52,0
27-Sep-16,-,-,-,0.52,0
26-Sep-16,0.52,0.52,0.52,0.52,4000
23-Sep-16,0.52,0.52,0.52,0.52,3000
22-Sep-16,0.52,0.52,0.52,0.52,12000
21-Sep-16,0.55,0.55,0.55,0.55,4000
20-Sep-16,0.52,0.52,0.52,0.52,4000
19-Sep-16,-,-,-,0.55,0
15-Sep-16,0.52,0.55,0.52,0.55,21000
14-Sep-16,-,-,-,0.60,0
13-Sep-16,0.60,0.60,0.60,0.60,1000
9-Sep-16,-,-,-,0.55,0
8-Sep-16,0.52,0.55,0.52,0.55,8000
7-Sep-16,0.54,0.54,0.52,0.52,10000
6-Sep-16,-,-,-,0.55,0
5-Sep-16,-,-,-,0.55,0
2-Sep-16,0.55,0.55,0.55,0.55,2500
1-Sep-16,-,-,-,0.55,0
30-Aug-16,0.53,0.55,0.53,0.55,35100
29-Aug-16,0.53,0.53,0.53,0.53,1900
26-Aug-16,-,-,-,0.53,0
25-Aug-16,0.53,0.53,0.53,0.53,9000
24-Aug-16,0.53,0.53,0.53,0.53,1000
23-Aug-16,0.53,0.53,0.53,0.53,3000
22-Aug-16,-,-,-,0.53,0
19-Aug-16,0.53,0.53,0.53,0.53,3000
18-Aug-16,0.54,0.54,0.54,0.54,1000
17-Aug-16,0.56,0.56,0.55,0.55,25000
16-Aug-16,0.55,0.55,0.55,0.55,17000
15-Aug-16,0.54,0.54,0.54,0.54,7900
12-Aug-16,0.54,0.54,0.53,0.53,4000
11-Aug-16,-,-,-,0.54,0
10-Aug-16,0.54,0.54,0.54,0.54,5000
9-Aug-16,0.55,0.55,0.55,0.55,6200
8-Aug-16,-,-,-,0.55,0
5-Aug-16,-,-,-,0.55,0
4-Aug-16,-,-,-,0.55,0
3-Aug-16,0.55,0.55,0.55,0.55,8000
2-Aug-16,-,-,-,0.54,0
1-Aug-16,0.54,0.54,0.54,0.54,7000
29-Jul-16,0.54,0.54,0.54,0.54,3000
28-Jul-16,-,-,-,0.55,0
27-Jul-16,0.55,0.55,0.55,0.55,1000
26-Jul-16,-,-,-,0.53,0
25-Jul-16,-,-,-,0.53,0
22-Jul-16,0.53,0.53,0.53,0.53,13500
21-Jul-16,-,-,-,0.53,0
20-Jul-16,-,-,-,0.53,0
19-Jul-16,-,-,-,0.53,0
18-Jul-16,0.53,0.53,0.53,0.53,4900
15-Jul-16,0.53,0.53,0.53,0.53,2000
14-Jul-16,-,-,-,0.54,0
13-Jul-16,-,-,-,0.54,0
12-Jul-16,-,-,-,0.54,0
11-Jul-16,0.54,0.54,0.54,0.54,8000
8-Jul-16,-,-,-,0.55,0
5-Jul-16,-,-,-,0.55,0
4-Jul-16,-,-,-,0.55,0
1-Jul-16,-,-,-,0.55,0
30-Jun-16,0.54,0.55,0.54,0.55,6000
29-Jun-16,0.52,0.55,0.52,0.55,21000
28-Jun-16,0.55,0.55,0.55,0.55,9900
27-Jun-16,-,-,-,0.55,0
24-Jun-16,-,-,-,0.55,0
23-Jun-16,-,-,-,0.55,0
21-Jun-16,-,-,-,0.55,0
20-Jun-16,0.53,0.55,0.52,0.55,11100
17-Jun-16,0.51,0.51,0.51,0.51,200
16-Jun-16,0.52,0.52,0.52,0.52,1000
15-Jun-16,0.53,0.53,0.53,0.53,1000
14-Jun-16,0.55,0.55,0.55,0.55,2000
13-Jun-16,-,-,-,0.55,0
10-Jun-16,-,-,-,0.55,0
9-Jun-16,0.54,0.55,0.51,0.55,29000
8-Jun-16,-,-,-,0.54,0
7-Jun-16,0.54,0.54,0.54,0.54,2000
6-Jun-16,-,-,-,0.54,0
3-Jun-16,-,-,-,0.54,0
2-Jun-16,-,-,-,0.54,0
1-Jun-16,-,-,-,0.54,0
31-May-16,-,-,-,0.54,0
30-May-16,0.54,0.54,0.54,0.54,1000
27-May-16,-,-,-,0.58,0
26-May-16,0.58,0.58,0.58,0.58,3000
25-May-16,-,-,-,0.58,0
24-May-16,-,-,-,0.58,0
23-May-16,0.58,0.58,0.58,0.58,4000
20-May-16,-,-,-,0.58,0
19-May-16,0.59,0.59,0.58,0.58,47300
18-May-16,-,-,-,0.58,0
17-May-16,0.58,0.58,0.58,0.58,6000
16-May-16,-,-,-,0.53,0
13-May-16,0.53,0.53,0.53,0.53,7000
12-May-16,-,-,-,0.54,0
11-May-16,0.54,0.54,0.54,0.54,2000
10-May-16,0.55,0.55,0.55,0.55,1000
9-May-16,-,-,-,0.56,0
6-May-16,-,-,-,0.56,0
5-May-16,-,-,-,0.56,0
4-May-16,-,-,-,0.56,0
3-May-16,-,-,-,0.56,0
29-Apr-16,-,-,-,0.56,0
28-Apr-16,0.56,0.56,0.56,0.56,1000
27-Apr-16,-,-,-,0.57,0
