Date,Open,High,Low,Close,Volume
7-Oct-16,1.02,1.02,1.01,1.01,27000
6-Oct-16,1.02,1.03,1.01,1.02,50600
5-Oct-16,1.02,1.03,1.02,1.02,30800
4-Oct-16,1.03,1.03,1.02,1.02,32900
30-Sep-16,1.02,1.03,1.02,1.03,32600
29-Sep-16,1.01,1.03,1.01,1.03,38400
28-Sep-16,1.02,1.03,1.01,1.03,126700
27-Sep-16,1.01,1.02,1.01,1.01,8700
26-Sep-16,1.01,1.01,1.01,1.01,16400
23-Sep-16,1.01,1.01,1.01,1.01,19900
22-Sep-16,1.01,1.03,1.01,1.03,23300
21-Sep-16,1.01,1.03,1.01,1.01,66500
20-Sep-16,1.01,1.02,1.01,1.01,20800
19-Sep-16,1.01,1.04,1.00,1.00,18900
15-Sep-16,1.00,1.04,1.00,1.04,8100
14-Sep-16,1.00,1.03,1.00,1.02,62200
13-Sep-16,1.00,1.01,1.00,1.00,42600
9-Sep-16,1.01,1.01,1.01,1.01,7200
8-Sep-16,1.02,1.04,1.02,1.03,24500
7-Sep-16,1.02,1.02,1.02,1.02,1400
6-Sep-16,1.02,1.03,1.02,1.02,49900
5-Sep-16,1.03,1.03,1.02,1.02,71300
2-Sep-16,1.03,1.03,1.03,1.03,18800
1-Sep-16,1.03,1.04,1.03,1.03,58400
30-Aug-16,1.03,1.04,1.03,1.04,27700
29-Aug-16,1.03,1.04,1.03,1.03,44900
26-Aug-16,1.04,1.05,1.03,1.03,96900
25-Aug-16,1.04,1.06,1.04,1.04,60700
24-Aug-16,1.05,1.06,1.04,1.04,97200
23-Aug-16,1.06,1.06,1.05,1.05,68100
22-Aug-16,1.06,1.06,1.06,1.06,44100
19-Aug-16,1.06,1.06,1.05,1.06,354100
18-Aug-16,1.06,1.07,1.05,1.06,141200
17-Aug-16,1.06,1.08,1.06,1.06,19200
16-Aug-16,1.06,1.07,1.06,1.06,144200
15-Aug-16,1.06,1.11,1.06,1.06,569800
12-Aug-16,1.05,1.06,1.05,1.05,133800
11-Aug-16,1.05,1.06,1.05,1.06,51100
10-Aug-16,1.05,1.06,1.05,1.05,91900
9-Aug-16,1.06,1.06,1.05,1.06,36800
8-Aug-16,1.05,1.07,1.05,1.06,33000
5-Aug-16,1.04,1.07,1.04,1.06,56400
4-Aug-16,1.04,1.05,1.04,1.04,8400
3-Aug-16,1.06,1.06,1.03,1.04,179800
2-Aug-16,1.06,1.06,1.06,1.06,28400
1-Aug-16,1.05,1.07,1.05,1.06,40300
29-Jul-16,1.05,1.07,1.05,1.06,65300
28-Jul-16,1.05,1.06,1.05,1.06,23400
27-Jul-16,1.07,1.08,1.07,1.08,20000
26-Jul-16,1.05,1.08,1.05,1.07,99700
25-Jul-16,1.05,1.06,1.05,1.06,126000
22-Jul-16,1.05,1.05,1.05,1.05,34200
21-Jul-16,1.05,1.06,1.04,1.05,115400
20-Jul-16,1.05,1.07,1.05,1.05,100200
19-Jul-16,1.03,1.08,1.03,1.05,329000
18-Jul-16,1.03,1.04,1.03,1.03,169100
15-Jul-16,1.03,1.05,1.03,1.04,74400
14-Jul-16,1.03,1.04,1.02,1.04,116600
13-Jul-16,1.02,1.03,1.02,1.02,145500
12-Jul-16,1.03,1.04,1.02,1.02,87200
11-Jul-16,1.02,1.03,1.02,1.03,66600
8-Jul-16,1.02,1.03,1.01,1.02,78400
5-Jul-16,1.02,1.03,1.02,1.02,41800
4-Jul-16,1.02,1.04,1.02,1.03,112300
1-Jul-16,1.04,1.04,1.02,1.03,17500
30-Jun-16,1.04,1.05,1.04,1.05,138600
29-Jun-16,1.04,1.04,1.04,1.04,49100
28-Jun-16,1.03,1.04,1.03,1.04,98400
27-Jun-16,1.04,1.04,1.02,1.03,197200
24-Jun-16,1.03,1.04,1.02,1.04,460700
23-Jun-16,1.03,1.05,1.03,1.04,87800
21-Jun-16,1.04,1.05,1.02,1.03,74400
20-Jun-16,1.04,1.06,1.03,1.05,168000
17-Jun-16,1.04,1.06,1.03,1.04,120200
16-Jun-16,1.06,1.06,1.04,1.04,157000
15-Jun-16,1.08,1.08,1.06,1.06,187900
14-Jun-16,1.06,1.08,1.05,1.06,274200
13-Jun-16,1.03,1.06,1.02,1.05,212600
10-Jun-16,1.05,1.08,1.02,1.03,322500
9-Jun-16,1.04,1.10,1.04,1.05,481100
8-Jun-16,1.06,1.07,1.03,1.05,204300
7-Jun-16,1.06,1.07,1.06,1.07,89900
6-Jun-16,1.07,1.10,1.06,1.07,101300
