Date,Open,High,Low,Close,Volume
7-Oct-16,7.97,8.02,7.93,8.02,2669100
6-Oct-16,7.92,7.99,7.92,7.96,2033500
5-Oct-16,8.00,8.01,7.92,7.92,2234200
4-Oct-16,8.00,8.05,7.96,8.00,3819500
30-Sep-16,7.99,8.03,7.87,7.93,5646900
29-Sep-16,8.00,8.07,8.00,8.04,2898800
28-Sep-16,8.04,8.04,7.94,7.99,2814600
27-Sep-16,8.05,8.07,7.90,7.99,4333300
26-Sep-16,8.15,8.16,8.05,8.11,1994300
23-Sep-16,8.10,8.18,8.07,8.18,2283000
22-Sep-16,8.06,8.12,8.01,8.12,3626500
21-Sep-16,7.90,8.05,7.87,8.05,3428900
20-Sep-16,7.83,7.90,7.81,7.90,3590400
19-Sep-16,7.77,7.85,7.77,7.81,2226000
15-Sep-16,7.77,7.82,7.73,7.76,5899400
14-Sep-16,7.84,7.84,7.75,7.77,4623600
13-Sep-16,7.88,7.94,7.82,7.84,3864600
9-Sep-16,8.11,8.11,7.94,7.94,2105500
8-Sep-16,8.05,8.13,7.95,8.13,2309300
7-Sep-16,7.98,7.99,7.91,7.98,1030700
6-Sep-16,7.83,8.00,7.82,8.00,2629500
5-Sep-16,7.90,7.95,7.80,7.82,3029600
2-Sep-16,7.91,7.97,7.88,7.92,3302600
1-Sep-16,7.80,7.94,7.75,7.90,4596800
30-Aug-16,8.02,8.03,7.72,7.80,11767800
29-Aug-16,8.05,8.08,7.97,8.00,3297600
26-Aug-16,8.27,8.31,8.00,8.03,5831000
25-Aug-16,8.16,8.27,8.16,8.21,2047100
24-Aug-16,8.09,8.20,8.08,8.20,1047400
23-Aug-16,8.11,8.14,8.05,8.06,1718400
22-Aug-16,8.20,8.21,8.13,8.15,1084300
19-Aug-16,8.22,8.22,8.19,8.20,1201200
18-Aug-16,8.24,8.25,8.21,8.22,1468200
17-Aug-16,8.26,8.28,8.23,8.25,1404800
16-Aug-16,8.31,8.34,8.25,8.25,1861700
15-Aug-16,8.28,8.32,8.27,8.31,859500
12-Aug-16,8.21,8.33,8.21,8.30,2541400
11-Aug-16,8.29,8.29,8.20,8.24,3025400
10-Aug-16,8.29,8.30,8.27,8.29,862400
9-Aug-16,8.30,8.32,8.25,8.30,2646700
8-Aug-16,8.28,8.30,8.16,8.30,3247700
5-Aug-16,8.21,8.29,8.20,8.27,2822600
4-Aug-16,8.13,8.22,8.12,8.20,3352000
3-Aug-16,8.17,8.17,8.10,8.10,3195900
2-Aug-16,8.16,8.22,8.10,8.18,4277800
1-Aug-16,8.20,8.29,8.16,8.22,5757600
29-Jul-16,8.49,8.54,8.16,8.22,11205200
28-Jul-16,8.71,8.73,8.36,8.51,19888700
27-Jul-16,8.75,8.90,8.73,8.90,3315600
26-Jul-16,8.80,8.85,8.71,8.71,2145400
25-Jul-16,8.86,8.98,8.76,8.92,3292400
22-Jul-16,8.68,8.94,8.54,8.89,3660200
21-Jul-16,9.00,9.00,8.61,8.68,5541500
20-Jul-16,8.90,9.03,8.86,9.03,4030100
19-Jul-16,8.86,8.92,8.81,8.90,3031400
18-Jul-16,8.76,8.86,8.65,8.86,3338400
15-Jul-16,8.56,8.76,8.53,8.76,6202100
14-Jul-16,8.40,8.60,8.34,8.54,6532400
13-Jul-16,8.19,8.40,8.19,8.40,4913900
12-Jul-16,8.18,8.22,8.13,8.20,2554200
11-Jul-16,8.02,8.22,8.00,8.22,5349000
8-Jul-16,8.04,8.06,7.95,7.97,4171200
5-Jul-16,8.06,8.06,8.01,8.03,1548400
4-Jul-16,8.02,8.09,8.01,8.05,4063200
1-Jul-16,8.21,8.21,8.01,8.01,3620100
30-Jun-16,8.08,8.22,8.07,8.20,5194600
29-Jun-16,7.97,8.09,7.95,8.07,4440700
28-Jun-16,7.91,8.04,7.91,7.98,3296700
27-Jun-16,7.86,8.03,7.81,7.98,2863900
24-Jun-16,8.19,8.19,7.86,7.88,8388100
23-Jun-16,8.21,8.22,8.12,8.19,1971600
21-Jun-16,8.16,8.21,8.08,8.21,3236000
20-Jun-16,8.09,8.20,8.08,8.15,1206100
17-Jun-16,8.07,8.14,8.00,8.06,3230400
16-Jun-16,8.21,8.21,8.00,8.00,1755600
15-Jun-16,8.04,8.27,8.00,8.17,2963000
