Date,Open,High,Low,Close,Volume
7-Oct-16,0.81,0.82,0.80,0.80,434500
6-Oct-16,0.80,0.82,0.80,0.81,424000
5-Oct-16,0.82,0.82,0.80,0.80,519200
4-Oct-16,0.82,0.82,0.82,0.82,387500
30-Sep-16,0.82,0.82,0.81,0.82,594100
29-Sep-16,0.81,0.82,0.81,0.82,193600
28-Sep-16,0.82,0.82,0.80,0.81,955300
27-Sep-16,0.81,0.82,0.81,0.82,382200
26-Sep-16,0.82,0.82,0.81,0.81,481900
23-Sep-16,0.82,0.84,0.82,0.82,802800
22-Sep-16,0.82,0.82,0.82,0.82,674400
21-Sep-16,0.82,0.82,0.82,0.82,520900
20-Sep-16,0.80,0.84,0.80,0.82,3111500
19-Sep-16,0.82,0.82,0.80,0.80,628900
15-Sep-16,0.82,0.82,0.82,0.82,130000
14-Sep-16,0.82,0.82,0.81,0.82,723400
13-Sep-16,0.83,0.83,0.82,0.82,642400
9-Sep-16,0.84,0.84,0.83,0.83,731300
8-Sep-16,0.84,0.85,0.84,0.84,272300
7-Sep-16,0.84,0.85,0.84,0.84,436200
6-Sep-16,0.85,0.85,0.84,0.84,798600
5-Sep-16,0.84,0.86,0.84,0.84,810900
2-Sep-16,0.84,0.84,0.84,0.84,224500
1-Sep-16,0.84,0.85,0.84,0.84,475000
30-Aug-16,0.86,0.86,0.83,0.84,680000
29-Aug-16,0.86,0.86,0.86,0.86,939400
26-Aug-16,0.85,0.86,0.84,0.86,1266700
25-Aug-16,0.84,0.84,0.82,0.83,697800
24-Aug-16,0.84,0.85,0.84,0.84,783100
23-Aug-16,0.86,0.88,0.83,0.83,956100
22-Aug-16,0.86,0.87,0.86,0.86,683300
19-Aug-16,0.89,0.89,0.86,0.86,1711400
18-Aug-16,0.91,0.91,0.89,0.89,579200
17-Aug-16,0.91,0.92,0.90,0.91,1653500
16-Aug-16,0.90,0.92,0.90,0.91,1907100
15-Aug-16,0.92,0.92,0.90,0.90,1215400
12-Aug-16,0.92,0.92,0.92,0.92,448300
11-Aug-16,0.92,0.92,0.92,0.92,224200
10-Aug-16,0.94,0.94,0.92,0.92,1373200
9-Aug-16,0.93,0.95,0.92,0.94,1731000
8-Aug-16,0.92,0.93,0.92,0.92,180500
5-Aug-16,0.93,0.94,0.92,0.92,241200
4-Aug-16,0.92,0.94,0.92,0.92,635400
3-Aug-16,0.93,0.93,0.92,0.92,486100
2-Aug-16,0.94,0.94,0.92,0.92,448100
1-Aug-16,0.92,0.94,0.92,0.94,617200
29-Jul-16,0.92,0.93,0.92,0.92,538600
28-Jul-16,0.94,0.94,0.92,0.92,830100
27-Jul-16,0.94,0.96,0.94,0.94,1363600
26-Jul-16,0.92,0.94,0.92,0.94,703700
25-Jul-16,0.94,0.95,0.92,0.92,1340900
22-Jul-16,0.93,0.95,0.92,0.94,779900
21-Jul-16,0.96,0.96,0.93,0.94,1279300
20-Jul-16,0.95,0.96,0.95,0.96,807600
19-Jul-16,0.96,0.99,0.94,0.94,5119200
18-Jul-16,0.92,0.96,0.92,0.96,4141100
15-Jul-16,0.93,0.93,0.92,0.92,350000
14-Jul-16,0.94,0.94,0.92,0.92,341200
13-Jul-16,0.93,0.94,0.92,0.94,964900
12-Jul-16,0.92,0.94,0.92,0.93,1526900
11-Jul-16,0.91,0.92,0.90,0.90,363200
8-Jul-16,0.92,0.92,0.92,0.92,242900
5-Jul-16,0.94,0.94,0.92,0.92,111000
4-Jul-16,0.92,0.96,0.92,0.94,1921900
1-Jul-16,0.89,0.93,0.89,0.93,2186500
30-Jun-16,0.84,0.90,0.84,0.89,2686300
29-Jun-16,0.82,0.83,0.82,0.83,158000
28-Jun-16,0.80,0.83,0.80,0.82,154600
27-Jun-16,0.80,0.81,0.80,0.81,30900
24-Jun-16,0.82,0.83,0.78,0.83,448400
23-Jun-16,0.83,0.83,0.82,0.83,45500
21-Jun-16,0.84,0.84,0.82,0.82,73000
20-Jun-16,0.84,0.84,0.83,0.83,113700
17-Jun-16,0.84,0.84,0.84,0.84,15000
16-Jun-16,0.86,0.86,0.84,0.84,52000
15-Jun-16,0.85,0.86,0.85,0.86,74300
14-Jun-16,0.84,0.86,0.84,0.86,66500
13-Jun-16,0.87,0.87,0.85,0.85,49200
10-Jun-16,0.86,0.88,0.86,0.87,404000
9-Jun-16,0.86,0.87,0.84,0.86,565800
8-Jun-16,0.88,0.88,0.86,0.86,121000
7-Jun-16,0.88,0.88,0.86,0.88,254800
6-Jun-16,0.87,0.90,0.87,0.88,730300
3-Jun-16,0.84,0.87,0.84,0.86,672700
2-Jun-16,0.82,0.84,0.82,0.83,169900
1-Jun-16,0.84,0.84,0.82,0.82,260500
31-May-16,0.82,0.84,0.82,0.84,1675900
30-May-16,0.84,0.84,0.83,0.84,124900
27-May-16,0.86,0.86,0.84,0.84,391500
26-May-16,0.82,0.83,0.82,0.82,153400
25-May-16,0.84,0.84,0.80,0.83,2029000
24-May-16,0.84,0.84,0.84,0.84,96500
23-May-16,0.85,0.85,0.84,0.84,76700
20-May-16,0.86,0.86,0.86,0.86,118100
19-May-16,0.86,0.87,0.86,0.86,175600
18-May-16,0.86,0.86,0.86,0.86,262300
17-May-16,0.85,0.88,0.85,0.86,212400
16-May-16,0.87,0.87,0.87,0.87,106000
13-May-16,0.88,0.88,0.87,0.87,162500
12-May-16,0.88,0.90,0.87,0.88,295900
11-May-16,0.88,0.88,0.88,0.88,71700
10-May-16,0.88,0.88,0.88,0.88,34400
9-May-16,0.89,0.90,0.87,0.88,65300
6-May-16,0.89,0.90,0.88,0.88,176500
5-May-16,0.88,0.88,0.88,0.88,10000
4-May-16,0.87,0.88,0.86,0.88,95100
3-May-16,0.88,0.88,0.86,0.86,141500
29-Apr-16,0.88,0.88,0.88,0.88,50900
28-Apr-16,0.90,0.90,0.88,0.88,212300
27-Apr-16,0.90,0.90,0.88,0.90,204600
26-Apr-16,0.90,0.90,0.88,0.90,710800
25-Apr-16,0.88,0.90,0.88,0.90,136000
22-Apr-16,0.90,0.90,0.89,0.90,281400
21-Apr-16,0.88,0.91,0.88,0.90,1005700
20-Apr-16,0.86,0.87,0.86,0.86,351400
19-Apr-16,0.88,0.88,0.86,0.87,372600
18-Apr-16,0.89,0.89,0.87,0.88,462100
15-Apr-16,0.88,0.89,0.88,0.88,261300
14-Apr-16,0.90,0.90,0.88,0.88,1061400
13-Apr-16,0.91,0.92,0.90,0.90,1171000
12-Apr-16,0.94,0.94,0.90,0.91,443100
11-Apr-16,0.95,0.95,0.92,0.94,482900
8-Apr-16,0.95,0.96,0.94,0.95,901300
7-Apr-16,0.92,0.96,0.92,0.96,1628000
6-Apr-16,0.94,0.94,0.92,0.92,481000
5-Apr-16,0.96,0.96,0.94,0.94,1794200
4-Apr-16,0.90,0.94,0.90,0.94,2331300
1-Apr-16,0.90,0.90,0.90,0.90,51000
31-Mar-16,0.90,0.90,0.90,0.90,80900
30-Mar-16,0.88,0.90,0.88,0.90,170000
29-Mar-16,0.89,0.90,0.88,0.88,149500
28-Mar-16,0.88,0.90,0.88,0.90,223500
25-Mar-16,0.90,0.91,0.89,0.89,234100
24-Mar-16,0.88,0.90,0.88,0.90,425500
23-Mar-16,0.88,0.88,0.87,0.88,318000
22-Mar-16,0.88,0.89,0.88,0.88,116400
21-Mar-16,0.90,0.90,0.88,0.89,58000
18-Mar-16,0.90,0.90,0.89,0.90,418400
17-Mar-16,0.88,0.90,0.88,0.89,249100
16-Mar-16,0.86,0.87,0.86,0.87,182000
15-Mar-16,0.88,0.88,0.87,0.87,321500
14-Mar-16,0.90,0.90,0.89,0.89,883500
11-Mar-16,0.89,0.89,0.89,0.89,72000
10-Mar-16,0.90,0.90,0.90,0.90,12000
9-Mar-16,0.89,0.90,0.88,0.89,699800
8-Mar-16,0.89,0.90,0.87,0.87,294500
7-Mar-16,0.91,0.92,0.88,0.88,157600
4-Mar-16,0.91,0.92,0.87,0.91,277600
3-Mar-16,0.90,0.94,0.90,0.91,1999000
2-Mar-16,0.86,0.92,0.86,0.90,1028900
1-Mar-16,0.84,0.86,0.84,0.85,167600
29-Feb-16,0.90,0.90,0.84,0.86,317200
26-Feb-16,0.91,0.91,0.86,0.89,1039600
25-Feb-16,0.87,0.91,0.87,0.90,4376700
24-Feb-16,0.86,0.89,0.84,0.87,1748500
23-Feb-16,0.81,0.86,0.81,0.86,1547400
22-Feb-16,0.82,0.82,0.79,0.81,265000
19-Feb-16,0.81,0.82,0.80,0.82,135400
18-Feb-16,0.82,0.82,0.80,0.81,338500
17-Feb-16,0.78,0.81,0.78,0.80,1093800
16-Feb-16,0.76,0.78,0.75,0.78,359700
15-Feb-16,0.74,0.75,0.74,0.74,272200
12-Feb-16,0.73,0.74,0.73,0.74,280200
11-Feb-16,0.73,0.74,0.73,0.74,272100
10-Feb-16,0.74,0.74,0.73,0.74,394900
5-Feb-16,0.76,0.76,0.74,0.76,497400
4-Feb-16,0.76,0.78,0.76,0.76,410500
3-Feb-16,0.74,0.76,0.73,0.76,1011500
2-Feb-16,0.78,0.78,0.73,0.76,1431900
29-Jan-16,0.74,0.78,0.74,0.77,1767500
28-Jan-16,0.76,0.76,0.71,0.73,2928300
27-Jan-16,0.80,0.81,0.75,0.76,1947800
26-Jan-16,0.82,0.82,0.79,0.79,470300
22-Jan-16,0.82,0.83,0.80,0.83,1364100
21-Jan-16,0.86,0.86,0.80,0.80,1704600
20-Jan-16,0.90,0.90,0.86,0.86,1342200
19-Jan-16,0.88,0.90,0.88,0.90,927400
18-Jan-16,0.90,0.90,0.88,0.88,1511400
15-Jan-16,0.91,0.93,0.91,0.92,852400
14-Jan-16,0.92,0.92,0.90,0.91,776800
13-Jan-16,0.94,0.95,0.92,0.93,1823300
12-Jan-16,0.92,0.93,0.91,0.93,1610800
11-Jan-16,0.94,0.94,0.92,0.92,598200
8-Jan-16,0.92,0.94,0.92,0.94,1478500
7-Jan-16,0.96,0.96,0.92,0.93,1756100
6-Jan-16,0.95,0.97,0.94,0.97,2371100
5-Jan-16,0.95,0.96,0.93,0.95,1511300
4-Jan-16,0.96,0.96,0.92,0.93,1780300
31-Dec-15,0.96,0.98,0.94,0.96,966500
30-Dec-15,1.00,1.01,0.96,0.97,7348900
29-Dec-15,0.93,0.98,0.93,0.97,9555900
28-Dec-15,0.90,0.94,0.90,0.92,7616500
23-Dec-15,0.90,0.90,0.89,0.90,1000200
22-Dec-15,0.90,0.90,0.89,0.90,1008100
21-Dec-15,0.90,0.90,0.89,0.89,1498600
18-Dec-15,0.92,0.94,0.91,0.91,1906400
17-Dec-15,0.90,0.94,0.90,0.94,6135800
16-Dec-15,0.90,0.92,0.90,0.90,2900100
15-Dec-15,0.88,0.91,0.88,0.90,1803900
14-Dec-15,0.91,0.91,0.88,0.88,1591300
11-Dec-15,0.92,0.94,0.92,0.92,594800
10-Dec-15,0.95,0.96,0.92,0.92,2486700
9-Dec-15,0.96,0.96,0.94,0.94,3134600
8-Dec-15,1.01,1.01,0.96,0.96,2783100
7-Dec-15,1.02,1.02,1.00,1.00,1458800
4-Dec-15,1.00,1.01,1.00,1.01,1073000
3-Dec-15,1.01,1.02,1.00,1.01,686900
2-Dec-15,1.03,1.04,1.02,1.03,441400
1-Dec-15,1.05,1.05,1.01,1.04,858000
30-Nov-15,1.06,1.06,1.00,1.04,1487500
27-Nov-15,1.05,1.06,1.02,1.06,1448300
26-Nov-15,0.99,1.05,0.98,1.03,2161200
25-Nov-15,1.06,1.06,1.00,1.00,2946400
24-Nov-15,1.08,1.09,1.07,1.07,1053400
23-Nov-15,1.12,1.12,1.08,1.09,978700
20-Nov-15,1.08,1.11,1.08,1.11,605100
19-Nov-15,1.09,1.10,1.08,1.08,228900
18-Nov-15,1.08,1.11,1.07,1.09,746200
17-Nov-15,1.11,1.11,1.08,1.09,368700
16-Nov-15,1.12,1.12,1.09,1.10,413700
13-Nov-15,1.10,1.13,1.10,1.12,269200
