Date,Open,High,Low,Close,Volume
7-Oct-16,0.33,0.34,0.33,0.33,627000
6-Oct-16,0.34,0.34,0.33,0.34,453300
5-Oct-16,0.34,0.34,0.34,0.34,494000
4-Oct-16,0.34,0.34,0.34,0.34,598000
30-Sep-16,0.34,0.34,0.34,0.34,2091400
29-Sep-16,0.32,0.34,0.32,0.34,2777800
28-Sep-16,0.34,0.34,0.32,0.33,1323400
27-Sep-16,0.32,0.34,0.32,0.34,1664400
26-Sep-16,0.34,0.34,0.33,0.33,1319200
23-Sep-16,0.34,0.34,0.34,0.34,1382000
22-Sep-16,0.34,0.34,0.34,0.34,1974200
21-Sep-16,0.34,0.34,0.34,0.34,1240000
20-Sep-16,0.34,0.35,0.34,0.35,1345000
19-Sep-16,0.36,0.36,0.35,0.35,1139000
15-Sep-16,0.36,0.36,0.36,0.36,426000
14-Sep-16,0.36,0.36,0.36,0.36,1384000
13-Sep-16,0.36,0.36,0.36,0.36,811600
9-Sep-16,0.37,0.37,0.36,0.36,932000
8-Sep-16,0.36,0.37,0.36,0.37,1646000
7-Sep-16,0.36,0.37,0.36,0.37,1145500
6-Sep-16,0.36,0.37,0.36,0.37,801000
5-Sep-16,0.36,0.36,0.36,0.36,1170200
2-Sep-16,0.36,0.36,0.35,0.36,922700
1-Sep-16,0.36,0.36,0.36,0.36,1556100
30-Aug-16,0.36,0.36,0.36,0.36,942800
29-Aug-16,0.36,0.36,0.36,0.36,1114600
26-Aug-16,0.36,0.37,0.36,0.37,1794000
25-Aug-16,0.39,0.39,0.36,0.36,7527300
24-Aug-16,0.41,0.42,0.41,0.41,875400
23-Aug-16,0.42,0.42,0.42,0.42,934000
22-Aug-16,0.42,0.42,0.41,0.42,156000
19-Aug-16,0.42,0.42,0.42,0.42,624100
18-Aug-16,0.42,0.42,0.42,0.42,536500
17-Aug-16,0.42,0.43,0.42,0.42,1357700
16-Aug-16,0.42,0.42,0.41,0.42,597000
15-Aug-16,0.41,0.42,0.41,0.41,1176600
12-Aug-16,0.40,0.42,0.40,0.41,1365000
11-Aug-16,0.40,0.41,0.40,0.40,678800
10-Aug-16,0.41,0.42,0.40,0.40,968900
9-Aug-16,0.41,0.42,0.41,0.41,494100
8-Aug-16,0.42,0.42,0.41,0.41,427100
5-Aug-16,0.41,0.42,0.41,0.42,1618300
4-Aug-16,0.40,0.42,0.40,0.41,2876000
3-Aug-16,0.40,0.40,0.40,0.40,152000
2-Aug-16,0.41,0.41,0.40,0.40,680800
1-Aug-16,0.40,0.41,0.40,0.41,309000
29-Jul-16,0.41,0.41,0.40,0.41,896100
28-Jul-16,0.42,0.42,0.40,0.41,474200
27-Jul-16,0.40,0.42,0.40,0.42,1008800
26-Jul-16,0.40,0.41,0.40,0.40,899900
25-Jul-16,0.40,0.41,0.40,0.40,1320000
22-Jul-16,0.41,0.41,0.41,0.41,761000
21-Jul-16,0.42,0.42,0.41,0.42,1990600
20-Jul-16,0.42,0.42,0.42,0.42,932000
19-Jul-16,0.42,0.42,0.42,0.42,726500
18-Jul-16,0.42,0.42,0.42,0.42,1078100
15-Jul-16,0.42,0.42,0.41,0.42,1832200
14-Jul-16,0.42,0.42,0.42,0.42,1164000
13-Jul-16,0.40,0.43,0.40,0.42,4395000
12-Jul-16,0.41,0.41,0.40,0.41,997200
11-Jul-16,0.42,0.42,0.41,0.41,917200
8-Jul-16,0.41,0.42,0.41,0.42,1354000
5-Jul-16,0.41,0.42,0.40,0.42,1570300
4-Jul-16,0.42,0.42,0.40,0.40,1796500
1-Jul-16,0.42,0.42,0.42,0.42,963000
30-Jun-16,0.42,0.42,0.42,0.42,1392400
29-Jun-16,0.42,0.42,0.41,0.42,1423000
28-Jun-16,0.40,0.42,0.40,0.42,2272700
27-Jun-16,0.41,0.42,0.41,0.41,1439000
24-Jun-16,0.42,0.42,0.40,0.42,2005000
23-Jun-16,0.42,0.42,0.42,0.42,1346200
21-Jun-16,0.42,0.42,0.42,0.42,1468500
20-Jun-16,0.43,0.43,0.42,0.42,1997500
17-Jun-16,0.42,0.42,0.42,0.42,2061500
16-Jun-16,0.42,0.42,0.42,0.42,1435200
15-Jun-16,0.42,0.43,0.42,0.43,1864100
14-Jun-16,0.42,0.42,0.42,0.42,1825800
13-Jun-16,0.44,0.44,0.42,0.43,1497800
10-Jun-16,0.44,0.44,0.43,0.44,1779400
9-Jun-16,0.44,0.44,0.44,0.44,1245600
8-Jun-16,0.43,0.45,0.43,0.44,4573400
7-Jun-16,0.44,0.44,0.43,0.44,2396900
6-Jun-16,0.44,0.44,0.42,0.44,2868900
3-Jun-16,0.44,0.44,0.44,0.44,1310100
2-Jun-16,0.44,0.44,0.44,0.44,1163800
1-Jun-16,0.44,0.44,0.44,0.44,1172500
31-May-16,0.45,0.45,0.44,0.45,714200
30-May-16,0.45,0.45,0.44,0.45,858200
27-May-16,0.44,0.46,0.44,0.46,1707100
26-May-16,0.44,0.46,0.44,0.45,8597000
25-May-16,0.50,0.50,0.49,0.49,651300
24-May-16,0.50,0.50,0.49,0.50,349900
23-May-16,0.50,0.50,0.50,0.50,270800
20-May-16,0.50,0.50,0.50,0.50,405300
19-May-16,0.50,0.50,0.49,0.50,238200
18-May-16,0.50,0.51,0.50,0.50,936400
17-May-16,0.50,0.50,0.50,0.50,360800
16-May-16,0.50,0.50,0.50,0.50,255900
13-May-16,0.50,0.50,0.50,0.50,998700
12-May-16,0.50,0.51,0.50,0.50,1300600
11-May-16,0.50,0.50,0.50,0.50,478800
10-May-16,0.49,0.50,0.49,0.50,820000
9-May-16,0.50,0.50,0.49,0.49,215500
6-May-16,0.49,0.50,0.49,0.50,580300
5-May-16,0.48,0.50,0.48,0.50,676200
4-May-16,0.48,0.49,0.48,0.48,988200
3-May-16,0.49,0.49,0.48,0.48,1935500
29-Apr-16,0.49,0.50,0.48,0.50,1371300
28-Apr-16,0.50,0.50,0.49,0.50,956000
27-Apr-16,0.50,0.50,0.50,0.50,1894500
26-Apr-16,0.51,0.52,0.49,0.50,2607100
