Date,Open,High,Low,Close,Volume
7-Oct-16,-,-,-,1.40,0
6-Oct-16,-,-,-,1.40,0
5-Oct-16,1.40,1.40,1.40,1.40,30000
4-Oct-16,-,-,-,1.35,0
30-Sep-16,-,-,-,1.35,0
29-Sep-16,1.35,1.35,1.35,1.35,3000
28-Sep-16,1.35,1.35,1.35,1.35,5000
27-Sep-16,-,-,-,1.35,0
26-Sep-16,-,-,-,1.35,0
23-Sep-16,1.35,1.35,1.35,1.35,5100
22-Sep-16,-,-,-,1.35,0
21-Sep-16,1.35,1.35,1.35,1.35,3000
20-Sep-16,1.35,1.35,1.35,1.35,3000
19-Sep-16,1.38,1.38,1.38,1.38,5000
15-Sep-16,1.38,1.38,1.38,1.38,6800
14-Sep-16,-,-,-,1.43,0
13-Sep-16,-,-,-,1.43,0
9-Sep-16,-,-,-,1.43,0
8-Sep-16,1.43,1.43,1.43,1.43,13700
7-Sep-16,1.43,1.43,1.43,1.43,1000
6-Sep-16,1.44,1.44,1.44,1.44,12500
5-Sep-16,1.43,1.43,1.43,1.43,5000
2-Sep-16,-,-,-,1.44,0
1-Sep-16,1.44,1.44,1.44,1.44,5000
30-Aug-16,1.44,1.44,1.44,1.44,5000
29-Aug-16,1.44,1.44,1.44,1.44,14500
26-Aug-16,1.44,1.44,1.44,1.44,6000
25-Aug-16,1.44,1.44,1.44,1.44,30000
24-Aug-16,1.41,1.43,1.41,1.43,16000
23-Aug-16,1.48,1.48,1.48,1.48,1000
22-Aug-16,1.50,1.51,1.50,1.51,41000
19-Aug-16,1.50,1.50,1.50,1.50,9000
18-Aug-16,-,-,-,1.50,0
17-Aug-16,-,-,-,1.50,0
16-Aug-16,1.53,1.58,1.50,1.50,62000
15-Aug-16,1.47,1.55,1.47,1.52,105000
12-Aug-16,1.50,1.52,1.50,1.52,71000
11-Aug-16,1.46,1.52,1.46,1.52,4000
10-Aug-16,1.46,1.52,1.46,1.52,162000
9-Aug-16,1.48,1.48,1.48,1.48,29000
8-Aug-16,1.48,1.48,1.48,1.48,82000
5-Aug-16,-,-,-,1.49,0
4-Aug-16,1.49,1.49,1.49,1.49,8000
3-Aug-16,1.47,1.47,1.46,1.46,28000
2-Aug-16,1.45,1.45,1.45,1.45,3000
1-Aug-16,1.46,1.46,1.45,1.45,12000
29-Jul-16,-,-,-,1.46,0
28-Jul-16,1.46,1.46,1.46,1.46,1000
27-Jul-16,-,-,-,1.51,0
26-Jul-16,1.51,1.51,1.49,1.51,26000
25-Jul-16,1.45,1.51,1.45,1.51,57000
22-Jul-16,-,-,-,1.42,0
21-Jul-16,-,-,-,1.42,0
20-Jul-16,1.42,1.42,1.42,1.42,1000
19-Jul-16,1.45,1.45,1.45,1.45,8000
18-Jul-16,1.43,1.43,1.43,1.43,2000
15-Jul-16,1.43,1.43,1.43,1.43,5000
14-Jul-16,-,-,-,1.49,0
13-Jul-16,1.46,1.49,1.46,1.49,108000
12-Jul-16,1.42,1.47,1.42,1.46,117000
11-Jul-16,1.45,1.45,1.43,1.43,33000
8-Jul-16,1.42,1.42,1.42,1.42,5000
5-Jul-16,1.42,1.42,1.42,1.42,14100
4-Jul-16,1.42,1.42,1.42,1.42,1000
1-Jul-16,1.42,1.45,1.42,1.45,133100
30-Jun-16,1.45,1.45,1.45,1.45,120000
29-Jun-16,1.42,1.45,1.42,1.45,33800
28-Jun-16,1.44,1.44,1.43,1.43,10700
27-Jun-16,1.47,1.48,1.47,1.48,40000
24-Jun-16,1.47,1.48,1.43,1.48,30000
23-Jun-16,1.47,1.47,1.47,1.47,14000
21-Jun-16,-,-,-,1.47,0
20-Jun-16,1.47,1.47,1.47,1.47,31000
17-Jun-16,1.46,1.47,1.46,1.47,12000
16-Jun-16,1.36,1.46,1.36,1.46,30000
15-Jun-16,-,-,-,1.45,0
14-Jun-16,1.45,1.45,1.45,1.45,39000
13-Jun-16,1.43,1.44,1.43,1.44,40000
10-Jun-16,-,-,-,1.45,0
9-Jun-16,-,-,-,1.45,0
8-Jun-16,1.44,1.47,1.44,1.45,48000
7-Jun-16,1.44,1.44,1.44,1.44,8000
6-Jun-16,-,-,-,1.44,0
3-Jun-16,1.42,1.44,1.42,1.44,25000
2-Jun-16,1.42,1.47,1.42,1.42,560000
1-Jun-16,1.37,1.42,1.37,1.42,21000
31-May-16,1.42,1.46,1.42,1.43,55100
30-May-16,1.40,1.42,1.38,1.42,16500
27-May-16,1.42,1.42,1.42,1.42,15100
26-May-16,-,-,-,1.41,0
25-May-16,1.37,1.41,1.37,1.41,51500
24-May-16,-,-,-,1.37,0
23-May-16,1.35,1.37,1.35,1.37,15000
20-May-16,1.33,1.33,1.33,1.33,2000
19-May-16,1.31,1.32,1.31,1.32,5000
18-May-16,1.30,1.30,1.30,1.30,1000
17-May-16,-,-,-,1.42,0
16-May-16,-,-,-,1.42,0
13-May-16,1.42,1.42,1.42,1.42,100
12-May-16,1.32,1.32,1.32,1.32,3000
11-May-16,1.40,1.40,1.39,1.39,8000
10-May-16,1.38,1.42,1.38,1.40,21500
9-May-16,1.38,1.38,1.38,1.38,3000
6-May-16,1.39,1.40,1.36,1.36,45500
5-May-16,-,-,-,1.41,0
4-May-16,1.40,1.41,1.40,1.41,20300
3-May-16,1.41,1.41,1.35,1.35,3200
29-Apr-16,-,-,-,1.40,0
28-Apr-16,1.40,1.40,1.40,1.40,9000
27-Apr-16,1.39,1.39,1.39,1.39,8900
26-Apr-16,1.38,1.38,1.38,1.38,35000
25-Apr-16,1.35,1.35,1.35,1.35,5000
22-Apr-16,-,-,-,1.36,0
21-Apr-16,-,-,-,1.36,0
20-Apr-16,-,-,-,1.36,0
19-Apr-16,1.30,1.36,1.30,1.36,7000
18-Apr-16,-,-,-,1.35,0
15-Apr-16,1.35,1.35,1.35,1.35,3000
14-Apr-16,1.36,1.36,1.35,1.35,3000
13-Apr-16,-,-,-,1.35,0
12-Apr-16,1.35,1.35,1.35,1.35,2000
11-Apr-16,1.35,1.35,1.35,1.35,1000
8-Apr-16,-,-,-,1.38,0
7-Apr-16,1.38,1.38,1.38,1.38,9000
6-Apr-16,1.40,1.40,1.40,1.40,9000
5-Apr-16,1.41,1.42,1.41,1.42,23000
4-Apr-16,1.42,1.42,1.42,1.42,9100
1-Apr-16,1.36,1.41,1.35,1.41,88000
31-Mar-16,1.33,1.42,1.33,1.42,21000
30-Mar-16,-,-,-,1.40,0
29-Mar-16,1.40,1.40,1.40,1.40,10000
28-Mar-16,-,-,-,1.38,0
25-Mar-16,1.38,1.38,1.38,1.38,1000
24-Mar-16,-,-,-,1.41,0
23-Mar-16,-,-,-,1.41,0
22-Mar-16,1.41,1.41,1.41,1.41,8000
21-Mar-16,-,-,-,1.40,0
18-Mar-16,1.41,1.42,1.40,1.40,102900
17-Mar-16,1.43,1.43,1.43,1.43,15000
16-Mar-16,1.45,1.45,1.43,1.43,22000
15-Mar-16,1.41,1.43,1.40,1.42,58500
14-Mar-16,1.40,1.40,1.39,1.40,24600
11-Mar-16,1.35,1.38,1.35,1.37,33500
10-Mar-16,1.34,1.36,1.34,1.36,9800
9-Mar-16,1.35,1.35,1.35,1.35,35000
8-Mar-16,1.35,1.35,1.35,1.35,19000
7-Mar-16,1.37,1.37,1.36,1.37,56000
4-Mar-16,1.35,1.36,1.30,1.36,118000
3-Mar-16,1.35,1.35,1.35,1.35,29600
2-Mar-16,1.33,1.35,1.32,1.35,80400
1-Mar-16,1.35,1.35,1.31,1.35,39300
29-Feb-16,1.32,1.35,1.32,1.34,62000
26-Feb-16,1.30,1.31,1.30,1.31,23000
25-Feb-16,1.29,1.31,1.27,1.31,35000
24-Feb-16,1.30,1.30,1.30,1.30,10000
23-Feb-16,1.30,1.30,1.30,1.30,10000
22-Feb-16,1.31,1.31,1.30,1.31,23000
19-Feb-16,1.30,1.32,1.30,1.32,65000
18-Feb-16,1.29,1.29,1.29,1.29,12000
17-Feb-16,1.30,1.30,1.30,1.30,18000
16-Feb-16,1.29,1.30,1.29,1.30,58900
15-Feb-16,1.30,1.30,1.30,1.30,32000
12-Feb-16,1.23,1.30,1.23,1.30,65000
11-Feb-16,-,-,-,1.24,0
10-Feb-16,-,-,-,1.24,0
5-Feb-16,1.23,1.25,1.23,1.24,33400
4-Feb-16,1.23,1.23,1.23,1.23,3000
3-Feb-16,1.23,1.23,1.23,1.23,5000
2-Feb-16,-,-,-,1.25,0
29-Jan-16,1.25,1.25,1.25,1.25,2000
28-Jan-16,1.20,1.30,1.20,1.30,88000
27-Jan-16,1.26,1.26,1.26,1.26,11000
26-Jan-16,1.26,1.26,1.26,1.26,19000
22-Jan-16,1.18,1.25,1.18,1.25,133000
21-Jan-16,1.14,1.14,1.14,1.14,20000
20-Jan-16,1.15,1.15,1.14,1.14,70700
19-Jan-16,1.15,1.15,1.15,1.15,1500
18-Jan-16,1.13,1.17,1.13,1.17,8100
15-Jan-16,1.20,1.20,1.20,1.20,3000
14-Jan-16,1.20,1.20,1.20,1.20,12700
13-Jan-16,-,-,-,1.20,0
12-Jan-16,1.20,1.20,1.20,1.20,10000
11-Jan-16,-,-,-,1.25,0
8-Jan-16,-,-,-,1.25,0
7-Jan-16,-,-,-,1.25,0
6-Jan-16,1.21,1.25,1.21,1.25,5200
5-Jan-16,1.21,1.21,1.20,1.20,5000
4-Jan-16,-,-,-,1.27,0
31-Dec-15,-,-,-,1.27,0
30-Dec-15,-,-,-,1.27,0
29-Dec-15,-,-,-,1.27,0
28-Dec-15,-,-,-,1.27,0
23-Dec-15,1.27,1.27,1.27,1.27,3000
22-Dec-15,-,-,-,1.25,0
21-Dec-15,1.30,1.30,1.25,1.25,2000
18-Dec-15,-,-,-,1.36,0
17-Dec-15,-,-,-,1.36,0
16-Dec-15,1.36,1.36,1.36,1.36,10000
15-Dec-15,1.33,1.36,1.27,1.36,131700
14-Dec-15,1.27,1.27,1.27,1.27,5000
11-Dec-15,1.26,1.26,1.26,1.26,500
10-Dec-15,-,-,-,1.30,0
9-Dec-15,1.30,1.30,1.30,1.30,47000
8-Dec-15,1.30,1.30,1.28,1.28,51000
7-Dec-15,1.30,1.30,1.29,1.30,99000
4-Dec-15,1.24,1.24,1.24,1.24,50000
3-Dec-15,1.27,1.27,1.24,1.24,125000
2-Dec-15,1.30,1.30,1.30,1.30,99300
1-Dec-15,1.23,1.23,1.23,1.23,11000
30-Nov-15,-,-,-,1.23,0
27-Nov-15,1.23,1.23,1.23,1.23,16000
26-Nov-15,1.20,1.30,1.20,1.30,97300
25-Nov-15,1.20,1.23,1.19,1.23,17000
24-Nov-15,1.20,1.24,1.20,1.23,84100
23-Nov-15,1.23,1.30,1.21,1.21,22000
20-Nov-15,1.34,1.34,1.21,1.23,107900
19-Nov-15,1.21,1.37,1.21,1.37,136300
18-Nov-15,1.18,1.18,1.18,1.18,5000
17-Nov-15,1.18,1.20,1.18,1.20,26800
16-Nov-15,1.14,1.14,1.14,1.14,3000
13-Nov-15,-,-,-,1.14,0
12-Nov-15,-,-,-,1.14,0
11-Nov-15,1.14,1.14,1.14,1.14,10000
9-Nov-15,1.14,1.14,1.14,1.14,1000
6-Nov-15,1.14,1.14,1.14,1.14,2000
5-Nov-15,1.16,1.16,1.16,1.16,24000
4-Nov-15,1.14,1.14,1.14,1.14,3000
3-Nov-15,-,-,-,1.16,0
2-Nov-15,-,-,-,1.16,0
30-Oct-15,1.15,1.22,1.15,1.16,49600
29-Oct-15,1.15,1.15,1.15,1.15,10000
28-Oct-15,1.15,1.15,1.15,1.15,10000
27-Oct-15,1.13,1.16,1.13,1.16,29000
26-Oct-15,1.13,1.13,1.13,1.13,13500
23-Oct-15,1.13,1.13,1.13,1.13,2000
22-Oct-15,1.13,1.13,1.13,1.13,1000
21-Oct-15,1.13,1.13,1.13,1.13,6000
20-Oct-15,1.13,1.13,1.13,1.13,8000
19-Oct-15,1.12,1.13,1.12,1.13,16600
16-Oct-15,1.12,1.12,1.12,1.12,21400
15-Oct-15,1.13,1.13,1.12,1.12,45700
13-Oct-15,1.10,1.12,1.10,1.12,15000
12-Oct-15,1.05,1.05,1.05,1.05,2000
