Date,Open,High,Low,Close,Volume
7-Oct-16,0.10,0.10,0.10,0.10,505000
6-Oct-16,0.10,0.10,0.10,0.10,115000
5-Oct-16,0.10,0.10,0.10,0.10,30000
4-Oct-16,0.10,0.10,0.10,0.10,111000
30-Sep-16,0.10,0.10,0.10,0.10,15000
29-Sep-16,0.10,0.10,0.10,0.10,55000
28-Sep-16,0.10,0.10,0.10,0.10,80000
27-Sep-16,0.10,0.10,0.10,0.10,150000
26-Sep-16,0.10,0.10,0.10,0.10,118000
23-Sep-16,0.10,0.10,0.10,0.10,205000
22-Sep-16,0.10,0.10,0.10,0.10,500000
21-Sep-16,0.10,0.10,0.10,0.10,50000
20-Sep-16,0.10,0.10,0.10,0.10,635000
19-Sep-16,0.10,0.10,0.10,0.10,31800
15-Sep-16,0.10,0.10,0.10,0.10,128500
14-Sep-16,0.10,0.10,0.10,0.10,100000
13-Sep-16,0.10,0.10,0.10,0.10,128000
9-Sep-16,-,-,-,0.10,0
8-Sep-16,0.10,0.10,0.10,0.10,30000
7-Sep-16,-,-,-,0.10,0
6-Sep-16,0.10,0.10,0.10,0.10,262800
5-Sep-16,0.10,0.10,0.10,0.10,100000
2-Sep-16,0.10,0.10,0.10,0.10,50000
1-Sep-16,0.10,0.10,0.10,0.10,410000
30-Aug-16,-,-,-,0.10,0
29-Aug-16,-,-,-,0.10,0
26-Aug-16,0.10,0.10,0.10,0.10,20000
25-Aug-16,0.10,0.10,0.10,0.10,150000
24-Aug-16,0.10,0.10,0.10,0.10,300000
23-Aug-16,-,-,-,0.10,0
22-Aug-16,-,-,-,0.10,0
19-Aug-16,0.10,0.10,0.10,0.10,406800
18-Aug-16,0.10,0.10,0.10,0.10,100000
17-Aug-16,0.10,0.10,0.10,0.10,10000
16-Aug-16,0.10,0.10,0.10,0.10,473600
15-Aug-16,0.10,0.10,0.10,0.10,350000
12-Aug-16,0.10,0.10,0.10,0.10,755400
11-Aug-16,0.10,0.10,0.10,0.10,330000
10-Aug-16,0.10,0.10,0.10,0.10,50000
9-Aug-16,0.10,0.10,0.10,0.10,210000
8-Aug-16,0.10,0.10,0.10,0.10,340000
5-Aug-16,0.10,0.10,0.10,0.10,100
4-Aug-16,0.10,0.10,0.10,0.10,100000
3-Aug-16,0.10,0.10,0.10,0.10,171000
2-Aug-16,0.10,0.10,0.10,0.10,25000
1-Aug-16,0.10,0.10,0.10,0.10,188700
29-Jul-16,-,-,-,0.10,0
28-Jul-16,0.10,0.10,0.10,0.10,270000
27-Jul-16,0.10,0.10,0.10,0.10,100000
26-Jul-16,0.10,0.10,0.10,0.10,220000
25-Jul-16,-,-,-,0.10,0
22-Jul-16,0.10,0.10,0.10,0.10,90000
21-Jul-16,0.10,0.10,0.10,0.10,780000
20-Jul-16,0.10,0.10,0.10,0.10,330000
19-Jul-16,0.10,0.10,0.10,0.10,494700
18-Jul-16,0.10,0.10,0.10,0.10,430000
15-Jul-16,0.10,0.10,0.10,0.10,175000
14-Jul-16,0.10,0.10,0.10,0.10,3000
13-Jul-16,0.10,0.10,0.10,0.10,741000
12-Jul-16,0.10,0.10,0.10,0.10,50000
11-Jul-16,-,-,-,0.10,0
8-Jul-16,0.10,0.10,0.10,0.10,33600
5-Jul-16,0.10,0.10,0.10,0.10,50000
4-Jul-16,-,-,-,0.10,0
1-Jul-16,0.10,0.10,0.10,0.10,50000
30-Jun-16,-,-,-,0.10,0
29-Jun-16,0.10,0.10,0.10,0.10,453000
28-Jun-16,0.10,0.10,0.10,0.10,161500
27-Jun-16,0.09,0.10,0.09,0.10,71000
24-Jun-16,0.10,0.10,0.10,0.10,9460700
23-Jun-16,0.10,0.11,0.10,0.10,6002900
21-Jun-16,0.10,0.10,0.10,0.10,143500
20-Jun-16,0.10,0.10,0.10,0.10,296700
17-Jun-16,0.10,0.10,0.10,0.10,460000
16-Jun-16,0.10,0.10,0.10,0.10,1722600
15-Jun-16,0.10,0.10,0.10,0.10,217000
14-Jun-16,0.10,0.10,0.10,0.10,295000
13-Jun-16,0.10,0.10,0.10,0.10,333000
10-Jun-16,0.10,0.10,0.10,0.10,376000
9-Jun-16,0.10,0.10,0.10,0.10,309600
8-Jun-16,0.10,0.10,0.09,0.10,171400
7-Jun-16,0.10,0.10,0.09,0.10,44000
