Date,Open,High,Low,Close,Volume
7-Oct-16,0.39,0.39,0.38,0.39,99000
6-Oct-16,0.38,0.40,0.38,0.40,17200
5-Oct-16,-,-,-,0.40,0
4-Oct-16,0.39,0.40,0.39,0.40,31900
30-Sep-16,0.40,0.40,0.39,0.39,113000
29-Sep-16,0.40,0.40,0.39,0.40,100800
28-Sep-16,0.40,0.40,0.40,0.40,60000
27-Sep-16,0.40,0.40,0.39,0.40,138000
26-Sep-16,0.40,0.40,0.40,0.40,118000
23-Sep-16,0.40,0.40,0.40,0.40,85000
22-Sep-16,0.40,0.40,0.40,0.40,5000
21-Sep-16,0.40,0.40,0.40,0.40,63000
20-Sep-16,0.40,0.40,0.40,0.40,17000
19-Sep-16,0.40,0.40,0.40,0.40,93000
15-Sep-16,0.40,0.41,0.40,0.41,12700
14-Sep-16,0.40,0.40,0.40,0.40,71500
13-Sep-16,0.40,0.41,0.40,0.41,56100
9-Sep-16,0.40,0.42,0.40,0.40,255700
8-Sep-16,0.42,0.42,0.40,0.42,245200
7-Sep-16,0.40,0.41,0.40,0.40,176100
6-Sep-16,0.40,0.41,0.40,0.40,246000
5-Sep-16,0.41,0.41,0.40,0.40,105000
2-Sep-16,0.42,0.42,0.41,0.42,132300
1-Sep-16,0.44,0.44,0.42,0.44,274900
30-Aug-16,0.46,0.46,0.46,0.46,200
29-Aug-16,0.44,0.44,0.44,0.44,94700
26-Aug-16,0.44,0.44,0.44,0.44,7200
25-Aug-16,0.44,0.44,0.44,0.44,56400
24-Aug-16,0.44,0.45,0.44,0.45,14300
23-Aug-16,0.44,0.46,0.44,0.46,9400
22-Aug-16,0.44,0.46,0.44,0.46,80200
19-Aug-16,0.46,0.46,0.46,0.46,200
18-Aug-16,0.44,0.44,0.44,0.44,44700
17-Aug-16,0.45,0.46,0.43,0.44,217700
16-Aug-16,0.44,0.45,0.44,0.44,75000
15-Aug-16,0.44,0.44,0.44,0.44,53800
12-Aug-16,0.44,0.46,0.44,0.44,216200
11-Aug-16,0.46,0.46,0.44,0.44,190200
10-Aug-16,0.45,0.45,0.44,0.44,145500
9-Aug-16,0.47,0.47,0.47,0.47,20200
8-Aug-16,0.44,0.47,0.44,0.44,143200
5-Aug-16,0.48,0.49,0.46,0.46,796700
4-Aug-16,0.42,0.48,0.42,0.46,922100
3-Aug-16,0.41,0.41,0.40,0.40,249300
2-Aug-16,0.40,0.40,0.40,0.40,114400
1-Aug-16,0.39,0.40,0.39,0.40,40000
29-Jul-16,0.40,0.40,0.40,0.40,43000
28-Jul-16,0.40,0.41,0.40,0.41,101000
27-Jul-16,0.40,0.40,0.40,0.40,116200
26-Jul-16,0.40,0.40,0.40,0.40,15000
25-Jul-16,0.41,0.41,0.41,0.41,26000
22-Jul-16,0.41,0.42,0.41,0.42,10000
21-Jul-16,0.42,0.42,0.42,0.42,1200
20-Jul-16,0.41,0.41,0.40,0.41,56300
19-Jul-16,0.40,0.40,0.40,0.40,80000
18-Jul-16,0.40,0.40,0.40,0.40,19000
15-Jul-16,0.40,0.42,0.40,0.42,166100
14-Jul-16,0.40,0.40,0.40,0.40,42600
13-Jul-16,0.40,0.40,0.40,0.40,109000
12-Jul-16,0.40,0.40,0.40,0.40,19900
11-Jul-16,0.42,0.42,0.40,0.42,68100
8-Jul-16,0.41,0.41,0.40,0.41,68000
5-Jul-16,0.41,0.41,0.41,0.41,110300
4-Jul-16,0.40,0.42,0.40,0.42,56100
1-Jul-16,0.40,0.42,0.40,0.42,24000
30-Jun-16,0.41,0.41,0.41,0.41,47000
29-Jun-16,0.41,0.41,0.40,0.40,123600
28-Jun-16,0.41,0.42,0.40,0.42,385300
27-Jun-16,0.41,0.42,0.41,0.42,55000
24-Jun-16,0.42,0.42,0.41,0.42,147000
23-Jun-16,0.40,0.44,0.40,0.44,193100
21-Jun-16,0.40,0.41,0.40,0.40,392800
20-Jun-16,0.41,0.42,0.40,0.41,212600
17-Jun-16,0.42,0.43,0.42,0.42,161400
16-Jun-16,0.44,0.44,0.42,0.44,174500
15-Jun-16,0.44,0.45,0.44,0.45,97000
14-Jun-16,0.45,0.45,0.45,0.45,50000
13-Jun-16,0.46,0.46,0.45,0.45,101400
10-Jun-16,0.47,0.47,0.46,0.46,36400
9-Jun-16,0.46,0.46,0.45,0.46,127800
8-Jun-16,0.47,0.47,0.47,0.47,10000
7-Jun-16,0.46,0.47,0.46,0.47,157100
6-Jun-16,0.46,0.47,0.45,0.46,174600
3-Jun-16,0.49,0.49,0.48,0.48,6100
2-Jun-16,-,-,-,0.48,0
1-Jun-16,0.46,0.48,0.45,0.48,110100
31-May-16,0.48,0.48,0.48,0.48,63000
