Date,Open,High,Low,Close,Volume
7-Oct-16,0.23,0.23,0.23,0.23,1600
6-Oct-16,0.24,0.24,0.24,0.24,30000
5-Oct-16,0.24,0.24,0.23,0.23,80000
4-Oct-16,0.23,0.23,0.23,0.23,3500
30-Sep-16,-,-,-,0.25,0
29-Sep-16,-,-,-,0.25,0
28-Sep-16,-,-,-,0.25,0
27-Sep-16,0.25,0.25,0.25,0.25,30000
26-Sep-16,-,-,-,0.26,0
23-Sep-16,-,-,-,0.26,0
22-Sep-16,0.26,0.26,0.26,0.26,7000
21-Sep-16,0.25,0.25,0.25,0.25,16000
20-Sep-16,-,-,-,0.26,0
19-Sep-16,-,-,-,0.26,0
15-Sep-16,-,-,-,0.26,0
14-Sep-16,-,-,-,0.26,0
13-Sep-16,-,-,-,0.26,0
9-Sep-16,0.26,0.26,0.26,0.26,22000
8-Sep-16,0.27,0.27,0.27,0.27,100
7-Sep-16,-,-,-,0.26,0
6-Sep-16,0.26,0.26,0.26,0.26,7800
5-Sep-16,-,-,-,0.25,0
2-Sep-16,0.26,0.26,0.25,0.25,20000
1-Sep-16,-,-,-,0.26,0
30-Aug-16,0.25,0.26,0.25,0.26,36800
29-Aug-16,0.25,0.25,0.25,0.25,25000
26-Aug-16,-,-,-,0.26,0
25-Aug-16,-,-,-,0.26,0
24-Aug-16,0.26,0.26,0.26,0.26,46000
23-Aug-16,0.26,0.26,0.26,0.26,62300
22-Aug-16,0.26,0.26,0.26,0.26,20000
19-Aug-16,0.26,0.26,0.26,0.26,75400
18-Aug-16,0.26,0.26,0.26,0.26,17000
17-Aug-16,-,-,-,0.26,0
16-Aug-16,0.26,0.26,0.26,0.26,9000
15-Aug-16,0.24,0.24,0.24,0.24,35500
12-Aug-16,0.24,0.24,0.24,0.24,40200
11-Aug-16,-,-,-,0.24,0
10-Aug-16,0.24,0.24,0.24,0.24,60900
9-Aug-16,0.24,0.24,0.24,0.24,28100
8-Aug-16,0.25,0.25,0.24,0.24,53900
5-Aug-16,-,-,-,0.25,0
4-Aug-16,0.24,0.25,0.24,0.25,10300
3-Aug-16,0.25,0.25,0.25,0.25,28000
2-Aug-16,-,-,-,0.25,0
1-Aug-16,-,-,-,0.25,0
29-Jul-16,0.25,0.25,0.25,0.25,105000
28-Jul-16,0.24,0.24,0.24,0.24,1100
27-Jul-16,-,-,-,0.25,0
26-Jul-16,0.25,0.25,0.25,0.25,10000
25-Jul-16,0.25,0.25,0.25,0.25,2500
22-Jul-16,0.25,0.25,0.25,0.25,2500
21-Jul-16,0.26,0.26,0.25,0.25,29000
20-Jul-16,-,-,-,0.26,0
19-Jul-16,0.26,0.26,0.26,0.26,51800
18-Jul-16,0.26,0.26,0.26,0.26,700
15-Jul-16,0.26,0.27,0.26,0.27,42900
14-Jul-16,-,-,-,0.26,0
13-Jul-16,-,-,-,0.26,0
12-Jul-16,0.26,0.26,0.26,0.26,10000
11-Jul-16,0.26,0.27,0.26,0.26,61000
8-Jul-16,0.28,0.28,0.26,0.26,3100
5-Jul-16,0.26,0.26,0.26,0.26,1100
4-Jul-16,-,-,-,0.27,0
1-Jul-16,0.27,0.27,0.27,0.27,17700
30-Jun-16,0.28,0.28,0.28,0.28,8600
29-Jun-16,0.28,0.28,0.28,0.28,18600
28-Jun-16,0.28,0.28,0.28,0.28,25000
27-Jun-16,0.27,0.27,0.27,0.27,400
24-Jun-16,-,-,-,0.30,0
23-Jun-16,-,-,-,0.30,0
21-Jun-16,-,-,-,0.30,0
20-Jun-16,0.30,0.30,0.30,0.30,5000
17-Jun-16,-,-,-,0.28,0
16-Jun-16,0.27,0.28,0.27,0.28,40000
15-Jun-16,-,-,-,0.27,0
14-Jun-16,0.28,0.28,0.27,0.27,5300
13-Jun-16,0.28,0.28,0.28,0.28,5000
10-Jun-16,-,-,-,0.28,0
9-Jun-16,-,-,-,0.28,0
8-Jun-16,0.29,0.29,0.28,0.28,13600
7-Jun-16,-,-,-,0.28,0
6-Jun-16,-,-,-,0.28,0
3-Jun-16,0.28,0.28,0.28,0.28,10000
2-Jun-16,0.28,0.28,0.28,0.28,45000
1-Jun-16,0.28,0.28,0.28,0.28,5000
31-May-16,0.28,0.28,0.28,0.28,255000
30-May-16,0.28,0.28,0.28,0.28,12000
27-May-16,0.28,0.28,0.28,0.28,100000
26-May-16,0.28,0.28,0.28,0.28,46000
25-May-16,0.28,0.28,0.28,0.28,25000
24-May-16,0.28,0.28,0.28,0.28,2000
23-May-16,0.28,0.28,0.28,0.28,2000
20-May-16,0.28,0.28,0.28,0.28,43400
19-May-16,-,-,-,0.28,0
18-May-16,0.28,0.28,0.28,0.28,20000
17-May-16,-,-,-,0.28,0
16-May-16,0.28,0.28,0.28,0.28,20000
13-May-16,0.28,0.29,0.28,0.28,40100
12-May-16,-,-,-,0.28,0
11-May-16,-,-,-,0.28,0
10-May-16,0.28,0.28,0.28,0.28,4000
9-May-16,-,-,-,0.28,0
6-May-16,0.28,0.28,0.28,0.28,20400
5-May-16,-,-,-,0.28,0
4-May-16,-,-,-,0.28,0
3-May-16,0.28,0.28,0.28,0.28,25800
29-Apr-16,0.28,0.28,0.28,0.28,22100
28-Apr-16,0.29,0.29,0.29,0.29,100
27-Apr-16,-,-,-,0.28,0
26-Apr-16,0.28,0.28,0.28,0.28,350200
25-Apr-16,-,-,-,0.28,0
22-Apr-16,-,-,-,0.28,0
21-Apr-16,0.28,0.28,0.28,0.28,13000
20-Apr-16,0.28,0.28,0.28,0.28,5000
19-Apr-16,0.28,0.28,0.28,0.28,10000
18-Apr-16,0.29,0.29,0.28,0.28,20000
15-Apr-16,-,-,-,0.30,0
14-Apr-16,0.29,0.30,0.29,0.30,46500
13-Apr-16,-,-,-,0.28,0
12-Apr-16,0.29,0.29,0.28,0.28,50000
11-Apr-16,0.30,0.30,0.28,0.30,28900
8-Apr-16,-,-,-,0.30,0
7-Apr-16,0.29,0.30,0.28,0.30,89200
6-Apr-16,-,-,-,0.28,0
5-Apr-16,0.28,0.28,0.28,0.28,63200
4-Apr-16,0.28,0.28,0.28,0.28,1000
1-Apr-16,-,-,-,0.29,0
31-Mar-16,0.29,0.29,0.29,0.29,50000
30-Mar-16,0.29,0.29,0.28,0.28,216100
29-Mar-16,0.30,0.30,0.29,0.29,173200
28-Mar-16,0.30,0.30,0.30,0.30,7000
25-Mar-16,-,-,-,0.30,0
24-Mar-16,-,-,-,0.30,0
23-Mar-16,0.30,0.30,0.30,0.30,3900
22-Mar-16,0.30,0.30,0.30,0.30,18000
21-Mar-16,0.30,0.30,0.30,0.30,32000
18-Mar-16,0.29,0.30,0.29,0.30,22400
17-Mar-16,0.30,0.30,0.29,0.30,90000
16-Mar-16,-,-,-,0.28,0
15-Mar-16,0.28,0.29,0.28,0.28,150000
14-Mar-16,0.28,0.28,0.28,0.28,11700
11-Mar-16,0.28,0.30,0.28,0.30,52000
10-Mar-16,-,-,-,0.29,0
9-Mar-16,0.30,0.30,0.29,0.29,79900
8-Mar-16,0.28,0.29,0.28,0.29,102300
7-Mar-16,0.30,0.30,0.29,0.29,26000
4-Mar-16,0.30,0.30,0.29,0.29,80000
3-Mar-16,-,-,-,0.30,0
2-Mar-16,0.30,0.30,0.30,0.30,21500
1-Mar-16,0.28,0.30,0.28,0.28,80400
29-Feb-16,0.29,0.29,0.28,0.28,45000
26-Feb-16,0.30,0.30,0.29,0.29,24000
25-Feb-16,0.31,0.31,0.31,0.31,21500
24-Feb-16,-,-,-,0.30,0
23-Feb-16,0.31,0.32,0.30,0.30,128000
22-Feb-16,0.28,0.32,0.28,0.31,202200
19-Feb-16,0.30,0.32,0.29,0.29,34500
18-Feb-16,0.30,0.30,0.29,0.29,45000
17-Feb-16,0.28,0.29,0.28,0.29,38000
16-Feb-16,0.27,0.29,0.27,0.29,143000
15-Feb-16,0.28,0.28,0.28,0.28,70000
12-Feb-16,-,-,-,0.28,0
11-Feb-16,-,-,-,0.28,0
10-Feb-16,0.28,0.28,0.27,0.28,5100
5-Feb-16,0.28,0.28,0.28,0.28,80400
4-Feb-16,0.28,0.28,0.28,0.28,36000
3-Feb-16,0.29,0.30,0.29,0.30,20500
2-Feb-16,0.28,0.29,0.28,0.29,121200
29-Jan-16,0.28,0.28,0.28,0.28,733000
28-Jan-16,0.29,0.29,0.29,0.29,81000
27-Jan-16,0.28,0.30,0.28,0.30,28600
26-Jan-16,-,-,-,0.30,0
22-Jan-16,0.30,0.32,0.28,0.30,224700
21-Jan-16,-,-,-,0.32,0
20-Jan-16,-,-,-,0.32,0
19-Jan-16,0.31,0.32,0.31,0.32,40000
18-Jan-16,0.31,0.31,0.30,0.30,40000
