Date,Open,High,Low,Close,Volume
7-Oct-16,7.64,7.67,7.64,7.67,833400
6-Oct-16,7.69,7.69,7.62,7.68,1025800
5-Oct-16,7.70,7.70,7.65,7.68,1763300
4-Oct-16,7.74,7.74,7.65,7.70,607900
30-Sep-16,7.70,7.72,7.60,7.70,4117800
29-Sep-16,7.64,7.75,7.64,7.70,639100
28-Sep-16,7.65,7.68,7.63,7.67,1256800
27-Sep-16,7.63,7.66,7.61,7.65,935300
26-Sep-16,7.70,7.70,7.64,7.67,603500
23-Sep-16,7.69,7.71,7.61,7.70,1942500
22-Sep-16,7.67,7.70,7.62,7.67,774700
21-Sep-16,7.64,7.68,7.61,7.64,1812700
20-Sep-16,7.64,7.64,7.60,7.63,892900
19-Sep-16,7.65,7.65,7.56,7.63,1718500
15-Sep-16,7.65,7.70,7.54,7.60,1888200
14-Sep-16,7.64,7.70,7.52,7.70,733000
13-Sep-16,7.73,7.76,7.59,7.62,931900
9-Sep-16,7.77,7.77,7.71,7.73,674400
8-Sep-16,7.78,7.78,7.71,7.76,2075700
7-Sep-16,7.78,7.78,7.75,7.76,1003200
6-Sep-16,7.79,7.79,7.75,7.77,1007300
5-Sep-16,7.79,7.79,7.73,7.76,720900
2-Sep-16,7.77,7.77,7.70,7.73,877900
1-Sep-16,7.78,7.84,7.64,7.77,1000300
30-Aug-16,7.76,7.78,7.68,7.78,2516600
29-Aug-16,7.74,7.78,7.71,7.74,1184800
26-Aug-16,7.76,7.76,7.71,7.73,750900
25-Aug-16,7.75,7.75,7.72,7.73,737000
24-Aug-16,7.73,7.75,7.71,7.75,815200
23-Aug-16,7.76,7.76,7.72,7.73,1369800
22-Aug-16,7.80,7.80,7.71,7.78,1449400
19-Aug-16,7.79,7.80,7.73,7.74,604800
18-Aug-16,7.74,7.79,7.72,7.75,638700
17-Aug-16,7.79,7.79,7.71,7.73,1213600
16-Aug-16,7.79,7.80,7.73,7.75,1155200
15-Aug-16,7.84,7.85,7.74,7.75,902100
12-Aug-16,7.76,7.85,7.74,7.85,1589000
11-Aug-16,7.71,7.78,7.71,7.75,1379600
10-Aug-16,7.79,7.79,7.73,7.75,1722400
9-Aug-16,7.79,7.80,7.74,7.75,1398500
8-Aug-16,7.81,7.81,7.74,7.75,1821500
5-Aug-16,7.78,7.85,7.75,7.75,1971300
4-Aug-16,7.78,7.78,7.74,7.75,1237700
3-Aug-16,7.74,7.78,7.73,7.75,1527300
2-Aug-16,7.77,7.79,7.74,7.76,2202400
1-Aug-16,7.75,7.80,7.71,7.79,1314500
29-Jul-16,7.78,7.78,7.71,7.75,1661200
28-Jul-16,7.79,7.79,7.73,7.76,1475700
27-Jul-16,7.74,7.79,7.74,7.77,1288400
26-Jul-16,7.73,7.78,7.73,7.75,1314000
25-Jul-16,7.71,7.80,7.71,7.75,1747300
22-Jul-16,7.67,7.74,7.66,7.74,1692300
21-Jul-16,7.70,7.75,7.64,7.73,1449700
20-Jul-16,7.70,7.73,7.62,7.73,1467100
19-Jul-16,7.70,7.72,7.68,7.70,6027100
18-Jul-16,7.71,7.72,7.69,7.70,4453700
15-Jul-16,7.71,7.72,7.69,7.70,3922700
14-Jul-16,7.71,7.73,7.70,7.70,4581500
13-Jul-16,7.70,7.77,7.70,7.77,4631500
12-Jul-16,7.72,7.72,7.69,7.70,3622500
11-Jul-16,7.70,7.73,7.69,7.71,3073000
8-Jul-16,7.68,7.73,7.65,7.70,2631300
5-Jul-16,7.73,7.74,7.69,7.72,2268800
4-Jul-16,7.68,7.73,7.68,7.70,3257400
1-Jul-16,7.75,7.75,7.69,7.69,1527700
30-Jun-16,7.68,7.74,7.68,7.72,3140300
29-Jun-16,7.66,7.72,7.66,7.70,2883200
28-Jun-16,7.67,7.68,7.55,7.66,5407700
27-Jun-16,7.70,7.70,7.58,7.60,2124800
24-Jun-16,7.59,7.75,7.50,7.75,2200300
23-Jun-16,7.59,7.64,7.59,7.60,1956700
21-Jun-16,7.61,7.63,7.54,7.63,2588500
20-Jun-16,7.54,7.64,7.54,7.60,2505000
17-Jun-16,7.55,7.60,7.54,7.57,2684500
16-Jun-16,7.64,7.65,7.55,7.58,2222300
15-Jun-16,7.58,7.63,7.53,7.60,1493100
14-Jun-16,7.62,7.64,7.57,7.58,1285600
13-Jun-16,7.68,7.68,7.59,7.60,1104700
10-Jun-16,7.72,7.72,7.65,7.65,1240200
9-Jun-16,7.73,7.79,7.65,7.68,1488900
8-Jun-16,7.72,7.75,7.67,7.70,1409500
7-Jun-16,7.83,7.88,7.79,7.80,1018300
6-Jun-16,7.81,7.83,7.76,7.80,1887400
3-Jun-16,7.79,7.81,7.76,7.78,3801900
2-Jun-16,7.79,7.79,7.68,7.78,3286900
1-Jun-16,7.75,7.80,7.74,7.78,2507000
31-May-16,7.76,7.80,7.72,7.78,3927600
30-May-16,7.84,7.84,7.76,7.78,1373000
27-May-16,7.80,7.84,7.77,7.84,1362400
26-May-16,7.83,7.84,7.76,7.78,324800
25-May-16,7.71,7.82,7.71,7.82,1104000
24-May-16,7.80,7.85,7.75,7.80,1105000
23-May-16,7.90,7.90,7.79,7.80,1577600
20-May-16,7.70,7.88,7.68,7.85,1151600
19-May-16,7.65,7.69,7.63,7.69,1648000
18-May-16,7.66,7.68,7.61,7.67,1956800
17-May-16,7.56,7.69,7.56,7.67,1692100
16-May-16,7.63,7.65,7.38,7.65,1829300
13-May-16,7.65,7.68,7.62,7.63,1854300
12-May-16,7.65,7.69,7.65,7.67,1917900
11-May-16,7.65,7.70,7.65,7.68,1760300
10-May-16,7.65,7.70,7.65,7.67,1704700
9-May-16,7.67,7.70,7.67,7.68,1412200
6-May-16,7.64,7.68,7.63,7.67,1886500
5-May-16,7.68,7.68,7.65,7.66,1720300
