Date,Open,High,Low,Close,Volume
7-Oct-16,3.15,3.15,3.15,3.15,6000
6-Oct-16,3.15,3.15,3.15,3.15,8000
5-Oct-16,3.15,3.15,3.15,3.15,13000
4-Oct-16,3.15,3.15,3.15,3.15,8000
30-Sep-16,-,-,-,3.15,0
29-Sep-16,3.15,3.15,3.15,3.15,2000
28-Sep-16,3.15,3.15,3.15,3.15,1000
27-Sep-16,3.15,3.15,3.15,3.15,7000
26-Sep-16,3.15,3.15,3.15,3.15,2000
23-Sep-16,-,-,-,3.13,0
22-Sep-16,3.15,3.15,3.13,3.13,2000
21-Sep-16,3.15,3.20,3.15,3.15,6000
20-Sep-16,3.18,3.20,3.18,3.20,14000
19-Sep-16,3.12,3.12,3.12,3.12,1000
15-Sep-16,3.15,3.15,3.15,3.15,4200
14-Sep-16,3.15,3.15,3.15,3.15,600
13-Sep-16,3.15,3.15,3.15,3.15,400
9-Sep-16,-,-,-,3.15,0
8-Sep-16,-,-,-,3.15,0
7-Sep-16,-,-,-,3.15,0
6-Sep-16,-,-,-,3.15,0
5-Sep-16,3.15,3.15,3.15,3.15,2000
2-Sep-16,-,-,-,3.15,0
1-Sep-16,-,-,-,3.15,0
30-Aug-16,3.17,3.17,3.15,3.15,4000
29-Aug-16,-,-,-,3.15,0
26-Aug-16,3.15,3.15,3.15,3.15,6000
25-Aug-16,3.15,3.15,3.15,3.15,5000
24-Aug-16,3.18,3.20,3.10,3.10,34700
23-Aug-16,3.16,3.16,3.15,3.15,2000
22-Aug-16,3.15,3.15,3.15,3.15,6000
19-Aug-16,3.15,3.15,3.12,3.15,4000
18-Aug-16,3.15,3.16,3.15,3.15,11000
17-Aug-16,-,-,-,3.15,0
16-Aug-16,3.12,3.15,3.12,3.15,27000
15-Aug-16,3.10,3.13,3.10,3.12,22000
12-Aug-16,3.03,3.10,3.01,3.08,13000
11-Aug-16,-,-,-,3.13,0
10-Aug-16,3.13,3.13,3.13,3.13,5000
9-Aug-16,3.03,3.03,3.01,3.01,3600
8-Aug-16,-,-,-,3.14,0
5-Aug-16,3.10,3.14,3.10,3.14,4000
4-Aug-16,3.12,3.15,3.12,3.15,4000
3-Aug-16,3.12,3.12,3.12,3.12,5000
2-Aug-16,3.10,3.10,3.10,3.10,6000
1-Aug-16,2.98,3.00,2.98,3.00,4600
29-Jul-16,-,-,-,2.95,0
28-Jul-16,2.95,2.95,2.95,2.95,3000
27-Jul-16,2.99,2.99,2.99,2.99,2000
26-Jul-16,2.96,2.96,2.95,2.95,5900
25-Jul-16,2.95,2.95,2.95,2.95,1500
22-Jul-16,2.95,2.95,2.95,2.95,5000
21-Jul-16,2.96,2.96,2.96,2.96,11500
20-Jul-16,-,-,-,2.95,0
19-Jul-16,2.99,2.99,2.91,2.95,24400
18-Jul-16,-,-,-,2.91,0
15-Jul-16,2.99,2.99,2.91,2.91,5000
14-Jul-16,2.99,2.99,2.95,2.95,5500
13-Jul-16,-,-,-,2.94,0
12-Jul-16,-,-,-,2.94,0
11-Jul-16,2.94,2.94,2.94,2.94,2000
8-Jul-16,2.90,2.90,2.90,2.90,2000
5-Jul-16,-,-,-,2.90,0
4-Jul-16,-,-,-,2.90,0
1-Jul-16,2.90,2.90,2.90,2.90,5100
30-Jun-16,2.90,2.90,2.90,2.90,1500
29-Jun-16,2.96,2.96,2.91,2.91,15000
28-Jun-16,3.05,3.10,2.86,2.95,26000
27-Jun-16,3.10,3.10,3.09,3.10,14000
24-Jun-16,3.10,3.10,3.09,3.10,14300
23-Jun-16,3.11,3.14,3.11,3.14,4800
21-Jun-16,3.11,3.15,3.11,3.11,15500
20-Jun-16,3.10,3.10,3.10,3.10,5000
17-Jun-16,-,-,-,3.17,0
16-Jun-16,3.15,3.17,3.15,3.17,6000
15-Jun-16,-,-,-,3.15,0
14-Jun-16,3.16,3.16,3.15,3.15,16500
13-Jun-16,3.17,3.17,3.15,3.15,7800
10-Jun-16,3.17,3.17,3.17,3.17,4500
9-Jun-16,3.20,3.20,3.17,3.17,11500
8-Jun-16,3.17,3.19,3.17,3.19,4000
7-Jun-16,3.15,3.15,3.15,3.15,8900
6-Jun-16,3.16,3.16,3.16,3.16,1100
3-Jun-16,3.16,3.16,3.16,3.16,11400
2-Jun-16,3.18,3.18,3.16,3.16,3800
