Date,Open,High,Low,Close,Volume
7-Oct-16,-,-,-,0.83,0
6-Oct-16,0.83,0.83,0.83,0.83,15000
5-Oct-16,-,-,-,0.82,0
4-Oct-16,0.82,0.82,0.82,0.82,12000
30-Sep-16,0.82,0.82,0.82,0.82,6800
29-Sep-16,0.85,0.86,0.82,0.86,9100
28-Sep-16,0.83,0.83,0.83,0.83,69400
27-Sep-16,0.84,0.84,0.84,0.84,16000
26-Sep-16,0.81,0.83,0.80,0.83,49200
23-Sep-16,0.83,0.83,0.81,0.81,70900
22-Sep-16,-,-,-,0.82,0
21-Sep-16,0.82,0.82,0.82,0.82,10000
20-Sep-16,-,-,-,0.82,0
19-Sep-16,0.82,0.82,0.82,0.82,1000
15-Sep-16,0.85,0.85,0.85,0.85,4000
14-Sep-16,-,-,-,0.82,0
13-Sep-16,-,-,-,0.82,0
9-Sep-16,-,-,-,0.82,0
8-Sep-16,0.82,0.82,0.82,0.82,2000
7-Sep-16,-,-,-,0.82,0
6-Sep-16,-,-,-,0.82,0
5-Sep-16,-,-,-,0.82,0
2-Sep-16,-,-,-,0.82,0
1-Sep-16,0.82,0.82,0.82,0.82,5000
30-Aug-16,0.90,0.90,0.90,0.90,1000
29-Aug-16,0.81,0.82,0.81,0.82,14500
26-Aug-16,0.82,0.82,0.82,0.82,10000
25-Aug-16,-,-,-,0.81,0
24-Aug-16,0.81,0.81,0.81,0.81,6000
23-Aug-16,0.82,0.82,0.81,0.81,40000
22-Aug-16,0.81,0.81,0.81,0.81,5000
19-Aug-16,0.85,0.85,0.85,0.85,5000
18-Aug-16,0.81,0.85,0.81,0.85,7000
17-Aug-16,0.81,0.81,0.81,0.81,7000
16-Aug-16,0.81,0.81,0.81,0.81,10000
15-Aug-16,0.81,0.81,0.81,0.81,500
12-Aug-16,-,-,-,0.81,0
11-Aug-16,-,-,-,0.81,0
10-Aug-16,0.81,0.81,0.81,0.81,1000
9-Aug-16,0.80,0.80,0.80,0.80,3000
8-Aug-16,-,-,-,0.82,0
5-Aug-16,-,-,-,0.82,0
4-Aug-16,-,-,-,0.82,0
3-Aug-16,-,-,-,0.82,0
2-Aug-16,0.82,0.82,0.82,0.82,35000
1-Aug-16,-,-,-,0.81,0
29-Jul-16,-,-,-,0.81,0
28-Jul-16,-,-,-,0.81,0
27-Jul-16,-,-,-,0.81,0
26-Jul-16,-,-,-,0.81,0
25-Jul-16,-,-,-,0.81,0
22-Jul-16,-,-,-,0.81,0
21-Jul-16,-,-,-,0.81,0
20-Jul-16,-,-,-,0.81,0
19-Jul-16,-,-,-,0.81,0
18-Jul-16,0.81,0.81,0.80,0.81,3000
15-Jul-16,-,-,-,0.79,0
14-Jul-16,-,-,-,0.79,0
13-Jul-16,-,-,-,0.79,0
12-Jul-16,0.79,0.79,0.79,0.79,200
11-Jul-16,-,-,-,0.85,0
8-Jul-16,0.85,0.85,0.84,0.85,3370900
5-Jul-16,-,-,-,0.86,0
4-Jul-16,-,-,-,0.86,0
1-Jul-16,-,-,-,0.86,0
30-Jun-16,0.85,0.86,0.85,0.86,47900
29-Jun-16,-,-,-,0.88,0
28-Jun-16,-,-,-,0.88,0
27-Jun-16,0.85,0.88,0.85,0.88,1100
24-Jun-16,0.88,0.88,0.85,0.85,26000
23-Jun-16,-,-,-,0.86,0
21-Jun-16,-,-,-,0.86,0
20-Jun-16,-,-,-,0.86,0
17-Jun-16,-,-,-,0.86,0
16-Jun-16,-,-,-,0.86,0
15-Jun-16,-,-,-,0.86,0
14-Jun-16,-,-,-,0.86,0
13-Jun-16,-,-,-,0.86,0
10-Jun-16,-,-,-,0.86,0
9-Jun-16,-,-,-,0.86,0
8-Jun-16,-,-,-,0.86,0
7-Jun-16,-,-,-,0.86,0
6-Jun-16,-,-,-,0.86,0
3-Jun-16,0.86,0.86,0.86,0.86,20000
2-Jun-16,0.86,0.86,0.86,0.86,7000
1-Jun-16,0.88,0.88,0.88,0.88,256000
31-May-16,0.87,0.87,0.86,0.86,107000
30-May-16,0.87,0.87,0.86,0.86,3000
27-May-16,-,-,-,0.92,0
26-May-16,-,-,-,0.92,0
25-May-16,0.92,0.92,0.92,0.92,100
24-May-16,0.87,0.87,0.87,0.87,9000
23-May-16,0.93,0.93,0.93,0.93,15000
20-May-16,-,-,-,0.93,0
19-May-16,-,-,-,0.93,0
18-May-16,-,-,-,0.93,0
17-May-16,-,-,-,0.93,0
16-May-16,0.88,0.93,0.88,0.93,3100
13-May-16,0.87,0.87,0.87,0.87,600
12-May-16,0.88,0.88,0.88,0.88,10000
11-May-16,-,-,-,0.90,0
10-May-16,-,-,-,0.90,0
9-May-16,0.90,0.90,0.90,0.90,7000
6-May-16,0.89,0.89,0.88,0.89,59000
5-May-16,-,-,-,0.88,0
4-May-16,0.88,0.88,0.88,0.88,10000
3-May-16,0.90,0.90,0.90,0.90,3000
29-Apr-16,0.90,0.90,0.90,0.90,5000
28-Apr-16,-,-,-,0.88,0
27-Apr-16,-,-,-,0.88,0
26-Apr-16,0.88,0.88,0.88,0.88,50000
25-Apr-16,-,-,-,0.88,0
22-Apr-16,-,-,-,0.88,0
21-Apr-16,0.88,0.88,0.88,0.88,7000
20-Apr-16,0.90,0.90,0.90,0.90,20000
19-Apr-16,0.88,0.88,0.88,0.88,30000
18-Apr-16,-,-,-,0.89,0
15-Apr-16,0.89,0.89,0.89,0.89,20000
14-Apr-16,0.90,0.90,0.90,0.90,40000
13-Apr-16,0.90,0.90,0.89,0.89,61100
12-Apr-16,-,-,-,0.90,0
11-Apr-16,0.90,0.90,0.90,0.90,242200
8-Apr-16,0.90,0.91,0.90,0.91,80100
7-Apr-16,0.90,0.90,0.90,0.90,60000
6-Apr-16,0.90,0.91,0.90,0.90,82100
5-Apr-16,0.92,0.92,0.90,0.91,128100
4-Apr-16,0.92,0.92,0.91,0.91,10000
1-Apr-16,0.93,0.93,0.92,0.92,20000
31-Mar-16,0.90,0.94,0.90,0.92,47800
30-Mar-16,0.91,0.91,0.90,0.90,3517400
29-Mar-16,0.91,0.91,0.90,0.91,2413000
28-Mar-16,0.90,0.95,0.90,0.90,720000
25-Mar-16,0.90,0.90,0.90,0.90,150000
24-Mar-16,-,-,-,0.95,0
23-Mar-16,-,-,-,0.95,0
22-Mar-16,-,-,-,0.95,0
21-Mar-16,0.90,0.95,0.90,0.95,18000
18-Mar-16,-,-,-,0.90,0
17-Mar-16,0.90,0.90,0.90,0.90,200
16-Mar-16,-,-,-,0.90,0
15-Mar-16,-,-,-,0.90,0
14-Mar-16,0.90,0.90,0.90,0.90,1000
11-Mar-16,0.90,0.90,0.90,0.90,1300
10-Mar-16,-,-,-,0.90,0
9-Mar-16,-,-,-,0.90,0
8-Mar-16,-,-,-,0.90,0
7-Mar-16,0.90,0.90,0.90,0.90,8000
4-Mar-16,0.90,0.90,0.90,0.90,13500
3-Mar-16,0.90,0.90,0.90,0.90,51000
2-Mar-16,-,-,-,0.90,0
1-Mar-16,0.90,0.90,0.90,0.90,5000
29-Feb-16,0.90,0.90,0.90,0.90,21000
26-Feb-16,0.90,0.90,0.90,0.90,30000
25-Feb-16,0.90,0.90,0.90,0.90,40000
24-Feb-16,0.91,0.91,0.91,0.91,44600
23-Feb-16,0.90,0.92,0.90,0.92,35400
22-Feb-16,0.91,0.91,0.91,0.91,30000
19-Feb-16,-,-,-,0.90,0
18-Feb-16,0.91,0.91,0.90,0.90,32000
17-Feb-16,0.91,0.91,0.91,0.91,201000
16-Feb-16,0.91,0.91,0.91,0.91,106000
15-Feb-16,0.91,0.91,0.91,0.91,250000
12-Feb-16,-,-,-,0.93,0
11-Feb-16,-,-,-,0.93,0
10-Feb-16,0.86,0.93,0.86,0.93,15000
5-Feb-16,0.91,0.91,0.91,0.91,21000
4-Feb-16,-,-,-,0.91,0
3-Feb-16,-,-,-,0.91,0
2-Feb-16,-,-,-,0.91,0
29-Jan-16,-,-,-,0.91,0
28-Jan-16,0.91,0.91,0.91,0.91,10000
