Date,Open,High,Low,Close,Volume
7-Oct-16,4.72,4.74,4.65,4.65,1350500
6-Oct-16,4.80,4.81,4.72,4.75,355700
5-Oct-16,4.76,4.84,4.76,4.80,1672100
4-Oct-16,4.60,4.79,4.60,4.75,2023800
30-Sep-16,4.64,4.68,4.60,4.64,1866900
29-Sep-16,4.65,4.68,4.64,4.64,356800
28-Sep-16,4.68,4.69,4.62,4.64,819900
27-Sep-16,4.56,4.68,4.56,4.68,3382700
26-Sep-16,4.60,4.61,4.56,4.60,2456100
23-Sep-16,4.55,4.60,4.55,4.60,1157800
22-Sep-16,4.46,4.58,4.45,4.55,1937800
21-Sep-16,4.45,4.48,4.44,4.46,2182700
20-Sep-16,4.42,4.46,4.42,4.45,715800
19-Sep-16,4.40,4.48,4.40,4.42,1337800
15-Sep-16,4.43,4.44,4.30,4.40,1239400
14-Sep-16,4.50,4.50,4.42,4.43,298400
13-Sep-16,4.55,4.58,4.48,4.55,903300
9-Sep-16,4.62,4.62,4.56,4.58,894500
8-Sep-16,4.61,4.61,4.54,4.60,921900
7-Sep-16,4.58,4.61,4.51,4.61,433500
6-Sep-16,4.52,4.60,4.52,4.59,1767900
5-Sep-16,4.50,4.54,4.49,4.51,2234000
2-Sep-16,4.47,4.57,4.46,4.50,2483500
1-Sep-16,4.38,4.47,4.36,4.45,1119200
30-Aug-16,4.39,4.40,4.37,4.38,442400
29-Aug-16,4.39,4.42,4.35,4.39,913600
26-Aug-16,4.30,4.41,4.30,4.40,572000
25-Aug-16,4.38,4.43,4.32,4.37,1015100
24-Aug-16,4.30,4.41,4.27,4.41,1471700
23-Aug-16,4.30,4.40,4.28,4.29,3276400
22-Aug-16,4.28,4.36,4.28,4.30,2412300
19-Aug-16,4.29,4.31,4.25,4.26,1735200
18-Aug-16,4.29,4.32,4.25,4.29,1889100
17-Aug-16,4.29,4.31,4.23,4.29,1760200
16-Aug-16,4.26,4.40,4.25,4.30,1852800
15-Aug-16,4.40,4.40,4.29,4.32,328300
12-Aug-16,4.35,4.40,4.30,4.40,1257800
11-Aug-16,4.35,4.43,4.21,4.31,1472200
10-Aug-16,4.27,4.35,4.24,4.35,810700
9-Aug-16,4.19,4.26,4.16,4.24,422000
8-Aug-16,4.18,4.20,4.10,4.20,455800
5-Aug-16,4.15,4.17,4.13,4.15,1518700
