Date,Open,High,Low,Close,Volume
7-Oct-16,17.74,17.76,17.56,17.76,17500
6-Oct-16,17.74,17.76,17.52,17.76,41900
5-Oct-16,17.76,17.78,17.74,17.76,93200
4-Oct-16,17.76,17.78,17.74,17.76,31100
30-Sep-16,17.74,17.76,17.72,17.74,106500
29-Sep-16,17.70,17.74,17.70,17.74,59100
28-Sep-16,17.70,17.70,17.68,17.70,22700
27-Sep-16,17.66,17.70,17.66,17.70,49000
26-Sep-16,17.56,17.74,17.56,17.68,434300
23-Sep-16,17.54,17.60,17.22,17.56,80700
22-Sep-16,17.50,17.66,17.50,17.60,105100
21-Sep-16,17.30,17.70,17.30,17.68,38500
20-Sep-16,17.44,17.60,17.44,17.54,26600
19-Sep-16,17.20,17.78,17.20,17.72,102400
15-Sep-16,17.00,17.20,17.00,17.20,89800
14-Sep-16,17.04,17.04,16.90,17.04,28800
13-Sep-16,17.38,17.38,16.48,17.22,200200
9-Sep-16,17.50,17.60,17.36,17.40,48700
8-Sep-16,18.00,18.00,17.50,17.56,84500
7-Sep-16,18.14,18.14,18.00,18.02,114300
6-Sep-16,18.20,18.44,18.18,18.34,8800
5-Sep-16,18.24,18.40,18.22,18.40,11000
2-Sep-16,18.24,18.24,18.18,18.24,16000
1-Sep-16,18.16,18.24,18.14,18.24,49100
30-Aug-16,18.18,18.22,18.16,18.16,88800
29-Aug-16,18.22,18.30,18.22,18.30,60800
26-Aug-16,18.42,18.46,18.42,18.44,5200
25-Aug-16,18.42,18.50,18.42,18.44,30300
24-Aug-16,18.58,18.58,18.40,18.40,69200
23-Aug-16,18.60,18.70,18.60,18.62,17200
22-Aug-16,18.54,18.74,18.54,18.54,33600
19-Aug-16,18.60,18.70,18.60,18.62,27200
18-Aug-16,18.60,18.68,18.54,18.60,67300
17-Aug-16,18.42,18.64,18.42,18.60,100600
16-Aug-16,18.50,18.74,18.50,18.66,143300
15-Aug-16,18.40,18.56,18.40,18.56,76900
12-Aug-16,18.24,18.50,18.22,18.46,235200
11-Aug-16,18.30,18.46,18.30,18.40,19700
10-Aug-16,18.32,18.46,18.32,18.44,97700
9-Aug-16,18.08,18.30,18.08,18.30,69500
8-Aug-16,18.08,18.10,18.02,18.08,60800
5-Aug-16,18.00,18.10,17.90,18.00,61600
4-Aug-16,18.00,18.28,17.98,18.00,59400
3-Aug-16,17.98,18.00,17.90,17.96,46600
2-Aug-16,17.98,18.00,17.90,17.98,27700
1-Aug-16,18.00,18.28,17.82,18.00,81700
29-Jul-16,18.38,18.40,18.00,18.00,49200
28-Jul-16,18.36,18.36,18.00,18.30,33000
27-Jul-16,18.36,18.38,18.30,18.36,27500
26-Jul-16,18.10,18.36,18.06,18.36,90000
25-Jul-16,17.78,18.10,17.78,18.08,61000
22-Jul-16,17.96,17.96,17.70,17.78,29900
21-Jul-16,18.00,18.00,17.88,17.90,58600
20-Jul-16,17.52,18.00,17.52,18.00,139000
19-Jul-16,17.06,17.60,17.06,17.50,196300
18-Jul-16,17.04,17.04,16.92,16.92,42400
15-Jul-16,17.04,17.06,17.00,17.06,69900
14-Jul-16,16.90,17.04,16.90,17.02,64000
13-Jul-16,16.70,17.00,16.40,16.80,272400
12-Jul-16,17.02,17.04,16.74,16.86,19000
11-Jul-16,16.80,17.10,16.76,17.04,172000
8-Jul-16,16.66,17.00,16.60,16.80,284200
5-Jul-16,16.10,16.72,16.08,16.68,148000
4-Jul-16,15.24,16.26,15.24,16.20,162600
1-Jul-16,15.30,15.46,15.30,15.46,95200
30-Jun-16,15.20,15.24,15.12,15.14,13500
29-Jun-16,15.30,15.30,15.12,15.26,19300
28-Jun-16,15.04,15.18,15.04,15.18,16500
27-Jun-16,15.02,15.12,15.00,15.12,24600
24-Jun-16,15.40,15.42,15.02,15.12,113300
23-Jun-16,14.96,15.40,14.96,15.40,124000
21-Jun-16,14.90,14.98,14.90,14.98,17800
20-Jun-16,14.92,14.92,14.90,14.90,25400
17-Jun-16,-,-,-,14.90,0
