Date,Open,High,Low,Close,Volume
7-Oct-16,1.03,1.03,1.02,1.02,8100
6-Oct-16,1.02,1.02,1.02,1.02,1100
5-Oct-16,-,-,-,1.02,0
4-Oct-16,-,-,-,1.02,0
30-Sep-16,1.02,1.02,1.02,1.02,5000
29-Sep-16,1.01,1.02,1.01,1.02,10100
28-Sep-16,-,-,-,1.05,0
27-Sep-16,-,-,-,1.05,0
26-Sep-16,-,-,-,1.05,0
23-Sep-16,1.05,1.05,1.05,1.05,2000
22-Sep-16,-,-,-,1.05,0
21-Sep-16,-,-,-,1.05,0
20-Sep-16,-,-,-,1.05,0
19-Sep-16,0.87,1.05,0.87,1.05,7900
15-Sep-16,-,-,-,1.00,0
14-Sep-16,-,-,-,1.00,0
13-Sep-16,-,-,-,1.00,0
9-Sep-16,-,-,-,1.00,0
8-Sep-16,-,-,-,1.00,0
7-Sep-16,1.00,1.00,1.00,1.00,1000
6-Sep-16,-,-,-,1.00,0
5-Sep-16,1.00,1.00,1.00,1.00,6000
2-Sep-16,-,-,-,1.01,0
1-Sep-16,-,-,-,1.01,0
30-Aug-16,-,-,-,1.01,0
29-Aug-16,-,-,-,1.01,0
26-Aug-16,-,-,-,1.01,0
25-Aug-16,-,-,-,1.01,0
24-Aug-16,1.01,1.01,1.01,1.01,3000
23-Aug-16,-,-,-,1.05,0
22-Aug-16,-,-,-,1.05,0
19-Aug-16,-,-,-,1.05,0
18-Aug-16,1.05,1.05,1.05,1.05,14700
17-Aug-16,-,-,-,1.03,0
16-Aug-16,-,-,-,1.03,0
15-Aug-16,-,-,-,1.03,0
12-Aug-16,-,-,-,1.03,0
11-Aug-16,-,-,-,1.03,0
10-Aug-16,1.03,1.03,1.03,1.03,3000
9-Aug-16,-,-,-,1.02,0
8-Aug-16,1.02,1.02,1.02,1.02,10000
5-Aug-16,1.01,1.01,1.01,1.01,30700
4-Aug-16,-,-,-,1.01,0
3-Aug-16,1.01,1.01,1.01,1.01,1300
2-Aug-16,1.01,1.01,1.01,1.01,5000
1-Aug-16,1.01,1.01,1.01,1.01,3000
29-Jul-16,0.98,1.03,0.98,1.03,4000
28-Jul-16,-,-,-,1.08,0
27-Jul-16,-,-,-,1.08,0
26-Jul-16,-,-,-,1.08,0
25-Jul-16,-,-,-,1.08,0
22-Jul-16,1.08,1.08,1.08,1.08,2000
21-Jul-16,-,-,-,1.04,0
20-Jul-16,-,-,-,1.04,0
19-Jul-16,-,-,-,1.04,0
18-Jul-16,-,-,-,1.04,0
15-Jul-16,-,-,-,1.04,0
14-Jul-16,-,-,-,1.04,0
13-Jul-16,-,-,-,1.04,0
12-Jul-16,1.04,1.04,1.04,1.04,5000
11-Jul-16,-,-,-,1.04,0
8-Jul-16,-,-,-,1.04,0
5-Jul-16,-,-,-,1.04,0
4-Jul-16,-,-,-,1.04,0
1-Jul-16,-,-,-,1.04,0
30-Jun-16,1.04,1.04,1.04,1.04,8500
29-Jun-16,-,-,-,1.03,0
28-Jun-16,-,-,-,1.03,0
27-Jun-16,-,-,-,1.03,0
24-Jun-16,1.05,1.05,1.03,1.03,6000
23-Jun-16,-,-,-,1.06,0
21-Jun-16,-,-,-,1.06,0
20-Jun-16,1.06,1.06,1.06,1.06,8900
17-Jun-16,-,-,-,1.08,0
16-Jun-16,-,-,-,1.08,0
15-Jun-16,-,-,-,1.08,0
14-Jun-16,1.09,1.09,1.08,1.08,15000
13-Jun-16,1.10,1.10,1.10,1.10,5000
10-Jun-16,-,-,-,1.05,0
9-Jun-16,-,-,-,1.05,0
8-Jun-16,-,-,-,1.05,0
7-Jun-16,-,-,-,1.05,0
6-Jun-16,-,-,-,1.05,0
3-Jun-16,-,-,-,1.05,0
2-Jun-16,-,-,-,1.05,0
1-Jun-16,-,-,-,1.05,0
31-May-16,-,-,-,1.05,0
30-May-16,1.05,1.05,1.05,1.05,2000
27-May-16,-,-,-,1.13,0
26-May-16,-,-,-,1.13,0
25-May-16,-,-,-,1.13,0
24-May-16,-,-,-,1.13,0
23-May-16,-,-,-,1.13,0
20-May-16,-,-,-,1.13,0
19-May-16,-,-,-,1.13,0
18-May-16,-,-,-,1.13,0
17-May-16,-,-,-,1.13,0
16-May-16,-,-,-,1.13,0
13-May-16,1.09,1.13,1.08,1.13,22000
12-May-16,1.08,1.08,1.08,1.08,18000
11-May-16,-,-,-,1.09,0
10-May-16,1.08,1.09,1.08,1.09,15000
9-May-16,1.10,1.10,1.10,1.10,15600
6-May-16,-,-,-,1.14,0
5-May-16,-,-,-,1.14,0
4-May-16,-,-,-,1.14,0
3-May-16,-,-,-,1.14,0
29-Apr-16,1.14,1.14,1.14,1.14,2000
28-Apr-16,1.14,1.14,1.14,1.14,15000
27-Apr-16,-,-,-,1.14,0
26-Apr-16,1.15,1.15,1.14,1.14,12000
25-Apr-16,-,-,-,1.20,0
22-Apr-16,-,-,-,1.20,0
21-Apr-16,-,-,-,1.20,0
20-Apr-16,1.16,1.20,1.16,1.20,10000
19-Apr-16,-,-,-,1.19,0
18-Apr-16,-,-,-,1.19,0
15-Apr-16,1.19,1.19,1.19,1.19,1000
14-Apr-16,1.19,1.19,1.19,1.19,6200
13-Apr-16,1.14,1.14,1.14,1.14,21300
12-Apr-16,-,-,-,1.14,0
11-Apr-16,-,-,-,1.14,0
8-Apr-16,1.13,1.14,1.13,1.14,4100
7-Apr-16,1.12,1.12,1.12,1.12,2000
6-Apr-16,1.13,1.13,1.13,1.13,4000
5-Apr-16,1.19,1.19,1.19,1.19,15200
4-Apr-16,1.14,1.19,1.12,1.19,38300
1-Apr-16,1.11,1.11,1.11,1.11,4000
31-Mar-16,1.12,1.12,1.12,1.12,5000
30-Mar-16,1.10,1.12,1.07,1.12,128900
29-Mar-16,-,-,-,1.18,0
28-Mar-16,-,-,-,1.18,0
25-Mar-16,-,-,-,1.18,0
24-Mar-16,-,-,-,1.18,0
23-Mar-16,1.18,1.18,1.18,1.18,3700
22-Mar-16,-,-,-,1.12,0
21-Mar-16,-,-,-,1.12,0
18-Mar-16,1.16,1.24,1.12,1.12,16400
17-Mar-16,-,-,-,1.20,0
16-Mar-16,-,-,-,1.20,0
15-Mar-16,1.20,1.20,1.20,1.20,100
14-Mar-16,1.15,1.28,1.15,1.25,33100
11-Mar-16,1.13,1.13,1.10,1.10,14100
10-Mar-16,1.10,1.15,1.10,1.13,73200
9-Mar-16,1.13,1.13,1.04,1.04,146000
8-Mar-16,1.11,1.11,1.10,1.11,17000
7-Mar-16,1.15,1.15,1.11,1.11,40400
4-Mar-16,1.15,1.24,1.14,1.17,96300
3-Mar-16,-,-,-,1.25,0
2-Mar-16,1.27,1.27,1.25,1.25,15100
1-Mar-16,1.32,1.32,1.32,1.32,1000
29-Feb-16,-,-,-,1.42,0
26-Feb-16,-,-,-,1.42,0
25-Feb-16,-,-,-,1.42,0
24-Feb-16,-,-,-,1.42,0
23-Feb-16,-,-,-,1.42,0
22-Feb-16,-,-,-,1.42,0
19-Feb-16,-,-,-,1.42,0
18-Feb-16,1.33,1.42,1.33,1.42,2700
17-Feb-16,-,-,-,1.33,0
16-Feb-16,-,-,-,1.33,0
15-Feb-16,1.25,1.33,1.25,1.33,32600
12-Feb-16,-,-,-,1.17,0
11-Feb-16,1.17,1.17,1.17,1.17,1800
10-Feb-16,1.10,1.18,1.10,1.18,4400
5-Feb-16,1.19,1.19,1.18,1.18,5200
4-Feb-16,1.21,1.21,1.20,1.20,5500
3-Feb-16,1.21,1.22,1.21,1.22,5700
2-Feb-16,1.23,1.25,1.23,1.25,300
29-Jan-16,1.23,1.23,1.21,1.23,5600
28-Jan-16,1.26,1.26,1.21,1.21,10300
27-Jan-16,1.27,1.29,1.26,1.26,15000
26-Jan-16,-,-,-,1.29,0
22-Jan-16,1.30,1.34,1.24,1.29,63200
21-Jan-16,1.39,1.39,1.36,1.36,8700
20-Jan-16,1.47,1.47,1.40,1.40,3400
19-Jan-16,1.40,1.55,1.40,1.55,10100
18-Jan-16,1.39,1.40,1.38,1.40,6300
15-Jan-16,1.49,1.49,1.34,1.38,28200
14-Jan-16,1.55,1.56,1.50,1.55,9300
13-Jan-16,1.58,1.58,1.55,1.56,34600
12-Jan-16,1.60,1.62,1.57,1.60,67000
11-Jan-16,1.62,1.70,1.55,1.57,72400
8-Jan-16,1.60,1.71,1.60,1.71,56600
7-Jan-16,1.67,1.75,1.55,1.65,186600
6-Jan-16,1.65,1.75,1.65,1.71,206300
5-Jan-16,1.53,1.66,1.52,1.65,150900
4-Jan-16,1.55,1.65,1.53,1.58,502700
31-Dec-15,1.80,1.80,1.58,1.65,966000
30-Dec-15,1.32,1.48,1.32,1.48,362200
29-Dec-15,-,-,-,1.14,0
28-Dec-15,-,-,-,1.14,0
23-Dec-15,-,-,-,1.14,0
22-Dec-15,-,-,-,1.14,0
21-Dec-15,1.14,1.14,1.14,1.14,1000
18-Dec-15,1.16,1.18,1.15,1.15,17100
17-Dec-15,1.15,1.15,1.15,1.15,3100
16-Dec-15,1.10,1.10,1.10,1.10,2000
15-Dec-15,-,-,-,1.07,0
14-Dec-15,-,-,-,1.07,0
11-Dec-15,-,-,-,1.07,0
10-Dec-15,-,-,-,1.07,0
9-Dec-15,-,-,-,1.07,0
8-Dec-15,-,-,-,1.07,0
7-Dec-15,1.07,1.07,1.07,1.07,1000
4-Dec-15,-,-,-,1.24,0
3-Dec-15,-,-,-,1.24,0
2-Dec-15,-,-,-,1.24,0
1-Dec-15,-,-,-,1.24,0
30-Nov-15,-,-,-,1.24,0
27-Nov-15,1.24,1.24,1.24,1.24,1000
26-Nov-15,1.15,1.15,1.12,1.12,2300
25-Nov-15,-,-,-,1.16,0
24-Nov-15,1.18,1.18,1.16,1.16,24300
23-Nov-15,1.17,1.17,1.17,1.17,1000
20-Nov-15,-,-,-,1.17,0
19-Nov-15,-,-,-,1.17,0
18-Nov-15,1.15,1.17,1.15,1.17,11800
17-Nov-15,-,-,-,1.10,0
16-Nov-15,-,-,-,1.10,0
13-Nov-15,-,-,-,1.10,0
12-Nov-15,1.19,1.19,1.10,1.10,24700
11-Nov-15,-,-,-,1.19,0
9-Nov-15,-,-,-,1.19,0
6-Nov-15,-,-,-,1.19,0
5-Nov-15,-,-,-,1.19,0
4-Nov-15,-,-,-,1.19,0
3-Nov-15,-,-,-,1.19,0
2-Nov-15,-,-,-,1.19,0
30-Oct-15,-,-,-,1.19,0
29-Oct-15,-,-,-,1.19,0
28-Oct-15,-,-,-,1.19,0
27-Oct-15,-,-,-,1.19,0
26-Oct-15,-,-,-,1.19,0
23-Oct-15,1.19,1.19,1.19,1.19,200
22-Oct-15,-,-,-,1.19,0
21-Oct-15,1.18,1.19,1.18,1.19,6000
20-Oct-15,1.19,1.19,1.19,1.19,2500
19-Oct-15,-,-,-,1.19,0
16-Oct-15,-,-,-,1.19,0
15-Oct-15,-,-,-,1.19,0
13-Oct-15,-,-,-,1.19,0
12-Oct-15,-,-,-,1.19,0
