Date,Open,High,Low,Close,Volume
7-Oct-16,0.81,0.82,0.80,0.80,113400
6-Oct-16,0.81,0.82,0.80,0.82,152000
5-Oct-16,0.80,0.80,0.80,0.80,132500
4-Oct-16,0.80,0.80,0.80,0.80,185500
30-Sep-16,0.80,0.80,0.80,0.80,164000
29-Sep-16,0.80,0.80,0.80,0.80,160300
28-Sep-16,0.80,0.81,0.80,0.81,138200
27-Sep-16,0.80,0.82,0.80,0.80,187600
26-Sep-16,0.80,0.82,0.80,0.82,104200
23-Sep-16,0.82,0.82,0.82,0.82,170600
22-Sep-16,0.82,0.82,0.81,0.82,289400
21-Sep-16,0.82,0.82,0.82,0.82,242800
20-Sep-16,0.82,0.82,0.82,0.82,118500
19-Sep-16,0.82,0.83,0.82,0.82,402300
15-Sep-16,0.83,0.83,0.82,0.83,60100
14-Sep-16,0.82,0.84,0.82,0.84,225500
13-Sep-16,0.83,0.83,0.82,0.82,73000
9-Sep-16,0.84,0.84,0.84,0.84,146800
8-Sep-16,0.84,0.84,0.82,0.84,276900
7-Sep-16,0.83,0.84,0.83,0.84,454100
6-Sep-16,0.82,0.83,0.82,0.82,109900
5-Sep-16,0.83,0.84,0.82,0.82,112500
2-Sep-16,0.82,0.83,0.82,0.82,296400
1-Sep-16,0.82,0.82,0.82,0.82,110500
30-Aug-16,0.83,0.84,0.82,0.83,112100
29-Aug-16,0.84,0.84,0.83,0.84,41900
26-Aug-16,0.84,0.84,0.83,0.84,53300
25-Aug-16,0.86,0.86,0.82,0.83,273700
24-Aug-16,0.84,0.84,0.84,0.84,109000
23-Aug-16,0.86,0.86,0.84,0.85,217000
22-Aug-16,0.86,0.87,0.86,0.86,251000
19-Aug-16,0.86,0.86,0.85,0.86,401500
18-Aug-16,0.87,0.88,0.86,0.86,119700
17-Aug-16,0.88,0.88,0.86,0.87,132000
16-Aug-16,0.86,0.88,0.85,0.88,958700
15-Aug-16,0.86,0.87,0.85,0.86,1240700
12-Aug-16,0.84,0.86,0.83,0.85,945000
11-Aug-16,0.82,0.84,0.82,0.84,507400
10-Aug-16,0.82,0.82,0.82,0.82,14500
9-Aug-16,0.82,0.82,0.82,0.82,97900
8-Aug-16,0.82,0.83,0.81,0.82,306000
5-Aug-16,0.82,0.82,0.81,0.81,147000
4-Aug-16,0.80,0.82,0.80,0.82,117300
3-Aug-16,0.80,0.80,0.80,0.80,169200
2-Aug-16,0.81,0.81,0.80,0.80,194300
1-Aug-16,0.81,0.82,0.81,0.81,137700
29-Jul-16,0.82,0.82,0.82,0.82,189400
28-Jul-16,0.82,0.82,0.82,0.82,429800
27-Jul-16,0.81,0.82,0.81,0.82,498800
26-Jul-16,0.81,0.82,0.80,0.80,364400
25-Jul-16,0.81,0.82,0.81,0.82,180600
22-Jul-16,0.80,0.82,0.80,0.82,904300
21-Jul-16,0.82,0.82,0.80,0.81,486700
20-Jul-16,0.82,0.84,0.82,0.82,1682100
19-Jul-16,0.79,0.80,0.79,0.80,212100
18-Jul-16,0.78,0.80,0.78,0.80,601000
15-Jul-16,0.80,0.80,0.78,0.80,216300
14-Jul-16,0.81,0.82,0.80,0.80,233600
13-Jul-16,0.80,0.82,0.78,0.82,572300
12-Jul-16,0.78,0.80,0.78,0.79,87800
11-Jul-16,0.77,0.78,0.77,0.78,40500
8-Jul-16,0.78,0.78,0.76,0.78,112200
5-Jul-16,0.78,0.78,0.77,0.78,95300
4-Jul-16,0.78,0.79,0.78,0.78,151500
1-Jul-16,0.78,0.79,0.75,0.78,257600
30-Jun-16,0.79,0.80,0.78,0.80,283000
29-Jun-16,0.79,0.80,0.78,0.79,235000
28-Jun-16,0.78,0.79,0.78,0.79,218200
27-Jun-16,0.78,0.79,0.77,0.78,269800
24-Jun-16,0.81,0.81,0.78,0.79,395900
23-Jun-16,0.80,0.82,0.80,0.81,267700
21-Jun-16,0.82,0.82,0.80,0.80,500200
20-Jun-16,0.82,0.82,0.82,0.82,260600
17-Jun-16,0.82,0.82,0.82,0.82,44400
16-Jun-16,0.83,0.83,0.83,0.83,230100
15-Jun-16,0.83,0.84,0.83,0.83,121300
14-Jun-16,0.83,0.84,0.83,0.84,239800
13-Jun-16,0.83,0.84,0.83,0.83,641900
10-Jun-16,0.83,0.84,0.83,0.84,271300
9-Jun-16,0.84,0.84,0.83,0.84,196700
8-Jun-16,0.84,0.84,0.84,0.84,85200
7-Jun-16,0.83,0.85,0.83,0.84,747600
6-Jun-16,0.82,0.82,0.82,0.82,521700
3-Jun-16,0.82,0.83,0.82,0.82,328800
2-Jun-16,0.82,0.83,0.82,0.82,308600
1-Jun-16,0.82,0.84,0.82,0.83,158100
31-May-16,0.84,0.84,0.82,0.82,358500
30-May-16,0.83,0.84,0.82,0.84,226000
27-May-16,0.84,0.84,0.84,0.84,251100
26-May-16,0.84,0.84,0.84,0.84,142900
25-May-16,0.87,0.88,0.84,0.85,412400
24-May-16,0.84,0.86,0.84,0.86,776300
23-May-16,0.84,0.84,0.83,0.84,131900
20-May-16,0.84,0.84,0.84,0.84,131500
