Date,Open,High,Low,Close,Volume
7-Oct-16,0.37,0.38,0.37,0.37,1182100
6-Oct-16,0.38,0.38,0.37,0.37,294100
5-Oct-16,0.38,0.38,0.37,0.37,173000
4-Oct-16,0.38,0.38,0.38,0.38,417800
30-Sep-16,0.38,0.38,0.38,0.38,388100
29-Sep-16,0.38,0.38,0.38,0.38,264300
28-Sep-16,0.37,0.38,0.37,0.38,1330100
27-Sep-16,0.38,0.38,0.37,0.37,427300
26-Sep-16,0.38,0.38,0.37,0.38,457000
23-Sep-16,0.38,0.38,0.37,0.38,2338000
22-Sep-16,0.38,0.38,0.37,0.38,1465600
21-Sep-16,0.38,0.38,0.37,0.38,707900
20-Sep-16,0.38,0.38,0.37,0.38,768600
19-Sep-16,0.38,0.38,0.38,0.38,808500
15-Sep-16,0.38,0.38,0.38,0.38,751400
14-Sep-16,0.38,0.38,0.38,0.38,603600
13-Sep-16,0.38,0.38,0.38,0.38,1127300
9-Sep-16,0.39,0.39,0.38,0.39,728300
8-Sep-16,0.40,0.40,0.39,0.39,525300
7-Sep-16,0.40,0.40,0.39,0.39,853900
6-Sep-16,0.40,0.40,0.39,0.39,758900
5-Sep-16,0.40,0.40,0.39,0.39,673300
2-Sep-16,0.40,0.40,0.39,0.39,195500
1-Sep-16,0.40,0.40,0.39,0.40,457500
30-Aug-16,0.40,0.40,0.38,0.39,473700
29-Aug-16,0.39,0.40,0.39,0.40,297000
26-Aug-16,0.39,0.40,0.38,0.39,441200
25-Aug-16,0.40,0.40,0.38,0.38,368000
24-Aug-16,0.39,0.39,0.39,0.39,366500
23-Aug-16,0.39,0.40,0.39,0.39,851000
22-Aug-16,0.40,0.40,0.39,0.39,401600
19-Aug-16,0.40,0.40,0.39,0.40,1418100
18-Aug-16,0.40,0.40,0.40,0.40,982100
17-Aug-16,0.40,0.40,0.40,0.40,495500
16-Aug-16,0.40,0.40,0.40,0.40,818500
15-Aug-16,0.40,0.40,0.40,0.40,484900
12-Aug-16,0.40,0.40,0.40,0.40,224100
11-Aug-16,0.40,0.40,0.40,0.40,430900
10-Aug-16,0.41,0.41,0.40,0.40,545800
9-Aug-16,0.40,0.41,0.40,0.41,975600
8-Aug-16,0.40,0.40,0.40,0.40,284200
5-Aug-16,0.40,0.40,0.40,0.40,113500
4-Aug-16,0.40,0.40,0.40,0.40,307100
3-Aug-16,0.40,0.40,0.40,0.40,540000
2-Aug-16,0.40,0.40,0.40,0.40,462100
1-Aug-16,0.40,0.40,0.40,0.40,428300
29-Jul-16,0.41,0.41,0.40,0.40,755400
28-Jul-16,0.40,0.41,0.40,0.41,843600
27-Jul-16,0.40,0.41,0.40,0.41,680800
26-Jul-16,0.40,0.40,0.40,0.40,64700
25-Jul-16,0.40,0.41,0.40,0.40,570900
22-Jul-16,0.40,0.40,0.40,0.40,1097000
21-Jul-16,0.40,0.40,0.40,0.40,312500
20-Jul-16,0.40,0.41,0.40,0.40,494800
19-Jul-16,0.40,0.41,0.40,0.40,1607500
18-Jul-16,0.40,0.40,0.40,0.40,2913500
15-Jul-16,0.38,0.40,0.38,0.39,836100
14-Jul-16,0.38,0.38,0.38,0.38,377800
13-Jul-16,0.38,0.38,0.38,0.38,412100
12-Jul-16,0.38,0.38,0.38,0.38,200600
11-Jul-16,0.38,0.38,0.38,0.38,177000
8-Jul-16,0.38,0.38,0.38,0.38,185100
5-Jul-16,0.38,0.39,0.38,0.38,89600
4-Jul-16,0.38,0.38,0.38,0.38,333200
1-Jul-16,0.39,0.39,0.38,0.38,112000
30-Jun-16,0.38,0.40,0.38,0.38,1016100
29-Jun-16,0.38,0.39,0.38,0.38,991200
28-Jun-16,0.38,0.38,0.38,0.38,174700
27-Jun-16,0.37,0.38,0.37,0.38,288400
24-Jun-16,0.38,0.38,0.38,0.38,771500
23-Jun-16,0.38,0.38,0.38,0.38,231500
21-Jun-16,0.38,0.38,0.38,0.38,146000
20-Jun-16,0.38,0.38,0.38,0.38,550200
17-Jun-16,0.38,0.38,0.38,0.38,275200
16-Jun-16,0.38,0.39,0.38,0.38,830000
15-Jun-16,0.38,0.39,0.38,0.39,560300
14-Jun-16,0.38,0.39,0.38,0.39,430500
13-Jun-16,0.39,0.39,0.38,0.38,652200
10-Jun-16,0.40,0.40,0.39,0.39,904300
9-Jun-16,0.40,0.40,0.40,0.40,599000
8-Jun-16,0.41,0.41,0.40,0.40,959100
7-Jun-16,0.40,0.41,0.40,0.41,1368500
6-Jun-16,0.39,0.40,0.39,0.40,3507800
3-Jun-16,0.39,0.39,0.38,0.38,1031700
2-Jun-16,0.38,0.39,0.38,0.39,1683100
1-Jun-16,0.38,0.38,0.38,0.38,236600
31-May-16,0.38,0.38,0.38,0.38,1557900
30-May-16,0.38,0.38,0.38,0.38,460100
27-May-16,0.38,0.38,0.38,0.38,971300
26-May-16,0.39,0.39,0.38,0.38,1619500
25-May-16,0.40,0.40,0.38,0.39,3411700
24-May-16,0.40,0.40,0.40,0.40,689900
23-May-16,0.40,0.40,0.40,0.40,360400
20-May-16,0.40,0.40,0.40,0.40,792000
19-May-16,0.40,0.41,0.40,0.40,502900
18-May-16,0.41,0.41,0.40,0.40,272000
17-May-16,0.40,0.41,0.40,0.41,291700
16-May-16,0.41,0.41,0.40,0.40,604000
13-May-16,0.41,0.41,0.40,0.40,741000
12-May-16,0.42,0.42,0.40,0.41,1900400
11-May-16,0.42,0.42,0.41,0.41,771800
10-May-16,0.41,0.42,0.40,0.41,1789600
9-May-16,0.42,0.42,0.40,0.41,1852400
6-May-16,0.42,0.42,0.42,0.42,440500
5-May-16,0.42,0.42,0.41,0.42,686500
4-May-16,0.42,0.42,0.42,0.42,429600
3-May-16,0.42,0.42,0.42,0.42,926500
29-Apr-16,0.42,0.43,0.42,0.43,504300
28-Apr-16,0.42,0.42,0.42,0.42,564500
27-Apr-16,0.42,0.43,0.42,0.42,596900
26-Apr-16,0.43,0.43,0.42,0.42,1360500
25-Apr-16,0.44,0.44,0.43,0.43,524600
22-Apr-16,0.44,0.44,0.44,0.44,216600
21-Apr-16,0.44,0.44,0.44,0.44,624000
20-Apr-16,0.44,0.44,0.44,0.44,971100
19-Apr-16,0.44,0.44,0.44,0.44,446500
18-Apr-16,0.44,0.44,0.44,0.44,231900
15-Apr-16,0.44,0.44,0.44,0.44,593800
14-Apr-16,0.44,0.44,0.44,0.44,654700
13-Apr-16,0.44,0.44,0.44,0.44,251900
12-Apr-16,0.44,0.44,0.44,0.44,415800
11-Apr-16,0.44,0.44,0.44,0.44,238200
8-Apr-16,0.44,0.44,0.44,0.44,325000
7-Apr-16,0.45,0.46,0.44,0.44,1701600
6-Apr-16,0.44,0.45,0.44,0.45,778300
5-Apr-16,0.44,0.44,0.44,0.44,371300
4-Apr-16,0.44,0.44,0.44,0.44,550000
1-Apr-16,0.44,0.44,0.44,0.44,215000
31-Mar-16,0.44,0.44,0.44,0.44,147100
30-Mar-16,0.44,0.44,0.44,0.44,428200
29-Mar-16,0.44,0.44,0.44,0.44,301000
28-Mar-16,0.44,0.44,0.44,0.44,232000
25-Mar-16,0.44,0.44,0.44,0.44,903000
24-Mar-16,0.44,0.45,0.44,0.45,110200
23-Mar-16,0.45,0.45,0.44,0.45,511400
22-Mar-16,0.44,0.45,0.44,0.44,726000
21-Mar-16,0.44,0.44,0.44,0.44,562900
18-Mar-16,0.44,0.44,0.44,0.44,227600
17-Mar-16,0.44,0.44,0.44,0.44,305800
16-Mar-16,0.44,0.44,0.44,0.44,253600
15-Mar-16,0.44,0.44,0.44,0.44,340200
14-Mar-16,0.44,0.44,0.44,0.44,958800
11-Mar-16,0.44,0.44,0.44,0.44,202000
10-Mar-16,0.44,0.44,0.44,0.44,331200
9-Mar-16,0.44,0.44,0.44,0.44,574500
8-Mar-16,0.44,0.44,0.44,0.44,894400
7-Mar-16,0.44,0.44,0.44,0.44,936800
4-Mar-16,0.44,0.44,0.44,0.44,366600
3-Mar-16,0.44,0.44,0.44,0.44,558900
2-Mar-16,0.44,0.44,0.44,0.44,606400
1-Mar-16,0.44,0.44,0.44,0.44,1264400
29-Feb-16,0.45,0.45,0.44,0.44,1902400
26-Feb-16,0.45,0.45,0.44,0.44,1625000
25-Feb-16,0.46,0.46,0.44,0.45,3798700
24-Feb-16,0.46,0.46,0.45,0.46,2655000
23-Feb-16,0.46,0.48,0.46,0.46,13175700
22-Feb-16,0.46,0.48,0.46,0.46,7492400
19-Feb-16,0.46,0.48,0.46,0.47,5156800
18-Feb-16,0.46,0.46,0.46,0.46,686000
17-Feb-16,0.46,0.46,0.46,0.46,830700
16-Feb-16,0.46,0.46,0.46,0.46,1195200
15-Feb-16,0.46,0.46,0.45,0.46,1641000
12-Feb-16,0.46,0.46,0.45,0.45,156900
11-Feb-16,0.46,0.46,0.46,0.46,459800
10-Feb-16,0.46,0.46,0.46,0.46,419800
5-Feb-16,0.47,0.47,0.46,0.46,609000
4-Feb-16,0.46,0.47,0.46,0.46,1456900
3-Feb-16,0.46,0.46,0.46,0.46,515200
2-Feb-16,0.46,0.46,0.46,0.46,274000
29-Jan-16,0.46,0.46,0.46,0.46,1492400
28-Jan-16,0.45,0.46,0.45,0.46,738200
27-Jan-16,0.45,0.46,0.45,0.46,1229700
26-Jan-16,0.46,0.46,0.45,0.45,2081700
22-Jan-16,0.46,0.46,0.46,0.46,1803700
21-Jan-16,0.46,0.46,0.44,0.46,3381200
20-Jan-16,0.46,0.47,0.46,0.46,3575800
19-Jan-16,0.46,0.46,0.46,0.46,1638200
18-Jan-16,0.46,0.46,0.46,0.46,2183400
15-Jan-16,0.47,0.48,0.46,0.46,2514400
14-Jan-16,0.48,0.48,0.47,0.47,3563000
13-Jan-16,0.46,0.48,0.46,0.48,9370400
12-Jan-16,0.46,0.46,0.45,0.46,4367000
11-Jan-16,0.46,0.46,0.44,0.46,3686000
8-Jan-16,0.46,0.46,0.45,0.46,2947100
7-Jan-16,0.46,0.46,0.46,0.46,2358600
6-Jan-16,0.46,0.46,0.46,0.46,1637900
5-Jan-16,0.46,0.46,0.46,0.46,1603900
4-Jan-16,0.47,0.48,0.46,0.46,3336500
