Date,Open,High,Low,Close,Volume
7-Oct-16,1.77,1.77,1.73,1.73,236800
6-Oct-16,1.75,1.78,1.74,1.75,2988600
5-Oct-16,1.75,1.75,1.75,1.75,1437400
4-Oct-16,1.75,1.75,1.72,1.75,400800
30-Sep-16,1.75,1.76,1.74,1.75,1913600
29-Sep-16,1.75,1.76,1.75,1.75,968600
28-Sep-16,1.74,1.75,1.74,1.75,989900
27-Sep-16,1.74,1.76,1.74,1.75,1003500
26-Sep-16,1.75,1.76,1.75,1.75,516100
23-Sep-16,1.74,1.76,1.73,1.75,138100
22-Sep-16,1.77,1.77,1.75,1.75,863100
21-Sep-16,1.74,1.76,1.74,1.75,810800
20-Sep-16,1.74,1.75,1.73,1.73,334000
19-Sep-16,1.74,1.74,1.73,1.73,44900
15-Sep-16,1.73,1.75,1.73,1.75,58700
14-Sep-16,1.72,1.74,1.72,1.74,662100
13-Sep-16,1.78,1.78,1.73,1.73,235300
9-Sep-16,1.78,1.79,1.77,1.78,238800
8-Sep-16,1.78,1.79,1.77,1.78,137600
7-Sep-16,1.77,1.79,1.76,1.78,382100
6-Sep-16,1.76,1.78,1.76,1.77,314100
5-Sep-16,1.74,1.77,1.74,1.76,88000
2-Sep-16,1.75,1.76,1.74,1.76,1015100
1-Sep-16,1.75,1.76,1.74,1.75,528600
30-Aug-16,1.72,1.77,1.72,1.76,140000
29-Aug-16,1.74,1.75,1.73,1.73,47000
26-Aug-16,1.75,1.75,1.74,1.74,84200
25-Aug-16,1.75,1.77,1.74,1.75,290300
24-Aug-16,1.75,1.77,1.75,1.76,809000
23-Aug-16,1.75,1.78,1.75,1.75,255900
22-Aug-16,1.72,1.75,1.71,1.75,775300
19-Aug-16,1.75,1.76,1.72,1.73,1014300
18-Aug-16,1.83,1.85,1.73,1.77,3436400
17-Aug-16,1.83,1.85,1.83,1.83,556500
16-Aug-16,1.83,1.86,1.80,1.83,1852700
15-Aug-16,1.85,1.85,1.83,1.83,529600
12-Aug-16,1.86,1.88,1.85,1.85,1359000
11-Aug-16,1.86,1.86,1.83,1.86,1721800
10-Aug-16,1.86,1.88,1.85,1.85,1061100
9-Aug-16,1.84,1.87,1.84,1.87,475000
8-Aug-16,1.81,1.87,1.81,1.85,1711900
5-Aug-16,1.82,1.82,1.79,1.81,141700
4-Aug-16,1.81,1.82,1.81,1.82,1089300
3-Aug-16,1.81,1.82,1.79,1.81,1030100
2-Aug-16,1.78,1.81,1.76,1.81,1390700
1-Aug-16,1.76,1.78,1.75,1.78,852400
29-Jul-16,1.79,1.80,1.76,1.78,173500
28-Jul-16,1.76,1.80,1.76,1.80,1213000
27-Jul-16,1.80,1.80,1.76,1.78,911800
26-Jul-16,1.78,1.80,1.76,1.79,1182900
25-Jul-16,1.78,1.82,1.77,1.79,2932700
22-Jul-16,1.78,1.79,1.75,1.78,1460700
21-Jul-16,1.77,1.78,1.72,1.78,3507400
20-Jul-16,1.70,1.77,1.70,1.76,3585900
19-Jul-16,1.72,1.73,1.68,1.69,1950200
18-Jul-16,1.70,1.70,1.69,1.69,262400
15-Jul-16,1.70,1.70,1.69,1.70,633900
14-Jul-16,1.70,1.70,1.69,1.70,625000
13-Jul-16,1.70,1.70,1.69,1.70,515700
12-Jul-16,1.70,1.70,1.69,1.70,200500
11-Jul-16,1.68,1.71,1.68,1.70,41600
8-Jul-16,1.70,1.70,1.68,1.68,352900
5-Jul-16,1.70,1.70,1.70,1.70,10700
4-Jul-16,1.71,1.71,1.70,1.71,33800
1-Jul-16,1.70,1.72,1.70,1.70,925800
30-Jun-16,1.69,1.71,1.69,1.70,233700
29-Jun-16,1.66,1.69,1.66,1.68,412000
28-Jun-16,1.65,1.66,1.65,1.66,65800
27-Jun-16,1.62,1.66,1.62,1.65,75700
24-Jun-16,1.66,1.66,1.61,1.65,585600
23-Jun-16,1.68,1.68,1.66,1.66,572200
21-Jun-16,1.70,1.70,1.66,1.68,185900
20-Jun-16,1.68,1.69,1.65,1.69,242000
17-Jun-16,1.68,1.68,1.68,1.68,88300
16-Jun-16,1.70,1.70,1.63,1.66,815100
15-Jun-16,1.70,1.71,1.68,1.69,567100
14-Jun-16,1.72,1.73,1.69,1.71,518300
13-Jun-16,1.72,1.72,1.70,1.71,153900
10-Jun-16,1.73,1.74,1.71,1.73,124200
9-Jun-16,1.73,1.75,1.71,1.73,1894000
8-Jun-16,1.70,1.71,1.70,1.70,1099800
7-Jun-16,1.71,1.71,1.69,1.70,191300
6-Jun-16,1.71,1.72,1.69,1.71,672000
3-Jun-16,1.72,1.72,1.71,1.72,376600
2-Jun-16,1.70,1.73,1.70,1.72,628100
1-Jun-16,1.71,1.71,1.69,1.70,135000
31-May-16,1.69,1.72,1.69,1.71,522800
30-May-16,1.68,1.69,1.67,1.69,115900
27-May-16,1.67,1.70,1.67,1.69,956100
26-May-16,1.67,1.69,1.67,1.68,596500
25-May-16,1.70,1.70,1.66,1.68,1611500
24-May-16,1.73,1.73,1.69,1.69,923100
23-May-16,1.75,1.76,1.71,1.73,983400
20-May-16,1.68,1.75,1.67,1.75,1522400
19-May-16,1.69,1.72,1.69,1.69,1267400
18-May-16,1.76,1.76,1.69,1.69,2436000
17-May-16,1.77,1.78,1.75,1.77,866800
16-May-16,1.81,1.81,1.77,1.77,444500
13-May-16,1.79,1.81,1.79,1.80,776400
12-May-16,1.80,1.80,1.78,1.78,663400
11-May-16,1.80,1.81,1.79,1.79,354400
10-May-16,1.82,1.82,1.79,1.79,1404500
9-May-16,1.86,1.87,1.80,1.80,2277300
6-May-16,1.80,1.86,1.80,1.82,2158300
5-May-16,1.82,1.83,1.80,1.80,742100
4-May-16,1.80,1.84,1.79,1.80,871000
3-May-16,1.83,1.84,1.79,1.80,1052300
29-Apr-16,1.83,1.83,1.80,1.82,1080400
28-Apr-16,1.88,1.90,1.83,1.83,290300
27-Apr-16,1.90,1.90,1.87,1.87,364100
26-Apr-16,1.91,1.93,1.88,1.90,742100
25-Apr-16,1.93,1.93,1.90,1.90,101800
22-Apr-16,1.93,1.94,1.92,1.93,991400
21-Apr-16,1.93,1.95,1.92,1.93,933500
20-Apr-16,1.93,1.94,1.92,1.93,2233500
19-Apr-16,1.91,1.93,1.91,1.93,2243700
18-Apr-16,1.88,1.91,1.87,1.91,2317900
15-Apr-16,1.93,1.93,1.87,1.90,1094400
14-Apr-16,1.96,1.98,1.92,1.93,649400
13-Apr-16,1.99,1.99,1.95,1.96,722700
12-Apr-16,1.99,2.00,1.98,1.99,168600
11-Apr-16,2.00,2.00,1.99,2.00,947800
8-Apr-16,2.01,2.01,2.00,2.00,463000
7-Apr-16,2.01,2.01,2.00,2.00,1434900
6-Apr-16,2.03,2.03,2.00,2.01,726900
5-Apr-16,2.03,2.04,2.01,2.04,1241500
4-Apr-16,2.02,2.05,2.01,2.03,961800
1-Apr-16,2.01,2.03,2.00,2.02,2276000
31-Mar-16,2.01,2.03,1.97,2.00,3293300
30-Mar-16,2.01,2.05,2.00,2.01,2254700
29-Mar-16,2.02,2.04,2.01,2.01,1149800
28-Mar-16,2.05,2.06,2.02,2.02,1300600
25-Mar-16,2.05,2.05,2.02,2.04,1156600
24-Mar-16,2.05,2.05,2.03,2.05,1018600
23-Mar-16,2.08,2.08,2.04,2.05,678900
22-Mar-16,2.10,2.12,2.03,2.07,4136100
21-Mar-16,2.13,2.14,2.09,2.09,5315500
18-Mar-16,2.05,2.14,2.04,2.10,12151500
