Date,Open,High,Low,Close,Volume
7-Oct-16,0.55,0.57,0.54,0.57,7900
6-Oct-16,-,-,-,0.58,0
5-Oct-16,0.55,0.58,0.55,0.58,1300
4-Oct-16,0.57,0.57,0.56,0.56,2000
30-Sep-16,0.56,0.60,0.54,0.55,26900
29-Sep-16,-,-,-,0.60,0
28-Sep-16,0.57,0.62,0.57,0.60,5400
27-Sep-16,-,-,-,0.57,0
26-Sep-16,0.56,0.57,0.55,0.57,2000
23-Sep-16,0.58,0.58,0.58,0.58,300
22-Sep-16,-,-,-,0.54,0
21-Sep-16,-,-,-,0.54,0
20-Sep-16,0.60,0.60,0.54,0.54,7000
19-Sep-16,0.58,0.58,0.58,0.58,5000
15-Sep-16,0.58,0.58,0.58,0.58,300
14-Sep-16,-,-,-,0.54,0
13-Sep-16,-,-,-,0.54,0
9-Sep-16,0.54,0.54,0.54,0.54,7000
8-Sep-16,0.55,0.56,0.54,0.54,42000
7-Sep-16,0.56,0.56,0.56,0.56,100
6-Sep-16,0.54,0.58,0.54,0.57,46900
5-Sep-16,-,-,-,0.58,0
2-Sep-16,-,-,-,0.58,0
1-Sep-16,0.55,0.58,0.55,0.58,20800
30-Aug-16,0.60,0.60,0.60,0.60,200
29-Aug-16,0.56,0.58,0.56,0.58,36300
26-Aug-16,0.55,0.55,0.54,0.54,426300
25-Aug-16,0.55,0.55,0.55,0.55,9900
24-Aug-16,-,-,-,0.56,0
23-Aug-16,0.56,0.56,0.56,0.56,68400
22-Aug-16,-,-,-,0.56,0
19-Aug-16,0.58,0.58,0.56,0.56,70700
18-Aug-16,0.56,0.58,0.56,0.56,14000
17-Aug-16,-,-,-,0.56,0
16-Aug-16,-,-,-,0.56,0
15-Aug-16,0.58,0.58,0.56,0.56,22100
12-Aug-16,0.57,0.58,0.56,0.58,24500
11-Aug-16,0.56,0.56,0.56,0.56,5000
10-Aug-16,-,-,-,0.58,0
9-Aug-16,0.56,0.58,0.55,0.58,209800
8-Aug-16,0.52,0.52,0.52,0.52,1200
5-Aug-16,0.55,0.55,0.55,0.55,2000
4-Aug-16,0.53,0.55,0.51,0.54,4400
3-Aug-16,-,-,-,0.51,0
2-Aug-16,-,-,-,0.51,0
1-Aug-16,-,-,-,0.51,0
29-Jul-16,-,-,-,0.51,0
28-Jul-16,-,-,-,0.51,0
27-Jul-16,0.51,0.51,0.51,0.51,30000
26-Jul-16,0.52,0.52,0.52,0.52,9600
25-Jul-16,-,-,-,0.52,0
22-Jul-16,0.52,0.52,0.52,0.52,3000
21-Jul-16,-,-,-,0.52,0
20-Jul-16,0.52,0.52,0.52,0.52,15000
19-Jul-16,-,-,-,0.53,0
18-Jul-16,0.52,0.53,0.52,0.53,3000
15-Jul-16,-,-,-,0.51,0
14-Jul-16,0.51,0.51,0.51,0.51,3000
13-Jul-16,0.52,0.52,0.52,0.52,17000
12-Jul-16,-,-,-,0.51,0
11-Jul-16,0.51,0.51,0.51,0.51,35000
8-Jul-16,0.51,0.51,0.51,0.51,5000
5-Jul-16,-,-,-,0.52,0
4-Jul-16,-,-,-,0.52,0
1-Jul-16,-,-,-,0.52,0
30-Jun-16,-,-,-,0.52,0
29-Jun-16,0.52,0.52,0.52,0.52,30000
28-Jun-16,0.52,0.52,0.52,0.52,50000
27-Jun-16,0.52,0.52,0.52,0.52,40000
24-Jun-16,-,-,-,0.52,0
23-Jun-16,0.52,0.52,0.52,0.52,25000
21-Jun-16,0.52,0.52,0.52,0.52,4000
20-Jun-16,0.52,0.52,0.52,0.52,23000
17-Jun-16,-,-,-,0.52,0
16-Jun-16,0.52,0.52,0.52,0.52,19400
15-Jun-16,0.52,0.52,0.52,0.52,11800
14-Jun-16,0.54,0.54,0.52,0.52,3700
13-Jun-16,-,-,-,0.53,0
10-Jun-16,-,-,-,0.53,0
9-Jun-16,-,-,-,0.53,0
8-Jun-16,0.55,0.55,0.53,0.53,2000
7-Jun-16,0.55,0.55,0.55,0.55,100
6-Jun-16,-,-,-,0.52,0
3-Jun-16,0.59,0.59,0.52,0.52,1300
2-Jun-16,0.59,0.59,0.59,0.59,100
1-Jun-16,0.55,0.55,0.52,0.52,2200
31-May-16,-,-,-,0.55,0
30-May-16,0.55,0.55,0.55,0.55,100
27-May-16,0.54,0.55,0.54,0.55,29300
26-May-16,-,-,-,0.56,0
25-May-16,-,-,-,0.56,0
24-May-16,-,-,-,0.56,0
23-May-16,0.56,0.56,0.56,0.56,1000
20-May-16,-,-,-,0.58,0
19-May-16,-,-,-,0.58,0
18-May-16,-,-,-,0.58,0
17-May-16,0.58,0.58,0.58,0.58,10000
16-May-16,-,-,-,0.58,0
13-May-16,0.56,0.58,0.56,0.58,16100
12-May-16,0.56,0.56,0.56,0.56,7000
11-May-16,0.58,0.58,0.58,0.58,11200
10-May-16,0.58,0.58,0.58,0.58,15000
9-May-16,-,-,-,0.57,0
6-May-16,0.57,0.57,0.57,0.57,18000
5-May-16,-,-,-,0.57,0
4-May-16,0.57,0.57,0.57,0.57,20000
3-May-16,0.56,0.57,0.56,0.57,6000
29-Apr-16,-,-,-,0.58,0
28-Apr-16,-,-,-,0.58,0
