Date,Open,High,Low,Close,Volume
7-Oct-16,-,-,-,2.64,0
6-Oct-16,-,-,-,2.64,0
5-Oct-16,-,-,-,2.64,0
4-Oct-16,-,-,-,2.64,0
30-Sep-16,-,-,-,2.64,0
29-Sep-16,-,-,-,2.64,0
28-Sep-16,-,-,-,2.64,0
27-Sep-16,-,-,-,2.64,0
26-Sep-16,-,-,-,2.64,0
23-Sep-16,-,-,-,2.64,0
22-Sep-16,-,-,-,2.64,0
21-Sep-16,-,-,-,2.64,0
20-Sep-16,-,-,-,2.64,0
19-Sep-16,-,-,-,2.64,0
15-Sep-16,-,-,-,2.64,0
14-Sep-16,-,-,-,2.64,0
13-Sep-16,-,-,-,2.64,0
9-Sep-16,-,-,-,2.64,0
8-Sep-16,-,-,-,2.64,0
7-Sep-16,-,-,-,2.64,0
6-Sep-16,-,-,-,2.64,0
5-Sep-16,-,-,-,2.64,0
2-Sep-16,-,-,-,2.64,0
1-Sep-16,2.63,2.64,2.63,2.64,58500
30-Aug-16,2.62,2.63,2.62,2.63,64900
29-Aug-16,2.63,2.63,2.62,2.63,70000
26-Aug-16,2.63,2.64,2.63,2.63,90000
25-Aug-16,2.62,2.62,2.55,2.62,48500
24-Aug-16,2.62,2.63,2.62,2.62,44000
23-Aug-16,2.62,2.62,2.62,2.62,41100
22-Aug-16,2.61,2.62,2.61,2.62,10700
19-Aug-16,2.62,2.63,2.62,2.63,32000
18-Aug-16,2.62,2.62,2.62,2.62,59000
17-Aug-16,2.62,2.62,2.61,2.61,28000
16-Aug-16,2.61,2.62,2.61,2.61,64500
15-Aug-16,2.61,2.61,2.61,2.61,81800
12-Aug-16,2.61,2.61,2.60,2.61,71000
11-Aug-16,2.60,2.61,2.60,2.61,68500
10-Aug-16,2.61,2.61,2.60,2.60,25000
9-Aug-16,2.60,2.61,2.60,2.60,22100
8-Aug-16,2.60,2.60,2.60,2.60,503500
5-Aug-16,2.59,2.60,2.56,2.60,200000
4-Aug-16,2.55,2.58,2.55,2.56,16500
3-Aug-16,2.55,2.55,2.55,2.55,34200
2-Aug-16,2.50,2.59,2.50,2.55,22000
1-Aug-16,2.50,2.60,2.50,2.60,31000
29-Jul-16,2.45,2.55,2.45,2.55,18000
28-Jul-16,2.50,2.50,2.48,2.48,11000
27-Jul-16,2.50,2.55,2.45,2.53,149000
26-Jul-16,2.55,2.55,2.48,2.48,179400
25-Jul-16,2.56,2.58,2.55,2.55,106000
22-Jul-16,2.40,2.58,2.40,2.58,35000
21-Jul-16,2.56,2.61,2.54,2.58,237900
20-Jul-16,2.46,2.56,2.46,2.56,9900
19-Jul-16,2.64,2.65,2.64,2.65,73600
18-Jul-16,2.64,2.65,2.64,2.65,38000
15-Jul-16,2.65,2.66,2.65,2.65,156100
14-Jul-16,2.64,2.66,2.64,2.65,158000
13-Jul-16,2.64,2.64,2.64,2.64,81000
12-Jul-16,2.64,2.64,2.64,2.64,358600
11-Jul-16,2.64,2.64,2.64,2.64,410000
8-Jul-16,2.64,2.64,2.64,2.64,27500
5-Jul-16,2.64,2.65,2.64,2.64,22100
4-Jul-16,2.63,2.65,2.63,2.64,84700
1-Jul-16,2.60,2.61,2.60,2.61,48100
30-Jun-16,2.60,2.61,2.60,2.60,24300
29-Jun-16,2.60,2.61,2.60,2.61,80000
28-Jun-16,2.59,2.61,2.59,2.60,117800
27-Jun-16,2.59,2.59,2.59,2.59,33700
24-Jun-16,2.60,2.61,2.59,2.59,76300
23-Jun-16,2.60,2.60,2.60,2.60,67600
21-Jun-16,2.60,2.60,2.60,2.60,27900
20-Jun-16,2.59,2.60,2.58,2.60,12100
17-Jun-16,2.60,2.61,2.60,2.61,39300
16-Jun-16,2.60,2.60,2.60,2.60,100300
15-Jun-16,2.60,2.60,2.60,2.60,108000
14-Jun-16,2.60,2.60,2.59,2.60,289200
13-Jun-16,2.60,2.61,2.60,2.60,119700
10-Jun-16,2.60,2.61,2.60,2.60,7400
9-Jun-16,2.60,2.60,2.60,2.60,50200
8-Jun-16,2.60,2.60,2.60,2.60,110000
7-Jun-16,2.60,2.60,2.59,2.59,17300
6-Jun-16,2.60,2.60,2.59,2.60,67000
3-Jun-16,2.60,2.61,2.60,2.60,15300
2-Jun-16,2.60,2.60,2.59,2.59,61400
1-Jun-16,2.60,2.61,2.60,2.60,33600
31-May-16,2.61,2.62,2.61,2.62,18000
30-May-16,2.60,2.62,2.60,2.61,47600
27-May-16,2.60,2.61,2.60,2.60,107100
26-May-16,2.60,2.61,2.60,2.60,185800
25-May-16,2.61,2.61,2.60,2.60,199300
24-May-16,2.57,2.62,2.57,2.60,1869600
23-May-16,-,-,-,2.21,0
20-May-16,-,-,-,2.21,0
19-May-16,2.18,2.21,2.18,2.21,81200
18-May-16,2.17,2.17,2.16,2.17,6000
17-May-16,2.16,2.16,2.16,2.16,1600
16-May-16,-,-,-,2.18,0
13-May-16,2.18,2.18,2.17,2.18,15800
12-May-16,-,-,-,2.18,0
11-May-16,2.18,2.18,2.18,2.18,8000
10-May-16,2.18,2.18,2.18,2.18,2000
9-May-16,2.18,2.18,2.18,2.18,2500
6-May-16,-,-,-,2.20,0
5-May-16,-,-,-,2.20,0
4-May-16,2.19,2.20,2.19,2.20,200000
3-May-16,2.18,2.18,2.18,2.18,4000
29-Apr-16,2.17,2.19,2.17,2.19,16000
28-Apr-16,2.17,2.17,2.17,2.17,3000
27-Apr-16,2.18,2.18,2.18,2.18,1000
26-Apr-16,2.18,2.19,2.18,2.18,24000
25-Apr-16,2.18,2.18,2.18,2.18,14200
22-Apr-16,2.16,2.18,2.15,2.18,36500
21-Apr-16,2.18,2.18,2.17,2.17,15000
20-Apr-16,2.14,2.18,2.14,2.18,5100
19-Apr-16,2.17,2.17,2.14,2.14,20200
18-Apr-16,2.18,2.18,2.18,2.18,5000
15-Apr-16,2.18,2.18,2.18,2.18,10000
14-Apr-16,2.18,2.18,2.18,2.18,3000
13-Apr-16,2.18,2.19,2.15,2.19,66100
12-Apr-16,2.18,2.18,2.17,2.18,8000
11-Apr-16,2.15,2.15,2.15,2.15,600
8-Apr-16,2.15,2.18,2.15,2.18,14100
7-Apr-16,2.16,2.18,2.16,2.17,10300
6-Apr-16,2.18,2.21,2.18,2.18,57100
5-Apr-16,2.18,2.21,2.18,2.21,16400
4-Apr-16,-,-,-,2.20,0
1-Apr-16,2.20,2.20,2.20,2.20,15000
31-Mar-16,2.20,2.21,2.19,2.19,11200
30-Mar-16,2.24,2.24,2.20,2.20,13100
29-Mar-16,2.22,2.22,2.20,2.20,49700
28-Mar-16,2.22,2.24,2.22,2.23,67000
25-Mar-16,2.22,2.23,2.16,2.21,259600
24-Mar-16,2.23,2.24,2.19,2.21,216800
23-Mar-16,2.40,2.40,2.17,2.24,623100
22-Mar-16,2.51,2.51,2.51,2.51,7000
21-Mar-16,2.55,2.55,2.52,2.53,24700
18-Mar-16,2.54,2.58,2.52,2.52,22000
17-Mar-16,2.54,2.60,2.51,2.60,13800
16-Mar-16,2.64,2.64,2.54,2.54,26000
15-Mar-16,2.60,2.60,2.59,2.59,25000
14-Mar-16,2.60,2.63,2.60,2.63,25400
11-Mar-16,2.62,2.62,2.60,2.61,6900
10-Mar-16,2.56,2.62,2.56,2.61,44200
9-Mar-16,2.54,2.58,2.54,2.56,42600
8-Mar-16,2.53,2.57,2.53,2.56,64800
7-Mar-16,2.57,2.57,2.50,2.51,41500
4-Mar-16,2.49,2.50,2.47,2.49,27500
3-Mar-16,2.48,2.49,2.46,2.46,79500
2-Mar-16,2.44,2.50,2.41,2.48,23800
1-Mar-16,2.44,2.44,2.42,2.42,6900
29-Feb-16,2.49,2.49,2.44,2.45,62300
26-Feb-16,2.42,2.45,2.40,2.41,16500
25-Feb-16,2.41,2.44,2.40,2.44,88900
24-Feb-16,2.44,2.44,2.41,2.41,48000
23-Feb-16,2.40,2.46,2.40,2.41,117200
22-Feb-16,2.39,2.39,2.38,2.38,9900
19-Feb-16,2.38,2.38,2.38,2.38,16100
