Date,Open,High,Low,Close,Volume
7-Oct-16,0.80,0.80,0.80,0.80,4000
6-Oct-16,0.80,0.80,0.80,0.80,12000
5-Oct-16,-,-,-,0.80,0
4-Oct-16,-,-,-,0.80,0
30-Sep-16,-,-,-,0.80,0
29-Sep-16,0.80,0.80,0.78,0.80,129200
28-Sep-16,-,-,-,0.80,0
27-Sep-16,-,-,-,0.80,0
26-Sep-16,0.80,0.80,0.80,0.80,10000
23-Sep-16,-,-,-,0.82,0
22-Sep-16,-,-,-,0.82,0
21-Sep-16,0.79,0.82,0.79,0.82,21500
20-Sep-16,0.79,0.79,0.79,0.79,9500
19-Sep-16,0.81,0.81,0.81,0.81,30000
15-Sep-16,-,-,-,0.80,0
14-Sep-16,-,-,-,0.80,0
13-Sep-16,-,-,-,0.80,0
9-Sep-16,0.80,0.80,0.80,0.80,5000
8-Sep-16,-,-,-,0.80,0
7-Sep-16,0.80,0.80,0.80,0.80,10000
6-Sep-16,0.80,0.80,0.80,0.80,24000
5-Sep-16,0.80,0.80,0.80,0.80,30600
2-Sep-16,0.80,0.82,0.80,0.82,11900
1-Sep-16,0.80,0.82,0.80,0.82,13300
30-Aug-16,0.80,0.82,0.80,0.82,13000
29-Aug-16,0.82,0.82,0.82,0.82,52100
26-Aug-16,0.82,0.82,0.81,0.82,48000
25-Aug-16,0.82,0.84,0.80,0.82,160900
24-Aug-16,0.80,0.80,0.80,0.80,10000
23-Aug-16,0.78,0.80,0.78,0.80,10400
22-Aug-16,-,-,-,0.78,0
19-Aug-16,-,-,-,0.78,0
18-Aug-16,0.80,0.80,0.78,0.78,14100
17-Aug-16,-,-,-,0.80,0
16-Aug-16,0.79,0.80,0.78,0.80,51400
15-Aug-16,-,-,-,0.81,0
12-Aug-16,-,-,-,0.81,0
11-Aug-16,0.80,0.81,0.80,0.81,5000
10-Aug-16,0.80,0.80,0.79,0.79,121900
9-Aug-16,0.80,0.80,0.80,0.80,31200
8-Aug-16,0.82,0.82,0.82,0.82,2000
5-Aug-16,0.79,0.79,0.79,0.79,10000
4-Aug-16,-,-,-,0.78,0
3-Aug-16,0.78,0.78,0.78,0.78,10000
2-Aug-16,-,-,-,0.82,0
1-Aug-16,-,-,-,0.82,0
29-Jul-16,-,-,-,0.82,0
28-Jul-16,0.78,0.82,0.78,0.82,18300
27-Jul-16,0.79,0.79,0.79,0.79,15000
26-Jul-16,0.78,0.82,0.78,0.82,19100
