Date,Open,High,Low,Close,Volume
7-Oct-16,0.47,0.48,0.47,0.48,936500
6-Oct-16,0.48,0.48,0.47,0.48,620400
5-Oct-16,0.48,0.48,0.46,0.48,2409100
4-Oct-16,0.48,0.48,0.48,0.48,1706400
30-Sep-16,0.48,0.48,0.48,0.48,1370900
29-Sep-16,0.48,0.48,0.48,0.48,1005600
28-Sep-16,0.48,0.50,0.48,0.48,6536600
27-Sep-16,0.48,0.49,0.48,0.48,2775800
26-Sep-16,0.48,0.48,0.48,0.48,3381800
23-Sep-16,0.50,0.50,0.48,0.49,1920000
22-Sep-16,0.49,0.50,0.49,0.49,5090300
21-Sep-16,0.49,0.50,0.48,0.49,1465300
20-Sep-16,0.48,0.50,0.48,0.49,6562700
19-Sep-16,0.48,0.48,0.48,0.48,1950800
15-Sep-16,0.48,0.49,0.48,0.48,2615600
14-Sep-16,0.48,0.48,0.48,0.48,1287100
13-Sep-16,0.48,0.49,0.48,0.48,1371000
9-Sep-16,0.50,0.50,0.49,0.50,3766100
8-Sep-16,0.50,0.50,0.50,0.50,4515200
7-Sep-16,0.50,0.50,0.50,0.50,2537000
6-Sep-16,0.50,0.50,0.49,0.50,2801400
5-Sep-16,0.48,0.50,0.48,0.50,9678700
2-Sep-16,0.48,0.48,0.48,0.48,2287800
1-Sep-16,0.48,0.48,0.47,0.48,3077500
30-Aug-16,0.49,0.50,0.48,0.48,4223800
29-Aug-16,0.49,0.49,0.48,0.48,1791400
26-Aug-16,0.48,0.50,0.48,0.50,3110800
25-Aug-16,0.49,0.50,0.48,0.48,1808100
24-Aug-16,0.52,0.52,0.48,0.50,9489900
23-Aug-16,0.54,0.54,0.52,0.52,4424600
22-Aug-16,0.54,0.55,0.54,0.54,1960900
19-Aug-16,0.56,0.56,0.54,0.54,4229000
18-Aug-16,0.58,0.58,0.56,0.56,6875400
17-Aug-16,0.54,0.58,0.54,0.57,27996100
16-Aug-16,0.54,0.54,0.53,0.54,5504300
15-Aug-16,0.54,0.54,0.53,0.53,2098800
