Date,Open,High,Low,Close,Volume
7-Oct-16,2.46,2.50,2.46,2.50,723700
6-Oct-16,2.47,2.47,2.45,2.45,68900
5-Oct-16,2.48,2.48,2.46,2.46,30600
4-Oct-16,2.48,2.48,2.47,2.47,125100
30-Sep-16,2.48,2.48,2.47,2.47,234300
29-Sep-16,2.48,2.48,2.48,2.48,1500
28-Sep-16,2.50,2.50,2.48,2.48,18300
27-Sep-16,2.49,2.50,2.49,2.49,3800
26-Sep-16,2.48,2.53,2.48,2.51,24500
23-Sep-16,2.52,2.52,2.52,2.52,500
22-Sep-16,-,-,-,2.55,0
21-Sep-16,2.49,2.55,2.49,2.55,6400
20-Sep-16,2.49,2.50,2.48,2.48,8600
19-Sep-16,2.48,2.50,2.44,2.50,194000
15-Sep-16,2.49,2.50,2.45,2.45,651600
14-Sep-16,2.50,2.50,2.47,2.48,198400
13-Sep-16,2.54,2.54,2.51,2.52,28000
9-Sep-16,2.56,2.56,2.55,2.55,26000
8-Sep-16,2.59,2.59,2.56,2.56,23400
7-Sep-16,2.60,2.60,2.57,2.59,35000
6-Sep-16,2.61,2.62,2.61,2.61,120400
5-Sep-16,2.63,2.64,2.60,2.61,99500
2-Sep-16,2.65,2.65,2.63,2.63,5200
1-Sep-16,2.63,2.63,2.63,2.63,17200
30-Aug-16,2.68,2.68,2.64,2.64,25700
29-Aug-16,2.66,2.68,2.66,2.68,21700
26-Aug-16,2.68,2.68,2.66,2.67,32500
25-Aug-16,2.65,2.68,2.65,2.68,465200
24-Aug-16,2.67,2.67,2.65,2.65,175500
23-Aug-16,2.66,2.68,2.64,2.65,62900
22-Aug-16,2.70,2.70,2.65,2.68,47900
19-Aug-16,2.70,2.70,2.69,2.70,172000
18-Aug-16,2.66,2.71,2.66,2.70,68100
17-Aug-16,2.68,2.70,2.68,2.68,191500
16-Aug-16,2.60,2.68,2.59,2.66,510200
15-Aug-16,-,-,-,2.56,0
12-Aug-16,2.55,2.56,2.54,2.56,146000
11-Aug-16,2.55,2.55,2.51,2.53,90400
10-Aug-16,2.55,2.55,2.53,2.55,27400
9-Aug-16,2.58,2.58,2.52,2.53,5500
8-Aug-16,-,-,-,2.56,0
5-Aug-16,2.55,2.57,2.55,2.56,135100
4-Aug-16,-,-,-,2.56,0
3-Aug-16,2.55,2.57,2.52,2.56,89000
2-Aug-16,-,-,-,2.55,0
1-Aug-16,-,-,-,2.55,0
29-Jul-16,2.55,2.55,2.51,2.55,48800
28-Jul-16,2.57,2.57,2.57,2.57,2000
27-Jul-16,2.55,2.57,2.54,2.57,86400
26-Jul-16,2.55,2.56,2.53,2.56,57600
25-Jul-16,2.55,2.55,2.54,2.55,41700
22-Jul-16,2.54,2.54,2.51,2.52,72100
21-Jul-16,2.55,2.55,2.51,2.54,45000
20-Jul-16,2.54,2.55,2.53,2.55,71100
19-Jul-16,2.50,2.55,2.49,2.55,109700
18-Jul-16,2.49,2.49,2.49,2.49,2300
15-Jul-16,2.48,2.50,2.47,2.48,158000
14-Jul-16,2.47,2.50,2.47,2.48,151200
13-Jul-16,2.45,2.45,2.45,2.45,66600
12-Jul-16,2.45,2.45,2.45,2.45,193200
11-Jul-16,2.45,2.45,2.44,2.45,162500
8-Jul-16,2.48,2.48,2.45,2.45,114500
5-Jul-16,2.45,2.46,2.45,2.45,26300
4-Jul-16,-,-,-,2.44,0
1-Jul-16,2.44,2.44,2.44,2.44,48500
30-Jun-16,2.44,2.45,2.44,2.45,130000
29-Jun-16,2.43,2.43,2.42,2.42,13100
28-Jun-16,2.43,2.43,2.42,2.43,29800
27-Jun-16,2.41,2.41,2.41,2.41,5600
24-Jun-16,2.43,2.45,2.42,2.45,90100
23-Jun-16,2.43,2.43,2.42,2.43,15500
21-Jun-16,2.43,2.43,2.42,2.42,83400
20-Jun-16,2.40,2.43,2.38,2.41,16800
17-Jun-16,2.43,2.43,2.30,2.35,89000
16-Jun-16,2.42,2.43,2.40,2.42,44900
15-Jun-16,2.43,2.43,2.40,2.42,54100
14-Jun-16,2.43,2.43,2.41,2.42,63900
13-Jun-16,2.43,2.45,2.35,2.43,37600
10-Jun-16,-,-,-,2.41,0
9-Jun-16,2.42,2.42,2.41,2.41,12000
8-Jun-16,2.41,2.41,2.34,2.41,46200
7-Jun-16,2.43,2.43,2.41,2.41,61900
6-Jun-16,2.44,2.44,2.43,2.43,11700
3-Jun-16,2.42,2.42,2.42,2.42,1100
2-Jun-16,2.41,2.41,2.41,2.41,5900
1-Jun-16,-,-,-,2.41,0
31-May-16,-,-,-,2.41,0
30-May-16,2.41,2.41,2.41,2.41,3500
27-May-16,2.40,2.44,2.40,2.41,7200
26-May-16,2.41,2.41,2.41,2.41,4600
25-May-16,2.40,2.41,2.40,2.41,12300
24-May-16,2.41,2.41,2.40,2.40,12800
23-May-16,2.40,2.41,2.40,2.40,77200
20-May-16,2.40,2.41,2.39,2.39,31500
19-May-16,-,-,-,2.39,0
18-May-16,2.39,2.40,2.39,2.39,10500
17-May-16,2.45,2.47,2.35,2.37,359400
16-May-16,-,-,-,2.45,0
13-May-16,2.50,2.50,2.45,2.45,104400
12-May-16,2.43,2.50,2.38,2.50,148400
11-May-16,2.42,2.42,2.39,2.40,134400
10-May-16,2.41,2.41,2.38,2.38,771600
9-May-16,2.43,2.43,2.41,2.41,29000
6-May-16,2.46,2.46,2.43,2.43,210700
5-May-16,2.46,2.48,2.45,2.46,33400
4-May-16,2.49,2.50,2.45,2.45,342500
3-May-16,2.50,2.50,2.47,2.47,423600
29-Apr-16,2.49,2.50,2.48,2.49,93900
28-Apr-16,2.50,2.50,2.45,2.49,187700
27-Apr-16,2.50,2.50,2.49,2.50,203300
26-Apr-16,2.50,2.51,2.49,2.50,398100
25-Apr-16,2.51,2.51,2.49,2.50,452900
22-Apr-16,2.52,2.52,2.50,2.51,2400500
21-Apr-16,2.50,2.56,2.47,2.51,1330800
20-Apr-16,2.50,2.52,2.48,2.49,38000
19-Apr-16,2.50,2.50,2.46,2.50,77300
18-Apr-16,2.47,2.55,2.47,2.47,23500
15-Apr-16,2.50,2.50,2.45,2.49,119200
