Date,Open,High,Low,Close,Volume
7-Oct-16,0.18,0.18,0.18,0.18,541800
6-Oct-16,0.18,0.18,0.18,0.18,367100
5-Oct-16,0.18,0.19,0.18,0.18,406600
4-Oct-16,0.19,0.19,0.18,0.18,1119700
30-Sep-16,0.20,0.20,0.18,0.19,1184900
29-Sep-16,0.20,0.20,0.20,0.20,449400
28-Sep-16,0.20,0.20,0.20,0.20,373900
27-Sep-16,0.20,0.22,0.20,0.20,4893700
26-Sep-16,0.18,0.20,0.18,0.20,2459900
23-Sep-16,0.19,0.20,0.18,0.18,1781200
22-Sep-16,0.19,0.19,0.18,0.18,944800
21-Sep-16,0.18,0.19,0.18,0.19,1032300
20-Sep-16,0.18,0.18,0.18,0.18,450000
19-Sep-16,0.18,0.20,0.18,0.19,1979700
15-Sep-16,0.17,0.18,0.17,0.18,2044400
14-Sep-16,0.17,0.17,0.16,0.16,465000
13-Sep-16,0.18,0.18,0.17,0.17,115100
9-Sep-16,0.18,0.18,0.18,0.18,310000
8-Sep-16,0.18,0.20,0.18,0.18,5217300
7-Sep-16,0.17,0.18,0.17,0.18,1306700
6-Sep-16,0.17,0.17,0.16,0.16,195000
5-Sep-16,0.16,0.17,0.16,0.17,265000
2-Sep-16,0.17,0.17,0.17,0.17,50000
1-Sep-16,0.18,0.18,0.17,0.17,262000
30-Aug-16,0.18,0.18,0.18,0.18,662000
29-Aug-16,0.17,0.18,0.16,0.18,1573000
26-Aug-16,0.17,0.18,0.16,0.16,263500
25-Aug-16,0.17,0.17,0.16,0.16,85000
24-Aug-16,0.16,0.18,0.16,0.18,44800
23-Aug-16,0.17,0.17,0.17,0.17,150000
22-Aug-16,0.16,0.17,0.16,0.17,335500
19-Aug-16,0.17,0.17,0.16,0.16,123600
18-Aug-16,0.17,0.17,0.17,0.17,20000
17-Aug-16,0.17,0.17,0.16,0.17,92200
16-Aug-16,0.16,0.17,0.16,0.17,161400
15-Aug-16,0.16,0.16,0.16,0.16,81100
12-Aug-16,0.16,0.16,0.16,0.16,165000
11-Aug-16,0.16,0.16,0.16,0.16,383600
10-Aug-16,0.16,0.17,0.16,0.16,86100
9-Aug-16,-,-,-,0.16,0
8-Aug-16,-,-,-,0.16,0
5-Aug-16,0.16,0.16,0.16,0.16,64000
4-Aug-16,0.17,0.18,0.16,0.18,143100
3-Aug-16,0.16,0.17,0.16,0.17,151000
2-Aug-16,0.16,0.16,0.16,0.16,75000
1-Aug-16,0.16,0.16,0.16,0.16,30000
29-Jul-16,0.17,0.17,0.16,0.16,852800
28-Jul-16,0.17,0.17,0.16,0.16,99000
27-Jul-16,0.17,0.17,0.16,0.16,183700
26-Jul-16,0.18,0.18,0.18,0.18,60000
25-Jul-16,0.17,0.18,0.17,0.18,360000
22-Jul-16,0.16,0.17,0.16,0.17,245000
21-Jul-16,0.17,0.17,0.16,0.16,350400
20-Jul-16,0.18,0.18,0.18,0.18,89600
19-Jul-16,0.18,0.18,0.18,0.18,406500
18-Jul-16,0.18,0.18,0.18,0.18,542300
15-Jul-16,0.16,0.18,0.16,0.18,810700
14-Jul-16,0.16,0.16,0.16,0.16,30000
13-Jul-16,0.16,0.16,0.16,0.16,65900
12-Jul-16,0.16,0.16,0.16,0.16,48500
11-Jul-16,0.16,0.16,0.16,0.16,30000
8-Jul-16,0.16,0.16,0.16,0.16,193000
5-Jul-16,0.16,0.16,0.16,0.16,10000
4-Jul-16,0.16,0.16,0.16,0.16,92500
1-Jul-16,0.16,0.16,0.16,0.16,92500
30-Jun-16,0.18,0.18,0.16,0.17,602200
29-Jun-16,0.17,0.18,0.17,0.18,401800
28-Jun-16,0.16,0.18,0.16,0.18,496900
27-Jun-16,0.15,0.17,0.15,0.17,269100
24-Jun-16,0.16,0.16,0.16,0.16,520500
23-Jun-16,0.16,0.16,0.16,0.16,35000
21-Jun-16,0.16,0.16,0.16,0.16,287000
20-Jun-16,0.16,0.17,0.16,0.17,125000
17-Jun-16,0.16,0.16,0.16,0.16,140000
16-Jun-16,0.17,0.17,0.16,0.16,206500
15-Jun-16,0.16,0.18,0.16,0.18,965700
14-Jun-16,0.16,0.16,0.16,0.16,113600
13-Jun-16,0.17,0.17,0.16,0.16,249000
10-Jun-16,0.18,0.18,0.17,0.17,482700
9-Jun-16,0.18,0.18,0.18,0.18,500200
8-Jun-16,0.18,0.18,0.18,0.18,370000
7-Jun-16,0.18,0.18,0.18,0.18,397300
6-Jun-16,0.18,0.20,0.18,0.18,1523100
3-Jun-16,0.18,0.18,0.17,0.18,881500
2-Jun-16,0.18,0.18,0.18,0.18,383000
1-Jun-16,0.19,0.19,0.18,0.18,886600
31-May-16,0.18,0.20,0.18,0.19,4122100
30-May-16,0.16,0.18,0.16,0.18,2228800
27-May-16,0.17,0.18,0.16,0.16,577600
26-May-16,0.17,0.19,0.16,0.16,1398500
25-May-16,0.18,0.18,0.17,0.18,292600
24-May-16,0.18,0.18,0.18,0.18,611300
23-May-16,0.18,0.20,0.18,0.19,1675000
20-May-16,0.17,0.20,0.17,0.18,3113900
19-May-16,0.17,0.17,0.16,0.17,663900
18-May-16,0.18,0.18,0.16,0.18,1857800
17-May-16,0.18,0.18,0.17,0.18,1868000
16-May-16,0.18,0.18,0.18,0.18,550200
13-May-16,0.21,0.21,0.18,0.19,1348500
12-May-16,0.21,0.22,0.20,0.20,5755600
11-May-16,0.16,0.22,0.16,0.20,7574200
10-May-16,0.15,0.16,0.15,0.16,127500
9-May-16,0.14,0.14,0.14,0.14,67800
6-May-16,-,-,-,0.14,0
5-May-16,0.15,0.16,0.14,0.14,35000
4-May-16,-,-,-,0.14,0
3-May-16,-,-,-,0.14,0
29-Apr-16,-,-,-,0.14,0
28-Apr-16,0.14,0.14,0.14,0.14,55700
27-Apr-16,0.15,0.15,0.14,0.14,39000
26-Apr-16,0.15,0.15,0.15,0.15,230000
25-Apr-16,0.16,0.16,0.16,0.16,100000
22-Apr-16,0.16,0.16,0.16,0.16,93000
21-Apr-16,0.16,0.16,0.16,0.16,82200
20-Apr-16,0.16,0.16,0.16,0.16,195000
19-Apr-16,0.16,0.16,0.16,0.16,343700
18-Apr-16,0.16,0.16,0.16,0.16,101600
15-Apr-16,0.16,0.16,0.15,0.16,397500
14-Apr-16,0.17,0.17,0.16,0.16,132500
13-Apr-16,0.17,0.17,0.16,0.17,96100
12-Apr-16,0.18,0.18,0.17,0.18,850100
11-Apr-16,0.16,0.18,0.16,0.17,1664000
8-Apr-16,0.16,0.16,0.16,0.16,110000
7-Apr-16,0.16,0.16,0.15,0.16,111100
6-Apr-16,0.15,0.16,0.15,0.16,36500
5-Apr-16,-,-,-,0.15,0
4-Apr-16,0.15,0.16,0.15,0.15,80000
1-Apr-16,-,-,-,0.14,0
31-Mar-16,0.14,0.14,0.14,0.14,31900
30-Mar-16,0.14,0.15,0.14,0.15,82100
29-Mar-16,-,-,-,0.15,0
28-Mar-16,-,-,-,0.15,0
25-Mar-16,0.15,0.15,0.15,0.15,38800
24-Mar-16,0.15,0.16,0.14,0.16,246600
23-Mar-16,0.14,0.14,0.14,0.14,48500
22-Mar-16,0.14,0.15,0.14,0.15,15100
21-Mar-16,0.14,0.15,0.14,0.15,94100
18-Mar-16,0.14,0.14,0.14,0.14,120000
17-Mar-16,0.14,0.14,0.14,0.14,82200
16-Mar-16,0.15,0.15,0.14,0.14,883100
15-Mar-16,0.16,0.16,0.14,0.14,105000
14-Mar-16,0.14,0.14,0.14,0.14,5000
11-Mar-16,0.14,0.15,0.14,0.15,673000
10-Mar-16,-,-,-,0.16,0
9-Mar-16,0.16,0.16,0.16,0.16,20000
8-Mar-16,0.15,0.16,0.15,0.16,313100
7-Mar-16,0.15,0.15,0.14,0.14,185000
4-Mar-16,0.16,0.16,0.16,0.16,160000
3-Mar-16,0.16,0.16,0.16,0.16,115000
2-Mar-16,0.16,0.16,0.16,0.16,466400
1-Mar-16,0.15,0.15,0.15,0.15,70000
29-Feb-16,0.15,0.15,0.15,0.15,28700
26-Feb-16,0.15,0.15,0.15,0.15,96000
25-Feb-16,0.15,0.15,0.15,0.15,186000
24-Feb-16,0.16,0.16,0.15,0.15,110000
23-Feb-16,0.16,0.16,0.15,0.16,238500
22-Feb-16,-,-,-,0.17,0
19-Feb-16,0.17,0.17,0.17,0.17,22000
18-Feb-16,0.15,0.15,0.15,0.15,9000
17-Feb-16,0.15,0.15,0.15,0.15,82000
16-Feb-16,0.15,0.15,0.15,0.15,50000
15-Feb-16,0.15,0.15,0.15,0.15,24900
12-Feb-16,0.14,0.15,0.14,0.15,40000
11-Feb-16,0.15,0.15,0.15,0.15,43900
10-Feb-16,0.15,0.15,0.14,0.15,85000
5-Feb-16,0.15,0.15,0.15,0.15,105000
4-Feb-16,0.16,0.16,0.16,0.16,33800
3-Feb-16,0.15,0.16,0.15,0.15,70000
2-Feb-16,0.16,0.16,0.15,0.15,66900
29-Jan-16,0.15,0.17,0.15,0.16,160300
28-Jan-16,0.14,0.15,0.14,0.15,475000
27-Jan-16,0.15,0.15,0.15,0.15,124500
26-Jan-16,0.15,0.16,0.15,0.15,117000
22-Jan-16,0.15,0.15,0.15,0.15,150000
21-Jan-16,0.16,0.16,0.15,0.15,219100
20-Jan-16,0.16,0.16,0.16,0.16,45000
19-Jan-16,0.16,0.16,0.16,0.16,103300
18-Jan-16,0.16,0.16,0.16,0.16,148500
15-Jan-16,0.16,0.17,0.16,0.17,392500
14-Jan-16,-,-,-,0.16,0
13-Jan-16,0.16,0.16,0.16,0.16,50000
12-Jan-16,0.16,0.16,0.16,0.16,166000
11-Jan-16,0.16,0.16,0.16,0.16,134300
8-Jan-16,0.16,0.17,0.16,0.17,187800
7-Jan-16,0.16,0.17,0.16,0.16,80800
6-Jan-16,0.16,0.16,0.16,0.16,119300
5-Jan-16,0.16,0.16,0.16,0.16,133400
4-Jan-16,0.16,0.16,0.16,0.16,383700
31-Dec-15,0.17,0.17,0.16,0.16,40000
30-Dec-15,0.18,0.18,0.18,0.18,55400
29-Dec-15,0.18,0.18,0.17,0.18,218300
28-Dec-15,0.17,0.19,0.17,0.18,873700
23-Dec-15,0.16,0.17,0.16,0.16,386700
22-Dec-15,0.16,0.16,0.16,0.16,138000
21-Dec-15,0.15,0.16,0.15,0.15,65000
18-Dec-15,0.15,0.15,0.15,0.15,137000
17-Dec-15,0.16,0.16,0.15,0.16,81000
16-Dec-15,0.15,0.15,0.15,0.15,129200
15-Dec-15,0.15,0.16,0.15,0.16,15000
14-Dec-15,0.16,0.16,0.16,0.16,92500
11-Dec-15,0.16,0.16,0.16,0.16,10000
10-Dec-15,0.15,0.15,0.14,0.14,169800
9-Dec-15,0.15,0.16,0.15,0.15,178000
8-Dec-15,-,-,-,0.15,0
7-Dec-15,0.16,0.16,0.15,0.15,24000
4-Dec-15,0.16,0.16,0.16,0.16,85000
3-Dec-15,0.16,0.16,0.16,0.16,42600
2-Dec-15,0.16,0.16,0.16,0.16,20000
1-Dec-15,0.17,0.18,0.16,0.17,139200
30-Nov-15,0.16,0.16,0.15,0.16,213500
27-Nov-15,0.18,0.18,0.16,0.16,87500
26-Nov-15,0.18,0.18,0.18,0.18,72100
25-Nov-15,0.18,0.18,0.18,0.18,1000
24-Nov-15,0.18,0.18,0.18,0.18,76000
23-Nov-15,0.18,0.18,0.18,0.18,117500
20-Nov-15,0.18,0.18,0.18,0.18,28500
19-Nov-15,0.18,0.18,0.18,0.18,60000
18-Nov-15,0.18,0.18,0.18,0.18,147000
17-Nov-15,0.18,0.19,0.18,0.18,182100
16-Nov-15,0.18,0.18,0.18,0.18,42400
13-Nov-15,0.19,0.19,0.18,0.18,110200
12-Nov-15,0.18,0.18,0.18,0.18,339100
11-Nov-15,0.20,0.20,0.18,0.18,347000
9-Nov-15,0.19,0.20,0.18,0.20,230400
6-Nov-15,0.19,0.19,0.18,0.19,190300
5-Nov-15,0.20,0.20,0.18,0.19,801500
4-Nov-15,0.20,0.20,0.20,0.20,282300
3-Nov-15,0.20,0.20,0.20,0.20,440400
2-Nov-15,0.21,0.22,0.20,0.20,994700
30-Oct-15,0.19,0.21,0.19,0.20,2146900
29-Oct-15,0.18,0.19,0.18,0.18,545000
28-Oct-15,0.18,0.18,0.18,0.18,235600
27-Oct-15,0.18,0.18,0.18,0.18,30000
26-Oct-15,0.18,0.18,0.18,0.18,30000
23-Oct-15,0.18,0.18,0.18,0.18,120000
22-Oct-15,0.18,0.18,0.18,0.18,50000
21-Oct-15,0.17,0.17,0.17,0.17,7000
20-Oct-15,0.18,0.18,0.17,0.17,382400
19-Oct-15,0.18,0.19,0.18,0.18,175300
16-Oct-15,0.20,0.20,0.18,0.18,439000
15-Oct-15,0.20,0.20,0.19,0.20,404600
13-Oct-15,0.18,0.20,0.18,0.20,1622200
12-Oct-15,0.16,0.18,0.16,0.18,453400
