Date,Open,High,Low,Close,Volume
7-Oct-16,0.67,0.68,0.66,0.66,894500
6-Oct-16,0.67,0.67,0.66,0.67,110000
5-Oct-16,0.66,0.67,0.66,0.66,178800
4-Oct-16,0.67,0.68,0.66,0.66,86600
30-Sep-16,0.67,0.67,0.66,0.66,765500
29-Sep-16,0.67,0.68,0.66,0.68,78000
28-Sep-16,0.68,0.68,0.66,0.68,827200
27-Sep-16,0.68,0.68,0.68,0.68,276000
26-Sep-16,0.68,0.68,0.68,0.68,975300
23-Sep-16,0.67,0.68,0.67,0.68,828400
22-Sep-16,0.68,0.68,0.67,0.67,1010500
21-Sep-16,0.68,0.68,0.66,0.68,399800
20-Sep-16,0.68,0.68,0.66,0.67,737000
19-Sep-16,0.66,0.68,0.66,0.68,1624500
15-Sep-16,0.66,0.66,0.66,0.66,684700
14-Sep-16,0.66,0.67,0.66,0.66,311700
13-Sep-16,0.67,0.68,0.66,0.67,2235700
9-Sep-16,0.66,0.68,0.66,0.68,6410400
8-Sep-16,0.65,0.67,0.65,0.66,2887700
7-Sep-16,0.66,0.66,0.64,0.64,1817000
6-Sep-16,0.66,0.67,0.66,0.66,3166200
5-Sep-16,0.70,0.70,0.64,0.66,4342200
2-Sep-16,0.70,0.70,0.69,0.69,1383300
1-Sep-16,0.70,0.71,0.70,0.70,728200
30-Aug-16,0.70,0.71,0.69,0.70,703000
29-Aug-16,0.71,0.71,0.70,0.71,563400
26-Aug-16,0.71,0.72,0.71,0.71,572000
25-Aug-16,0.70,0.72,0.70,0.71,417100
24-Aug-16,0.71,0.71,0.69,0.70,1344900
23-Aug-16,0.72,0.72,0.71,0.71,2512000
22-Aug-16,0.71,0.72,0.71,0.72,360600
19-Aug-16,0.72,0.72,0.70,0.71,1126500
18-Aug-16,0.71,0.72,0.70,0.72,398300
17-Aug-16,0.72,0.72,0.72,0.72,1244400
16-Aug-16,0.74,0.74,0.72,0.72,2088100
15-Aug-16,0.76,0.76,0.74,0.74,1061200
12-Aug-16,0.75,0.76,0.75,0.76,360600
11-Aug-16,0.76,0.76,0.74,0.75,576300
10-Aug-16,0.76,0.76,0.76,0.76,532200
9-Aug-16,0.76,0.76,0.76,0.76,185100
8-Aug-16,0.76,0.77,0.76,0.76,820800
5-Aug-16,0.74,0.76,0.74,0.76,2184800
4-Aug-16,0.72,0.74,0.72,0.74,638300
3-Aug-16,0.72,0.74,0.72,0.73,1105200
2-Aug-16,0.74,0.74,0.72,0.72,1508400
1-Aug-16,0.74,0.75,0.74,0.74,1038400
29-Jul-16,0.74,0.74,0.73,0.74,1013400
