Date,Open,High,Low,Close,Volume
7-Oct-16,0.83,0.83,0.82,0.82,27600
6-Oct-16,0.82,0.82,0.82,0.82,88300
5-Oct-16,0.81,0.82,0.81,0.82,68500
4-Oct-16,0.80,0.84,0.80,0.82,290900
30-Sep-16,0.83,0.83,0.80,0.80,167700
29-Sep-16,0.82,0.84,0.81,0.84,27600
28-Sep-16,0.84,0.84,0.80,0.81,162100
27-Sep-16,0.80,0.84,0.80,0.84,573100
26-Sep-16,0.81,0.82,0.81,0.82,247400
23-Sep-16,0.79,0.80,0.79,0.80,122100
22-Sep-16,0.80,0.82,0.80,0.80,152400
21-Sep-16,0.79,0.82,0.79,0.82,236000
20-Sep-16,-,-,-,0.81,0
19-Sep-16,0.77,0.81,0.77,0.81,25700
15-Sep-16,0.77,0.77,0.77,0.77,11300
14-Sep-16,-,-,-,0.78,0
13-Sep-16,0.77,0.78,0.77,0.78,253900
9-Sep-16,0.79,0.79,0.79,0.79,10000
8-Sep-16,0.82,0.84,0.82,0.83,31500
7-Sep-16,0.79,0.82,0.79,0.82,410100
6-Sep-16,0.77,0.77,0.77,0.77,1000
5-Sep-16,0.78,0.78,0.74,0.76,52400
2-Sep-16,0.78,0.78,0.78,0.78,22000
1-Sep-16,0.78,0.78,0.77,0.77,10100
30-Aug-16,0.78,0.78,0.77,0.78,79600
29-Aug-16,0.78,0.82,0.78,0.78,9700
26-Aug-16,0.81,0.81,0.78,0.78,64300
25-Aug-16,0.82,0.82,0.82,0.82,106000
24-Aug-16,0.83,0.83,0.83,0.83,18200
23-Aug-16,0.87,0.88,0.85,0.85,74000
22-Aug-16,0.85,0.89,0.85,0.87,701100
19-Aug-16,0.78,0.84,0.78,0.84,490800
18-Aug-16,0.77,0.79,0.77,0.78,98100
17-Aug-16,0.75,0.76,0.75,0.76,92300
16-Aug-16,0.75,0.75,0.75,0.75,40000
15-Aug-16,0.75,0.75,0.75,0.75,15800
12-Aug-16,0.75,0.75,0.75,0.75,20300
11-Aug-16,0.74,0.76,0.74,0.76,10900
10-Aug-16,0.76,0.76,0.76,0.76,88800
9-Aug-16,0.72,0.76,0.72,0.76,5700
8-Aug-16,0.76,0.76,0.74,0.74,21900
5-Aug-16,0.75,0.75,0.75,0.75,40000
4-Aug-16,0.74,0.75,0.74,0.75,66000
3-Aug-16,0.75,0.75,0.74,0.74,22000
2-Aug-16,0.74,0.74,0.74,0.74,5400
1-Aug-16,0.76,0.76,0.75,0.75,35000
29-Jul-16,-,-,-,0.75,0
28-Jul-16,0.74,0.75,0.74,0.75,24300
27-Jul-16,0.74,0.75,0.74,0.75,66800
26-Jul-16,-,-,-,0.75,0
25-Jul-16,0.75,0.75,0.75,0.75,8700
22-Jul-16,0.76,0.76,0.76,0.76,20000
21-Jul-16,-,-,-,0.76,0
20-Jul-16,-,-,-,0.76,0
19-Jul-16,-,-,-,0.76,0
18-Jul-16,0.74,0.76,0.74,0.76,23400
15-Jul-16,-,-,-,0.74,0
14-Jul-16,0.74,0.74,0.74,0.74,10000
13-Jul-16,-,-,-,0.74,0
12-Jul-16,-,-,-,0.74,0
11-Jul-16,0.78,0.78,0.74,0.74,23600
8-Jul-16,-,-,-,0.76,0
5-Jul-16,-,-,-,0.76,0
4-Jul-16,0.76,0.76,0.76,0.76,1100
1-Jul-16,-,-,-,0.76,0
30-Jun-16,0.76,0.76,0.76,0.76,2100
29-Jun-16,0.74,0.74,0.74,0.74,5000
28-Jun-16,-,-,-,0.74,0
27-Jun-16,0.74,0.74,0.74,0.74,80000
24-Jun-16,0.77,0.77,0.77,0.77,12000
23-Jun-16,0.77,0.77,0.77,0.77,9000
21-Jun-16,-,-,-,0.78,0
20-Jun-16,-,-,-,0.78,0
17-Jun-16,0.78,0.78,0.78,0.78,10800
