Date,Open,High,Low,Close,Volume
7-Oct-16,-,-,-,2.07,0
6-Oct-16,-,-,-,2.07,0
5-Oct-16,-,-,-,2.07,0
4-Oct-16,2.02,2.07,2.02,2.07,5000
30-Sep-16,2.04,2.07,2.04,2.07,23000
29-Sep-16,2.00,2.06,2.00,2.05,4000
28-Sep-16,-,-,-,2.06,0
27-Sep-16,2.06,2.06,2.06,2.06,6000
26-Sep-16,-,-,-,2.06,0
23-Sep-16,2.05,2.06,2.05,2.06,39000
22-Sep-16,-,-,-,2.06,0
21-Sep-16,-,-,-,2.06,0
20-Sep-16,2.06,2.06,2.06,2.06,23000
19-Sep-16,2.05,2.05,2.05,2.05,17000
15-Sep-16,1.92,2.04,1.90,2.01,29200
14-Sep-16,1.99,2.04,1.91,2.04,14300
13-Sep-16,2.00,2.06,2.00,2.06,3000
9-Sep-16,2.07,2.07,2.07,2.07,2000
8-Sep-16,2.01,2.05,2.01,2.05,4500
7-Sep-16,2.03,2.06,2.01,2.06,4000
6-Sep-16,2.06,2.06,2.06,2.06,1000
5-Sep-16,2.07,2.07,2.07,2.07,3000
2-Sep-16,-,-,-,2.07,0
1-Sep-16,2.07,2.07,2.07,2.07,800
30-Aug-16,-,-,-,2.07,0
29-Aug-16,-,-,-,2.07,0
26-Aug-16,-,-,-,2.07,0
25-Aug-16,2.01,2.07,2.01,2.07,7000
24-Aug-16,-,-,-,2.08,0
23-Aug-16,2.08,2.08,2.08,2.08,2000
22-Aug-16,2.02,2.08,2.02,2.08,5000
19-Aug-16,2.08,2.08,2.08,2.08,3000
18-Aug-16,-,-,-,2.07,0
17-Aug-16,-,-,-,2.07,0
16-Aug-16,2.00,2.07,2.00,2.07,19500
15-Aug-16,-,-,-,2.07,0
12-Aug-16,2.07,2.07,2.07,2.07,1500
11-Aug-16,2.07,2.07,2.07,2.07,5000
10-Aug-16,2.07,2.07,2.07,2.07,2000
9-Aug-16,1.98,2.07,1.98,2.07,4000
8-Aug-16,1.98,2.07,1.98,2.07,138500
5-Aug-16,-,-,-,2.07,0
4-Aug-16,2.06,2.07,2.06,2.07,3800
3-Aug-16,2.07,2.07,2.07,2.07,4000
2-Aug-16,2.06,2.06,2.06,2.06,10000
1-Aug-16,1.99,2.05,1.99,2.05,126500
29-Jul-16,1.99,2.00,1.95,2.00,7400
28-Jul-16,1.95,2.00,1.95,2.00,4000
27-Jul-16,1.95,2.03,1.95,2.03,8000
26-Jul-16,-,-,-,2.04,0
25-Jul-16,-,-,-,2.04,0
22-Jul-16,2.04,2.04,2.04,2.04,200
21-Jul-16,2.03,2.05,2.00,2.05,7000
20-Jul-16,2.09,2.09,2.09,2.09,36000
19-Jul-16,2.08,2.08,2.08,2.08,2000
18-Jul-16,2.08,2.08,2.05,2.05,2000
15-Jul-16,2.05,2.07,2.04,2.07,8500
14-Jul-16,2.01,2.07,2.01,2.04,13000
13-Jul-16,2.05,2.05,2.00,2.00,4500
12-Jul-16,2.04,2.08,2.04,2.08,337400
11-Jul-16,2.07,2.07,2.04,2.04,169500
8-Jul-16,2.08,2.08,2.00,2.08,100000
5-Jul-16,2.14,2.14,2.14,2.14,500
4-Jul-16,2.15,2.15,2.14,2.15,542000
1-Jul-16,2.16,2.16,2.16,2.16,150000
30-Jun-16,2.17,2.17,2.17,2.17,102000
29-Jun-16,2.17,2.17,2.17,2.17,180000
28-Jun-16,2.16,2.16,2.16,2.16,97000
27-Jun-16,2.15,2.16,2.14,2.16,179200
24-Jun-16,2.08,2.15,2.08,2.15,4000
23-Jun-16,2.17,2.17,2.17,2.17,452000
21-Jun-16,2.18,2.18,2.14,2.15,210800
20-Jun-16,2.15,2.18,2.15,2.17,1121000
17-Jun-16,2.17,2.18,2.17,2.18,61600
16-Jun-16,2.17,2.17,2.17,2.17,31500
15-Jun-16,2.17,2.18,2.17,2.17,218900
14-Jun-16,2.12,2.19,2.11,2.18,791400
13-Jun-16,2.05,2.12,2.03,2.12,151500
10-Jun-16,2.10,2.11,2.10,2.11,151500
9-Jun-16,2.10,2.10,2.10,2.10,114500
8-Jun-16,2.09,2.10,2.08,2.10,131600
7-Jun-16,2.12,2.13,2.12,2.13,139000
6-Jun-16,2.13,2.13,2.10,2.12,394000
3-Jun-16,2.15,2.15,2.15,2.15,95000
2-Jun-16,-,-,-,2.16,0
1-Jun-16,2.16,2.16,2.16,2.16,130000
31-May-16,2.15,2.16,2.15,2.16,712500
30-May-16,2.15,2.15,2.14,2.15,415000
27-May-16,2.15,2.15,2.10,2.15,255000
26-May-16,2.13,2.15,2.13,2.15,1123500
25-May-16,2.08,2.15,2.08,2.15,963000
24-May-16,2.15,2.15,2.15,2.15,1077700
23-May-16,2.15,2.15,2.14,2.14,288000
20-May-16,-,-,-,2.13,0
19-May-16,2.17,2.17,2.12,2.13,1361200
18-May-16,2.11,2.18,2.10,2.17,1466500
17-May-16,2.18,2.18,2.10,2.18,977000
16-May-16,2.19,2.19,2.17,2.18,238000
13-May-16,2.18,2.19,2.18,2.19,573000
12-May-16,2.13,2.18,2.12,2.18,979500
11-May-16,2.07,2.13,2.07,2.13,1771300
10-May-16,2.05,2.09,2.04,2.09,1169000
9-May-16,2.06,2.06,2.05,2.05,115000
6-May-16,2.06,2.08,2.05,2.05,227000
5-May-16,2.10,2.11,2.07,2.11,1681200
4-May-16,2.11,2.11,2.03,2.10,2113100
3-May-16,2.00,2.12,2.00,2.12,275000
29-Apr-16,2.07,2.15,2.07,2.15,185300
28-Apr-16,2.10,2.10,2.09,2.10,3000
27-Apr-16,2.18,2.18,2.10,2.15,651400
26-Apr-16,2.15,2.18,2.12,2.17,362100
25-Apr-16,2.00,2.15,2.00,2.15,757300
22-Apr-16,2.04,2.06,2.03,2.06,611300
21-Apr-16,2.05,2.07,2.05,2.06,295000
20-Apr-16,2.06,2.07,2.05,2.07,352000
19-Apr-16,2.01,2.05,2.01,2.05,340200
18-Apr-16,2.02,2.02,2.00,2.00,13000
15-Apr-16,2.02,2.02,2.02,2.02,23100
14-Apr-16,-,-,-,2.03,0
13-Apr-16,-,-,-,2.03,0
12-Apr-16,2.00,2.03,2.00,2.03,268000
11-Apr-16,2.00,2.03,2.00,2.03,509000
8-Apr-16,1.92,1.92,1.92,1.92,2000
7-Apr-16,-,-,-,2.00,0
6-Apr-16,-,-,-,2.00,0
5-Apr-16,2.00,2.00,2.00,2.00,20900
4-Apr-16,2.03,2.04,2.02,2.02,21000
1-Apr-16,-,-,-,2.02,0
31-Mar-16,2.02,2.02,2.02,2.02,13000
30-Mar-16,2.02,2.03,2.02,2.03,60000
29-Mar-16,-,-,-,2.03,0
28-Mar-16,2.03,2.03,2.03,2.03,3000
25-Mar-16,-,-,-,2.05,0
24-Mar-16,2.03,2.05,2.03,2.05,72000
23-Mar-16,-,-,-,2.04,0
22-Mar-16,2.01,2.04,2.01,2.04,167000
21-Mar-16,1.90,2.02,1.90,2.02,133400
18-Mar-16,1.90,1.93,1.89,1.93,13000
17-Mar-16,1.92,1.93,1.91,1.93,13000
16-Mar-16,1.90,1.93,1.89,1.93,55000
15-Mar-16,1.90,1.93,1.90,1.93,8000
14-Mar-16,1.94,1.94,1.94,1.94,1200
11-Mar-16,1.92,1.94,1.92,1.94,359000
10-Mar-16,1.91,1.92,1.91,1.92,10800
9-Mar-16,1.93,1.93,1.92,1.92,1000
8-Mar-16,1.83,1.94,1.83,1.94,30200
7-Mar-16,1.88,1.90,1.88,1.90,34300
4-Mar-16,-,-,-,1.91,0
3-Mar-16,1.91,1.91,1.91,1.91,2000
2-Mar-16,1.91,1.92,1.89,1.89,44000
1-Mar-16,-,-,-,1.95,0
29-Feb-16,1.90,1.95,1.90,1.95,17400
26-Feb-16,1.92,1.95,1.92,1.95,19300
25-Feb-16,1.89,1.95,1.88,1.95,48700
24-Feb-16,1.92,1.94,1.90,1.94,19600
23-Feb-16,-,-,-,1.95,0
22-Feb-16,1.88,1.95,1.88,1.95,12000
19-Feb-16,1.92,1.95,1.92,1.95,412700
18-Feb-16,1.94,1.94,1.94,1.94,1000
17-Feb-16,-,-,-,1.90,0
16-Feb-16,1.90,1.93,1.90,1.90,45200
15-Feb-16,-,-,-,1.96,0
12-Feb-16,1.90,1.97,1.90,1.96,22100
