Date,Open,High,Low,Close,Volume
7-Oct-16,0.70,0.70,0.70,0.70,22000
6-Oct-16,0.70,0.70,0.70,0.70,25100
5-Oct-16,-,-,-,0.70,0
4-Oct-16,0.70,0.70,0.70,0.70,22000
30-Sep-16,0.70,0.70,0.70,0.70,41200
29-Sep-16,0.70,0.70,0.70,0.70,8000
28-Sep-16,0.70,0.70,0.70,0.70,23000
27-Sep-16,0.70,0.70,0.70,0.70,20000
26-Sep-16,0.70,0.70,0.70,0.70,37400
23-Sep-16,0.70,0.70,0.70,0.70,35000
22-Sep-16,0.70,0.70,0.70,0.70,55200
21-Sep-16,0.70,0.70,0.70,0.70,25000
20-Sep-16,0.70,0.70,0.70,0.70,61000
19-Sep-16,0.70,0.70,0.70,0.70,20000
15-Sep-16,0.70,0.70,0.70,0.70,15000
14-Sep-16,0.70,0.70,0.70,0.70,5000
13-Sep-16,0.70,0.70,0.70,0.70,10100
9-Sep-16,-,-,-,0.70,0
8-Sep-16,0.70,0.70,0.70,0.70,26300
7-Sep-16,0.70,0.70,0.70,0.70,22000
6-Sep-16,0.72,0.72,0.70,0.71,26000
5-Sep-16,0.71,0.71,0.71,0.71,10000
2-Sep-16,0.71,0.71,0.71,0.71,21500
1-Sep-16,0.70,0.72,0.70,0.72,9000
30-Aug-16,0.72,0.74,0.72,0.74,162700
29-Aug-16,0.72,0.72,0.72,0.72,45000
26-Aug-16,0.72,0.72,0.71,0.72,144700
25-Aug-16,0.71,0.72,0.71,0.71,330000
24-Aug-16,0.72,0.72,0.71,0.71,50000
23-Aug-16,0.71,0.72,0.71,0.72,70000
22-Aug-16,0.70,0.70,0.70,0.70,20000
19-Aug-16,0.70,0.70,0.70,0.70,26000
18-Aug-16,-,-,-,0.70,0
17-Aug-16,-,-,-,0.70,0
16-Aug-16,0.70,0.70,0.70,0.70,16000
15-Aug-16,-,-,-,0.71,0
12-Aug-16,0.70,0.71,0.70,0.71,20000
11-Aug-16,0.70,0.70,0.70,0.70,5000
10-Aug-16,0.70,0.70,0.70,0.70,8000
9-Aug-16,0.70,0.70,0.70,0.70,60000
8-Aug-16,0.70,0.70,0.70,0.70,3300
5-Aug-16,0.70,0.70,0.70,0.70,7000
4-Aug-16,-,-,-,0.70,0
3-Aug-16,0.70,0.70,0.70,0.70,1000
