Date,Open,High,Low,Close,Volume
7-Oct-16,0.69,0.70,0.68,0.70,164600
6-Oct-16,0.69,0.70,0.68,0.70,274700
5-Oct-16,0.70,0.70,0.69,0.69,558700
4-Oct-16,0.71,0.72,0.70,0.70,303700
30-Sep-16,0.72,0.72,0.71,0.72,563300
29-Sep-16,0.72,0.72,0.72,0.72,216800
28-Sep-16,0.72,0.73,0.72,0.72,570300
27-Sep-16,0.72,0.72,0.70,0.72,724900
26-Sep-16,0.73,0.73,0.72,0.72,585700
23-Sep-16,0.74,0.74,0.72,0.73,651800
22-Sep-16,0.74,0.74,0.73,0.74,1019000
21-Sep-16,0.73,0.75,0.72,0.74,2973500
20-Sep-16,0.72,0.74,0.72,0.73,3377000
19-Sep-16,0.69,0.72,0.69,0.72,1828200
15-Sep-16,0.68,0.69,0.68,0.68,298100
14-Sep-16,0.68,0.68,0.68,0.68,541000
13-Sep-16,0.70,0.70,0.68,0.68,626900
9-Sep-16,0.70,0.72,0.69,0.70,2796300
8-Sep-16,0.66,0.71,0.66,0.70,2485100
7-Sep-16,0.66,0.66,0.65,0.66,98000
6-Sep-16,0.66,0.66,0.66,0.66,123400
5-Sep-16,0.66,0.66,0.66,0.66,495500
2-Sep-16,0.67,0.67,0.66,0.66,292600
1-Sep-16,0.65,0.68,0.65,0.66,734000
30-Aug-16,0.65,0.66,0.65,0.66,223000
29-Aug-16,0.66,0.66,0.65,0.65,205800
26-Aug-16,0.66,0.66,0.66,0.66,203400
25-Aug-16,0.65,0.66,0.65,0.66,88100
24-Aug-16,0.66,0.66,0.65,0.66,113500
23-Aug-16,0.66,0.66,0.65,0.66,173500
22-Aug-16,0.66,0.66,0.66,0.66,107600
19-Aug-16,0.66,0.68,0.66,0.66,384700
18-Aug-16,0.67,0.68,0.66,0.68,290700
17-Aug-16,0.68,0.68,0.66,0.67,64100
16-Aug-16,0.68,0.69,0.68,0.68,805600
15-Aug-16,0.65,0.68,0.65,0.68,450800
12-Aug-16,0.64,0.65,0.64,0.65,560000
11-Aug-16,0.65,0.65,0.64,0.64,538400
10-Aug-16,0.64,0.65,0.64,0.65,242700
9-Aug-16,0.64,0.64,0.64,0.64,347000
8-Aug-16,0.64,0.65,0.64,0.64,471700
5-Aug-16,0.64,0.65,0.64,0.64,159600
4-Aug-16,0.64,0.64,0.64,0.64,169400
3-Aug-16,0.64,0.64,0.64,0.64,151300
2-Aug-16,0.64,0.64,0.64,0.64,98200
1-Aug-16,0.64,0.65,0.64,0.65,227300
29-Jul-16,0.64,0.65,0.64,0.65,182400
28-Jul-16,0.64,0.65,0.64,0.64,196300
27-Jul-16,0.65,0.66,0.64,0.65,80700
26-Jul-16,0.65,0.66,0.65,0.65,153100
25-Jul-16,0.65,0.66,0.64,0.64,163100
22-Jul-16,0.65,0.65,0.65,0.65,80200
21-Jul-16,0.66,0.67,0.66,0.66,165700
20-Jul-16,0.66,0.67,0.66,0.67,297800
19-Jul-16,0.65,0.66,0.65,0.66,348600
18-Jul-16,0.64,0.65,0.64,0.65,83700
15-Jul-16,0.64,0.65,0.64,0.65,112800
14-Jul-16,0.64,0.65,0.64,0.64,114200
13-Jul-16,0.64,0.64,0.64,0.64,287800
12-Jul-16,0.64,0.64,0.64,0.64,212000
11-Jul-16,0.64,0.65,0.64,0.64,269200
8-Jul-16,0.65,0.65,0.64,0.64,289000
5-Jul-16,0.65,0.66,0.65,0.66,36000
4-Jul-16,0.65,0.65,0.65,0.65,49000
1-Jul-16,0.65,0.66,0.64,0.65,34800
30-Jun-16,0.66,0.66,0.64,0.64,147300
29-Jun-16,0.65,0.66,0.64,0.65,92000
28-Jun-16,0.64,0.64,0.64,0.64,160500
27-Jun-16,0.64,0.64,0.64,0.64,123800
24-Jun-16,0.66,0.66,0.64,0.64,345900
23-Jun-16,0.66,0.66,0.66,0.66,241500
21-Jun-16,0.65,0.66,0.64,0.66,219000
20-Jun-16,0.66,0.66,0.64,0.65,151500
17-Jun-16,0.65,0.66,0.64,0.64,165700
16-Jun-16,0.66,0.66,0.64,0.64,572700
15-Jun-16,0.66,0.66,0.66,0.66,89900
14-Jun-16,0.66,0.66,0.66,0.66,293000
13-Jun-16,0.67,0.68,0.67,0.67,157200
10-Jun-16,0.68,0.68,0.67,0.68,164200
9-Jun-16,0.68,0.69,0.68,0.68,318100
8-Jun-16,0.68,0.69,0.68,0.68,388200
7-Jun-16,0.67,0.68,0.66,0.68,432500
6-Jun-16,0.67,0.68,0.67,0.67,131000
3-Jun-16,0.67,0.68,0.67,0.68,254000
2-Jun-16,0.67,0.68,0.66,0.68,179800
1-Jun-16,0.68,0.68,0.67,0.68,89600
31-May-16,0.67,0.68,0.67,0.68,258300
30-May-16,0.68,0.68,0.68,0.68,146700
27-May-16,0.69,0.70,0.68,0.68,737400
26-May-16,0.72,0.72,0.70,0.70,637600
25-May-16,0.70,0.72,0.70,0.72,1199800
24-May-16,0.68,0.70,0.68,0.69,721600
23-May-16,0.66,0.68,0.66,0.66,172200
20-May-16,0.68,0.68,0.67,0.68,64700
19-May-16,0.67,0.70,0.67,0.68,38500
18-May-16,0.68,0.68,0.67,0.68,39700
17-May-16,0.66,0.68,0.66,0.68,54100
16-May-16,0.66,0.68,0.66,0.67,86100
13-May-16,0.67,0.68,0.67,0.67,106600
12-May-16,0.68,0.68,0.68,0.68,93100
11-May-16,0.68,0.69,0.68,0.68,227800
10-May-16,0.67,0.68,0.67,0.68,295900
9-May-16,0.69,0.69,0.67,0.68,194200
6-May-16,0.68,0.69,0.68,0.68,90500
5-May-16,0.68,0.68,0.68,0.68,112000
4-May-16,0.68,0.68,0.68,0.68,103600
3-May-16,0.68,0.69,0.68,0.68,220200
29-Apr-16,0.68,0.68,0.68,0.68,334800
28-Apr-16,0.68,0.70,0.68,0.68,341900
27-Apr-16,0.70,0.70,0.69,0.70,302500
26-Apr-16,0.70,0.70,0.69,0.70,755500
25-Apr-16,0.70,0.70,0.70,0.70,364200
22-Apr-16,0.70,0.71,0.70,0.70,104400
21-Apr-16,0.70,0.71,0.70,0.70,446200
20-Apr-16,0.70,0.70,0.70,0.70,313700
19-Apr-16,0.70,0.70,0.70,0.70,168000
18-Apr-16,0.70,0.71,0.70,0.70,359000
15-Apr-16,0.70,0.71,0.70,0.70,291100
14-Apr-16,0.71,0.72,0.71,0.71,293600
13-Apr-16,0.72,0.72,0.71,0.72,294200
12-Apr-16,0.71,0.72,0.70,0.71,164500
11-Apr-16,0.71,0.71,0.70,0.71,160400
8-Apr-16,0.71,0.71,0.70,0.71,97300
7-Apr-16,0.71,0.71,0.71,0.71,52100
6-Apr-16,0.70,0.72,0.70,0.71,509300
5-Apr-16,0.70,0.71,0.70,0.70,328200
4-Apr-16,0.70,0.72,0.70,0.71,128000
1-Apr-16,0.72,0.72,0.70,0.71,209200
31-Mar-16,0.72,0.72,0.71,0.72,470700
30-Mar-16,0.71,0.72,0.71,0.72,40500
29-Mar-16,0.70,0.71,0.70,0.70,62700
28-Mar-16,0.71,0.71,0.70,0.70,349500
25-Mar-16,0.72,0.72,0.71,0.72,208600
24-Mar-16,0.72,0.72,0.72,0.72,243200
23-Mar-16,0.74,0.74,0.72,0.72,525200
22-Mar-16,0.74,0.76,0.74,0.74,1215400
21-Mar-16,0.72,0.74,0.72,0.74,771900
18-Mar-16,0.71,0.72,0.71,0.72,520800
17-Mar-16,0.70,0.70,0.70,0.70,264500
