Date,Open,High,Low,Close,Volume
7-Oct-16,2.53,2.55,2.51,2.53,2945200
6-Oct-16,2.56,2.56,2.52,2.52,4613600
5-Oct-16,2.52,2.57,2.50,2.52,6823600
4-Oct-16,2.50,2.54,2.50,2.51,6149000
30-Sep-16,2.52,2.52,2.48,2.49,2973500
29-Sep-16,2.50,2.50,2.48,2.49,1323500
28-Sep-16,2.48,2.50,2.46,2.49,2466500
27-Sep-16,2.52,2.52,2.48,2.48,2868000
26-Sep-16,2.50,2.56,2.49,2.56,2761100
23-Sep-16,2.52,2.52,2.49,2.50,2931200
22-Sep-16,2.53,2.53,2.49,2.50,2225300
21-Sep-16,2.53,2.53,2.50,2.52,3252100
20-Sep-16,2.56,2.57,2.52,2.53,3368100
19-Sep-16,2.64,2.65,2.58,2.62,3438000
15-Sep-16,2.62,2.64,2.60,2.62,7162500
14-Sep-16,2.63,2.63,2.59,2.62,3471800
13-Sep-16,2.60,2.65,2.59,2.61,2473100
9-Sep-16,2.58,2.62,2.56,2.62,2216900
8-Sep-16,2.59,2.59,2.56,2.58,2751700
7-Sep-16,2.54,2.59,2.53,2.59,3694700
6-Sep-16,2.54,2.55,2.52,2.54,2969000
5-Sep-16,2.58,2.58,2.53,2.54,2477800
2-Sep-16,2.58,2.59,2.56,2.58,1748700
1-Sep-16,2.54,2.58,2.52,2.58,3798000
30-Aug-16,2.53,2.53,2.51,2.52,4551100
29-Aug-16,2.52,2.52,2.49,2.52,2674400
26-Aug-16,2.51,2.51,2.49,2.50,2338500
25-Aug-16,2.48,2.51,2.46,2.50,4035600
24-Aug-16,2.44,2.50,2.43,2.50,3722000
23-Aug-16,2.46,2.51,2.43,2.44,1631500
22-Aug-16,2.46,2.46,2.43,2.44,1347500
19-Aug-16,2.44,2.47,2.43,2.45,2086700
18-Aug-16,2.47,2.47,2.44,2.47,1945400
17-Aug-16,2.44,2.50,2.41,2.50,2671100
16-Aug-16,2.42,2.46,2.42,2.44,1850800
15-Aug-16,2.43,2.47,2.40,2.43,1325500
12-Aug-16,2.42,2.43,2.39,2.42,2704900
11-Aug-16,2.40,2.42,2.39,2.40,767000
10-Aug-16,2.42,2.42,2.39,2.42,1046600
9-Aug-16,2.40,2.42,2.40,2.42,1929400
8-Aug-16,2.47,2.47,2.40,2.40,2046400
5-Aug-16,2.40,2.47,2.39,2.47,1443700
4-Aug-16,2.40,2.42,2.40,2.40,4915000
3-Aug-16,2.37,2.41,2.37,2.40,3087300
2-Aug-16,2.40,2.40,2.38,2.39,1941000
