Date,Open,High,Low,Close,Volume
7-Oct-16,0.88,0.88,0.88,0.88,5000
6-Oct-16,0.91,0.91,0.91,0.91,1000
5-Oct-16,-,-,-,0.91,0
4-Oct-16,-,-,-,0.91,0
30-Sep-16,-,-,-,0.91,0
29-Sep-16,-,-,-,0.91,0
28-Sep-16,0.91,0.91,0.91,0.91,3000
27-Sep-16,-,-,-,0.91,0
26-Sep-16,0.91,0.91,0.91,0.91,2600
23-Sep-16,0.91,0.91,0.91,0.91,5000
22-Sep-16,0.91,0.91,0.91,0.91,1000
21-Sep-16,0.91,0.91,0.91,0.91,10000
20-Sep-16,0.93,1.00,0.91,0.91,75600
19-Sep-16,-,-,-,0.89,0
15-Sep-16,-,-,-,0.89,0
14-Sep-16,-,-,-,0.89,0
13-Sep-16,-,-,-,0.89,0
9-Sep-16,0.89,0.89,0.89,0.89,6500
8-Sep-16,0.89,0.89,0.89,0.89,5000
7-Sep-16,-,-,-,0.89,0
6-Sep-16,-,-,-,0.89,0
5-Sep-16,0.89,0.89,0.89,0.89,2500
2-Sep-16,-,-,-,0.89,0
1-Sep-16,-,-,-,0.89,0
30-Aug-16,0.90,0.90,0.89,0.89,7000
29-Aug-16,0.89,0.94,0.89,0.94,9000
26-Aug-16,-,-,-,0.90,0
25-Aug-16,0.90,0.90,0.90,0.90,8500
24-Aug-16,0.92,0.96,0.92,0.92,10000
23-Aug-16,0.92,0.92,0.90,0.90,11000
22-Aug-16,-,-,-,0.97,0
19-Aug-16,-,-,-,0.97,0
18-Aug-16,-,-,-,0.97,0
17-Aug-16,0.97,0.97,0.97,0.97,5000
16-Aug-16,-,-,-,0.94,0
15-Aug-16,0.93,0.94,0.93,0.94,5700
12-Aug-16,0.94,0.94,0.94,0.94,10000
11-Aug-16,-,-,-,0.94,0
10-Aug-16,-,-,-,0.94,0
9-Aug-16,0.96,0.96,0.94,0.94,4000
8-Aug-16,-,-,-,0.97,0
5-Aug-16,0.95,0.97,0.95,0.97,11000
4-Aug-16,0.94,0.94,0.94,0.94,1000
3-Aug-16,0.92,0.92,0.92,0.92,10000
2-Aug-16,0.90,0.90,0.90,0.90,1000
1-Aug-16,-,-,-,0.90,0
29-Jul-16,0.90,0.90,0.90,0.90,5000
28-Jul-16,-,-,-,0.90,0
27-Jul-16,0.90,0.90,0.90,0.90,10000
26-Jul-16,0.89,0.89,0.89,0.89,1000
25-Jul-16,-,-,-,0.89,0
22-Jul-16,-,-,-,0.89,0
21-Jul-16,0.89,0.89,0.89,0.89,1000
20-Jul-16,0.92,0.92,0.92,0.92,1000
19-Jul-16,0.93,0.93,0.93,0.93,6000
18-Jul-16,-,-,-,0.96,0
15-Jul-16,-,-,-,0.96,0
14-Jul-16,-,-,-,0.96,0
13-Jul-16,-,-,-,0.96,0
12-Jul-16,-,-,-,0.96,0
11-Jul-16,-,-,-,0.96,0
8-Jul-16,-,-,-,0.96,0
5-Jul-16,-,-,-,0.96,0
4-Jul-16,-,-,-,0.96,0
1-Jul-16,-,-,-,0.96,0
30-Jun-16,-,-,-,0.96,0
29-Jun-16,-,-,-,0.96,0
28-Jun-16,0.96,0.96,0.96,0.96,1000
27-Jun-16,-,-,-,0.97,0
24-Jun-16,0.97,0.97,0.96,0.97,17000
23-Jun-16,0.97,0.97,0.97,0.97,1000
21-Jun-16,0.98,0.98,0.98,0.98,20000
20-Jun-16,0.98,0.98,0.98,0.98,1000
17-Jun-16,-,-,-,0.98,0
16-Jun-16,0.98,0.98,0.98,0.98,1000
15-Jun-16,0.98,1.00,0.97,1.00,139100
14-Jun-16,-,-,-,1.00,0
13-Jun-16,-,-,-,1.00,0
10-Jun-16,1.00,1.00,1.00,1.00,3000
9-Jun-16,-,-,-,1.00,0
8-Jun-16,-,-,-,1.00,0
7-Jun-16,0.98,1.00,0.98,1.00,26000
6-Jun-16,-,-,-,1.00,0
3-Jun-16,0.98,1.00,0.97,1.00,46000
2-Jun-16,-,-,-,1.00,0
1-Jun-16,-,-,-,1.00,0
31-May-16,0.99,1.00,0.99,1.00,24000
