Date,Open,High,Low,Close,Volume
7-Oct-16,2.10,2.16,2.09,2.15,135800
6-Oct-16,2.17,2.18,2.12,2.12,259800
5-Oct-16,2.21,2.21,2.16,2.16,62700
4-Oct-16,2.20,2.23,2.15,2.20,150100
30-Sep-16,2.29,2.29,2.18,2.19,128400
29-Sep-16,2.24,2.24,2.23,2.23,73100
28-Sep-16,2.23,2.25,2.22,2.23,232300
27-Sep-16,2.25,2.25,2.22,2.22,265300
26-Sep-16,2.31,2.31,2.27,2.28,95600
23-Sep-16,2.33,2.33,2.30,2.31,68900
22-Sep-16,2.27,2.36,2.27,2.33,400400
21-Sep-16,2.27,2.29,2.27,2.27,84800
20-Sep-16,2.31,2.31,2.25,2.28,223900
19-Sep-16,2.27,2.40,2.27,2.30,1003900
15-Sep-16,2.18,2.25,2.17,2.24,483600
14-Sep-16,2.25,2.25,2.17,2.18,391000
13-Sep-16,2.23,2.28,2.21,2.25,276900
9-Sep-16,2.18,2.26,2.16,2.26,425200
8-Sep-16,2.15,2.16,2.14,2.16,202500
7-Sep-16,2.13,2.19,2.13,2.16,353300
6-Sep-16,2.14,2.16,2.09,2.11,571700
5-Sep-16,2.04,2.11,2.00,2.09,359200
2-Sep-16,2.00,2.00,1.97,1.98,95100
1-Sep-16,2.03,2.03,2.00,2.00,53300
30-Aug-16,2.04,2.06,2.04,2.04,414600
29-Aug-16,2.02,2.02,1.96,1.96,99300
26-Aug-16,1.99,1.99,1.96,1.96,7000
25-Aug-16,1.98,2.00,1.98,2.00,13000
24-Aug-16,2.00,2.00,2.00,2.00,10000
23-Aug-16,2.00,2.00,1.97,1.99,78000
22-Aug-16,2.02,2.04,1.93,1.93,99800
19-Aug-16,2.03,2.04,2.01,2.01,148300
18-Aug-16,2.01,2.03,2.01,2.03,211100
17-Aug-16,2.04,2.04,2.02,2.02,79000
16-Aug-16,2.07,2.07,2.02,2.03,132100
15-Aug-16,2.10,2.10,2.07,2.07,92800
12-Aug-16,2.10,2.12,2.08,2.10,117600
11-Aug-16,2.13,2.13,2.12,2.13,63200
10-Aug-16,2.12,2.13,2.10,2.10,115200
9-Aug-16,2.14,2.14,2.12,2.14,87400
8-Aug-16,2.15,2.19,2.14,2.14,162600
5-Aug-16,2.15,2.16,2.13,2.14,44500
4-Aug-16,2.04,2.16,2.04,2.11,252500
3-Aug-16,1.95,2.04,1.95,2.04,79700
2-Aug-16,1.97,1.97,1.96,1.97,76000
1-Aug-16,1.95,1.97,1.93,1.97,46900
29-Jul-16,1.96,1.97,1.96,1.97,39000
28-Jul-16,1.95,1.97,1.95,1.97,30000
27-Jul-16,1.95,1.97,1.95,1.97,28100
26-Jul-16,1.95,1.95,1.95,1.95,22200
25-Jul-16,1.92,1.96,1.92,1.95,113400
22-Jul-16,1.92,1.92,1.92,1.92,2000
21-Jul-16,1.90,1.90,1.90,1.90,10000
20-Jul-16,1.90,1.92,1.90,1.92,41800
19-Jul-16,1.92,1.92,1.92,1.92,54000
18-Jul-16,1.94,1.95,1.82,1.95,54000
15-Jul-16,1.89,1.94,1.88,1.94,38600
14-Jul-16,1.87,1.87,1.86,1.86,10000
13-Jul-16,1.89,1.89,1.86,1.86,38300
12-Jul-16,1.87,1.88,1.87,1.88,22400
11-Jul-16,1.87,1.87,1.87,1.87,1000
8-Jul-16,-,-,-,1.85,0
5-Jul-16,-,-,-,1.85,0
4-Jul-16,1.87,1.87,1.85,1.85,76600
1-Jul-16,1.90,1.90,1.87,1.87,2000
30-Jun-16,1.90,1.90,1.90,1.90,35700
29-Jun-16,1.90,1.92,1.90,1.90,108200
28-Jun-16,1.90,1.90,1.90,1.90,127100
27-Jun-16,1.94,1.95,1.94,1.95,14000
24-Jun-16,1.96,1.96,1.91,1.91,42500
23-Jun-16,1.97,1.99,1.97,1.99,20800
21-Jun-16,1.95,1.95,1.95,1.95,215300
20-Jun-16,1.95,1.95,1.95,1.95,150000
17-Jun-16,1.95,1.95,1.95,1.95,140500
16-Jun-16,1.93,1.93,1.93,1.93,8000
15-Jun-16,1.95,1.95,1.95,1.95,38000
14-Jun-16,1.95,1.95,1.95,1.95,5000
13-Jun-16,1.94,1.94,1.93,1.93,15000
10-Jun-16,1.93,1.93,1.93,1.93,2800
9-Jun-16,1.95,1.95,1.93,1.93,21800
8-Jun-16,1.95,1.95,1.95,1.95,4000
7-Jun-16,1.94,1.95,1.94,1.95,15000
6-Jun-16,1.94,1.95,1.93,1.93,93100
