Date,Open,High,Low,Close,Volume
7-Oct-16,0.16,0.17,0.16,0.16,2679000
6-Oct-16,0.17,0.18,0.16,0.16,10498000
5-Oct-16,0.16,0.17,0.16,0.17,2282800
4-Oct-16,0.17,0.18,0.16,0.17,4899200
30-Sep-16,0.17,0.18,0.17,0.17,5727100
29-Sep-16,0.17,0.18,0.17,0.17,4519200
28-Sep-16,0.18,0.18,0.17,0.17,4472500
27-Sep-16,0.18,0.18,0.18,0.18,4275200
26-Sep-16,0.18,0.18,0.17,0.18,11371600
23-Sep-16,0.17,0.18,0.17,0.18,42582300
22-Sep-16,0.17,0.18,0.17,0.17,2630900
21-Sep-16,0.18,0.18,0.17,0.17,5196100
20-Sep-16,0.18,0.18,0.17,0.18,23278100
19-Sep-16,0.16,0.17,0.16,0.16,4804000
15-Sep-16,0.16,0.16,0.16,0.16,2677200
14-Sep-16,0.16,0.16,0.16,0.16,5358000
13-Sep-16,0.17,0.17,0.16,0.16,9117500
9-Sep-16,0.16,0.17,0.16,0.17,4165800
8-Sep-16,0.18,0.18,0.16,0.17,8896100
7-Sep-16,0.18,0.18,0.17,0.17,35731700
6-Sep-16,0.16,0.18,0.16,0.18,48207000
5-Sep-16,0.16,0.16,0.16,0.16,11209400
2-Sep-16,0.16,0.16,0.16,0.16,6608700
1-Sep-16,0.16,0.16,0.16,0.16,13090000
30-Aug-16,0.16,0.17,0.16,0.16,11138600
29-Aug-16,0.18,0.18,0.16,0.16,30719100
26-Aug-16,0.17,0.18,0.17,0.18,5048900
25-Aug-16,0.18,0.18,0.17,0.17,32484100
24-Aug-16,0.18,0.18,0.17,0.18,38895900
23-Aug-16,0.20,0.20,0.18,0.18,65960100
22-Aug-16,0.20,0.21,0.20,0.20,38219900
19-Aug-16,0.20,0.21,0.20,0.20,15024000
18-Aug-16,0.20,0.22,0.20,0.21,73025600
17-Aug-16,0.21,0.22,0.20,0.20,94193600
16-Aug-16,0.17,0.24,0.17,0.21,260056600
15-Aug-16,0.16,0.17,0.16,0.17,24179700
12-Aug-16,0.16,0.16,0.16,0.16,63282900
11-Aug-16,0.14,0.14,0.14,0.14,964000
10-Aug-16,0.14,0.14,0.14,0.14,2221000
9-Aug-16,0.14,0.14,0.14,0.14,2433900
8-Aug-16,0.14,0.14,0.14,0.14,5046000
