Date,Open,High,Low,Close,Volume
7-Oct-16,0.06,0.06,0.06,0.06,53800
6-Oct-16,0.07,0.07,0.06,0.06,296800
5-Oct-16,0.06,0.06,0.06,0.06,85400
4-Oct-16,0.06,0.07,0.06,0.07,796500
30-Sep-16,0.07,0.07,0.07,0.07,105000
29-Sep-16,0.07,0.07,0.07,0.07,313400
28-Sep-16,0.07,0.07,0.07,0.07,467300
27-Sep-16,0.07,0.07,0.06,0.07,337700
26-Sep-16,0.07,0.07,0.07,0.07,1023000
23-Sep-16,0.07,0.08,0.07,0.08,2174300
22-Sep-16,0.07,0.07,0.06,0.06,365600
21-Sep-16,0.07,0.07,0.06,0.06,518900
20-Sep-16,0.07,0.08,0.07,0.08,794100
19-Sep-16,0.07,0.07,0.07,0.07,1308400
15-Sep-16,0.07,0.07,0.07,0.07,359000
14-Sep-16,0.07,0.08,0.07,0.08,234700
13-Sep-16,0.07,0.07,0.07,0.07,651800
9-Sep-16,0.07,0.08,0.07,0.08,140100
8-Sep-16,0.07,0.07,0.06,0.07,659900
7-Sep-16,0.06,0.07,0.06,0.07,1165000
6-Sep-16,0.06,0.07,0.06,0.06,480000
5-Sep-16,0.06,0.07,0.06,0.06,99100
2-Sep-16,0.06,0.07,0.06,0.07,159000
1-Sep-16,0.07,0.07,0.07,0.07,329600
30-Aug-16,0.07,0.08,0.07,0.07,2750400
29-Aug-16,0.08,0.08,0.07,0.07,5910300
26-Aug-16,0.08,0.08,0.08,0.08,1118200
25-Aug-16,0.08,0.08,0.07,0.07,585400
24-Aug-16,0.08,0.08,0.08,0.08,830000
23-Aug-16,0.08,0.08,0.08,0.08,420000
22-Aug-16,0.08,0.08,0.08,0.08,265100
19-Aug-16,0.08,0.08,0.08,0.08,324900
18-Aug-16,0.08,0.08,0.08,0.08,120000
17-Aug-16,0.08,0.08,0.08,0.08,1000
16-Aug-16,0.08,0.08,0.08,0.08,1069300
15-Aug-16,0.08,0.08,0.08,0.08,335000
12-Aug-16,0.08,0.08,0.08,0.08,224700
11-Aug-16,0.08,0.08,0.08,0.08,732900
10-Aug-16,0.08,0.08,0.08,0.08,3713500
9-Aug-16,0.08,0.08,0.08,0.08,439000
8-Aug-16,0.08,0.08,0.08,0.08,445000
5-Aug-16,0.08,0.08,0.08,0.08,13000
4-Aug-16,0.08,0.08,0.08,0.08,255000
3-Aug-16,0.08,0.08,0.08,0.08,336800
2-Aug-16,0.08,0.08,0.08,0.08,712400
1-Aug-16,0.08,0.08,0.08,0.08,636100
29-Jul-16,0.08,0.08,0.08,0.08,3636000
28-Jul-16,0.08,0.08,0.08,0.08,6196600
27-Jul-16,0.08,0.08,0.08,0.08,755200
26-Jul-16,0.08,0.08,0.08,0.08,110000
25-Jul-16,0.08,0.08,0.08,0.08,157900
22-Jul-16,0.08,0.08,0.08,0.08,421000
21-Jul-16,0.08,0.08,0.08,0.08,504000
20-Jul-16,0.08,0.08,0.08,0.08,420900
19-Jul-16,0.08,0.08,0.08,0.08,78000
18-Jul-16,0.08,0.08,0.08,0.08,206000
15-Jul-16,0.08,0.08,0.08,0.08,549000
14-Jul-16,0.08,0.08,0.08,0.08,397800
13-Jul-16,0.08,0.08,0.08,0.08,120000
12-Jul-16,0.08,0.08,0.08,0.08,573000
11-Jul-16,0.07,0.08,0.07,0.08,2246900
8-Jul-16,0.07,0.08,0.07,0.08,1002600
5-Jul-16,0.08,0.08,0.08,0.08,620000
4-Jul-16,0.08,0.08,0.08,0.08,640000
1-Jul-16,0.08,0.08,0.08,0.08,2681600
30-Jun-16,0.08,0.08,0.08,0.08,182800
29-Jun-16,0.08,0.08,0.08,0.08,89300
28-Jun-16,0.08,0.08,0.08,0.08,140000
