Date,Open,High,Low,Close,Volume
7-Oct-16,0.10,0.10,0.10,0.10,2100100
6-Oct-16,0.10,0.10,0.10,0.10,2095300
5-Oct-16,0.10,0.10,0.10,0.10,8570000
4-Oct-16,0.10,0.10,0.10,0.10,8060000
30-Sep-16,0.10,0.10,0.10,0.10,8074600
29-Sep-16,0.10,0.10,0.10,0.10,7670000
28-Sep-16,0.10,0.10,0.10,0.10,14399500
27-Sep-16,0.10,0.11,0.10,0.10,15680900
26-Sep-16,0.10,0.11,0.10,0.10,19751500
23-Sep-16,0.10,0.11,0.10,0.10,13283900
22-Sep-16,0.10,0.11,0.10,0.10,11664000
21-Sep-16,0.10,0.10,0.10,0.10,11059100
20-Sep-16,0.10,0.11,0.10,0.10,15215100
19-Sep-16,0.10,0.10,0.10,0.10,13616200
15-Sep-16,0.10,0.11,0.10,0.10,13421600
14-Sep-16,0.10,0.10,0.10,0.10,13436000
13-Sep-16,0.10,0.11,0.10,0.10,10202500
9-Sep-16,0.10,0.10,0.10,0.10,11790900
8-Sep-16,0.10,0.10,0.10,0.10,14815000
7-Sep-16,0.10,0.11,0.10,0.10,15569800
6-Sep-16,0.10,0.10,0.10,0.10,8490000
5-Sep-16,0.10,0.10,0.10,0.10,16844600
2-Sep-16,0.10,0.10,0.10,0.10,16629100
1-Sep-16,0.09,0.10,0.09,0.09,7280200
30-Aug-16,0.10,0.10,0.10,0.10,8308600
29-Aug-16,0.10,0.10,0.10,0.10,16844100
26-Aug-16,0.10,0.10,0.09,0.10,10013700
25-Aug-16,0.10,0.10,0.09,0.09,11410600
24-Aug-16,0.10,0.10,0.10,0.10,8481200
23-Aug-16,0.10,0.10,0.10,0.10,14056000
22-Aug-16,0.10,0.11,0.10,0.10,21107300
19-Aug-16,0.12,0.12,0.11,0.11,23083200
18-Aug-16,0.11,0.12,0.11,0.12,25135600
17-Aug-16,0.10,0.12,0.10,0.11,10325000
16-Aug-16,0.12,0.12,0.10,0.10,14734600
15-Aug-16,0.11,0.12,0.10,0.12,36498400
12-Aug-16,0.10,0.10,0.10,0.10,11759200
11-Aug-16,0.10,0.10,0.10,0.10,6154500
10-Aug-16,0.10,0.10,0.10,0.10,3230000
9-Aug-16,0.10,0.10,0.10,0.10,8763900
8-Aug-16,0.10,0.10,0.10,0.10,8818000
5-Aug-16,0.10,0.10,0.10,0.10,9732900
4-Aug-16,0.10,0.10,0.10,0.10,13273200
3-Aug-16,0.10,0.10,0.10,0.10,79000
2-Aug-16,0.10,0.10,0.10,0.10,5039300
1-Aug-16,0.10,0.10,0.10,0.10,12272300
29-Jul-16,0.09,0.10,0.09,0.10,8106800
28-Jul-16,0.09,0.10,0.09,0.09,6722000
27-Jul-16,0.09,0.10,0.09,0.09,3541100
26-Jul-16,0.08,0.09,0.08,0.09,79000
25-Jul-16,0.09,0.09,0.08,0.08,328000
22-Jul-16,0.09,0.09,0.09,0.09,6071100
21-Jul-16,0.09,0.09,0.09,0.09,4239500
20-Jul-16,0.09,0.09,0.09,0.09,1423500
19-Jul-16,0.09,0.09,0.09,0.09,712800
18-Jul-16,0.09,0.10,0.09,0.10,1398600
15-Jul-16,0.10,0.10,0.09,0.10,7797900
14-Jul-16,0.09,0.10,0.09,0.10,1173000
13-Jul-16,0.10,0.10,0.09,0.09,1244500
12-Jul-16,0.10,0.10,0.09,0.10,29459300
11-Jul-16,0.10,0.10,0.09,0.10,4933900
