Date,Open,High,Low,Close,Volume
7-Oct-16,1.29,1.29,1.25,1.27,100600
6-Oct-16,1.27,1.29,1.26,1.27,45900
5-Oct-16,1.26,1.27,1.25,1.27,70300
4-Oct-16,1.29,1.29,1.27,1.28,60800
30-Sep-16,1.28,1.30,1.28,1.28,72500
29-Sep-16,1.27,1.29,1.27,1.28,93000
28-Sep-16,1.29,1.30,1.27,1.27,192000
27-Sep-16,1.28,1.30,1.28,1.30,99900
26-Sep-16,1.28,1.31,1.27,1.30,204300
23-Sep-16,1.29,1.29,1.27,1.29,176800
22-Sep-16,1.28,1.33,1.28,1.29,637400
21-Sep-16,1.26,1.27,1.25,1.27,167000
20-Sep-16,1.27,1.28,1.25,1.26,254300
19-Sep-16,1.29,1.29,1.27,1.28,180400
15-Sep-16,1.27,1.30,1.25,1.30,494000
14-Sep-16,1.28,1.29,1.28,1.28,382700
13-Sep-16,1.32,1.32,1.28,1.30,452500
9-Sep-16,1.35,1.35,1.31,1.32,425200
8-Sep-16,1.30,1.36,1.30,1.35,1357400
7-Sep-16,1.33,1.33,1.28,1.30,1027800
6-Sep-16,1.34,1.34,1.31,1.33,724500
5-Sep-16,1.35,1.38,1.31,1.34,1291700
2-Sep-16,1.35,1.38,1.35,1.35,382000
1-Sep-16,1.37,1.38,1.32,1.35,1289500
30-Aug-16,1.47,1.47,1.40,1.42,648200
29-Aug-16,1.46,1.50,1.43,1.45,2098100
26-Aug-16,1.41,1.42,1.38,1.41,477300
25-Aug-16,1.35,1.39,1.35,1.38,303400
24-Aug-16,1.42,1.42,1.34,1.34,750500
23-Aug-16,1.34,1.42,1.34,1.42,603600
22-Aug-16,1.40,1.40,1.34,1.34,523400
19-Aug-16,1.43,1.43,1.40,1.40,273000
18-Aug-16,1.40,1.43,1.40,1.43,161000
17-Aug-16,1.43,1.46,1.41,1.41,699400
16-Aug-16,1.38,1.44,1.38,1.43,895800
15-Aug-16,1.37,1.38,1.36,1.38,277100
12-Aug-16,1.39,1.39,1.35,1.38,661700
11-Aug-16,1.36,1.40,1.35,1.38,1830100
10-Aug-16,1.25,1.35,1.25,1.35,1855100
9-Aug-16,1.24,1.25,1.24,1.25,166200
8-Aug-16,1.26,1.27,1.23,1.26,232600
5-Aug-16,1.25,1.27,1.24,1.24,495800
4-Aug-16,1.22,1.27,1.20,1.23,860900
3-Aug-16,1.23,1.23,1.21,1.22,150300
2-Aug-16,1.24,1.24,1.20,1.22,406100
1-Aug-16,1.24,1.26,1.23,1.23,302700
29-Jul-16,1.24,1.26,1.23,1.23,731800
28-Jul-16,1.26,1.26,1.23,1.26,84300
27-Jul-16,1.27,1.29,1.24,1.24,360900
26-Jul-16,1.32,1.34,1.26,1.26,1265300
25-Jul-16,1.21,1.31,1.20,1.31,2284500
22-Jul-16,1.21,1.24,1.19,1.21,507200
21-Jul-16,1.23,1.26,1.19,1.21,829000
20-Jul-16,1.23,1.27,1.23,1.25,506800
19-Jul-16,1.28,1.28,1.22,1.24,960800
18-Jul-16,1.29,1.32,1.28,1.29,672900
15-Jul-16,1.32,1.34,1.27,1.28,1240500
14-Jul-16,1.25,1.31,1.25,1.30,1904800
13-Jul-16,1.23,1.27,1.22,1.24,1074200
12-Jul-16,1.21,1.25,1.17,1.24,1176300
11-Jul-16,1.24,1.29,1.21,1.21,1781400
8-Jul-16,1.17,1.26,1.17,1.23,2035900
5-Jul-16,1.02,1.15,1.02,1.14,1726400
4-Jul-16,0.98,1.02,0.98,1.01,686700
1-Jul-16,0.97,0.98,0.97,0.98,137000
30-Jun-16,0.98,1.00,0.98,0.98,398800
29-Jun-16,1.01,1.01,0.98,0.98,969700
28-Jun-16,0.97,1.03,0.97,1.01,983000
27-Jun-16,0.93,0.98,0.93,0.96,245600
24-Jun-16,0.99,1.00,0.93,0.98,997500
23-Jun-16,1.00,1.01,0.99,1.00,520800
21-Jun-16,1.00,1.03,0.99,1.00,1555800
20-Jun-16,0.95,1.01,0.95,0.98,1446600
17-Jun-16,0.96,0.96,0.94,0.94,888800
16-Jun-16,1.00,1.00,0.96,0.96,683800
15-Jun-16,0.96,1.03,0.92,1.01,2366500
14-Jun-16,1.03,1.04,0.96,0.98,1893800
13-Jun-16,1.05,1.10,1.05,1.05,1052400
10-Jun-16,1.05,1.07,1.03,1.05,776100
9-Jun-16,1.00,1.10,0.98,1.05,2742300
8-Jun-16,0.98,1.06,0.98,1.05,3295400
7-Jun-16,0.91,0.97,0.91,0.96,1618500
6-Jun-16,0.84,0.92,0.82,0.91,2847800
3-Jun-16,0.86,0.88,0.84,0.84,1161800
2-Jun-16,0.82,0.88,0.82,0.86,3590100
1-Jun-16,0.76,0.81,0.76,0.80,3668600
31-May-16,0.74,0.79,0.74,0.76,5516500
30-May-16,0.66,0.72,0.66,0.72,8656100
27-May-16,0.62,0.64,0.59,0.64,1901800
26-May-16,0.63,0.64,0.61,0.61,1101800
25-May-16,0.62,0.64,0.62,0.63,1942100
24-May-16,0.62,0.62,0.61,0.62,760000
23-May-16,0.62,0.64,0.60,0.62,3342500
20-May-16,0.59,0.62,0.59,0.62,3753100
19-May-16,0.57,0.59,0.56,0.58,1919500
18-May-16,0.56,0.56,0.54,0.56,1630000
17-May-16,0.60,0.62,0.56,0.56,3457700
16-May-16,0.64,0.64,0.61,0.61,1128900
13-May-16,0.64,0.65,0.62,0.64,1071100
12-May-16,0.63,0.66,0.63,0.64,1038100
11-May-16,0.66,0.68,0.64,0.64,2852400
10-May-16,0.61,0.66,0.60,0.64,5607200
9-May-16,0.59,0.62,0.59,0.60,1768400
6-May-16,0.58,0.59,0.58,0.58,816900
5-May-16,0.59,0.60,0.58,0.58,5917000
4-May-16,0.54,0.58,0.53,0.58,3856500
3-May-16,0.54,0.54,0.52,0.54,709000
29-Apr-16,0.54,0.54,0.52,0.54,527200
28-Apr-16,0.52,0.56,0.52,0.54,3067800
27-Apr-16,0.50,0.51,0.49,0.51,258200
26-Apr-16,0.52,0.53,0.48,0.50,1405000
25-Apr-16,0.54,0.54,0.52,0.54,1504500
22-Apr-16,0.50,0.54,0.50,0.54,2502500
21-Apr-16,0.49,0.50,0.49,0.50,509400
20-Apr-16,0.50,0.50,0.48,0.50,262000
19-Apr-16,0.52,0.52,0.48,0.50,564500
18-Apr-16,0.50,0.52,0.50,0.51,1767400
15-Apr-16,0.48,0.50,0.48,0.50,2133300
14-Apr-16,0.47,0.48,0.47,0.48,235900
