Date,Open,High,Low,Close,Volume
7-Oct-16,0.18,0.18,0.18,0.18,575000
6-Oct-16,0.18,0.19,0.18,0.19,339700
5-Oct-16,0.19,0.19,0.18,0.18,453800
4-Oct-16,0.18,0.18,0.18,0.18,94900
30-Sep-16,0.18,0.19,0.18,0.18,735000
29-Sep-16,0.18,0.19,0.18,0.18,97300
28-Sep-16,0.19,0.19,0.18,0.19,115500
27-Sep-16,0.18,0.19,0.18,0.19,644400
26-Sep-16,0.20,0.20,0.18,0.18,336700
23-Sep-16,0.19,0.19,0.19,0.19,556600
22-Sep-16,0.20,0.20,0.19,0.19,753200
21-Sep-16,0.19,0.20,0.19,0.20,440400
20-Sep-16,0.19,0.19,0.19,0.19,365100
19-Sep-16,0.19,0.19,0.19,0.19,285500
15-Sep-16,0.19,0.20,0.19,0.19,80800
14-Sep-16,0.19,0.20,0.19,0.19,339200
13-Sep-16,0.20,0.20,0.19,0.20,286500
9-Sep-16,0.20,0.20,0.20,0.20,224000
8-Sep-16,0.20,0.20,0.20,0.20,201200
7-Sep-16,0.20,0.20,0.20,0.20,745300
6-Sep-16,0.20,0.20,0.20,0.20,1165000
5-Sep-16,0.20,0.20,0.19,0.20,713200
2-Sep-16,0.20,0.20,0.19,0.20,293000
1-Sep-16,0.20,0.20,0.19,0.20,289700
30-Aug-16,0.20,0.20,0.19,0.20,426200
29-Aug-16,0.19,0.20,0.19,0.19,605900
26-Aug-16,0.19,0.20,0.19,0.19,889200
25-Aug-16,0.20,0.20,0.19,0.19,1634200
24-Aug-16,0.20,0.20,0.20,0.20,382000
23-Aug-16,0.20,0.20,0.20,0.20,1974900
22-Aug-16,0.20,0.21,0.20,0.20,703300
19-Aug-16,0.20,0.20,0.20,0.20,1303700
18-Aug-16,0.21,0.21,0.20,0.21,1464200
17-Aug-16,0.20,0.22,0.20,0.21,4933700
16-Aug-16,0.20,0.20,0.20,0.20,1129500
15-Aug-16,0.20,0.20,0.20,0.20,1540500
12-Aug-16,0.20,0.20,0.20,0.20,1065000
11-Aug-16,0.20,0.20,0.20,0.20,1260500
10-Aug-16,0.20,0.21,0.20,0.20,922800
9-Aug-16,0.20,0.21,0.20,0.20,1889200
8-Aug-16,0.21,0.22,0.20,0.20,3075400
5-Aug-16,0.20,0.20,0.20,0.20,1163100
4-Aug-16,0.20,0.21,0.20,0.20,764000
3-Aug-16,0.20,0.21,0.20,0.20,535200
2-Aug-16,0.21,0.21,0.20,0.20,1701900
1-Aug-16,0.20,0.22,0.20,0.22,1436200
29-Jul-16,0.22,0.22,0.20,0.20,547600
28-Jul-16,0.22,0.22,0.22,0.22,710200
27-Jul-16,0.21,0.22,0.21,0.22,3800800
26-Jul-16,0.21,0.22,0.21,0.21,1124300
25-Jul-16,0.20,0.22,0.20,0.22,2466300
22-Jul-16,0.20,0.21,0.20,0.20,1737000
21-Jul-16,0.22,0.22,0.20,0.20,1750300
20-Jul-16,0.22,0.22,0.22,0.22,797500
19-Jul-16,0.22,0.22,0.22,0.22,1999400
18-Jul-16,0.21,0.22,0.21,0.22,4745900
15-Jul-16,0.21,0.22,0.20,0.21,2482700
14-Jul-16,0.20,0.21,0.20,0.21,1989600
13-Jul-16,0.20,0.21,0.20,0.20,2465200
12-Jul-16,0.20,0.20,0.19,0.20,1659400
11-Jul-16,0.19,0.20,0.19,0.20,509700
8-Jul-16,0.19,0.19,0.19,0.19,285000
5-Jul-16,0.19,0.19,0.18,0.19,158100
4-Jul-16,0.19,0.20,0.19,0.19,483100
1-Jul-16,0.19,0.20,0.19,0.20,637100
30-Jun-16,0.19,0.20,0.19,0.19,695700
29-Jun-16,0.19,0.19,0.18,0.19,527500
28-Jun-16,0.18,0.19,0.18,0.19,618000
27-Jun-16,0.18,0.19,0.18,0.18,1513100
24-Jun-16,0.20,0.20,0.18,0.18,2675800
23-Jun-16,0.20,0.20,0.20,0.20,367000
21-Jun-16,0.20,0.20,0.20,0.20,1425000
20-Jun-16,0.19,0.20,0.19,0.20,1772300
17-Jun-16,0.20,0.20,0.19,0.20,985100
16-Jun-16,0.20,0.20,0.19,0.19,1300500
15-Jun-16,0.20,0.20,0.20,0.20,724700
14-Jun-16,0.20,0.20,0.20,0.20,431800
13-Jun-16,0.20,0.20,0.20,0.20,625900
10-Jun-16,0.20,0.20,0.20,0.20,670600
9-Jun-16,0.20,0.20,0.20,0.20,1974500
8-Jun-16,0.20,0.20,0.20,0.20,1370800
7-Jun-16,0.20,0.20,0.20,0.20,2703300
6-Jun-16,0.20,0.20,0.20,0.20,620700
3-Jun-16,0.20,0.20,0.20,0.20,1986900
2-Jun-16,0.19,0.20,0.19,0.20,4307700
1-Jun-16,0.19,0.20,0.19,0.19,779700
31-May-16,0.20,0.20,0.19,0.20,1584700
30-May-16,0.20,0.20,0.20,0.20,2610800
27-May-16,0.20,0.20,0.20,0.20,3714800
26-May-16,0.21,0.21,0.20,0.20,1157400
25-May-16,0.20,0.21,0.20,0.20,1131000
24-May-16,0.21,0.21,0.20,0.21,2950400
23-May-16,0.22,0.22,0.20,0.22,10366200
20-May-16,0.24,0.24,0.24,0.24,1482900
19-May-16,0.24,0.25,0.24,0.24,392100
18-May-16,0.24,0.25,0.24,0.24,1024400
17-May-16,0.24,0.26,0.24,0.25,1697800
16-May-16,0.24,0.24,0.24,0.24,710000
13-May-16,0.25,0.25,0.24,0.24,1293200
12-May-16,0.24,0.25,0.24,0.25,6484800
11-May-16,0.24,0.24,0.23,0.24,2622500
10-May-16,0.24,0.24,0.23,0.24,2341400
9-May-16,0.24,0.24,0.23,0.24,2597500
6-May-16,0.24,0.24,0.24,0.24,1701300
5-May-16,0.24,0.24,0.24,0.24,761300
4-May-16,0.24,0.24,0.23,0.24,1650400
3-May-16,0.25,0.25,0.24,0.24,1156300
29-Apr-16,0.25,0.25,0.25,0.25,868100
28-Apr-16,0.26,0.26,0.25,0.25,777800
27-Apr-16,0.26,0.26,0.25,0.25,624900
26-Apr-16,0.26,0.26,0.25,0.26,2271100
25-Apr-16,0.26,0.26,0.26,0.26,2899500
22-Apr-16,0.26,0.26,0.26,0.26,898600
21-Apr-16,0.26,0.26,0.25,0.26,2600500
20-Apr-16,0.26,0.26,0.25,0.26,948700
19-Apr-16,0.26,0.26,0.26,0.26,1977200
18-Apr-16,0.26,0.26,0.26,0.26,534000
15-Apr-16,0.26,0.26,0.26,0.26,2118500
14-Apr-16,0.26,0.26,0.26,0.26,1610000
13-Apr-16,0.26,0.26,0.26,0.26,2599600
12-Apr-16,0.26,0.26,0.26,0.26,3428500
11-Apr-16,0.26,0.26,0.26,0.26,458000
8-Apr-16,0.26,0.26,0.26,0.26,1576500
7-Apr-16,0.26,0.26,0.26,0.26,2611400
6-Apr-16,0.26,0.26,0.26,0.26,2522700
5-Apr-16,0.26,0.26,0.26,0.26,1408200
4-Apr-16,0.26,0.26,0.26,0.26,2908700
1-Apr-16,0.26,0.26,0.26,0.26,5481400
31-Mar-16,0.26,0.26,0.26,0.26,4329100
30-Mar-16,0.27,0.28,0.26,0.27,1478600
29-Mar-16,0.26,0.27,0.26,0.27,2613600
28-Mar-16,0.26,0.27,0.26,0.26,990000
25-Mar-16,0.26,0.27,0.26,0.27,438200
24-Mar-16,0.28,0.28,0.26,0.26,4291400
23-Mar-16,0.28,0.28,0.27,0.28,1673600
22-Mar-16,0.28,0.28,0.28,0.28,6280800
21-Mar-16,0.28,0.28,0.27,0.28,1900500
18-Mar-16,0.28,0.28,0.27,0.27,3923500
17-Mar-16,0.26,0.28,0.26,0.28,5430400
16-Mar-16,0.27,0.27,0.26,0.27,913300
15-Mar-16,0.27,0.27,0.26,0.26,2652300
14-Mar-16,0.27,0.28,0.26,0.27,1894200
11-Mar-16,0.26,0.27,0.26,0.27,5137700
10-Mar-16,0.27,0.28,0.26,0.26,2454700
9-Mar-16,0.26,0.28,0.26,0.27,5273900
8-Mar-16,0.27,0.28,0.26,0.27,1602700
7-Mar-16,0.28,0.28,0.27,0.28,6099500
4-Mar-16,0.28,0.28,0.28,0.28,1320600
3-Mar-16,0.28,0.29,0.28,0.28,5329400
2-Mar-16,0.28,0.28,0.27,0.28,5586300
1-Mar-16,0.27,0.28,0.27,0.28,4500000
29-Feb-16,0.28,0.28,0.26,0.27,7027200
26-Feb-16,0.30,0.30,0.28,0.28,4377400
25-Feb-16,0.30,0.30,0.29,0.30,3460500
24-Feb-16,0.30,0.30,0.30,0.30,3489100
23-Feb-16,0.30,0.31,0.30,0.30,4564800
22-Feb-16,0.29,0.30,0.29,0.30,9193200
19-Feb-16,0.29,0.30,0.28,0.28,3246900
18-Feb-16,0.28,0.29,0.28,0.28,9059600
17-Feb-16,0.28,0.28,0.28,0.28,3147900
16-Feb-16,0.27,0.28,0.27,0.28,2399800
15-Feb-16,0.28,0.28,0.26,0.27,6621300
12-Feb-16,0.27,0.28,0.26,0.28,2523000
11-Feb-16,0.28,0.28,0.27,0.27,1081500
10-Feb-16,0.28,0.28,0.28,0.28,669500
5-Feb-16,0.28,0.28,0.26,0.28,10466000
4-Feb-16,0.27,0.28,0.26,0.27,5328400
3-Feb-16,0.26,0.27,0.26,0.27,2567800
2-Feb-16,0.28,0.28,0.26,0.27,1870300
29-Jan-16,0.26,0.28,0.26,0.28,6600200
28-Jan-16,0.28,0.28,0.26,0.26,8733200
27-Jan-16,0.28,0.29,0.28,0.28,6054200
26-Jan-16,0.28,0.29,0.28,0.28,2813500
22-Jan-16,0.28,0.30,0.28,0.28,5206800
21-Jan-16,0.28,0.29,0.28,0.28,9636600
20-Jan-16,0.31,0.31,0.28,0.28,32943700
19-Jan-16,0.30,0.32,0.30,0.32,3322500
18-Jan-16,0.30,0.31,0.30,0.31,8595500
15-Jan-16,0.32,0.32,0.31,0.31,6169500
14-Jan-16,0.32,0.32,0.31,0.31,3787400
13-Jan-16,0.32,0.32,0.32,0.32,2299900
12-Jan-16,0.32,0.32,0.31,0.32,8097000
11-Jan-16,0.32,0.32,0.31,0.32,9588900
8-Jan-16,0.32,0.33,0.32,0.32,6629400
7-Jan-16,0.33,0.34,0.32,0.32,5705200
6-Jan-16,0.33,0.34,0.32,0.33,9177600
5-Jan-16,0.32,0.34,0.32,0.33,18251100
4-Jan-16,0.32,0.33,0.32,0.32,15399700
31-Dec-15,0.32,0.33,0.32,0.32,3892600
30-Dec-15,0.33,0.33,0.32,0.32,12282300
29-Dec-15,0.32,0.33,0.32,0.33,8842400
28-Dec-15,0.32,0.34,0.32,0.32,16337400
23-Dec-15,0.32,0.33,0.32,0.32,8418500
22-Dec-15,0.32,0.34,0.32,0.32,34672900
21-Dec-15,0.31,0.32,0.30,0.32,9200800
18-Dec-15,0.31,0.32,0.30,0.32,11144800
17-Dec-15,0.32,0.32,0.30,0.32,8981700
16-Dec-15,0.30,0.31,0.30,0.31,9956100
15-Dec-15,0.30,0.30,0.30,0.30,3767000
14-Dec-15,0.30,0.30,0.30,0.30,3323600
11-Dec-15,0.32,0.32,0.31,0.32,1914300
10-Dec-15,0.32,0.32,0.31,0.31,11936000
9-Dec-15,0.30,0.32,0.30,0.32,10836700
8-Dec-15,0.30,0.30,0.30,0.30,4421200
7-Dec-15,0.30,0.31,0.30,0.31,4281000
4-Dec-15,0.30,0.30,0.30,0.30,3692200
3-Dec-15,0.32,0.32,0.30,0.30,5522300
2-Dec-15,0.30,0.32,0.30,0.31,10956500
1-Dec-15,0.29,0.30,0.29,0.30,6747300
30-Nov-15,0.30,0.30,0.28,0.29,3765800
27-Nov-15,0.30,0.31,0.28,0.30,7286200
26-Nov-15,0.30,0.32,0.30,0.30,13901000
25-Nov-15,0.31,0.32,0.30,0.30,5679500
24-Nov-15,0.33,0.33,0.31,0.31,12009000
23-Nov-15,0.33,0.34,0.32,0.33,32082600
20-Nov-15,0.32,0.32,0.30,0.31,4877900
19-Nov-15,0.31,0.32,0.31,0.32,16549700
18-Nov-15,0.29,0.31,0.29,0.31,16856300
17-Nov-15,0.28,0.29,0.28,0.29,5820700
16-Nov-15,0.29,0.29,0.28,0.28,5712500
13-Nov-15,0.30,0.30,0.29,0.30,6569200
12-Nov-15,0.30,0.30,0.30,0.30,2702800
11-Nov-15,0.31,0.31,0.30,0.30,6849500
9-Nov-15,0.32,0.32,0.30,0.32,5212400
6-Nov-15,0.31,0.32,0.30,0.32,4184800
5-Nov-15,0.32,0.32,0.31,0.31,7641000
4-Nov-15,0.31,0.32,0.31,0.32,16951600
3-Nov-15,0.30,0.32,0.30,0.31,17003100
2-Nov-15,0.30,0.31,0.29,0.30,17883600
30-Oct-15,0.30,0.30,0.29,0.30,6450500
29-Oct-15,0.30,0.31,0.29,0.30,23421300
28-Oct-15,0.27,0.30,0.26,0.30,39721700
27-Oct-15,0.26,0.27,0.26,0.26,2884200
26-Oct-15,0.26,0.27,0.26,0.26,4268700
23-Oct-15,0.27,0.27,0.26,0.26,3980600
22-Oct-15,0.27,0.27,0.26,0.26,2644400
21-Oct-15,0.26,0.27,0.26,0.27,2816200
20-Oct-15,0.28,0.28,0.26,0.26,7275300
19-Oct-15,0.28,0.28,0.28,0.28,6856300
16-Oct-15,0.27,0.29,0.27,0.28,24981200
15-Oct-15,0.26,0.27,0.26,0.26,5687000
13-Oct-15,0.26,0.27,0.26,0.26,13971800
12-Oct-15,0.25,0.26,0.25,0.26,7783200
