Date,Open,High,Low,Close,Volume
7-Oct-16,2.42,2.46,2.42,2.45,581000
6-Oct-16,2.46,2.46,2.42,2.45,2039600
5-Oct-16,2.45,2.46,2.45,2.46,242900
4-Oct-16,2.47,2.47,2.43,2.46,1097000
30-Sep-16,2.47,2.47,2.45,2.46,657000
29-Sep-16,2.46,2.48,2.45,2.48,286900
28-Sep-16,2.45,2.51,2.44,2.46,2133900
27-Sep-16,2.40,2.47,2.40,2.46,918200
26-Sep-16,2.41,2.43,2.41,2.42,409700
23-Sep-16,2.43,2.48,2.40,2.41,286400
22-Sep-16,2.44,2.45,2.38,2.41,514800
21-Sep-16,2.39,2.44,2.38,2.42,356100
20-Sep-16,2.40,2.40,2.37,2.38,733900
19-Sep-16,2.41,2.43,2.38,2.39,408400
15-Sep-16,2.39,2.43,2.39,2.40,4264400
14-Sep-16,2.39,2.40,2.37,2.38,4573900
13-Sep-16,2.42,2.44,2.36,2.39,3289000
9-Sep-16,2.47,2.49,2.43,2.43,976300
8-Sep-16,2.50,2.52,2.46,2.47,1514600
7-Sep-16,2.50,2.54,2.49,2.50,2757400
6-Sep-16,2.56,2.56,2.49,2.53,1415000
5-Sep-16,2.49,2.54,2.49,2.53,1689800
2-Sep-16,2.32,2.45,2.32,2.45,5486600
1-Sep-16,2.38,2.40,2.24,2.31,4035100
30-Aug-16,2.45,2.46,2.41,2.42,797400
29-Aug-16,2.45,2.45,2.42,2.45,362500
26-Aug-16,2.46,2.46,2.39,2.42,388600
25-Aug-16,2.45,2.48,2.42,2.43,336700
24-Aug-16,2.39,2.46,2.39,2.45,467100
23-Aug-16,2.48,2.48,2.38,2.39,888300
22-Aug-16,2.48,2.48,2.43,2.45,287800
19-Aug-16,2.47,2.48,2.44,2.47,675400
18-Aug-16,2.50,2.51,2.45,2.45,565800
17-Aug-16,2.44,2.51,2.44,2.50,509100
16-Aug-16,2.55,2.56,2.43,2.45,1755900
15-Aug-16,2.56,2.59,2.55,2.55,916700
12-Aug-16,2.58,2.60,2.55,2.56,379000
11-Aug-16,2.60,2.64,2.55,2.58,1031900
10-Aug-16,2.55,2.61,2.54,2.60,2522000
9-Aug-16,2.48,2.55,2.46,2.53,1741800
8-Aug-16,2.43,2.47,2.43,2.46,682400
5-Aug-16,2.40,2.43,2.38,2.42,587700
4-Aug-16,2.36,2.40,2.34,2.39,372300
3-Aug-16,2.34,2.39,2.33,2.35,577900
2-Aug-16,2.36,2.37,2.33,2.33,187300
1-Aug-16,2.37,2.40,2.36,2.38,255400
29-Jul-16,2.42,2.43,2.38,2.39,576000
28-Jul-16,2.41,2.42,2.39,2.41,201100
27-Jul-16,2.42,2.42,2.40,2.41,448500
26-Jul-16,2.46,2.46,2.41,2.42,235900
25-Jul-16,2.38,2.46,2.36,2.45,1157300
22-Jul-16,2.36,2.40,2.35,2.38,198000
21-Jul-16,2.40,2.41,2.36,2.37,338700
20-Jul-16,2.40,2.44,2.40,2.40,1328300
19-Jul-16,2.34,2.44,2.33,2.38,1332800
18-Jul-16,2.31,2.36,2.29,2.32,919800
15-Jul-16,2.32,2.33,2.30,2.30,241400
14-Jul-16,2.31,2.33,2.30,2.32,141900
13-Jul-16,2.31,2.33,2.29,2.31,909300
12-Jul-16,2.39,2.39,2.29,2.31,736100
11-Jul-16,2.36,2.40,2.36,2.38,470400
8-Jul-16,2.40,2.40,2.36,2.36,368500
5-Jul-16,2.40,2.41,2.40,2.41,163500
4-Jul-16,2.32,2.41,2.30,2.41,237000
1-Jul-16,2.43,2.43,2.34,2.34,547500
30-Jun-16,2.44,2.44,2.38,2.41,743100
29-Jun-16,2.38,2.44,2.38,2.41,1114600
28-Jun-16,2.22,2.43,2.22,2.37,3304800
27-Jun-16,2.15,2.24,2.15,2.22,375200
24-Jun-16,2.18,2.20,2.15,2.19,886700
23-Jun-16,2.20,2.20,2.16,2.19,434100
21-Jun-16,2.17,2.21,2.14,2.20,483700
20-Jun-16,2.18,2.19,2.14,2.17,503500
17-Jun-16,2.18,2.20,2.13,2.17,1336700
16-Jun-16,2.26,2.26,2.16,2.16,2004800
15-Jun-16,2.30,2.30,2.27,2.27,103100
14-Jun-16,2.28,2.30,2.25,2.30,1038700
13-Jun-16,2.25,2.29,2.23,2.28,1623700
10-Jun-16,2.24,2.26,2.22,2.25,941000
9-Jun-16,2.24,2.25,2.23,2.24,1038800
8-Jun-16,2.24,2.26,2.23,2.23,1660900
7-Jun-16,2.26,2.26,2.23,2.24,1005800
6-Jun-16,2.24,2.26,2.23,2.23,812900
3-Jun-16,2.23,2.26,2.22,2.25,1720800
2-Jun-16,2.24,2.28,2.23,2.23,3143700
1-Jun-16,2.29,2.29,2.24,2.24,2248300
31-May-16,2.34,2.34,2.26,2.26,3041800
30-May-16,2.29,2.34,2.20,2.33,2588700
27-May-16,2.32,2.36,2.31,2.32,623400
26-May-16,2.32,2.38,2.31,2.32,955800
25-May-16,2.48,2.48,2.33,2.35,3308100
24-May-16,2.42,2.49,2.41,2.48,2567500
23-May-16,2.42,2.42,2.39,2.41,755900
20-May-16,2.42,2.44,2.39,2.42,1737800
19-May-16,2.33,2.44,2.33,2.42,1741600
18-May-16,2.34,2.34,2.31,2.33,541900
17-May-16,2.31,2.35,2.30,2.34,545100
16-May-16,2.37,2.37,2.29,2.29,627500
13-May-16,2.38,2.41,2.30,2.34,1497800
12-May-16,2.37,2.45,2.37,2.38,1496200
11-May-16,2.28,2.41,2.28,2.37,3124800
10-May-16,2.34,2.34,2.27,2.27,3299700
9-May-16,2.42,2.42,2.33,2.35,2451200
6-May-16,2.47,2.48,2.39,2.42,1396800
5-May-16,2.46,2.49,2.44,2.46,1011100
4-May-16,2.55,2.55,2.44,2.44,3911100
3-May-16,2.59,2.59,2.51,2.57,597300
29-Apr-16,2.59,2.59,2.57,2.59,342000
28-Apr-16,2.60,2.62,2.58,2.59,191600
27-Apr-16,2.61,2.61,2.57,2.60,160400
26-Apr-16,2.60,2.63,2.56,2.60,889300
25-Apr-16,2.61,2.63,2.59,2.60,888300
22-Apr-16,2.60,2.62,2.59,2.59,900900
21-Apr-16,2.61,2.62,2.59,2.59,558800
20-Apr-16,2.63,2.63,2.59,2.59,673500
19-Apr-16,2.65,2.65,2.60,2.61,1647500
18-Apr-16,2.66,2.68,2.59,2.60,1250600
15-Apr-16,2.68,2.68,2.60,2.63,2251200
14-Apr-16,2.65,2.65,2.63,2.64,1241250
13-Apr-16,2.67,2.67,2.65,2.65,844650
12-Apr-16,2.66,2.68,2.64,2.67,704250
11-Apr-16,2.68,2.68,2.64,2.64,1043400
8-Apr-16,2.71,2.71,2.67,2.67,939600
7-Apr-16,2.67,2.71,2.67,2.70,554700
6-Apr-16,2.71,2.74,2.67,2.67,1847400
5-Apr-16,2.62,2.69,2.61,2.68,3046350
4-Apr-16,2.55,2.62,2.55,2.62,1458450
1-Apr-16,2.56,2.56,2.53,2.55,460650
31-Mar-16,2.52,2.54,2.50,2.53,1245150
30-Mar-16,2.56,2.56,2.52,2.52,596250
29-Mar-16,2.51,2.57,2.51,2.56,1073100
28-Mar-16,2.51,2.51,2.49,2.50,493050
25-Mar-16,2.52,2.52,2.47,2.49,403500
24-Mar-16,2.47,2.52,2.47,2.51,953850
23-Mar-16,2.49,2.51,2.45,2.47,3261750
22-Mar-16,2.53,2.53,2.47,2.47,3727050
21-Mar-16,2.55,2.56,2.50,2.52,1230000
18-Mar-16,2.53,2.55,2.53,2.53,2132100
17-Mar-16,2.59,2.60,2.53,2.53,1636050
16-Mar-16,2.61,2.61,2.57,2.59,569100
15-Mar-16,2.60,2.62,2.59,2.60,1152600
14-Mar-16,2.60,2.61,2.59,2.59,233550
11-Mar-16,2.65,2.65,2.58,2.60,1518600
10-Mar-16,2.60,2.66,2.60,2.64,2122800
9-Mar-16,2.50,2.63,2.50,2.57,2694600
8-Mar-16,2.49,2.53,2.43,2.49,1500150
7-Mar-16,2.60,2.60,2.48,2.49,2235300
4-Mar-16,2.64,2.66,2.56,2.59,1282800
3-Mar-16,2.69,2.69,2.64,2.64,300300
2-Mar-16,2.69,2.69,2.62,2.64,2368800
1-Mar-16,2.64,2.65,2.60,2.61,624750
29-Feb-16,2.73,2.73,2.59,2.61,3589500
26-Feb-16,2.77,2.79,2.69,2.71,1325700
25-Feb-16,2.77,2.79,2.74,2.76,4284300
24-Feb-16,2.63,2.71,2.63,2.71,1326150
23-Feb-16,2.64,2.72,2.63,2.63,2975850
22-Feb-16,2.63,2.64,2.60,2.61,1022850
19-Feb-16,2.63,2.63,2.55,2.59,1157250
18-Feb-16,2.59,2.64,2.59,2.61,1032600
17-Feb-16,2.51,2.61,2.48,2.57,2405400
16-Feb-16,2.45,2.51,2.45,2.47,3244500
15-Feb-16,2.45,2.48,2.42,2.44,4084950
12-Feb-16,2.42,2.50,2.41,2.43,5712000
11-Feb-16,2.36,2.49,2.36,2.40,8194200
10-Feb-16,2.43,2.45,2.35,2.36,5441100
5-Feb-16,2.61,2.64,2.45,2.46,5842350
4-Feb-16,2.75,2.75,2.61,2.62,6612900
3-Feb-16,2.84,2.84,2.74,2.76,1600200
2-Feb-16,2.70,2.87,2.70,2.84,1434000
29-Jan-16,2.83,2.89,2.71,2.73,4028550
28-Jan-16,2.81,2.92,2.78,2.83,3768000
27-Jan-16,2.73,2.86,2.73,2.85,2629950
26-Jan-16,2.83,2.83,2.71,2.73,3084750
22-Jan-16,2.88,2.92,2.80,2.82,2000400
21-Jan-16,2.91,2.92,2.83,2.88,959850
20-Jan-16,3.02,3.05,2.87,2.91,1245150
19-Jan-16,3.07,3.09,3.01,3.02,789750
18-Jan-16,3.03,3.09,3.02,3.07,894150
15-Jan-16,3.07,3.11,3.07,3.08,2490450
14-Jan-16,3.03,3.07,3.02,3.05,988650
13-Jan-16,3.03,3.09,3.02,3.03,1234050
12-Jan-16,3.13,3.13,3.01,3.01,1284300
11-Jan-16,3.09,3.16,3.07,3.13,1891350
8-Jan-16,2.93,3.09,2.92,3.09,2733900
7-Jan-16,2.93,2.98,2.91,2.93,1657800
6-Jan-16,2.84,3.01,2.84,2.93,3597900
5-Jan-16,2.71,2.89,2.71,2.84,762450
4-Jan-16,2.75,2.76,2.70,2.71,331650
31-Dec-15,2.77,2.77,2.73,2.75,179700
30-Dec-15,2.77,2.77,2.73,2.77,412950
29-Dec-15,2.77,2.79,2.73,2.75,791100
28-Dec-15,2.70,2.77,2.70,2.77,1473150
23-Dec-15,2.69,2.72,2.69,2.69,248700
22-Dec-15,2.67,2.72,2.67,2.72,592950
21-Dec-15,2.69,2.70,2.67,2.69,418800
18-Dec-15,2.70,2.72,2.69,2.70,419700
17-Dec-15,2.70,2.73,2.70,2.70,792150
16-Dec-15,2.73,2.73,2.67,2.70,1906050
15-Dec-15,2.66,2.73,2.63,2.70,2852400
14-Dec-15,2.67,2.67,2.62,2.62,774750
11-Dec-15,2.71,2.71,2.65,2.67,341400
10-Dec-15,2.69,2.70,2.65,2.68,337200
9-Dec-15,2.76,2.77,2.69,2.70,964650
8-Dec-15,2.70,2.77,2.65,2.76,3283950
7-Dec-15,2.57,2.72,2.57,2.68,1835400
4-Dec-15,2.63,2.65,2.57,2.57,1017450
3-Dec-15,2.60,2.63,2.59,2.63,1834200
2-Dec-15,2.64,2.64,2.57,2.62,718950
1-Dec-15,2.64,2.65,2.57,2.63,2168100
30-Nov-15,2.57,2.69,2.54,2.62,1916100
27-Nov-15,2.59,2.59,2.53,2.53,857100
26-Nov-15,2.57,2.62,2.57,2.59,506250
25-Nov-15,2.64,2.64,2.57,2.57,1534500
24-Nov-15,2.73,2.73,2.60,2.60,1512000
23-Nov-15,2.71,2.72,2.66,2.68,993600
20-Nov-15,2.65,2.75,2.65,2.71,1713300
19-Nov-15,2.67,2.67,2.61,2.65,1935600
18-Nov-15,2.59,2.67,2.59,2.67,619050
17-Nov-15,2.63,2.66,2.57,2.59,1140000
16-Nov-15,2.61,2.62,2.55,2.60,1074300
13-Nov-15,2.71,2.71,2.61,2.62,1107750
12-Nov-15,2.61,2.71,2.61,2.70,2136450
11-Nov-15,2.63,2.63,2.60,2.61,1300950
9-Nov-15,2.58,2.66,2.58,2.63,1682700
6-Nov-15,2.49,2.60,2.48,2.58,1792200
5-Nov-15,2.50,2.53,2.47,2.49,438450
4-Nov-15,2.50,2.55,2.50,2.50,3008550
3-Nov-15,2.39,2.55,2.39,2.50,3808500
2-Nov-15,2.35,2.40,2.33,2.36,3234450
30-Oct-15,2.32,2.33,2.29,2.33,6493350
29-Oct-15,2.29,2.33,2.29,2.29,2486850
28-Oct-15,2.29,2.29,2.28,2.29,303450
27-Oct-15,2.31,2.31,2.29,2.29,756000
26-Oct-15,2.29,2.32,2.29,2.31,97800
23-Oct-15,2.29,2.32,2.29,2.31,834150
22-Oct-15,2.36,2.36,2.29,2.30,693150
21-Oct-15,2.33,2.37,2.30,2.36,3362550
20-Oct-15,2.24,2.34,2.23,2.33,2279400
19-Oct-15,2.19,2.25,2.19,2.23,604200
16-Oct-15,2.21,2.22,2.20,2.20,205350
15-Oct-15,2.22,2.22,2.18,2.21,908700
13-Oct-15,2.22,2.23,2.21,2.22,136050
12-Oct-15,2.20,2.23,2.20,2.21,686700
