Date,Open,High,Low,Close,Volume
7-Oct-16,0.26,0.26,0.26,0.26,14600
6-Oct-16,0.25,0.26,0.25,0.26,42000
5-Oct-16,0.25,0.26,0.25,0.26,104500
4-Oct-16,-,-,-,0.27,0
30-Sep-16,-,-,-,0.27,0
29-Sep-16,-,-,-,0.27,0
28-Sep-16,0.27,0.27,0.27,0.27,10000
27-Sep-16,0.25,0.25,0.25,0.25,26000
26-Sep-16,0.28,0.28,0.28,0.28,10000
23-Sep-16,0.28,0.28,0.28,0.28,100
22-Sep-16,0.25,0.28,0.25,0.26,24400
21-Sep-16,-,-,-,0.27,0
20-Sep-16,0.27,0.27,0.27,0.27,10000
19-Sep-16,0.27,0.28,0.27,0.28,108000
15-Sep-16,0.28,0.28,0.25,0.27,15200
14-Sep-16,0.28,0.28,0.25,0.25,20100
13-Sep-16,0.26,0.26,0.26,0.26,2400
9-Sep-16,0.26,0.26,0.26,0.26,8800
8-Sep-16,0.28,0.28,0.26,0.26,14000
7-Sep-16,0.28,0.28,0.26,0.26,5200
6-Sep-16,0.27,0.28,0.27,0.28,6000
5-Sep-16,0.29,0.29,0.27,0.28,41200
2-Sep-16,0.27,0.27,0.27,0.27,50000
1-Sep-16,0.26,0.27,0.26,0.27,40800
30-Aug-16,0.28,0.28,0.28,0.28,20200
29-Aug-16,0.28,0.30,0.28,0.29,703700
26-Aug-16,0.26,0.28,0.26,0.28,90000
25-Aug-16,-,-,-,0.27,0
24-Aug-16,0.26,0.28,0.18,0.27,406500
23-Aug-16,-,-,-,0.29,0
22-Aug-16,0.28,0.29,0.28,0.29,42000
19-Aug-16,0.26,0.28,0.20,0.28,145000
18-Aug-16,0.28,0.28,0.28,0.28,5000
17-Aug-16,0.27,0.27,0.27,0.27,120000
16-Aug-16,0.28,0.28,0.27,0.27,175500
15-Aug-16,0.28,0.28,0.27,0.28,139400
12-Aug-16,0.28,0.28,0.27,0.28,207700
11-Aug-16,0.30,0.30,0.30,0.30,30000
10-Aug-16,0.28,0.30,0.27,0.30,154000
9-Aug-16,0.30,0.30,0.27,0.27,36000
8-Aug-16,-,-,-,0.28,0
5-Aug-16,-,-,-,0.28,0
4-Aug-16,0.28,0.28,0.28,0.28,15000
3-Aug-16,-,-,-,0.31,0
2-Aug-16,-,-,-,0.31,0
1-Aug-16,0.30,0.31,0.30,0.31,343600
29-Jul-16,-,-,-,0.32,0
28-Jul-16,0.28,0.32,0.28,0.32,32100
27-Jul-16,0.27,0.28,0.27,0.28,42000
26-Jul-16,0.29,0.30,0.27,0.27,500000
25-Jul-16,0.28,0.28,0.28,0.28,1000
22-Jul-16,-,-,-,0.32,0
21-Jul-16,-,-,-,0.32,0
20-Jul-16,-,-,-,0.32,0
19-Jul-16,-,-,-,0.32,0
18-Jul-16,0.32,0.32,0.32,0.32,10000
15-Jul-16,0.33,0.33,0.29,0.33,10200
14-Jul-16,0.30,0.30,0.30,0.30,15000
13-Jul-16,0.30,0.30,0.30,0.30,2000
12-Jul-16,-,-,-,0.36,0
11-Jul-16,-,-,-,0.36,0
8-Jul-16,0.35,0.36,0.35,0.36,3900
5-Jul-16,0.33,0.35,0.33,0.35,42000
4-Jul-16,0.32,0.32,0.32,0.32,5000
1-Jul-16,0.34,0.35,0.31,0.31,40200
30-Jun-16,0.33,0.33,0.31,0.31,15100
29-Jun-16,-,-,-,0.33,0
28-Jun-16,0.33,0.33,0.33,0.33,6000
27-Jun-16,-,-,-,0.36,0
24-Jun-16,-,-,-,0.36,0
23-Jun-16,-,-,-,0.36,0
21-Jun-16,-,-,-,0.36,0
20-Jun-16,-,-,-,0.36,0
17-Jun-16,-,-,-,0.36,0
16-Jun-16,-,-,-,0.36,0
15-Jun-16,-,-,-,0.36,0
14-Jun-16,-,-,-,0.36,0
13-Jun-16,-,-,-,0.36,0
10-Jun-16,-,-,-,0.36,0
9-Jun-16,0.36,0.36,0.36,0.36,100
8-Jun-16,0.36,0.37,0.32,0.32,40100
7-Jun-16,-,-,-,0.38,0
6-Jun-16,-,-,-,0.38,0
3-Jun-16,-,-,-,0.38,0
2-Jun-16,-,-,-,0.38,0
1-Jun-16,0.33,0.38,0.33,0.38,14100
31-May-16,-,-,-,0.32,0
30-May-16,-,-,-,0.32,0
27-May-16,0.32,0.32,0.32,0.32,3000
26-May-16,-,-,-,0.33,0
25-May-16,-,-,-,0.33,0
24-May-16,0.33,0.33,0.33,0.33,13700
23-May-16,-,-,-,0.33,0
20-May-16,0.32,0.33,0.32,0.33,370500
19-May-16,0.33,0.33,0.33,0.33,200000
18-May-16,0.29,0.32,0.29,0.32,56000
17-May-16,-,-,-,0.35,0
16-May-16,-,-,-,0.35,0
13-May-16,-,-,-,0.35,0
12-May-16,0.32,0.35,0.32,0.35,2000
11-May-16,-,-,-,0.32,0
10-May-16,-,-,-,0.32,0
9-May-16,-,-,-,0.32,0
6-May-16,-,-,-,0.32,0
5-May-16,-,-,-,0.32,0
4-May-16,-,-,-,0.32,0
3-May-16,0.32,0.32,0.32,0.32,20100
29-Apr-16,0.32,0.32,0.32,0.32,137000
28-Apr-16,-,-,-,0.32,0
27-Apr-16,-,-,-,0.32,0
26-Apr-16,-,-,-,0.32,0
25-Apr-16,-,-,-,0.32,0
22-Apr-16,-,-,-,0.32,0
21-Apr-16,0.32,0.32,0.32,0.32,20000
20-Apr-16,0.32,0.32,0.32,0.32,10000
19-Apr-16,-,-,-,0.32,0
18-Apr-16,-,-,-,0.32,0
15-Apr-16,0.32,0.32,0.32,0.32,5000
14-Apr-16,0.32,0.32,0.32,0.32,20000
13-Apr-16,-,-,-,0.32,0
12-Apr-16,-,-,-,0.32,0
11-Apr-16,0.32,0.32,0.32,0.32,4000
8-Apr-16,0.32,0.32,0.32,0.32,5000
7-Apr-16,-,-,-,0.32,0
6-Apr-16,-,-,-,0.32,0
5-Apr-16,-,-,-,0.32,0
4-Apr-16,-,-,-,0.32,0
1-Apr-16,0.32,0.32,0.32,0.32,30000
31-Mar-16,-,-,-,0.32,0
30-Mar-16,0.32,0.36,0.32,0.32,35500
29-Mar-16,0.32,0.32,0.32,0.32,10000
28-Mar-16,0.33,0.34,0.33,0.33,50000
25-Mar-16,-,-,-,0.32,0
24-Mar-16,0.32,0.32,0.32,0.32,105000
23-Mar-16,0.32,0.32,0.32,0.32,18000
22-Mar-16,-,-,-,0.34,0
21-Mar-16,0.34,0.34,0.34,0.34,5000
18-Mar-16,-,-,-,0.36,0
17-Mar-16,-,-,-,0.36,0
16-Mar-16,-,-,-,0.36,0
15-Mar-16,0.36,0.36,0.36,0.36,300000
14-Mar-16,0.35,0.35,0.35,0.35,245000
11-Mar-16,-,-,-,0.35,0
10-Mar-16,0.35,0.35,0.35,0.35,330000
9-Mar-16,0.35,0.35,0.35,0.35,100000
8-Mar-16,0.34,0.35,0.34,0.35,107100
7-Mar-16,-,-,-,0.32,0
4-Mar-16,0.32,0.32,0.32,0.32,7100
3-Mar-16,-,-,-,0.36,0
2-Mar-16,-,-,-,0.36,0
1-Mar-16,-,-,-,0.36,0
29-Feb-16,-,-,-,0.36,0
26-Feb-16,-,-,-,0.36,0
25-Feb-16,0.35,0.36,0.34,0.36,30100
24-Feb-16,-,-,-,0.36,0
23-Feb-16,0.34,0.36,0.34,0.36,51000
22-Feb-16,-,-,-,0.36,0
19-Feb-16,0.36,0.36,0.36,0.36,100
18-Feb-16,0.33,0.36,0.33,0.34,237100
17-Feb-16,0.35,0.35,0.34,0.35,81000
16-Feb-16,-,-,-,0.37,0
15-Feb-16,-,-,-,0.37,0
12-Feb-16,0.37,0.37,0.37,0.37,50000
11-Feb-16,0.37,0.38,0.37,0.38,25000
10-Feb-16,0.38,0.39,0.37,0.37,550000
5-Feb-16,-,-,-,0.36,0
4-Feb-16,0.36,0.36,0.36,0.36,90000
3-Feb-16,-,-,-,0.36,0
2-Feb-16,-,-,-,0.36,0
29-Jan-16,0.37,0.37,0.36,0.36,21000
28-Jan-16,0.36,0.37,0.36,0.37,35000
27-Jan-16,0.38,0.38,0.36,0.38,285000
26-Jan-16,0.38,0.38,0.36,0.36,190000
22-Jan-16,0.38,0.38,0.38,0.38,695000
21-Jan-16,0.36,0.38,0.36,0.38,189800
20-Jan-16,0.36,0.38,0.36,0.38,46000
19-Jan-16,0.36,0.38,0.34,0.38,384000
18-Jan-16,-,-,-,0.38,0
15-Jan-16,0.36,0.38,0.36,0.38,27000
14-Jan-16,0.38,0.40,0.36,0.38,49000
13-Jan-16,0.38,0.40,0.38,0.38,141100
12-Jan-16,0.38,0.40,0.38,0.40,55000
11-Jan-16,-,-,-,0.38,0
8-Jan-16,-,-,-,0.38,0
7-Jan-16,0.34,0.38,0.34,0.38,22800
6-Jan-16,0.33,0.35,0.33,0.35,12000
5-Jan-16,-,-,-,0.36,0
4-Jan-16,-,-,-,0.36,0
31-Dec-15,0.36,0.36,0.35,0.36,1064800
30-Dec-15,0.36,0.36,0.34,0.34,1318900
29-Dec-15,0.36,0.36,0.35,0.35,210000
28-Dec-15,0.36,0.36,0.36,0.36,465100
23-Dec-15,0.36,0.36,0.36,0.36,190000
22-Dec-15,0.36,0.37,0.35,0.36,4060300
21-Dec-15,-,-,-,0.36,0
18-Dec-15,0.36,0.36,0.34,0.36,90100
17-Dec-15,0.35,0.36,0.34,0.36,207000
16-Dec-15,0.36,0.36,0.35,0.36,167000
15-Dec-15,0.36,0.36,0.34,0.36,92900
14-Dec-15,0.36,0.36,0.32,0.34,113800
11-Dec-15,0.35,0.36,0.34,0.36,130000
10-Dec-15,0.36,0.36,0.35,0.36,259200
9-Dec-15,0.34,0.36,0.34,0.36,346900
8-Dec-15,0.34,0.34,0.34,0.34,200200
7-Dec-15,0.32,0.34,0.32,0.33,178500
4-Dec-15,0.31,0.31,0.31,0.31,51500
3-Dec-15,0.30,0.30,0.30,0.30,10000
2-Dec-15,-,-,-,0.30,0
1-Dec-15,0.31,0.32,0.30,0.30,42100
30-Nov-15,0.30,0.32,0.29,0.29,123100
27-Nov-15,0.32,0.32,0.30,0.30,99100
26-Nov-15,0.30,0.32,0.30,0.30,78700
25-Nov-15,0.31,0.34,0.30,0.30,305100
24-Nov-15,0.34,0.34,0.31,0.31,5000
23-Nov-15,0.33,0.33,0.30,0.31,149100
20-Nov-15,0.32,0.32,0.32,0.32,20000
19-Nov-15,0.34,0.34,0.32,0.34,84200
18-Nov-15,0.34,0.34,0.32,0.32,31000
17-Nov-15,0.32,0.32,0.32,0.32,40000
16-Nov-15,0.34,0.34,0.32,0.32,35000
13-Nov-15,0.34,0.34,0.32,0.32,22700
12-Nov-15,0.32,0.34,0.32,0.32,133300
11-Nov-15,0.32,0.32,0.31,0.32,77100
9-Nov-15,0.34,0.34,0.34,0.34,100
6-Nov-15,0.32,0.34,0.31,0.34,17800
5-Nov-15,0.32,0.32,0.32,0.32,60000
4-Nov-15,0.32,0.33,0.32,0.32,275200
3-Nov-15,0.32,0.33,0.32,0.32,333200
2-Nov-15,0.32,0.32,0.32,0.32,60000
30-Oct-15,-,-,-,0.31,0
29-Oct-15,-,-,-,0.31,0
28-Oct-15,0.31,0.31,0.31,0.31,60000
27-Oct-15,-,-,-,0.32,0
26-Oct-15,-,-,-,0.32,0
23-Oct-15,-,-,-,0.32,0
22-Oct-15,-,-,-,0.32,0
21-Oct-15,-,-,-,0.32,0
20-Oct-15,0.32,0.32,0.32,0.32,10000
19-Oct-15,0.30,0.30,0.30,0.30,4800
16-Oct-15,0.30,0.30,0.30,0.30,1000
15-Oct-15,0.32,0.32,0.32,0.32,32000
13-Oct-15,-,-,-,0.32,0
12-Oct-15,-,-,-,0.32,0
