Date,Open,High,Low,Close,Volume
7-Oct-16,0.06,0.06,0.05,0.06,445400
6-Oct-16,0.05,0.06,0.05,0.06,30000
5-Oct-16,0.06,0.06,0.06,0.06,205500
4-Oct-16,0.05,0.06,0.05,0.06,455300
30-Sep-16,0.05,0.06,0.05,0.06,217400
29-Sep-16,0.05,0.05,0.05,0.05,21700
28-Sep-16,0.05,0.06,0.05,0.06,157000
27-Sep-16,0.06,0.06,0.06,0.06,215500
26-Sep-16,0.06,0.06,0.06,0.06,181000
23-Sep-16,0.06,0.06,0.05,0.06,1395000
22-Sep-16,0.06,0.06,0.06,0.06,33200
21-Sep-16,0.06,0.06,0.06,0.06,333500
20-Sep-16,0.06,0.06,0.06,0.06,147500
19-Sep-16,0.06,0.06,0.06,0.06,702000
15-Sep-16,0.06,0.06,0.06,0.06,116000
14-Sep-16,0.06,0.06,0.06,0.06,247500
13-Sep-16,0.06,0.06,0.06,0.06,519600
9-Sep-16,0.06,0.06,0.06,0.06,175000
8-Sep-16,0.06,0.06,0.06,0.06,637900
7-Sep-16,0.06,0.06,0.06,0.06,132000
6-Sep-16,0.06,0.06,0.06,0.06,46900
5-Sep-16,0.06,0.06,0.06,0.06,318000
2-Sep-16,0.06,0.06,0.06,0.06,107000
1-Sep-16,0.06,0.06,0.06,0.06,781000
30-Aug-16,0.06,0.06,0.06,0.06,464000
29-Aug-16,0.06,0.06,0.06,0.06,1768200
26-Aug-16,0.06,0.06,0.06,0.06,122200
25-Aug-16,0.06,0.06,0.06,0.06,1257000
24-Aug-16,0.06,0.06,0.06,0.06,1166500
23-Aug-16,0.06,0.06,0.06,0.06,3121000
22-Aug-16,0.06,0.06,0.06,0.06,426100
19-Aug-16,0.06,0.06,0.06,0.06,388000
18-Aug-16,0.06,0.06,0.06,0.06,747600
17-Aug-16,0.06,0.06,0.06,0.06,143000
16-Aug-16,0.06,0.06,0.06,0.06,181000
15-Aug-16,0.06,0.06,0.06,0.06,132000
12-Aug-16,0.06,0.06,0.06,0.06,157500
11-Aug-16,0.06,0.06,0.06,0.06,29700
10-Aug-16,0.06,0.06,0.06,0.06,154500
9-Aug-16,0.06,0.06,0.06,0.06,633900
8-Aug-16,0.06,0.06,0.06,0.06,438500
5-Aug-16,0.06,0.06,0.06,0.06,1825000
4-Aug-16,0.06,0.06,0.06,0.06,88000
3-Aug-16,0.06,0.06,0.06,0.06,158000
2-Aug-16,0.06,0.06,0.06,0.06,757500
1-Aug-16,0.06,0.06,0.06,0.06,1263300
29-Jul-16,0.06,0.06,0.06,0.06,1545000
28-Jul-16,0.06,0.06,0.06,0.06,284000
27-Jul-16,0.06,0.06,0.06,0.06,2651200
26-Jul-16,0.06,0.06,0.06,0.06,2943000
25-Jul-16,0.06,0.06,0.06,0.06,423900
22-Jul-16,0.06,0.06,0.06,0.06,600500
21-Jul-16,0.06,0.06,0.06,0.06,103000
