Date,Open,High,Low,Close,Volume
7-Oct-16,0.12,0.12,0.12,0.12,105200
6-Oct-16,0.12,0.12,0.12,0.12,313100
5-Oct-16,0.11,0.12,0.11,0.12,260000
4-Oct-16,0.11,0.12,0.11,0.12,152500
30-Sep-16,0.12,0.12,0.11,0.11,182000
29-Sep-16,0.12,0.12,0.12,0.12,385000
28-Sep-16,0.12,0.12,0.12,0.12,190000
27-Sep-16,0.12,0.12,0.12,0.12,98500
26-Sep-16,0.12,0.12,0.12,0.12,676000
23-Sep-16,0.12,0.12,0.12,0.12,198100
22-Sep-16,0.12,0.12,0.12,0.12,209000
21-Sep-16,0.12,0.12,0.12,0.12,490700
20-Sep-16,0.12,0.12,0.12,0.12,118900
19-Sep-16,0.12,0.12,0.11,0.12,417100
15-Sep-16,0.12,0.12,0.12,0.12,165600
14-Sep-16,0.12,0.12,0.11,0.12,163100
13-Sep-16,0.12,0.12,0.12,0.12,861100
9-Sep-16,0.12,0.12,0.12,0.12,197500
8-Sep-16,0.12,0.12,0.12,0.12,608200
7-Sep-16,0.12,0.12,0.12,0.12,648300
6-Sep-16,0.11,0.12,0.11,0.12,789600
5-Sep-16,0.10,0.11,0.10,0.11,1260500
2-Sep-16,0.12,0.12,0.11,0.11,987200
1-Sep-16,0.12,0.12,0.12,0.12,1642600
30-Aug-16,0.12,0.12,0.12,0.12,1090700
29-Aug-16,0.12,0.12,0.12,0.12,609000
26-Aug-16,0.12,0.12,0.12,0.12,95000
25-Aug-16,0.13,0.13,0.12,0.12,1305000
24-Aug-16,0.12,0.13,0.12,0.13,913000
23-Aug-16,0.13,0.13,0.12,0.13,202600
22-Aug-16,0.13,0.13,0.12,0.12,236000
19-Aug-16,0.13,0.13,0.12,0.12,149000
18-Aug-16,0.13,0.13,0.13,0.13,230000
17-Aug-16,0.14,0.14,0.12,0.13,634400
16-Aug-16,0.13,0.13,0.13,0.13,793900
15-Aug-16,0.12,0.13,0.12,0.12,184100
12-Aug-16,0.13,0.13,0.12,0.12,462500
11-Aug-16,0.13,0.13,0.13,0.13,322100
10-Aug-16,0.13,0.13,0.13,0.13,500600
9-Aug-16,0.14,0.14,0.13,0.13,616400
8-Aug-16,0.14,0.14,0.14,0.14,1197100
5-Aug-16,0.13,0.14,0.13,0.14,1819600
4-Aug-16,0.12,0.14,0.12,0.13,1293500
3-Aug-16,0.12,0.12,0.12,0.12,775800
2-Aug-16,0.12,0.12,0.12,0.12,757900
1-Aug-16,0.12,0.12,0.12,0.12,388800
29-Jul-16,0.13,0.13,0.12,0.12,410000
28-Jul-16,0.13,0.13,0.12,0.12,863600
27-Jul-16,0.13,0.13,0.12,0.13,631200
26-Jul-16,0.12,0.13,0.12,0.12,1666300
25-Jul-16,0.12,0.12,0.12,0.12,1988000
22-Jul-16,0.13,0.13,0.12,0.12,3347400
21-Jul-16,0.13,0.14,0.12,0.13,942400
20-Jul-16,0.13,0.14,0.13,0.13,942100
19-Jul-16,0.14,0.14,0.13,0.13,1094500
18-Jul-16,0.14,0.14,0.12,0.14,11676400
15-Jul-16,0.14,0.14,0.14,0.14,1493000
14-Jul-16,0.14,0.14,0.14,0.14,1560300
13-Jul-16,0.14,0.14,0.14,0.14,1476200
12-Jul-16,0.14,0.14,0.14,0.14,2295000
11-Jul-16,0.14,0.14,0.14,0.14,1144200
8-Jul-16,0.14,0.14,0.14,0.14,1997600
5-Jul-16,0.14,0.14,0.14,0.14,1198500
4-Jul-16,0.14,0.14,0.14,0.14,436700
1-Jul-16,0.14,0.14,0.14,0.14,288600
30-Jun-16,0.15,0.15,0.14,0.14,564400
29-Jun-16,0.14,0.15,0.14,0.14,2720700
28-Jun-16,0.14,0.15,0.14,0.14,5243000
27-Jun-16,0.14,0.15,0.14,0.14,439000
24-Jun-16,0.16,0.16,0.14,0.15,2423800
23-Jun-16,0.17,0.17,0.15,0.16,2536200
21-Jun-16,0.16,0.17,0.16,0.16,274500
20-Jun-16,0.17,0.17,0.16,0.16,761000
17-Jun-16,0.18,0.18,0.16,0.16,3360900
16-Jun-16,0.16,0.18,0.16,0.18,6100000
15-Jun-16,0.16,0.16,0.15,0.16,547100
14-Jun-16,0.16,0.16,0.16,0.16,291600
13-Jun-16,0.16,0.16,0.15,0.16,1051200
10-Jun-16,0.16,0.18,0.16,0.16,1525600
9-Jun-16,0.14,0.18,0.14,0.17,6100000
8-Jun-16,0.14,0.14,0.14,0.14,450000
7-Jun-16,0.14,0.14,0.14,0.14,469500
6-Jun-16,0.14,0.14,0.14,0.14,1204400
3-Jun-16,0.14,0.14,0.14,0.14,677900
2-Jun-16,0.14,0.15,0.14,0.14,517400
1-Jun-16,0.14,0.14,0.14,0.14,628500
