Date,Open,High,Low,Close,Volume
7-Oct-16,1.81,1.82,1.81,1.82,20100
6-Oct-16,1.81,1.84,1.81,1.82,67800
5-Oct-16,1.81,1.82,1.80,1.80,151900
4-Oct-16,1.82,1.83,1.82,1.83,51200
30-Sep-16,1.82,1.84,1.82,1.84,29800
29-Sep-16,1.83,1.84,1.83,1.84,14900
28-Sep-16,1.84,1.84,1.83,1.84,265000
27-Sep-16,1.83,1.84,1.83,1.83,145900
26-Sep-16,1.82,1.84,1.82,1.84,107000
23-Sep-16,1.80,1.82,1.79,1.82,74200
22-Sep-16,1.80,1.80,1.79,1.79,80600
21-Sep-16,1.80,1.81,1.80,1.80,51100
20-Sep-16,1.80,1.84,1.80,1.83,32800
19-Sep-16,1.82,1.82,1.80,1.82,71300
15-Sep-16,1.81,1.84,1.81,1.83,49600
14-Sep-16,1.82,1.84,1.82,1.84,48600
13-Sep-16,1.82,1.84,1.82,1.84,51600
9-Sep-16,1.82,1.84,1.82,1.84,62100
8-Sep-16,1.84,1.84,1.82,1.84,80500
7-Sep-16,1.85,1.85,1.82,1.84,170800
6-Sep-16,1.83,1.84,1.82,1.83,80500
5-Sep-16,1.93,1.93,1.93,1.93,409300
2-Sep-16,1.93,1.93,1.92,1.92,157000
1-Sep-16,1.94,1.94,1.92,1.93,92700
30-Aug-16,1.92,1.94,1.91,1.94,180300
29-Aug-16,1.93,1.93,1.92,1.92,124600
26-Aug-16,1.96,1.96,1.92,1.93,120600
25-Aug-16,1.95,1.95,1.92,1.94,65900
24-Aug-16,1.94,1.95,1.94,1.95,200500
23-Aug-16,1.95,1.96,1.94,1.96,178200
22-Aug-16,1.97,1.97,1.94,1.97,150700
19-Aug-16,1.98,1.99,1.95,1.98,76100
18-Aug-16,1.97,1.98,1.97,1.98,24600
17-Aug-16,1.97,1.98,1.97,1.97,56000
16-Aug-16,1.96,1.98,1.96,1.98,134600
15-Aug-16,1.93,1.95,1.93,1.95,86400
