Date,Open,High,Low,Close,Volume
7-Oct-16,0.04,0.04,0.04,0.04,5000
6-Oct-16,0.04,0.04,0.04,0.04,6000
5-Oct-16,0.04,0.04,0.04,0.04,30000
4-Oct-16,0.05,0.05,0.05,0.05,84000
30-Sep-16,0.05,0.05,0.05,0.05,4000
29-Sep-16,0.05,0.05,0.05,0.05,5800
28-Sep-16,-,-,-,0.05,0
27-Sep-16,-,-,-,0.05,0
26-Sep-16,0.05,0.05,0.05,0.05,21100
23-Sep-16,0.05,0.06,0.05,0.06,60000
22-Sep-16,-,-,-,0.04,0
21-Sep-16,0.04,0.04,0.04,0.04,105300
20-Sep-16,-,-,-,0.04,0
19-Sep-16,-,-,-,0.04,0
15-Sep-16,-,-,-,0.04,0
14-Sep-16,0.04,0.06,0.04,0.04,99100
13-Sep-16,-,-,-,0.06,0
9-Sep-16,0.06,0.06,0.06,0.06,17000
8-Sep-16,0.05,0.06,0.05,0.06,45000
7-Sep-16,-,-,-,0.05,0
6-Sep-16,0.06,0.06,0.05,0.05,306000
5-Sep-16,0.06,0.06,0.05,0.06,75000
2-Sep-16,-,-,-,0.06,0
1-Sep-16,0.06,0.06,0.06,0.06,9000
30-Aug-16,-,-,-,0.06,0
29-Aug-16,-,-,-,0.06,0
26-Aug-16,0.06,0.06,0.06,0.06,219700
25-Aug-16,0.07,0.07,0.06,0.06,65800
24-Aug-16,-,-,-,0.07,0
23-Aug-16,-,-,-,0.07,0
22-Aug-16,0.07,0.07,0.07,0.07,248900
19-Aug-16,-,-,-,0.07,0
18-Aug-16,0.06,0.08,0.06,0.07,462500
17-Aug-16,0.06,0.07,0.06,0.07,1100
16-Aug-16,0.06,0.07,0.06,0.07,121200
15-Aug-16,0.07,0.07,0.06,0.07,147800
12-Aug-16,0.07,0.08,0.07,0.08,3100
11-Aug-16,0.08,0.08,0.07,0.08,216200
10-Aug-16,0.08,0.08,0.08,0.08,100
9-Aug-16,-,-,-,0.08,0
8-Aug-16,0.08,0.08,0.07,0.08,28600
5-Aug-16,0.08,0.08,0.08,0.08,190300
4-Aug-16,0.07,0.08,0.07,0.08,180200
3-Aug-16,0.07,0.08,0.07,0.08,73000
2-Aug-16,0.07,0.07,0.06,0.07,107100
1-Aug-16,0.08,0.08,0.08,0.08,143400
29-Jul-16,0.08,0.08,0.08,0.08,125100
28-Jul-16,0.09,0.09,0.08,0.08,195300
27-Jul-16,0.07,0.09,0.07,0.09,1266600
26-Jul-16,0.06,0.06,0.06,0.06,26000
25-Jul-16,-,-,-,0.06,0
22-Jul-16,0.06,0.06,0.06,0.06,21100
21-Jul-16,0.07,0.07,0.07,0.07,150000
20-Jul-16,0.07,0.08,0.07,0.08,212900
19-Jul-16,0.08,0.08,0.07,0.08,256700
18-Jul-16,0.07,0.08,0.07,0.08,503400
15-Jul-16,0.07,0.07,0.07,0.07,65000
14-Jul-16,0.07,0.08,0.07,0.08,38900
13-Jul-16,0.07,0.07,0.07,0.07,13500
12-Jul-16,-,-,-,0.08,0
11-Jul-16,0.07,0.08,0.07,0.08,146000
8-Jul-16,0.08,0.08,0.08,0.08,8000
5-Jul-16,-,-,-,0.08,0
4-Jul-16,0.08,0.08,0.08,0.08,61000
1-Jul-16,-,-,-,0.09,0
30-Jun-16,0.08,0.09,0.08,0.09,6000
29-Jun-16,-,-,-,0.08,0
28-Jun-16,0.08,0.08,0.06,0.08,67100
27-Jun-16,0.06,0.08,0.06,0.08,2100
24-Jun-16,-,-,-,0.08,0
23-Jun-16,0.08,0.08,0.07,0.08,106100
21-Jun-16,0.08,0.08,0.08,0.08,51200
20-Jun-16,0.06,0.06,0.06,0.06,4000
17-Jun-16,0.08,0.08,0.08,0.08,200
16-Jun-16,0.08,0.08,0.08,0.08,54000
15-Jun-16,0.08,0.08,0.08,0.08,36900
14-Jun-16,0.09,0.09,0.09,0.09,1000
13-Jun-16,0.08,0.09,0.08,0.08,20000
10-Jun-16,0.09,0.09,0.08,0.09,67200
9-Jun-16,0.10,0.10,0.08,0.09,230100
8-Jun-16,0.08,0.10,0.08,0.10,28100
7-Jun-16,0.08,0.10,0.08,0.10,5000
6-Jun-16,0.10,0.10,0.10,0.10,56500
3-Jun-16,0.09,0.10,0.09,0.10,195100
2-Jun-16,0.09,0.10,0.09,0.10,65400
1-Jun-16,0.09,0.10,0.09,0.09,2500
31-May-16,0.10,0.10,0.09,0.09,29000
30-May-16,0.10,0.10,0.09,0.10,167100
27-May-16,0.10,0.10,0.09,0.10,59300
