Date,Open,High,Low,Close,Volume
7-Oct-16,0.04,0.04,0.04,0.04,10000
6-Oct-16,0.04,0.04,0.04,0.04,730100
5-Oct-16,0.04,0.04,0.04,0.04,3510000
4-Oct-16,-,-,-,0.05,0
30-Sep-16,0.04,0.05,0.04,0.05,135100
29-Sep-16,0.04,0.04,0.04,0.04,228900
28-Sep-16,-,-,-,0.04,0
27-Sep-16,-,-,-,0.04,0
26-Sep-16,0.04,0.04,0.04,0.04,384400
23-Sep-16,-,-,-,0.04,0
22-Sep-16,-,-,-,0.04,0
21-Sep-16,-,-,-,0.04,0
20-Sep-16,0.04,0.04,0.04,0.04,80000
19-Sep-16,0.04,0.04,0.04,0.04,180000
15-Sep-16,-,-,-,0.05,0
14-Sep-16,-,-,-,0.05,0
13-Sep-16,0.04,0.05,0.04,0.05,52000
9-Sep-16,0.04,0.04,0.04,0.04,110000
8-Sep-16,-,-,-,0.04,0
7-Sep-16,-,-,-,0.04,0
6-Sep-16,0.04,0.04,0.04,0.04,169600
5-Sep-16,0.04,0.04,0.04,0.04,659600
2-Sep-16,-,-,-,0.04,0
1-Sep-16,0.04,0.04,0.04,0.04,290000
30-Aug-16,-,-,-,0.05,0
29-Aug-16,0.04,0.05,0.04,0.05,390000
26-Aug-16,-,-,-,0.05,0
25-Aug-16,-,-,-,0.05,0
24-Aug-16,0.05,0.05,0.04,0.05,261000
23-Aug-16,0.06,0.06,0.05,0.05,1469300
22-Aug-16,0.05,0.06,0.05,0.06,5100
19-Aug-16,0.06,0.06,0.06,0.06,80000
18-Aug-16,-,-,-,0.06,0
17-Aug-16,0.06,0.06,0.06,0.06,240300
16-Aug-16,0.06,0.06,0.05,0.05,391200
15-Aug-16,0.05,0.06,0.05,0.06,121400
12-Aug-16,0.06,0.06,0.06,0.06,439800
11-Aug-16,0.05,0.06,0.05,0.06,4089700
10-Aug-16,0.04,0.04,0.04,0.04,21000
9-Aug-16,-,-,-,0.04,0
8-Aug-16,0.04,0.04,0.04,0.04,111000
5-Aug-16,0.04,0.04,0.04,0.04,130200
4-Aug-16,-,-,-,0.04,0
3-Aug-16,0.04,0.04,0.04,0.04,20000
2-Aug-16,0.05,0.05,0.04,0.04,118700
1-Aug-16,0.05,0.05,0.05,0.05,49000
29-Jul-16,0.05,0.05,0.04,0.04,214000
28-Jul-16,-,-,-,0.05,0
27-Jul-16,0.05,0.05,0.05,0.05,170000
26-Jul-16,0.05,0.05,0.05,0.05,150000
25-Jul-16,-,-,-,0.05,0
22-Jul-16,-,-,-,0.05,0
21-Jul-16,0.05,0.05,0.05,0.05,150000
20-Jul-16,0.05,0.05,0.05,0.05,145000
19-Jul-16,0.05,0.05,0.05,0.05,20000
18-Jul-16,0.05,0.05,0.05,0.05,610000
15-Jul-16,-,-,-,0.04,0
14-Jul-16,-,-,-,0.04,0
13-Jul-16,0.04,0.04,0.04,0.04,35000
12-Jul-16,-,-,-,0.04,0
11-Jul-16,0.04,0.04,0.04,0.04,150000
8-Jul-16,-,-,-,0.04,0
5-Jul-16,-,-,-,0.04,0
4-Jul-16,0.04,0.04,0.04,0.04,51000
1-Jul-16,-,-,-,0.04,0
30-Jun-16,-,-,-,0.04,0
29-Jun-16,0.04,0.04,0.04,0.04,650000
28-Jun-16,0.04,0.04,0.04,0.04,20000
27-Jun-16,0.04,0.04,0.04,0.04,6000
24-Jun-16,0.04,0.04,0.04,0.04,20000
23-Jun-16,-,-,-,0.05,0
21-Jun-16,0.05,0.05,0.05,0.05,115000
20-Jun-16,0.05,0.05,0.05,0.05,150000
17-Jun-16,0.05,0.05,0.05,0.05,344000
16-Jun-16,0.06,0.06,0.05,0.05,150000
15-Jun-16,0.05,0.05,0.05,0.05,2000
14-Jun-16,-,-,-,0.05,0
13-Jun-16,0.06,0.06,0.05,0.05,95000
10-Jun-16,-,-,-,0.06,0
9-Jun-16,0.06,0.06,0.06,0.06,326200
8-Jun-16,0.05,0.05,0.05,0.05,68600
7-Jun-16,0.06,0.06,0.05,0.05,145200
6-Jun-16,0.06,0.06,0.06,0.06,10700
3-Jun-16,0.06,0.06,0.06,0.06,331000
2-Jun-16,0.05,0.06,0.05,0.05,485700
1-Jun-16,0.06,0.06,0.06,0.06,30000
31-May-16,0.06,0.06,0.06,0.06,354300
30-May-16,0.06,0.06,0.06,0.06,27200
27-May-16,0.05,0.06,0.05,0.06,120300
26-May-16,0.06,0.06,0.06,0.06,426800
25-May-16,0.06,0.06,0.06,0.06,90000
24-May-16,0.06,0.06,0.06,0.06,25000
23-May-16,0.06,0.06,0.06,0.06,696000
20-May-16,0.06,0.06,0.06,0.06,940000
19-May-16,0.06,0.07,0.06,0.06,516500
18-May-16,0.06,0.07,0.06,0.06,1316300
17-May-16,0.06,0.06,0.06,0.06,203000
16-May-16,0.07,0.07,0.07,0.07,2137000
13-May-16,0.06,0.07,0.06,0.07,767100
12-May-16,0.06,0.06,0.06,0.06,360000
11-May-16,0.06,0.07,0.06,0.07,2429100
10-May-16,-,-,-,0.06,0
9-May-16,0.06,0.06,0.06,0.06,185000
6-May-16,0.06,0.06,0.06,0.06,25000
5-May-16,0.06,0.07,0.06,0.07,2863900
