Date,Open,High,Low,Close,Volume
7-Oct-16,1.63,1.65,1.63,1.65,78000
6-Oct-16,1.64,1.64,1.64,1.64,54400
5-Oct-16,1.64,1.64,1.62,1.64,119000
4-Oct-16,1.63,1.63,1.63,1.63,1300
30-Sep-16,1.64,1.64,1.64,1.64,5000
29-Sep-16,1.65,1.67,1.63,1.64,168200
28-Sep-16,1.66,1.66,1.64,1.64,38200
27-Sep-16,1.68,1.68,1.66,1.66,278800
26-Sep-16,1.67,1.70,1.67,1.70,165200
23-Sep-16,1.68,1.68,1.66,1.67,68000
22-Sep-16,-,-,-,1.68,0
21-Sep-16,1.75,1.75,1.65,1.68,78200
20-Sep-16,1.68,1.68,1.64,1.66,57500
19-Sep-16,1.68,1.69,1.65,1.66,270000
15-Sep-16,1.66,1.68,1.59,1.66,163500
14-Sep-16,1.66,1.68,1.66,1.68,23000
13-Sep-16,1.69,1.70,1.68,1.70,35000
9-Sep-16,1.73,1.73,1.71,1.71,10000
8-Sep-16,1.71,1.74,1.71,1.74,18000
7-Sep-16,1.70,1.70,1.70,1.70,16000
6-Sep-16,1.70,1.71,1.68,1.71,6000
5-Sep-16,-,-,-,1.69,0
2-Sep-16,1.70,1.70,1.66,1.69,40000
1-Sep-16,1.73,1.73,1.67,1.68,95000
30-Aug-16,1.79,1.79,1.70,1.71,72400
29-Aug-16,1.75,1.77,1.75,1.77,6700
26-Aug-16,1.77,1.79,1.77,1.77,86100
25-Aug-16,-,-,-,1.79,0
24-Aug-16,1.80,1.80,1.71,1.79,71200
23-Aug-16,-,-,-,1.80,0
22-Aug-16,-,-,-,1.80,0
19-Aug-16,1.80,1.80,1.80,1.80,45400
18-Aug-16,1.85,1.85,1.80,1.80,56100
17-Aug-16,1.80,1.82,1.80,1.82,63000
16-Aug-16,1.83,1.83,1.82,1.82,23300
15-Aug-16,1.87,1.87,1.83,1.83,9800
12-Aug-16,1.77,1.85,1.77,1.85,77600
11-Aug-16,1.75,1.75,1.75,1.75,7000
10-Aug-16,1.70,1.75,1.70,1.74,60200
9-Aug-16,1.70,1.71,1.70,1.70,58500
8-Aug-16,1.70,1.71,1.70,1.71,5000
5-Aug-16,1.70,1.70,1.68,1.69,14800
4-Aug-16,1.66,1.66,1.66,1.66,25000
3-Aug-16,1.67,1.67,1.65,1.67,81000
2-Aug-16,1.68,1.68,1.67,1.67,64000
1-Aug-16,1.68,1.68,1.68,1.68,2000
29-Jul-16,1.68,1.68,1.65,1.65,25100
28-Jul-16,1.67,1.69,1.67,1.68,31000
27-Jul-16,1.68,1.68,1.66,1.67,39000
26-Jul-16,1.69,1.70,1.69,1.70,46600
25-Jul-16,1.68,1.70,1.68,1.68,32000
22-Jul-16,1.69,1.70,1.68,1.69,115500
21-Jul-16,1.71,1.71,1.71,1.71,2000
20-Jul-16,1.72,1.72,1.72,1.72,15000
19-Jul-16,1.75,1.77,1.73,1.73,36500
18-Jul-16,1.77,1.77,1.77,1.77,1000
15-Jul-16,1.78,1.83,1.77,1.77,50600
14-Jul-16,1.72,1.78,1.72,1.78,1500
13-Jul-16,-,-,-,1.72,0
12-Jul-16,1.70,1.78,1.70,1.72,15400
11-Jul-16,1.69,1.72,1.69,1.70,24400
8-Jul-16,1.68,1.68,1.68,1.68,20000
5-Jul-16,1.68,1.68,1.68,1.68,1600
4-Jul-16,1.70,1.70,1.70,1.70,24000
1-Jul-16,1.70,1.70,1.70,1.70,14600
30-Jun-16,1.70,1.70,1.70,1.70,14600
29-Jun-16,1.70,1.70,1.70,1.70,5000
28-Jun-16,-,-,-,1.71,0
27-Jun-16,-,-,-,1.71,0
24-Jun-16,1.72,1.75,1.67,1.71,211600
23-Jun-16,1.72,1.72,1.72,1.72,2100
21-Jun-16,1.71,1.73,1.71,1.73,16600
20-Jun-16,-,-,-,1.73,0
17-Jun-16,1.72,1.74,1.71,1.73,23600
16-Jun-16,1.75,1.75,1.73,1.73,43000
15-Jun-16,1.74,1.75,1.74,1.75,12400
14-Jun-16,1.76,1.76,1.76,1.76,2400
13-Jun-16,1.80,1.80,1.77,1.78,25700
10-Jun-16,1.78,1.82,1.78,1.80,22400
9-Jun-16,1.78,1.84,1.78,1.78,62500
8-Jun-16,1.78,1.80,1.78,1.78,4500
7-Jun-16,1.79,1.85,1.77,1.78,82700
6-Jun-16,1.76,1.78,1.76,1.78,41600
3-Jun-16,1.81,1.81,1.77,1.77,30200
2-Jun-16,1.70,1.82,1.70,1.80,186200
1-Jun-16,1.71,1.71,1.66,1.70,275800
31-May-16,1.74,1.74,1.71,1.71,58400
30-May-16,1.74,1.77,1.74,1.75,85700
27-May-16,1.76,1.79,1.71,1.76,831000
26-May-16,1.96,1.96,1.95,1.95,27700
25-May-16,1.95,1.96,1.89,1.94,32000
24-May-16,1.95,1.95,1.91,1.94,29900
23-May-16,1.91,1.97,1.89,1.95,50000
20-May-16,2.00,2.00,1.99,2.00,26800
19-May-16,2.00,2.03,2.00,2.02,17500
18-May-16,2.01,2.01,2.00,2.00,12100
17-May-16,2.01,2.02,2.00,2.01,30000
16-May-16,1.99,2.02,1.98,2.00,102500
13-May-16,1.95,1.99,1.95,1.99,34000
12-May-16,1.99,1.99,1.95,1.95,36700
11-May-16,1.99,1.99,1.96,1.97,10000
10-May-16,2.00,2.00,1.96,1.96,30200
9-May-16,2.01,2.01,1.98,2.00,98500
6-May-16,1.93,2.00,1.93,1.99,145500
5-May-16,1.92,1.93,1.92,1.93,6100
4-May-16,1.95,1.95,1.86,1.90,51700
3-May-16,1.90,1.97,1.89,1.89,37700
29-Apr-16,1.94,1.94,1.90,1.90,27300
28-Apr-16,1.89,1.97,1.89,1.95,7400
27-Apr-16,1.91,2.01,1.91,1.99,42700
26-Apr-16,1.94,1.94,1.89,1.90,46000
25-Apr-16,2.01,2.02,1.96,1.98,64800
22-Apr-16,2.00,2.04,1.98,2.02,185600
21-Apr-16,1.91,2.00,1.91,1.99,68400
20-Apr-16,1.89,1.89,1.88,1.89,22300
19-Apr-16,1.86,1.89,1.85,1.88,77400
18-Apr-16,1.87,1.87,1.85,1.86,97400
15-Apr-16,1.89,1.90,1.88,1.88,36600
14-Apr-16,1.90,1.91,1.89,1.91,44500
13-Apr-16,1.90,1.92,1.90,1.91,115800
12-Apr-16,1.91,1.92,1.90,1.92,69100
11-Apr-16,1.92,1.94,1.92,1.93,61000
8-Apr-16,1.93,1.94,1.93,1.93,84000
7-Apr-16,1.95,1.96,1.94,1.96,55000
6-Apr-16,1.95,1.95,1.94,1.94,55100
5-Apr-16,1.94,1.96,1.94,1.95,79500
4-Apr-16,1.99,1.99,1.94,1.95,191500
1-Apr-16,2.00,2.00,1.99,1.99,71500
31-Mar-16,2.00,2.01,2.00,2.01,101100
30-Mar-16,2.06,2.06,2.01,2.02,72400
29-Mar-16,2.00,2.05,2.00,2.05,104200
28-Mar-16,2.02,2.02,2.00,2.00,33000
25-Mar-16,2.03,2.03,2.01,2.01,25500
24-Mar-16,2.05,2.05,2.03,2.03,20900
23-Mar-16,2.08,2.08,2.08,2.08,4000
22-Mar-16,2.07,2.07,2.06,2.06,12000
21-Mar-16,2.08,2.10,2.07,2.10,76500
18-Mar-16,2.05,2.08,2.04,2.08,116200
17-Mar-16,2.03,2.05,2.03,2.05,62000
16-Mar-16,2.03,2.04,2.03,2.03,56700
15-Mar-16,2.01,2.02,2.00,2.02,59900
14-Mar-16,2.03,2.03,1.99,2.00,33100
11-Mar-16,2.02,2.03,2.02,2.03,38500
10-Mar-16,2.04,2.04,2.03,2.03,28100
9-Mar-16,2.05,2.05,2.03,2.05,111700
8-Mar-16,2.03,2.05,2.01,2.02,137500
7-Mar-16,2.03,2.05,2.03,2.05,100200
4-Mar-16,2.05,2.06,2.05,2.05,25500
