Date,Open,High,Low,Close,Volume
7-Oct-16,2.16,2.17,2.14,2.17,591400
6-Oct-16,2.19,2.19,2.14,2.16,491900
5-Oct-16,2.17,2.22,2.14,2.19,818300
4-Oct-16,2.14,2.19,2.14,2.17,185300
30-Sep-16,2.12,2.15,2.12,2.14,668200
29-Sep-16,2.17,2.18,2.15,2.15,307900
28-Sep-16,2.18,2.20,2.16,2.17,502300
27-Sep-16,2.23,2.23,2.16,2.18,383800
26-Sep-16,2.21,2.26,2.20,2.24,1124300
23-Sep-16,2.14,2.24,2.12,2.20,1436400
22-Sep-16,2.12,2.16,2.10,2.14,1563500
21-Sep-16,2.09,2.12,2.06,2.10,685500
20-Sep-16,2.06,2.13,2.05,2.08,2175100
19-Sep-16,2.01,2.08,2.01,2.06,1619400
15-Sep-16,2.04,2.04,2.00,2.00,413600
14-Sep-16,2.02,2.03,1.98,2.03,677400
13-Sep-16,2.05,2.06,1.98,2.02,775100
9-Sep-16,2.02,2.06,2.01,2.03,1291900
8-Sep-16,2.05,2.06,2.02,2.02,968700
7-Sep-16,2.03,2.06,2.01,2.06,2414600
6-Sep-16,2.00,2.05,1.97,2.02,2915100
5-Sep-16,1.98,2.02,1.97,1.99,2004100
2-Sep-16,1.90,1.98,1.90,1.97,2629200
1-Sep-16,1.88,1.91,1.88,1.90,2611500
30-Aug-16,1.89,1.91,1.87,1.88,2439200
29-Aug-16,1.82,1.84,1.81,1.82,340200
26-Aug-16,1.83,1.84,1.80,1.82,342600
25-Aug-16,1.85,1.86,1.84,1.86,303800
24-Aug-16,1.85,1.86,1.83,1.86,358000
23-Aug-16,1.87,1.87,1.85,1.85,395700
22-Aug-16,1.86,1.86,1.85,1.86,510100
19-Aug-16,1.86,1.88,1.85,1.88,719200
18-Aug-16,1.83,1.88,1.83,1.88,2564200
17-Aug-16,1.82,1.82,1.79,1.80,127600
16-Aug-16,1.84,1.84,1.80,1.80,121100
15-Aug-16,1.78,1.84,1.78,1.84,1088100
12-Aug-16,1.80,1.80,1.77,1.78,453600
11-Aug-16,1.79,1.79,1.78,1.78,71000
10-Aug-16,1.79,1.80,1.78,1.79,322400
9-Aug-16,1.78,1.78,1.77,1.78,216700
8-Aug-16,1.79,1.79,1.78,1.78,122700
5-Aug-16,1.80,1.80,1.79,1.79,296200
4-Aug-16,1.78,1.82,1.78,1.80,572600
3-Aug-16,1.77,1.81,1.76,1.80,385300
2-Aug-16,1.78,1.79,1.76,1.77,174200
1-Aug-16,1.78,1.80,1.78,1.78,76700
29-Jul-16,1.79,1.80,1.76,1.78,169400
28-Jul-16,1.79,1.80,1.79,1.80,167600
27-Jul-16,1.79,1.80,1.79,1.79,354200
26-Jul-16,1.77,1.80,1.77,1.79,440100
25-Jul-16,1.83,1.83,1.77,1.79,736400
22-Jul-16,1.82,1.83,1.82,1.82,867800
21-Jul-16,1.84,1.84,1.81,1.83,535600
20-Jul-16,1.83,1.84,1.82,1.83,408100
19-Jul-16,1.81,1.82,1.79,1.82,427000
18-Jul-16,1.83,1.83,1.81,1.82,241100
15-Jul-16,1.87,1.87,1.83,1.84,434500
14-Jul-16,1.90,1.90,1.88,1.90,275700
13-Jul-16,1.90,1.95,1.88,1.89,1118900
12-Jul-16,1.85,1.90,1.85,1.90,1419600
11-Jul-16,1.82,1.85,1.81,1.84,661600
8-Jul-16,1.81,1.82,1.80,1.82,79700
5-Jul-16,1.82,1.83,1.79,1.82,201100
4-Jul-16,1.80,1.84,1.80,1.84,177200
1-Jul-16,1.81,1.82,1.80,1.80,196000
30-Jun-16,1.83,1.83,1.81,1.81,307800
29-Jun-16,1.83,1.84,1.82,1.83,867200
28-Jun-16,1.77,1.84,1.77,1.81,2371100
27-Jun-16,1.75,1.78,1.74,1.77,274300
24-Jun-16,1.78,1.80,1.73,1.79,458500
23-Jun-16,1.79,1.79,1.78,1.79,1244700
21-Jun-16,1.80,1.81,1.79,1.80,344900
