Date,Open,High,Low,Close,Volume
7-Oct-16,0.06,0.06,0.06,0.06,2222000
6-Oct-16,0.06,0.06,0.06,0.06,2039800
5-Oct-16,0.06,0.06,0.05,0.05,2996000
4-Oct-16,0.06,0.06,0.06,0.06,624900
30-Sep-16,0.06,0.06,0.06,0.06,3921500
29-Sep-16,0.06,0.06,0.06,0.06,6177200
28-Sep-16,0.07,0.07,0.06,0.06,2995700
27-Sep-16,0.07,0.08,0.06,0.07,5772200
26-Sep-16,0.06,0.08,0.06,0.07,34615100
23-Sep-16,0.05,0.06,0.05,0.06,3410300
22-Sep-16,0.05,0.06,0.05,0.05,1487000
21-Sep-16,0.06,0.06,0.05,0.05,1885800
20-Sep-16,0.05,0.06,0.05,0.05,2355600
19-Sep-16,0.06,0.06,0.05,0.05,5190300
15-Sep-16,0.05,0.06,0.05,0.06,1966800
14-Sep-16,0.06,0.06,0.05,0.05,9261700
13-Sep-16,0.04,0.06,0.04,0.06,31388300
9-Sep-16,0.04,0.05,0.04,0.04,3430900
8-Sep-16,0.04,0.05,0.04,0.04,320000
7-Sep-16,0.05,0.05,0.04,0.05,5955600
6-Sep-16,0.06,0.06,0.05,0.05,12834100
5-Sep-16,0.06,0.06,0.05,0.06,4901100
2-Sep-16,0.06,0.06,0.06,0.06,1201000
1-Sep-16,0.05,0.06,0.05,0.06,3856400
30-Aug-16,0.07,0.07,0.05,0.05,17307100
29-Aug-16,0.07,0.07,0.07,0.07,3038500
26-Aug-16,0.08,0.08,0.07,0.08,1840000
25-Aug-16,0.08,0.08,0.08,0.08,713000
24-Aug-16,0.08,0.08,0.08,0.08,725500
23-Aug-16,0.08,0.08,0.08,0.08,163000
22-Aug-16,0.08,0.08,0.08,0.08,1436300
19-Aug-16,0.08,0.08,0.08,0.08,2295000
18-Aug-16,0.08,0.08,0.08,0.08,2729500
17-Aug-16,0.08,0.08,0.08,0.08,1736400
16-Aug-16,0.08,0.08,0.08,0.08,9757700
15-Aug-16,0.08,0.08,0.08,0.08,935900
12-Aug-16,0.08,0.08,0.07,0.08,2970000
11-Aug-16,0.08,0.08,0.08,0.08,200000
10-Aug-16,0.07,0.07,0.07,0.07,232000
9-Aug-16,0.08,0.08,0.07,0.07,546000
8-Aug-16,0.08,0.08,0.07,0.07,477000
5-Aug-16,0.08,0.08,0.07,0.08,540000
4-Aug-16,0.08,0.08,0.07,0.07,898000
3-Aug-16,0.07,0.08,0.07,0.08,148000
2-Aug-16,0.07,0.08,0.07,0.08,467100
1-Aug-16,0.08,0.08,0.07,0.07,280000
29-Jul-16,0.08,0.08,0.07,0.07,668400
28-Jul-16,0.07,0.07,0.07,0.07,56000
27-Jul-16,0.08,0.08,0.07,0.07,110000
26-Jul-16,0.07,0.07,0.07,0.07,391000
25-Jul-16,0.07,0.08,0.07,0.08,1776200
22-Jul-16,0.07,0.08,0.07,0.07,1066000
21-Jul-16,0.08,0.08,0.07,0.07,446000
20-Jul-16,0.08,0.08,0.08,0.08,7525000
19-Jul-16,0.08,0.08,0.08,0.08,649300
18-Jul-16,0.08,0.08,0.08,0.08,70000
15-Jul-16,0.07,0.08,0.07,0.07,422100
14-Jul-16,0.07,0.08,0.07,0.07,292000
13-Jul-16,0.07,0.08,0.07,0.08,208700
12-Jul-16,0.08,0.08,0.07,0.07,715500
11-Jul-16,0.08,0.08,0.07,0.07,386000
8-Jul-16,0.08,0.08,0.07,0.08,2547500
5-Jul-16,0.08,0.08,0.07,0.08,600500
4-Jul-16,0.08,0.08,0.07,0.07,668500
1-Jul-16,0.08,0.08,0.07,0.07,629600
30-Jun-16,0.08,0.08,0.07,0.07,427700
29-Jun-16,0.08,0.08,0.08,0.08,463000
28-Jun-16,0.08,0.08,0.08,0.08,287000
27-Jun-16,0.08,0.08,0.08,0.08,417800
24-Jun-16,0.08,0.08,0.08,0.08,3684200
23-Jun-16,0.08,0.08,0.08,0.08,220000
21-Jun-16,0.08,0.08,0.08,0.08,193000
20-Jun-16,0.08,0.08,0.08,0.08,235000
17-Jun-16,0.08,0.08,0.08,0.08,195000
16-Jun-16,0.08,0.08,0.08,0.08,95000
15-Jun-16,0.08,0.08,0.08,0.08,177600
14-Jun-16,0.08,0.08,0.08,0.08,127000
13-Jun-16,0.08,0.08,0.08,0.08,268300
