Date,Open,High,Low,Close,Volume
7-Oct-16,-,-,-,1.40,0
6-Oct-16,1.40,1.44,1.40,1.40,7000
5-Oct-16,-,-,-,1.40,0
4-Oct-16,1.40,1.41,1.39,1.40,82500
30-Sep-16,1.44,1.44,1.39,1.39,283300
29-Sep-16,1.44,1.44,1.42,1.42,114200
28-Sep-16,1.44,1.44,1.43,1.43,33500
27-Sep-16,1.45,1.45,1.42,1.43,202800
26-Sep-16,1.45,1.45,1.44,1.45,117600
23-Sep-16,1.43,1.47,1.43,1.44,62300
22-Sep-16,1.45,1.45,1.42,1.43,48800
21-Sep-16,1.41,1.41,1.40,1.41,78000
20-Sep-16,-,-,-,1.41,0
19-Sep-16,1.42,1.42,1.41,1.41,29800
15-Sep-16,1.42,1.42,1.41,1.41,29700
14-Sep-16,1.43,1.43,1.41,1.41,65800
13-Sep-16,1.44,1.44,1.43,1.43,33900
9-Sep-16,1.47,1.47,1.43,1.44,82500
8-Sep-16,-,-,-,1.45,0
7-Sep-16,1.47,1.49,1.45,1.45,112800
6-Sep-16,1.50,1.50,1.48,1.48,69500
5-Sep-16,1.49,1.49,1.49,1.49,22300
2-Sep-16,1.50,1.50,1.49,1.49,14400
1-Sep-16,1.49,1.49,1.49,1.49,9900
30-Aug-16,1.50,1.50,1.49,1.49,37200
29-Aug-16,1.50,1.50,1.50,1.50,38700
26-Aug-16,1.50,1.51,1.50,1.50,26600
25-Aug-16,1.50,1.50,1.50,1.50,14700
24-Aug-16,1.50,1.51,1.50,1.51,6200
23-Aug-16,1.51,1.52,1.51,1.51,65100
22-Aug-16,1.53,1.53,1.51,1.51,46500
19-Aug-16,1.54,1.54,1.52,1.52,84600
18-Aug-16,1.55,1.55,1.54,1.54,29300
17-Aug-16,1.55,1.55,1.55,1.55,9800
16-Aug-16,1.55,1.55,1.55,1.55,8000
15-Aug-16,1.56,1.56,1.54,1.56,107100
12-Aug-16,1.56,1.58,1.55,1.56,91200
11-Aug-16,1.55,1.55,1.53,1.54,53800
10-Aug-16,1.53,1.55,1.53,1.54,70200
9-Aug-16,1.59,1.59,1.56,1.56,40100
8-Aug-16,1.54,1.58,1.54,1.58,43500
5-Aug-16,1.54,1.55,1.53,1.53,125000
4-Aug-16,1.53,1.53,1.53,1.53,43000
3-Aug-16,1.54,1.54,1.53,1.53,22800
2-Aug-16,1.56,1.56,1.53,1.56,199500
1-Aug-16,1.59,1.60,1.57,1.57,168600
29-Jul-16,1.65,1.65,1.60,1.60,505500
28-Jul-16,1.67,1.67,1.65,1.65,90900
27-Jul-16,1.64,1.66,1.63,1.65,515200
26-Jul-16,1.67,1.70,1.61,1.62,1349200
25-Jul-16,1.66,1.68,1.64,1.65,187100
22-Jul-16,1.64,1.65,1.64,1.65,65900
21-Jul-16,1.68,1.68,1.62,1.65,305800
20-Jul-16,1.63,1.70,1.63,1.67,568800
19-Jul-16,1.63,1.63,1.59,1.60,169800
18-Jul-16,1.64,1.65,1.61,1.63,217000
15-Jul-16,1.54,1.64,1.54,1.64,754100
14-Jul-16,1.45,1.54,1.42,1.53,282000
13-Jul-16,1.42,1.45,1.41,1.45,124000
12-Jul-16,1.41,1.44,1.41,1.44,52200
11-Jul-16,1.40,1.41,1.39,1.40,135900
8-Jul-16,1.40,1.40,1.39,1.39,24000
5-Jul-16,1.41,1.41,1.39,1.39,42300
4-Jul-16,1.40,1.42,1.40,1.40,41600
1-Jul-16,1.39,1.40,1.39,1.40,61800
30-Jun-16,1.38,1.38,1.37,1.37,9700
29-Jun-16,1.38,1.38,1.36,1.37,35000
28-Jun-16,1.41,1.41,1.35,1.38,24000
27-Jun-16,1.37,1.41,1.36,1.36,154500
24-Jun-16,1.44,1.44,1.38,1.38,125900
23-Jun-16,1.43,1.44,1.42,1.42,160700
21-Jun-16,1.42,1.44,1.41,1.41,157900
20-Jun-16,1.39,1.43,1.38,1.42,301200
17-Jun-16,1.38,1.39,1.37,1.37,17400
16-Jun-16,1.42,1.42,1.37,1.38,121600
15-Jun-16,1.40,1.42,1.40,1.40,25900
14-Jun-16,1.41,1.41,1.40,1.40,40600
