Date,Open,High,Low,Close,Volume
7-Oct-16,24.12,24.12,23.92,24.12,3072200
6-Oct-16,24.14,24.14,24.00,24.04,1429000
5-Oct-16,24.12,24.18,23.74,24.06,3257800
4-Oct-16,23.94,24.14,23.94,24.04,3190500
30-Sep-16,24.02,24.10,23.96,23.98,2986300
29-Sep-16,24.08,24.16,24.04,24.04,1415100
28-Sep-16,24.16,24.16,24.00,24.08,1478900
27-Sep-16,24.18,24.18,23.86,24.10,983800
26-Sep-16,23.80,24.20,23.80,24.10,2624600
23-Sep-16,23.62,24.06,23.62,24.04,2585700
22-Sep-16,23.96,24.00,23.78,23.84,1609400
21-Sep-16,23.96,23.96,23.72,23.80,1907500
20-Sep-16,23.94,23.94,23.72,23.82,990500
19-Sep-16,23.80,23.80,23.74,23.80,657600
15-Sep-16,23.70,23.84,23.62,23.80,1601000
14-Sep-16,23.70,23.92,23.70,23.82,1427600
13-Sep-16,23.46,24.28,23.46,23.86,832200
9-Sep-16,23.66,23.98,23.66,23.76,2290700
8-Sep-16,23.84,24.12,23.84,23.90,1678600
7-Sep-16,23.50,23.84,23.50,23.80,741200
6-Sep-16,23.50,23.82,23.50,23.74,341700
5-Sep-16,23.54,23.72,23.52,23.62,292000
2-Sep-16,23.60,23.74,23.50,23.72,932800
1-Sep-16,23.58,23.72,23.40,23.58,774400
30-Aug-16,23.90,23.90,23.42,23.58,1301000
29-Aug-16,23.40,25.00,23.38,23.52,986000
26-Aug-16,23.32,23.80,23.32,23.56,136300
25-Aug-16,23.22,23.66,23.22,23.60,611300
24-Aug-16,23.46,23.66,23.46,23.52,1067300
23-Aug-16,23.44,23.66,23.42,23.50,619300
22-Aug-16,23.46,23.64,23.44,23.54,1038000
19-Aug-16,23.32,23.64,23.32,23.64,2313900
18-Aug-16,23.14,23.44,23.14,23.36,1492900
17-Aug-16,23.20,23.38,23.20,23.22,1675200
16-Aug-16,23.14,23.34,23.14,23.30,4333500
15-Aug-16,23.06,23.38,23.06,23.30,1355300
12-Aug-16,23.30,23.40,23.18,23.26,655900
11-Aug-16,23.10,23.30,23.10,23.24,1070200
10-Aug-16,23.02,23.28,23.02,23.16,1107300
9-Aug-16,23.30,23.36,23.10,23.10,864300
8-Aug-16,23.26,23.40,23.22,23.22,667600
5-Aug-16,23.08,23.24,23.04,23.12,1396100
4-Aug-16,23.10,23.14,22.98,23.14,151400
3-Aug-16,23.00,23.16,23.00,23.10,1150900
2-Aug-16,23.04,23.20,23.02,23.14,391700
1-Aug-16,23.32,23.42,23.08,23.20,685800
29-Jul-16,23.04,23.42,23.04,23.12,876800
28-Jul-16,23.00,23.14,22.92,23.10,475500
27-Jul-16,23.00,23.20,23.00,23.10,658000
26-Jul-16,23.00,23.18,22.92,23.02,1403100
25-Jul-16,23.20,23.32,23.02,23.22,576700
22-Jul-16,23.30,23.30,23.04,23.10,631800
21-Jul-16,23.02,23.24,23.02,23.14,984500
20-Jul-16,23.22,23.24,23.10,23.10,1115900
19-Jul-16,23.20,23.36,23.06,23.24,1001900
18-Jul-16,23.20,23.38,23.12,23.20,385700
15-Jul-16,23.20,23.60,23.02,23.16,1760800
14-Jul-16,23.00,23.16,22.98,23.12,926300
13-Jul-16,23.06,23.34,23.06,23.24,1559300
12-Jul-16,23.30,23.34,23.12,23.18,1004300
11-Jul-16,23.08,23.58,23.08,23.30,1089900
8-Jul-16,23.02,23.22,23.02,23.20,1620500
5-Jul-16,23.22,23.34,23.18,23.22,349100
4-Jul-16,23.24,23.64,23.18,23.22,1015200
1-Jul-16,23.08,23.22,23.04,23.18,1019400
30-Jun-16,23.22,23.26,23.12,23.26,703900
29-Jun-16,23.06,23.30,22.86,23.22,236400
28-Jun-16,22.90,23.04,22.84,23.00,539300
27-Jun-16,22.84,23.08,22.84,23.00,788300
24-Jun-16,23.30,23.30,22.72,23.00,1016700
23-Jun-16,22.92,23.24,22.92,23.20,348100
21-Jun-16,23.00,23.10,23.00,23.08,474000
20-Jun-16,23.16,23.20,22.94,23.10,1484500
17-Jun-16,23.04,23.16,23.00,23.16,616800
16-Jun-16,23.08,23.08,23.00,23.00,431800
15-Jun-16,23.04,23.04,23.00,23.02,1191800
14-Jun-16,23.00,23.08,22.92,23.04,400800
13-Jun-16,23.00,23.20,22.96,23.08,1193900
10-Jun-16,23.30,23.30,23.06,23.20,600300
9-Jun-16,23.30,23.30,23.06,23.16,1012400
8-Jun-16,23.54,23.54,23.24,23.30,1245700
7-Jun-16,23.28,23.72,22.90,23.38,894900
6-Jun-16,23.28,23.44,22.98,23.26,656700
3-Jun-16,23.18,23.20,23.06,23.08,737500
2-Jun-16,23.04,23.14,22.86,23.04,889900
1-Jun-16,23.28,23.28,22.90,23.04,939400
31-May-16,22.80,23.28,22.80,23.04,2160200
30-May-16,22.86,23.44,22.86,23.04,953700
27-May-16,22.92,23.28,22.92,23.08,543400
26-May-16,22.80,23.28,22.80,23.16,336300
25-May-16,23.42,23.42,22.84,23.02,818200
24-May-16,22.86,23.34,22.86,23.00,648000
23-May-16,22.80,23.08,22.80,23.08,619000
20-May-16,22.94,23.04,22.90,22.94,1947700
19-May-16,22.82,23.32,22.80,23.04,480700
18-May-16,22.80,23.32,22.78,23.00,1089700
17-May-16,23.10,23.14,22.74,23.00,1165200
16-May-16,22.62,23.10,22.62,23.10,338700
13-May-16,22.80,23.80,22.80,22.86,1229200
12-May-16,22.74,23.30,22.74,23.10,1451600
11-May-16,22.96,23.08,22.90,23.08,1625100
10-May-16,22.82,23.20,22.70,22.96,765700
9-May-16,22.84,23.00,22.82,22.92,460100
6-May-16,23.16,23.16,22.86,22.98,784600
5-May-16,23.22,23.24,23.00,23.10,590100
4-May-16,23.34,23.34,23.04,23.18,1669200
3-May-16,23.78,24.04,23.20,23.38,1464900
29-Apr-16,23.74,23.96,23.74,23.92,1062500
28-Apr-16,23.74,24.08,23.74,24.00,2020100
27-Apr-16,23.78,23.94,23.78,23.92,835800
26-Apr-16,23.82,23.92,23.80,23.90,1835400
25-Apr-16,23.78,24.06,23.78,24.06,1129900
22-Apr-16,23.82,24.04,23.82,23.92,716200
21-Apr-16,23.88,24.16,23.88,24.00,1118400
20-Apr-16,23.80,24.48,23.80,23.92,1069700
19-Apr-16,23.80,24.16,23.80,23.92,1227100
18-Apr-16,23.80,24.00,23.64,24.00,255700
15-Apr-16,23.72,24.30,23.72,24.00,1044800
14-Apr-16,23.80,24.08,23.80,23.88,1323200
13-Apr-16,23.86,24.14,23.80,24.00,855100
12-Apr-16,23.88,23.96,23.70,23.86,208100
11-Apr-16,23.88,24.08,23.88,24.02,1601700
8-Apr-16,23.90,24.14,23.90,24.02,845400
7-Apr-16,24.06,24.44,23.96,23.96,1139400
6-Apr-16,23.94,24.50,23.94,24.50,604400
5-Apr-16,23.98,24.34,23.98,24.10,1269000
4-Apr-16,23.60,24.26,23.60,24.16,508000
1-Apr-16,23.66,24.30,23.66,24.00,830000
31-Mar-16,24.24,24.26,23.94,24.00,1678200
30-Mar-16,24.28,24.30,23.98,24.00,1850800
29-Mar-16,24.08,24.24,23.92,24.00,2001400
28-Mar-16,23.90,24.10,23.90,23.98,650900
25-Mar-16,23.60,24.08,23.60,24.00,339600
24-Mar-16,24.06,24.30,23.92,24.00,368500
23-Mar-16,24.18,24.52,24.06,24.18,2270000
22-Mar-16,24.30,24.32,24.10,24.28,2023400
21-Mar-16,24.06,24.42,24.04,24.18,808500
18-Mar-16,24.46,24.48,23.98,24.20,2199500
17-Mar-16,24.46,24.50,24.12,24.34,1231700
16-Mar-16,24.20,24.54,24.08,24.14,947900
15-Mar-16,23.90,24.54,23.90,24.54,748800
14-Mar-16,24.18,24.48,24.12,24.18,764200
11-Mar-16,24.40,24.40,24.12,24.18,1224600
10-Mar-16,24.28,24.30,23.90,23.98,1141200
9-Mar-16,24.28,24.28,24.00,24.00,1181700
8-Mar-16,24.42,24.42,23.94,24.00,979500
7-Mar-16,24.00,24.36,23.98,24.00,1664800
4-Mar-16,24.38,24.38,23.60,23.72,812700
3-Mar-16,23.80,24.48,23.80,24.00,1119100
2-Mar-16,23.90,24.48,23.68,23.88,2239400
1-Mar-16,24.50,24.50,23.78,23.90,796400
29-Feb-16,24.00,24.32,23.66,23.80,926200
26-Feb-16,24.48,24.48,23.96,24.00,1127600
25-Feb-16,24.50,24.54,23.88,24.00,1961400
24-Feb-16,24.58,24.78,23.84,24.48,1420800
23-Feb-16,23.98,24.76,23.98,24.20,1706900
22-Feb-16,24.00,24.48,23.98,24.00,1903700
19-Feb-16,24.36,24.60,24.16,24.20,2160300
18-Feb-16,23.90,24.30,23.90,24.16,3460100
17-Feb-16,23.56,23.74,23.54,23.66,1796000
16-Feb-16,23.54,23.68,23.40,23.58,920800
15-Feb-16,23.18,23.86,23.18,23.40,1104300
12-Feb-16,23.86,23.86,23.12,23.18,641000
11-Feb-16,22.98,23.40,22.94,23.12,1642300
10-Feb-16,24.00,24.00,22.96,22.96,361100
5-Feb-16,23.34,23.86,23.34,23.82,1466500
4-Feb-16,23.30,23.90,23.28,23.48,1780200
3-Feb-16,23.22,23.60,23.04,23.26,1062700
2-Feb-16,24.00,24.00,23.20,23.50,1012000
29-Jan-16,23.68,23.96,22.92,23.90,2084700
28-Jan-16,23.02,23.52,22.76,23.34,1184400
27-Jan-16,22.90,23.20,22.74,22.76,733500
26-Jan-16,22.20,23.18,22.20,22.78,729800
22-Jan-16,22.70,22.94,22.62,22.70,550400
21-Jan-16,22.64,22.74,22.50,22.62,826100
20-Jan-16,22.62,23.10,22.62,22.80,889500
19-Jan-16,22.72,22.98,22.72,22.76,654400
18-Jan-16,22.36,22.84,22.32,22.72,267200
15-Jan-16,22.80,23.00,22.80,22.86,650700
14-Jan-16,22.86,23.00,22.58,22.60,403000
13-Jan-16,22.62,23.10,22.62,22.86,181300
12-Jan-16,22.56,23.02,22.56,22.86,539200
11-Jan-16,22.80,22.82,22.68,22.80,356400
8-Jan-16,22.72,23.16,22.68,22.92,332500
7-Jan-16,23.20,23.26,22.94,22.98,1062700
6-Jan-16,22.80,23.26,22.80,23.18,1125100
5-Jan-16,22.60,23.30,22.60,23.00,903700
4-Jan-16,22.70,23.20,22.52,22.80,467300
31-Dec-15,23.18,23.22,22.88,22.88,1958600
30-Dec-15,23.02,23.20,22.90,22.90,826000
29-Dec-15,22.90,23.12,22.90,23.00,694300
28-Dec-15,23.00,23.04,22.74,22.90,657800
23-Dec-15,22.44,23.00,22.44,23.00,772400
22-Dec-15,22.34,22.74,22.34,22.70,412500
21-Dec-15,22.68,22.70,22.40,22.50,740800
18-Dec-15,22.88,23.08,22.28,23.08,2113900
17-Dec-15,22.50,22.98,22.48,22.96,1266100
16-Dec-15,22.16,22.50,22.14,22.40,1033100
15-Dec-15,22.14,22.34,22.14,22.14,524900
14-Dec-15,22.04,22.44,21.72,22.14,829700
11-Dec-15,22.20,22.40,22.00,22.14,759300
10-Dec-15,22.88,22.88,21.96,21.96,854000
9-Dec-15,22.90,22.92,22.76,22.78,1410100
