Date,Open,High,Low,Close,Volume
7-Oct-16,1.22,1.22,1.22,1.22,19000
6-Oct-16,1.20,1.20,1.20,1.20,10000
5-Oct-16,1.20,1.23,1.20,1.23,96900
4-Oct-16,1.18,1.20,1.18,1.20,33700
30-Sep-16,-,-,-,1.18,0
29-Sep-16,1.18,1.20,1.18,1.18,7500
28-Sep-16,1.17,1.19,1.17,1.19,10500
27-Sep-16,1.16,1.16,1.16,1.16,2000
26-Sep-16,1.16,1.17,1.15,1.17,22600
23-Sep-16,1.17,1.17,1.16,1.16,37800
22-Sep-16,-,-,-,1.16,0
21-Sep-16,1.16,1.16,1.16,1.16,15300
20-Sep-16,1.16,1.16,1.15,1.15,11800
19-Sep-16,1.16,1.16,1.13,1.15,46500
15-Sep-16,1.17,1.17,1.17,1.17,10000
14-Sep-16,1.18,1.19,1.16,1.18,17000
13-Sep-16,1.16,1.20,1.15,1.20,21800
9-Sep-16,1.17,1.18,1.17,1.17,43100
8-Sep-16,1.21,1.21,1.17,1.21,20000
7-Sep-16,1.17,1.22,1.17,1.20,49500
6-Sep-16,1.17,1.17,1.17,1.17,17900
5-Sep-16,1.17,1.17,1.17,1.17,9000
2-Sep-16,1.16,1.16,1.16,1.16,21000
1-Sep-16,1.15,1.18,1.15,1.18,12300
30-Aug-16,1.18,1.18,1.18,1.18,16000
29-Aug-16,1.18,1.18,1.18,1.18,28000
26-Aug-16,1.22,1.22,1.17,1.17,34000
25-Aug-16,1.20,1.23,1.20,1.20,40900
24-Aug-16,1.22,1.25,1.20,1.25,12000
23-Aug-16,-,-,-,1.25,0
22-Aug-16,1.25,1.26,1.24,1.25,32000
19-Aug-16,1.25,1.26,1.23,1.23,27200
18-Aug-16,1.23,1.25,1.23,1.25,9000
17-Aug-16,1.25,1.25,1.23,1.23,24600
16-Aug-16,1.22,1.26,1.22,1.22,93000
15-Aug-16,1.20,1.25,1.20,1.25,12500
12-Aug-16,1.25,1.25,1.25,1.25,90000
11-Aug-16,1.25,1.25,1.25,1.25,1000
10-Aug-16,1.23,1.26,1.23,1.25,16500
9-Aug-16,1.25,1.26,1.25,1.25,9200
8-Aug-16,1.25,1.25,1.24,1.24,14000
5-Aug-16,1.24,1.24,1.24,1.24,12600
4-Aug-16,1.24,1.28,1.24,1.28,39000
3-Aug-16,1.26,1.27,1.24,1.24,33600
2-Aug-16,1.27,1.29,1.26,1.26,67000
1-Aug-16,1.29,1.30,1.28,1.28,37000
29-Jul-16,1.30,1.33,1.28,1.28,50500
28-Jul-16,1.30,1.31,1.29,1.30,47700
27-Jul-16,1.34,1.34,1.29,1.30,82100
26-Jul-16,1.38,1.38,1.32,1.34,61000
25-Jul-16,1.32,1.41,1.32,1.38,578300
22-Jul-16,1.20,1.31,1.18,1.31,246900
21-Jul-16,1.18,1.18,1.18,1.18,3000
20-Jul-16,1.16,1.19,1.16,1.19,29900
19-Jul-16,1.16,1.16,1.15,1.15,27000
18-Jul-16,1.19,1.19,1.19,1.19,1200
15-Jul-16,1.20,1.20,1.19,1.19,22700
14-Jul-16,1.18,1.18,1.18,1.18,5200
13-Jul-16,1.18,1.20,1.18,1.20,51200
12-Jul-16,1.18,1.20,1.18,1.20,4500
11-Jul-16,1.23,1.23,1.20,1.20,42500
8-Jul-16,1.21,1.21,1.21,1.21,30000
5-Jul-16,1.20,1.20,1.20,1.20,4000
4-Jul-16,1.22,1.22,1.21,1.21,10000
1-Jul-16,1.20,1.22,1.20,1.22,26700
30-Jun-16,1.23,1.23,1.23,1.23,1300
29-Jun-16,-,-,-,1.18,0
28-Jun-16,1.18,1.19,1.18,1.18,32300
27-Jun-16,-,-,-,1.19,0
24-Jun-16,1.20,1.20,1.19,1.19,10600
23-Jun-16,1.22,1.22,1.22,1.22,21500
21-Jun-16,1.22,1.22,1.22,1.22,15300
20-Jun-16,1.23,1.23,1.22,1.22,27200
17-Jun-16,1.22,1.23,1.22,1.23,10800
16-Jun-16,1.21,1.23,1.21,1.22,48200
15-Jun-16,1.22,1.23,1.21,1.21,28400
14-Jun-16,1.22,1.22,1.22,1.22,28600
13-Jun-16,1.22,1.23,1.22,1.23,30400
10-Jun-16,1.23,1.24,1.19,1.19,42800
9-Jun-16,1.21,1.29,1.21,1.24,140300
8-Jun-16,1.16,1.25,1.16,1.20,65900
7-Jun-16,1.19,1.19,1.14,1.16,136100
6-Jun-16,1.24,1.24,1.17,1.19,99700
3-Jun-16,1.30,1.30,1.25,1.25,35500
2-Jun-16,1.30,1.30,1.30,1.30,1000
1-Jun-16,1.30,1.30,1.30,1.30,21000
31-May-16,1.29,1.30,1.27,1.30,49000
30-May-16,1.40,1.40,1.25,1.32,79800
27-May-16,1.44,1.44,1.44,1.44,1000
26-May-16,1.44,1.44,1.44,1.44,85800
25-May-16,1.44,1.44,1.42,1.42,37000
24-May-16,1.45,1.45,1.44,1.44,12000
23-May-16,1.45,1.45,1.44,1.44,11800
20-May-16,1.45,1.45,1.45,1.45,9000
19-May-16,-,-,-,1.48,0
18-May-16,-,-,-,1.48,0
17-May-16,1.48,1.49,1.48,1.48,19400
16-May-16,1.46,1.49,1.46,1.49,4000
13-May-16,-,-,-,1.46,0
12-May-16,1.47,1.47,1.46,1.46,21000
11-May-16,1.47,1.48,1.46,1.47,18000
10-May-16,1.47,1.47,1.46,1.46,17200
9-May-16,1.47,1.47,1.47,1.47,12500
6-May-16,1.46,1.47,1.46,1.47,31800
