Date,Open,High,Low,Close,Volume
7-Oct-16,0.40,0.40,0.40,0.40,660700
6-Oct-16,0.40,0.40,0.40,0.40,340500
5-Oct-16,0.41,0.41,0.40,0.40,574700
4-Oct-16,0.40,0.42,0.40,0.41,1996900
30-Sep-16,0.39,0.40,0.38,0.40,2612900
29-Sep-16,0.36,0.38,0.36,0.38,275000
28-Sep-16,0.36,0.36,0.36,0.36,37800
27-Sep-16,0.36,0.37,0.36,0.36,58500
26-Sep-16,0.36,0.36,0.36,0.36,50000
23-Sep-16,0.37,0.38,0.36,0.36,282000
22-Sep-16,0.36,0.37,0.36,0.36,158500
21-Sep-16,0.36,0.37,0.36,0.37,331500
20-Sep-16,0.36,0.36,0.36,0.36,112000
19-Sep-16,0.36,0.36,0.36,0.36,96700
15-Sep-16,0.36,0.36,0.36,0.36,187000
14-Sep-16,0.36,0.36,0.36,0.36,358100
13-Sep-16,0.38,0.38,0.37,0.37,124500
9-Sep-16,0.38,0.38,0.38,0.38,185500
8-Sep-16,0.39,0.39,0.38,0.38,715600
7-Sep-16,0.36,0.39,0.36,0.38,1117600
6-Sep-16,0.36,0.36,0.36,0.36,75500
5-Sep-16,0.36,0.37,0.35,0.36,360300
2-Sep-16,0.35,0.36,0.35,0.36,157000
1-Sep-16,0.36,0.36,0.36,0.36,218000
30-Aug-16,0.37,0.37,0.36,0.36,88000
29-Aug-16,0.36,0.37,0.36,0.36,219300
26-Aug-16,0.36,0.38,0.36,0.38,155500
25-Aug-16,0.38,0.38,0.37,0.37,95100
24-Aug-16,0.38,0.38,0.38,0.38,83000
23-Aug-16,0.38,0.38,0.38,0.38,65000
22-Aug-16,0.38,0.38,0.38,0.38,49500
19-Aug-16,0.38,0.38,0.38,0.38,206400
18-Aug-16,0.40,0.40,0.38,0.38,86000
17-Aug-16,0.39,0.40,0.39,0.39,424000
16-Aug-16,0.38,0.40,0.38,0.39,982100
15-Aug-16,0.37,0.38,0.37,0.38,112700
12-Aug-16,0.38,0.38,0.37,0.38,320100
11-Aug-16,0.38,0.38,0.37,0.38,106400
10-Aug-16,0.38,0.38,0.37,0.38,253500
9-Aug-16,0.37,0.38,0.37,0.38,558200
8-Aug-16,0.38,0.38,0.38,0.38,153200
5-Aug-16,0.38,0.38,0.38,0.38,237700
4-Aug-16,0.37,0.39,0.37,0.38,632800
3-Aug-16,0.37,0.38,0.37,0.38,169200
2-Aug-16,0.38,0.38,0.38,0.38,128000
1-Aug-16,0.37,0.38,0.37,0.38,137600
29-Jul-16,0.38,0.38,0.36,0.37,490700
28-Jul-16,0.40,0.40,0.38,0.38,621000
27-Jul-16,0.40,0.41,0.40,0.40,161700
26-Jul-16,0.40,0.41,0.40,0.40,178700
25-Jul-16,0.40,0.41,0.40,0.40,446500
22-Jul-16,0.40,0.41,0.40,0.40,156300
