Date,Open,High,Low,Close,Volume
7-Oct-16,6.89,6.90,6.86,6.90,1218100
6-Oct-16,6.90,6.90,6.84,6.90,488300
5-Oct-16,6.92,6.95,6.89,6.90,1606700
4-Oct-16,6.88,6.95,6.88,6.95,1228100
30-Sep-16,6.79,6.93,6.79,6.88,3049200
29-Sep-16,6.89,6.89,6.78,6.79,651800
28-Sep-16,6.88,6.90,6.86,6.89,1500000
27-Sep-16,6.66,6.92,6.66,6.87,1911100
26-Sep-16,6.60,6.69,6.59,6.66,159600
23-Sep-16,6.60,6.65,6.60,6.64,283400
22-Sep-16,6.60,6.60,6.50,6.60,33400
21-Sep-16,6.43,6.50,6.40,6.50,1088800
20-Sep-16,6.41,6.50,6.41,6.45,1069500
19-Sep-16,6.28,6.43,6.28,6.40,1973800
15-Sep-16,6.48,6.48,6.26,6.26,1077800
14-Sep-16,6.51,6.51,6.47,6.48,146000
13-Sep-16,6.60,6.61,6.51,6.53,63400
9-Sep-16,6.65,6.65,6.60,6.62,22900
8-Sep-16,6.71,6.72,6.66,6.70,289500
7-Sep-16,6.63,6.77,6.59,6.76,582300
6-Sep-16,6.68,6.73,6.61,6.71,429800
5-Sep-16,6.65,6.73,6.63,6.72,1351000
2-Sep-16,6.50,6.69,6.49,6.60,1122800
1-Sep-16,6.49,6.52,6.35,6.43,218700
30-Aug-16,6.33,6.57,6.33,6.57,105800
29-Aug-16,6.22,6.35,6.22,6.33,30500
26-Aug-16,6.20,6.25,6.19,6.21,674300
25-Aug-16,6.20,6.30,6.13,6.18,851000
24-Aug-16,6.24,6.24,6.19,6.21,719400
23-Aug-16,6.33,6.34,6.24,6.24,109900
22-Aug-16,6.50,6.50,6.29,6.32,202100
19-Aug-16,6.50,6.50,6.49,6.50,225700
18-Aug-16,6.51,6.55,6.49,6.50,237000
17-Aug-16,6.60,6.60,6.52,6.55,1097000
16-Aug-16,6.64,6.65,6.59,6.63,288900
15-Aug-16,6.67,6.67,6.63,6.65,657100
12-Aug-16,6.70,6.79,6.66,6.68,635100
11-Aug-16,6.81,6.81,6.70,6.78,1055200
10-Aug-16,6.80,6.85,6.80,6.80,119200
9-Aug-16,6.79,6.90,6.77,6.82,663700
8-Aug-16,6.80,6.82,6.66,6.79,402400
5-Aug-16,6.67,6.79,6.60,6.79,288100
4-Aug-16,6.69,6.78,6.61,6.71,576500
3-Aug-16,6.79,6.80,6.55,6.70,27200
2-Aug-16,6.79,6.85,6.79,6.80,828500
1-Aug-16,6.66,6.80,6.63,6.79,197200
29-Jul-16,6.66,6.69,6.60,6.66,759800
28-Jul-16,6.71,6.71,6.66,6.66,474800
27-Jul-16,6.56,6.79,6.56,6.72,447200
26-Jul-16,6.72,6.77,6.70,6.76,408200
25-Jul-16,6.70,6.75,6.64,6.75,177900
22-Jul-16,6.57,6.69,6.56,6.68,126100
21-Jul-16,6.56,6.60,6.53,6.60,275600
20-Jul-16,6.53,6.56,6.52,6.54,733000
19-Jul-16,6.59,6.59,6.50,6.53,1178300
18-Jul-16,6.60,6.60,6.50,6.51,996200
15-Jul-16,6.80,6.80,6.51,6.55,812000
14-Jul-16,6.72,6.73,6.59,6.61,1224500
