Date,Open,High,Low,Close,Volume
7-Oct-16,0.26,0.27,0.26,0.27,1287500
6-Oct-16,0.27,0.27,0.26,0.27,537600
5-Oct-16,0.27,0.28,0.26,0.27,2337800
4-Oct-16,0.27,0.28,0.26,0.28,1147400
30-Sep-16,0.27,0.28,0.26,0.27,1568400
29-Sep-16,0.28,0.28,0.27,0.27,1453000
28-Sep-16,0.27,0.28,0.27,0.28,6456800
27-Sep-16,0.26,0.28,0.26,0.27,3267900
26-Sep-16,0.26,0.27,0.26,0.26,924200
23-Sep-16,0.28,0.28,0.26,0.26,2148400
22-Sep-16,0.26,0.28,0.26,0.28,14356600
21-Sep-16,0.26,0.26,0.25,0.26,1875700
20-Sep-16,0.26,0.26,0.25,0.26,1684700
19-Sep-16,0.26,0.26,0.26,0.26,953600
15-Sep-16,0.24,0.26,0.24,0.26,3204200
14-Sep-16,0.26,0.26,0.24,0.24,3196900
13-Sep-16,0.26,0.26,0.25,0.26,1787200
9-Sep-16,0.26,0.26,0.26,0.26,2301700
8-Sep-16,0.26,0.28,0.26,0.26,20739300
7-Sep-16,0.24,0.28,0.24,0.28,23661000
6-Sep-16,0.24,0.24,0.23,0.24,729300
5-Sep-16,0.23,0.24,0.23,0.24,1505900
2-Sep-16,0.24,0.24,0.23,0.23,421500
1-Sep-16,0.24,0.24,0.23,0.24,3767500
30-Aug-16,0.22,0.24,0.22,0.24,2550000
29-Aug-16,0.22,0.23,0.22,0.22,1101700
26-Aug-16,0.23,0.23,0.22,0.22,1813200
25-Aug-16,0.22,0.24,0.22,0.23,3492500
24-Aug-16,0.22,0.23,0.22,0.22,8313600
23-Aug-16,0.20,0.20,0.20,0.20,652000
22-Aug-16,0.21,0.21,0.20,0.20,1100000
19-Aug-16,0.22,0.22,0.21,0.22,725300
18-Aug-16,0.22,0.22,0.22,0.22,650500
17-Aug-16,0.22,0.23,0.22,0.22,1847700
16-Aug-16,0.22,0.22,0.22,0.22,3514100
15-Aug-16,0.22,0.22,0.21,0.22,510100
12-Aug-16,0.22,0.22,0.21,0.22,691000
11-Aug-16,0.22,0.22,0.22,0.22,828800
10-Aug-16,0.22,0.22,0.21,0.22,943600
9-Aug-16,0.22,0.22,0.21,0.22,727900
8-Aug-16,0.22,0.22,0.21,0.22,973600
5-Aug-16,0.20,0.22,0.20,0.22,3304100
4-Aug-16,0.20,0.20,0.20,0.20,376500
3-Aug-16,0.20,0.20,0.20,0.20,393100
2-Aug-16,0.20,0.20,0.20,0.20,225000
1-Aug-16,0.20,0.21,0.20,0.21,1683700
29-Jul-16,0.20,0.20,0.20,0.20,1757000
28-Jul-16,0.21,0.22,0.20,0.20,870800
27-Jul-16,0.21,0.22,0.21,0.21,903800
26-Jul-16,0.22,0.22,0.21,0.21,5233600
25-Jul-16,0.19,0.22,0.19,0.21,9819700
22-Jul-16,0.18,0.19,0.18,0.19,440500
21-Jul-16,0.20,0.20,0.19,0.19,535000
20-Jul-16,0.20,0.20,0.19,0.20,388600
19-Jul-16,0.20,0.20,0.19,0.20,533700
18-Jul-16,0.20,0.20,0.19,0.19,594000
15-Jul-16,0.20,0.20,0.19,0.20,542200
14-Jul-16,0.20,0.20,0.19,0.20,567700
13-Jul-16,0.20,0.20,0.19,0.20,596200
12-Jul-16,0.19,0.20,0.18,0.20,1409800
11-Jul-16,0.18,0.19,0.18,0.19,703000
8-Jul-16,0.18,0.18,0.18,0.18,280300
5-Jul-16,0.18,0.18,0.18,0.18,123000
4-Jul-16,0.18,0.18,0.18,0.18,393500
1-Jul-16,0.19,0.19,0.18,0.18,1834700
30-Jun-16,0.20,0.20,0.19,0.19,124000
29-Jun-16,0.20,0.20,0.20,0.20,306200
28-Jun-16,0.18,0.20,0.18,0.20,682500
27-Jun-16,0.18,0.19,0.18,0.19,124700
24-Jun-16,0.20,0.20,0.18,0.19,1117500
23-Jun-16,0.20,0.20,0.20,0.20,360500
21-Jun-16,0.20,0.20,0.20,0.20,348400
20-Jun-16,0.20,0.20,0.20,0.20,186000
17-Jun-16,0.20,0.20,0.20,0.20,393800
16-Jun-16,0.20,0.20,0.20,0.20,814100
15-Jun-16,0.20,0.20,0.20,0.20,1726400
14-Jun-16,0.20,0.20,0.20,0.20,330800
13-Jun-16,0.20,0.21,0.20,0.20,474600
10-Jun-16,0.21,0.21,0.20,0.20,1397000
9-Jun-16,0.21,0.22,0.21,0.21,3780100
8-Jun-16,0.21,0.21,0.20,0.20,536700
7-Jun-16,0.20,0.21,0.20,0.20,1126400
6-Jun-16,0.20,0.21,0.20,0.20,854300
3-Jun-16,0.21,0.21,0.20,0.20,375000
2-Jun-16,0.21,0.22,0.21,0.21,1344600
1-Jun-16,0.21,0.22,0.20,0.21,2952400
31-May-16,0.20,0.21,0.20,0.20,2411100
30-May-16,0.20,0.20,0.20,0.20,1269800
27-May-16,0.20,0.20,0.20,0.20,401000
26-May-16,0.22,0.22,0.20,0.20,5037600
25-May-16,0.20,0.23,0.20,0.22,8286400
24-May-16,0.21,0.21,0.20,0.20,1073000
23-May-16,0.20,0.22,0.20,0.20,1818700
20-May-16,0.20,0.20,0.20,0.20,804600
19-May-16,0.21,0.21,0.20,0.21,231700
18-May-16,0.21,0.22,0.20,0.21,3030500
17-May-16,0.21,0.22,0.20,0.20,1468500
16-May-16,0.21,0.21,0.20,0.21,442000
13-May-16,0.22,0.22,0.20,0.21,991700
12-May-16,0.22,0.23,0.21,0.22,4269100
11-May-16,0.21,0.22,0.21,0.22,3775000
10-May-16,0.20,0.21,0.20,0.21,3067500
9-May-16,0.20,0.20,0.20,0.20,984500
6-May-16,0.20,0.20,0.19,0.20,339500
5-May-16,0.20,0.20,0.20,0.20,965800
4-May-16,0.18,0.20,0.18,0.20,1901600
3-May-16,0.20,0.20,0.18,0.19,3229400
29-Apr-16,0.20,0.20,0.20,0.20,651000
28-Apr-16,0.20,0.20,0.20,0.20,1017500
27-Apr-16,0.20,0.21,0.20,0.20,1351200
26-Apr-16,0.22,0.22,0.20,0.20,9438500
25-Apr-16,0.23,0.23,0.22,0.22,1165900
22-Apr-16,0.23,0.24,0.22,0.23,1621000
21-Apr-16,0.23,0.23,0.22,0.23,947600
20-Apr-16,0.23,0.24,0.23,0.23,6772200
19-Apr-16,0.22,0.22,0.22,0.22,573400
18-Apr-16,0.22,0.22,0.22,0.22,857500
15-Apr-16,0.22,0.22,0.22,0.22,434500
14-Apr-16,0.22,0.23,0.22,0.22,2485100
13-Apr-16,0.22,0.22,0.22,0.22,838700
12-Apr-16,0.22,0.22,0.22,0.22,1474700
11-Apr-16,0.22,0.22,0.21,0.22,1166300
8-Apr-16,0.22,0.22,0.22,0.22,2386600
7-Apr-16,0.21,0.22,0.21,0.22,1382300
6-Apr-16,0.21,0.21,0.20,0.21,1634600
