Date,Open,High,Low,Close,Volume
7-Oct-16,0.08,0.08,0.08,0.08,253600
6-Oct-16,0.08,0.08,0.08,0.08,605000
5-Oct-16,0.08,0.08,0.08,0.08,2331800
4-Oct-16,0.08,0.08,0.08,0.08,914100
30-Sep-16,0.08,0.08,0.08,0.08,2132100
29-Sep-16,0.08,0.09,0.08,0.08,1546800
28-Sep-16,0.09,0.09,0.08,0.08,5893200
27-Sep-16,0.08,0.08,0.08,0.08,3448900
26-Sep-16,0.09,0.09,0.08,0.08,3309400
23-Sep-16,0.09,0.10,0.08,0.08,2235100
22-Sep-16,0.09,0.10,0.08,0.10,6332300
21-Sep-16,0.09,0.09,0.08,0.09,3243700
20-Sep-16,0.10,0.10,0.09,0.09,3160000
19-Sep-16,0.10,0.10,0.09,0.10,2761000
15-Sep-16,0.08,0.10,0.08,0.10,10062100
14-Sep-16,0.10,0.10,0.08,0.08,2146200
13-Sep-16,0.09,0.10,0.09,0.10,5304400
9-Sep-16,0.08,0.10,0.08,0.08,3028100
8-Sep-16,0.09,0.10,0.08,0.08,8265400
7-Sep-16,0.08,0.10,0.08,0.09,4600600
6-Sep-16,0.08,0.08,0.08,0.08,821100
5-Sep-16,0.10,0.10,0.09,0.09,2692400
2-Sep-16,0.08,0.10,0.08,0.09,12834700
1-Sep-16,0.08,0.11,0.08,0.08,34319100
30-Aug-16,0.08,0.08,0.08,0.08,3683800
29-Aug-16,0.08,0.08,0.08,0.08,546500
26-Aug-16,0.07,0.08,0.07,0.08,751000
25-Aug-16,0.07,0.07,0.07,0.07,186000
24-Aug-16,0.07,0.08,0.07,0.08,2949000
23-Aug-16,0.06,0.06,0.06,0.06,367800
22-Aug-16,0.07,0.07,0.07,0.07,40000
19-Aug-16,0.07,0.07,0.06,0.07,920000
18-Aug-16,0.07,0.07,0.07,0.07,245000
17-Aug-16,0.07,0.07,0.07,0.07,110000
16-Aug-16,0.07,0.07,0.07,0.07,474800
15-Aug-16,0.07,0.07,0.07,0.07,1442600
12-Aug-16,0.07,0.07,0.07,0.07,1098000
11-Aug-16,0.08,0.08,0.07,0.07,969800
10-Aug-16,0.08,0.08,0.08,0.08,83000
9-Aug-16,0.08,0.08,0.08,0.08,16396900
8-Aug-16,0.08,0.08,0.08,0.08,2905000
5-Aug-16,0.08,0.08,0.08,0.08,545000
4-Aug-16,0.08,0.08,0.08,0.08,1322000
3-Aug-16,0.09,0.10,0.08,0.08,12169400
2-Aug-16,0.08,0.10,0.08,0.09,22521900
1-Aug-16,0.08,0.09,0.08,0.08,3133000
29-Jul-16,0.08,0.08,0.08,0.08,2000100
28-Jul-16,0.08,0.08,0.08,0.08,953000
27-Jul-16,0.08,0.09,0.08,0.08,5959000
26-Jul-16,0.08,0.08,0.08,0.08,4307300
25-Jul-16,0.08,0.08,0.08,0.08,7073800
22-Jul-16,0.08,0.08,0.08,0.08,13980700
21-Jul-16,0.08,0.08,0.08,0.08,2095300
20-Jul-16,0.08,0.09,0.08,0.08,8383300
19-Jul-16,0.06,0.09,0.06,0.08,37585400
18-Jul-16,0.06,0.06,0.06,0.06,72500
15-Jul-16,0.06,0.06,0.06,0.06,193500
14-Jul-16,0.06,0.06,0.06,0.06,106500
13-Jul-16,0.06,0.06,0.06,0.06,898000
12-Jul-16,0.06,0.06,0.04,0.04,800
11-Jul-16,-,-,-,0.06,0
8-Jul-16,0.06,0.06,0.06,0.06,310500
5-Jul-16,0.06,0.06,0.06,0.06,1000
4-Jul-16,0.06,0.06,0.04,0.06,31900
1-Jul-16,0.06,0.06,0.05,0.06,262000
30-Jun-16,0.05,0.05,0.04,0.04,28000
29-Jun-16,0.06,0.06,0.04,0.04,8500
28-Jun-16,0.04,0.05,0.04,0.05,182100
27-Jun-16,0.04,0.05,0.04,0.05,180500
24-Jun-16,-,-,-,0.04,0
23-Jun-16,-,-,-,0.04,0
21-Jun-16,-,-,-,0.04,0
20-Jun-16,-,-,-,0.04,0
17-Jun-16,-,-,-,0.04,0
16-Jun-16,0.04,0.04,0.04,0.04,20200
15-Jun-16,0.04,0.04,0.04,0.04,147000
14-Jun-16,0.04,0.04,0.04,0.04,110000
13-Jun-16,-,-,-,0.04,0
10-Jun-16,0.04,0.04,0.04,0.04,200
9-Jun-16,0.04,0.04,0.04,0.04,30700
8-Jun-16,0.04,0.04,0.04,0.04,26200
7-Jun-16,0.04,0.04,0.04,0.04,31200
6-Jun-16,0.04,0.04,0.04,0.04,20000
3-Jun-16,-,-,-,0.04,0
2-Jun-16,-,-,-,0.04,0
1-Jun-16,-,-,-,0.04,0
31-May-16,-,-,-,0.04,0
30-May-16,-,-,-,0.04,0
27-May-16,-,-,-,0.04,0
26-May-16,-,-,-,0.04,0
25-May-16,-,-,-,0.04,0
24-May-16,-,-,-,0.04,0
23-May-16,-,-,-,0.04,0
20-May-16,0.04,0.04,0.04,0.04,60100
19-May-16,0.04,0.04,0.04,0.04,100
18-May-16,0.04,0.04,0.04,0.04,100000
17-May-16,-,-,-,0.04,0
16-May-16,-,-,-,0.04,0
13-May-16,-,-,-,0.04,0
12-May-16,0.04,0.04,0.04,0.04,300
11-May-16,-,-,-,0.04,0
10-May-16,0.04,0.04,0.04,0.04,50200
9-May-16,0.05,0.05,0.04,0.04,101000
6-May-16,-,-,-,0.05,0
5-May-16,0.05,0.05,0.05,0.05,87000
4-May-16,0.04,0.05,0.04,0.04,130200
3-May-16,-,-,-,0.05,0
29-Apr-16,-,-,-,0.05,0
28-Apr-16,-,-,-,0.05,0
27-Apr-16,-,-,-,0.05,0
26-Apr-16,0.04,0.05,0.04,0.05,340300
25-Apr-16,0.05,0.05,0.04,0.04,311900
22-Apr-16,-,-,-,0.06,0
21-Apr-16,0.05,0.06,0.05,0.06,300
20-Apr-16,-,-,-,0.06,0
19-Apr-16,0.05,0.06,0.04,0.06,220800
18-Apr-16,0.04,0.04,0.04,0.04,210000
15-Apr-16,0.05,0.05,0.05,0.05,400
14-Apr-16,-,-,-,0.05,0
13-Apr-16,0.05,0.05,0.05,0.05,25000
12-Apr-16,0.05,0.05,0.05,0.05,40000
11-Apr-16,-,-,-,0.04,0
8-Apr-16,-,-,-,0.04,0
7-Apr-16,0.04,0.04,0.04,0.04,104300
6-Apr-16,-,-,-,0.05,0
5-Apr-16,-,-,-,0.05,0
4-Apr-16,-,-,-,0.05,0
1-Apr-16,-,-,-,0.05,0
31-Mar-16,-,-,-,0.05,0
30-Mar-16,0.05,0.05,0.05,0.05,46100
29-Mar-16,-,-,-,0.04,0
28-Mar-16,-,-,-,0.04,0
25-Mar-16,-,-,-,0.04,0
24-Mar-16,0.05,0.05,0.04,0.04,35700
23-Mar-16,0.05,0.05,0.05,0.05,64300
22-Mar-16,-,-,-,0.05,0
21-Mar-16,0.05,0.05,0.05,0.05,2900
18-Mar-16,-,-,-,0.05,0
17-Mar-16,0.05,0.05,0.05,0.05,10000
16-Mar-16,-,-,-,0.05,0
15-Mar-16,0.05,0.05,0.05,0.05,90000
14-Mar-16,0.05,0.05,0.05,0.05,75500
11-Mar-16,0.05,0.05,0.05,0.05,13000
10-Mar-16,-,-,-,0.05,0
9-Mar-16,-,-,-,0.05,0
8-Mar-16,0.05,0.05,0.05,0.05,80000
7-Mar-16,-,-,-,0.06,0
4-Mar-16,0.06,0.06,0.06,0.06,10000
3-Mar-16,0.06,0.06,0.06,0.06,85500
2-Mar-16,-,-,-,0.06,0
1-Mar-16,0.06,0.06,0.06,0.06,15000
29-Feb-16,-,-,-,0.06,0
26-Feb-16,-,-,-,0.06,0
