Date,Open,High,Low,Close,Volume
7-Oct-16,0.30,0.30,0.30,0.30,522800
6-Oct-16,0.30,0.30,0.30,0.30,250200
5-Oct-16,0.30,0.31,0.30,0.30,867200
4-Oct-16,0.30,0.30,0.30,0.30,91700
30-Sep-16,0.30,0.30,0.30,0.30,680600
29-Sep-16,0.30,0.31,0.30,0.31,1035600
28-Sep-16,0.30,0.30,0.30,0.30,627000
27-Sep-16,0.30,0.30,0.30,0.30,608600
26-Sep-16,0.30,0.30,0.30,0.30,752200
23-Sep-16,0.30,0.30,0.30,0.30,863600
22-Sep-16,0.30,0.30,0.30,0.30,345500
21-Sep-16,0.30,0.30,0.29,0.30,1864200
20-Sep-16,0.29,0.30,0.29,0.29,399000
19-Sep-16,0.29,0.30,0.29,0.29,222000
15-Sep-16,0.29,0.30,0.29,0.30,588000
14-Sep-16,0.29,0.29,0.28,0.29,609600
13-Sep-16,0.30,0.30,0.29,0.29,585300
9-Sep-16,0.29,0.30,0.29,0.30,272700
8-Sep-16,0.30,0.30,0.30,0.30,707300
7-Sep-16,0.30,0.31,0.30,0.30,771500
6-Sep-16,0.29,0.30,0.29,0.30,2636000
5-Sep-16,0.29,0.30,0.29,0.29,1324100
2-Sep-16,0.29,0.30,0.28,0.28,1334600
1-Sep-16,0.30,0.30,0.28,0.28,1828900
30-Aug-16,0.30,0.30,0.29,0.29,1076200
29-Aug-16,0.30,0.30,0.30,0.30,805300
26-Aug-16,0.30,0.30,0.30,0.30,782400
25-Aug-16,0.31,0.31,0.30,0.30,1274500
24-Aug-16,0.30,0.31,0.30,0.31,486000
23-Aug-16,0.30,0.30,0.30,0.30,835100
22-Aug-16,0.31,0.32,0.30,0.31,1716000
19-Aug-16,0.32,0.32,0.32,0.32,1121500
18-Aug-16,0.32,0.32,0.32,0.32,513000
17-Aug-16,0.32,0.33,0.32,0.32,3204100
16-Aug-16,0.32,0.32,0.31,0.32,2591100
15-Aug-16,0.32,0.33,0.32,0.32,2564300
12-Aug-16,0.33,0.34,0.33,0.33,701900
11-Aug-16,0.34,0.34,0.33,0.33,2580300
10-Aug-16,0.34,0.34,0.33,0.34,2094000
9-Aug-16,0.34,0.34,0.33,0.34,1671300
8-Aug-16,0.33,0.34,0.33,0.34,1273100
5-Aug-16,0.34,0.34,0.33,0.33,789600
4-Aug-16,0.34,0.34,0.33,0.34,1908600
3-Aug-16,0.34,0.34,0.33,0.33,1922900
2-Aug-16,0.35,0.36,0.34,0.34,2290500
1-Aug-16,0.36,0.36,0.34,0.34,4279800
29-Jul-16,0.33,0.35,0.33,0.34,6248500
28-Jul-16,0.33,0.33,0.32,0.32,858700
27-Jul-16,0.32,0.33,0.32,0.33,787200
26-Jul-16,0.32,0.34,0.32,0.32,1872400
25-Jul-16,0.33,0.34,0.32,0.32,1298300
22-Jul-16,0.33,0.34,0.32,0.34,2225800
21-Jul-16,0.34,0.35,0.33,0.33,1956100
20-Jul-16,0.34,0.36,0.34,0.35,4856600
19-Jul-16,0.35,0.35,0.34,0.34,1505600
18-Jul-16,0.34,0.35,0.34,0.34,2432000
15-Jul-16,0.34,0.35,0.34,0.34,8626000
14-Jul-16,0.34,0.34,0.32,0.33,1235700
13-Jul-16,0.34,0.34,0.33,0.34,3907300
12-Jul-16,0.32,0.34,0.32,0.34,7616000
11-Jul-16,0.32,0.32,0.32,0.32,1725000
8-Jul-16,0.32,0.32,0.32,0.32,186500
5-Jul-16,0.32,0.32,0.32,0.32,401100
4-Jul-16,0.31,0.32,0.31,0.31,934800
1-Jul-16,0.31,0.32,0.30,0.31,1077900
30-Jun-16,0.31,0.31,0.30,0.30,894200
